DEPTH d	VALUE d
1370.62000000	44.42488434
1372.51500000	44.84112936
1373.53000000	45.10164111
1374.66000000	45.09284610
1376.30000000	42.98687996
1376.67000000	43.51025144
1378.57500000	46.65920470
1384.20000000	44.89749270
1384.20000000	44.89749270
1384.71500000	44.42556003
1385.12500000	44.21253336
1385.66000000	45.61977089
1385.99000000	46.43147923
1386.99000000	47.21586261
1386.99000000	47.21586261
1387.29000000	50.28678001
1387.42000000	50.60593809
1387.42000000	50.60593809
1388.06500000	49.74275432
1391.63500000	48.01903007
1394.11000000	48.50039864
1394.72500000	48.17879941
1398.64500000	47.92453152
1399.14000000	47.70050782
1401.47000000	52.22006665
1401.62000000	50.48326043
1401.88000000	49.24665659
1401.93000000	47.87345300
1401.93000000	47.87345300
1401.93000000	47.87345300
1401.98000000	48.03895028
1402.97000000	46.84154014
1403.90000000	46.61743230
1404.58000000	47.30743681
1405.24000000	48.15205370
1408.01000000	48.07631710
1408.94000000	48.22378070
1408.94000000	48.22378070
1411.84500000	48.89639804
1415.71000000	51.55764453
1416.15000000	50.90790740
1416.73500000	49.70067188
1417.18000000	48.67456263
1417.68000000	49.58572570
1417.68000000	49.58572570
1418.84500000	51.22341827
1420.93000000	53.03043402
1422.10500000	55.39757143
1422.10500000	55.39757143
1422.10500000	55.39757143
1424.66000000	55.42870012
1425.76000000	55.47685025
1426.36500000	53.11601947
1429.07500000	51.09253536
1430.81000000	50.53141943
1433.35000000	50.31855330
1433.92000000	50.29791023
1434.34500000	50.40205088
1435.08500000	49.90366440
1435.91000000	48.10179896
1436.28000000	46.14308969
1436.74000000	46.30195252
1437.78500000	44.28018010
1439.03000000	45.07366200
1439.24000000	46.04527822
1439.78000000	45.61393892
1440.66000000	45.63240033
1441.00000000	45.15478809
1441.00000000	45.15478809
1441.22500000	45.63630526
1442.02000000	45.11039927
1442.87000000	44.39273192
1443.69000000	46.36198639
1445.21000000	47.30280911
1445.60000000	47.39526805
1446.16000000	47.26768880
1446.49000000	46.71153063
1446.87500000	47.78493274
1449.42000000	49.81344581
1452.28000000	51.98708663
1455.75000000	54.32866877
1456.68000000	54.81705552
1457.15000000	59.70046005
1460.49500000	58.64476759
1460.95000000	57.93598053
1460.95000000	57.93598053
1461.31000000	57.43686918
1461.49000000	57.75648016
1461.67000000	57.52281004
1461.74500000	57.19144750
1461.74500000	57.19144750
1461.82000000	57.29137504
1462.73500000	56.21551699
1463.69000000	55.71830572
1464.43000000	55.85291046
1470.48000000	55.68878366
1471.03000000	55.58911192
1474.98000000	54.95268486
1476.71000000	54.49230931
1477.08000000	54.16118270
1478.37000000	55.28767406
1478.63000000	55.39589547
1478.89000000	55.59064117
1479.98000000	55.86849267
1480.30000000	56.23711201
1480.62500000	56.40307220
1480.62500000	56.40307220
1481.66000000	56.53052795
1482.16500000	56.59471263
1482.16500000	56.59471263
1482.67000000	55.96233845
1483.08000000	55.83566785
1483.49000000	56.07857796
1484.67000000	56.17788486
1485.74500000	55.80582867
1486.19500000	55.92018159
1486.89000000	56.13926108
1488.33000000	54.68257929
1490.46000000	53.99786912
1493.33000000	53.28647623
1496.74000000	52.32763397
1499.51000000	52.32853644
1500.02000000	51.94969840
1500.61000000	51.31671216
1501.33000000	50.40669794
1502.18000000	48.71177801
1502.18000000	48.71177801
1503.01000000	48.00314479
1503.01000000	48.00314479
1503.01000000	48.00314479
1503.36000000	48.13686920
1503.36000000	48.13686920
1503.88000000	46.73111523
1504.65000000	47.52116738
1505.97000000	45.88548348
1506.36500000	45.41261252
1507.00000000	44.56204687
1511.86500000	43.57576316
1515.51000000	42.99279088
1515.56000000	43.09544394
1516.38000000	42.61041636
1516.71000000	40.28312748
1516.96000000	39.76621902
1517.41000000	38.63216538
1517.70000000	38.74602601
1518.17500000	39.51905287
1518.56000000	39.73808441
1519.38000000	40.61594676
1520.49000000	40.43974065
1522.02000000	40.02870338
1522.02000000	40.02870338
1522.02000000	40.02870338
1524.05500000	40.48230187
1527.38000000	39.50683987
1529.07000000	40.13899958
1530.09500000	41.72969930
1530.64500000	42.72826674
1530.96000000	43.47222523
1531.60000000	44.23524149
1531.88000000	44.84800421
1534.38000000	45.57905038
1536.88000000	46.97929251
1536.88000000	46.97929251
1536.88000000	46.97929251
1537.94000000	47.59596522
1538.25000000	47.92422236
1539.48000000	48.29115232
1541.09000000	48.25134911
1541.76000000	50.03906408
1542.10000000	52.44715603
1542.62000000	50.51965581
1545.12000000	48.49902760
1548.79500000	46.13826428
1550.99000000	44.66645730
1553.16000000	44.24981990
1554.33500000	43.69861913
1554.78000000	43.29570230
1554.78000000	43.29570230
1555.23000000	43.28669732
1555.79000000	43.54859119
1555.93500000	43.97815133
1556.08000000	44.38489403
1556.08000000	44.38489403
1556.08000000	44.38489403
1556.54000000	44.21090914
1556.91000000	44.47495007
1557.34000000	44.52231732
1557.63000000	44.79609892
1557.92000000	45.20609485
1561.64000000	45.60248712
1562.02500000	46.25282055
1562.48000000	47.36644601
1565.67000000	49.89684266
1567.77000000	52.55414870
1568.60500000	53.93479580
1569.41000000	54.69963574
1569.41000000	54.69963574
1569.41000000	54.69963574
1570.96000000	55.60208976
1571.97000000	55.48174034
1572.14500000	55.40646652
1572.32000000	55.26165691
1572.32000000	55.26165691
1572.32000000	55.26165691
1572.90000000	56.21009177
1573.48000000	56.33087178
1574.97000000	54.74347359
1580.88000000	52.85089445
1589.23500000	52.36552840
1590.01000000	52.76833052
1590.26000000	52.52041197
1590.48500000	52.12600749
1590.75500000	51.68476161
1590.93000000	51.14578766
1590.93000000	51.14578766
1591.17500000	50.77273866
1591.42000000	50.96331009
1591.79500000	51.27324383
1592.57000000	51.08771415
1593.40500000	51.22422498
1593.40500000	51.22422498
1594.27500000	51.65591224
1594.71000000	51.68520934
1594.71000000	51.68520934
1594.71000000	51.68520934
1594.71000000	51.68520934
1596.15000000	49.96351795
1600.68000000	48.33633536
1601.30000000	47.89273620
1601.64500000	47.49015361
1602.59000000	47.09813245
1604.33000000	47.67848658
1605.37000000	47.69358489
1610.48000000	48.12927555
1611.72000000	48.32208452
1612.96000000	48.53507598
1613.68000000	48.54970877
1614.27000000	48.50285225
1614.72000000	48.58061977
1615.91000000	48.89378436
1616.01000000	49.18604922
1616.31500000	48.53117531
1617.04500000	48.61099347
1617.92500000	49.01912378
1618.28000000	49.12025464
1618.77500000	49.32552949
1620.19000000	51.01429526
1620.66500000	52.86585863
1621.59500000	52.78315634
1622.33000000	52.82730098
1623.64000000	53.59519874
1625.43000000	53.57740496
1626.36000000	53.83468133
1627.97500000	54.76670283
1628.90000000	53.78816041
1630.35500000	54.06420577
1631.29500000	54.23984249
1632.00000000	54.41263780
1632.74000000	54.45686971
1633.94000000	54.51098001
1634.76500000	54.60912266
1635.15000000	54.77579614
1635.92000000	54.99835626
1637.66000000	54.90318154
1638.08000000	55.10724230
1638.91500000	55.24273669
1640.11000000	55.67753820
1640.56000000	55.87223360
1641.77000000	56.33064110
1643.11500000	56.63272355
1644.43000000	56.65169248
1644.80500000	56.51341978
1645.65000000	56.40414261
1646.83000000	56.35441819
1647.90000000	57.99922068
1648.96500000	57.68237642
1649.83000000	57.46131506
1650.63000000	57.22211070
1652.22000000	57.27648995
1653.06000000	57.20549940
1655.80500000	56.74059189
1656.03000000	56.63162378
1656.68000000	56.72980814
1658.37000000	57.00942713
1658.72000000	56.93936434
1660.06000000	57.03329312
1661.03000000	57.12749740
1662.41000000	57.18061037
1662.86000000	57.31574686
1663.17000000	57.44825650
1663.33000000	57.45620890
1663.33000000	57.45620890
1663.69000000	57.28176594
1665.80500000	57.38227914
1666.15000000	57.44306227
