DEPTH d	VALUE d
1370.62000000	60.26884423
1372.51500000	60.69696857
1373.53000000	60.63572498
1374.66000000	60.92983654
1376.30000000	58.54419957
1376.67000000	58.93467226
1378.57500000	60.11447657
1384.20000000	53.03471690
1384.20000000	53.03471690
1384.71500000	52.89453604
1385.12500000	53.04272065
1385.66000000	55.95012212
1385.99000000	57.39946674
1386.99000000	58.44068733
1386.99000000	58.44068733
1387.29000000	60.27383121
1387.42000000	60.34238267
1387.42000000	60.34238267
1388.06500000	59.07553067
1391.63500000	58.33500546
1394.11000000	58.91797304
1394.72500000	58.74638702
1398.64500000	59.28538669
1399.14000000	59.33706320
1401.47000000	62.34305378
1401.62000000	61.23884306
1401.88000000	60.55264219
1401.93000000	59.58473656
1401.93000000	59.58473656
1401.93000000	59.58473656
1401.98000000	59.42138315
1402.97000000	57.35557139
1403.90000000	56.50140808
1404.58000000	58.34597960
1405.24000000	58.75964565
1408.01000000	58.65454197
1408.94000000	58.92151025
1408.94000000	58.92151025
1411.84500000	60.24257640
1415.71000000	61.12571097
1416.15000000	60.45973926
1416.73500000	59.67082811
1417.18000000	58.20032072
1417.68000000	58.68717829
1417.68000000	58.68717829
1418.84500000	59.88088108
1420.93000000	61.36754945
1422.10500000	62.25805043
1422.10500000	62.25805043
1422.10500000	62.25805043
1424.66000000	62.08294263
1425.76000000	61.95574465
1426.36500000	61.74462795
1429.07500000	59.02727781
1430.81000000	58.56868920
1433.35000000	58.17286873
1433.92000000	57.79695166
1434.34500000	57.73714504
1435.08500000	57.15259794
1435.91000000	56.77622316
1436.28000000	55.86638052
1436.74000000	55.95860066
1437.78500000	55.15090043
1439.03000000	57.15122577
1439.24000000	58.33277919
1439.78000000	57.92480811
1440.66000000	58.09878590
1441.00000000	57.60296841
1441.00000000	57.60296841
1441.22500000	58.11602693
1442.02000000	57.99442862
1442.87000000	57.66986486
1443.69000000	59.29290289
1445.21000000	60.57582362
1445.60000000	60.66934111
1446.16000000	61.12500077
1446.49000000	61.22444618
1446.87500000	62.27812963
1449.42000000	64.02454868
1452.28000000	65.18353244
1455.75000000	65.46531917
1456.68000000	65.67801781
1457.15000000	65.81027315
1460.49500000	64.61799181
1460.95000000	63.99727539
1460.95000000	63.99727539
1461.31000000	63.02922458
1461.49000000	63.24956626
1461.67000000	62.94125087
1461.74500000	62.64472767
1461.74500000	62.64472767
1461.82000000	62.57167927
1462.73500000	61.64976595
1463.69000000	61.16956560
1464.43000000	61.24297679
1470.48000000	60.83174583
1471.03000000	60.63258865
1474.98000000	59.58412122
