DEPTH d	VALUE d
1370.62000000	0.01151161
1372.51500000	0.02552713
1373.53000000	0.01198557
1374.66000000	0.00060614
1376.30000000	0.00840996
1376.67000000	0.00991030
1378.57500000	0.00269367
1384.20000000	0.00000000
1384.20000000	0.00359497
1384.71500000	0.04265389
1385.12500000	0.00114722
1385.66000000	0.00490970
1385.99000000	0.00359238
1386.99000000	0.00000000
1386.99000000	0.10589956
1387.29000000	0.02840355
1387.42000000	0.00000000
1387.42000000	0.04088433
1388.06500000	0.01420774
1391.63500000	0.00787487
1394.11000000	0.01852810
1394.72500000	0.00398215
1398.64500000	0.02340738
1399.14000000	0.02495166
1401.47000000	0.51162292
1401.62000000	0.47559810
1401.88000000	0.00000000
1401.93000000	0.00000000
1401.93000000	0.00000000
1401.93000000	0.00000000
1401.98000000	0.03443649
1402.97000000	0.00698142
1403.90000000	0.04584957
1404.58000000	0.04579756
1405.24000000	0.00244069
1408.01000000	0.00378387
1408.94000000	0.00000000
1408.94000000	0.01042036
1411.84500000	0.14963387
1415.71000000	0.05983499
1416.15000000	0.40414986
1416.73500000	0.26630969
1417.18000000	0.07582918
1417.68000000	0.00000000
1417.68000000	0.20521346
1418.84500000	0.08688741
1420.93000000	0.06291232
1422.10500000	0.00000000
1422.10500000	0.00000000
1422.10500000	0.00751558
1424.66000000	0.00729427
1425.76000000	0.00086256
1426.36500000	0.02251663
1429.07500000	0.22868080
1430.81000000	0.04711698
1433.35000000	0.10071954
1433.92000000	0.04390334
1434.34500000	0.06381994
1435.08500000	0.00050722
1435.91000000	0.07302868
1436.28000000	0.03253173
1436.74000000	0.00014677
1437.78500000	0.02183167
1439.03000000	0.14975279
1439.24000000	0.01590089
1439.78000000	0.01862935
1440.66000000	0.03534230
1441.00000000	0.00000000
1441.00000000	0.07452030
1441.22500000	0.00554691
1442.02000000	0.02298998
1442.87000000	0.07181001
1443.69000000	0.05719604
1445.21000000	0.08087944
1445.60000000	0.04171929
1446.16000000	0.07192530
1446.49000000	0.25857520
1446.87500000	0.07026075
1449.42000000	0.02373822
1452.28000000	0.01698277
1455.75000000	0.01582103
1456.68000000	0.01560788
1457.15000000	0.00491152
1460.49500000	0.03624218
1460.95000000	0.00000000
1460.95000000	0.03457207
1461.31000000	0.06739753
1461.49000000	0.03121793
1461.67000000	0.00000000
1461.74500000	0.00000000
1461.74500000	0.00000000
1461.82000000	0.01107719
1462.73500000	0.02708845
1463.69000000	0.05187964
1464.43000000	0.00067129
1470.48000000	0.00068695
1471.03000000	0.00673681
1474.98000000	0.01604416
1476.71000000	0.14199964
1477.08000000	0.01594846
1478.37000000	0.00156426
1478.63000000	0.06065582
1478.89000000	0.01598799
1479.98000000	0.04784433
1480.30000000	0.00636133
1480.62500000	0.00000000
1480.62500000	0.01599888
1481.66000000	0.00002812
1482.16500000	0.00000000
1482.16500000	0.00524366
1482.67000000	0.01308239
1483.08000000	0.01403263
1483.49000000	0.00121842
1484.67000000	0.00121045
1485.74500000	0.00540465
1486.19500000	0.00836014
1486.89000000	0.01817795
1488.33000000	0.00929222
1490.46000000	0.01103960
1493.33000000	0.01865893
1496.74000000	0.01852816
1499.51000000	0.35902854
1500.02000000	0.17158828
1500.61000000	0.02189108
1501.33000000	0.05277132
1502.18000000	0.00000000
1502.18000000	0.03238702
1503.01000000	0.00000000
1503.01000000	0.00000000
1503.01000000	0.02900710
1503.36000000	0.00000000
1503.36000000	0.00898264
1503.88000000	0.01329363
1504.65000000	0.01213179
1505.97000000	0.00925604
1506.36500000	0.00531245
1507.00000000	0.00235995
1511.86500000	0.00082116
1515.51000000	0.00000000
1515.56000000	0.00430445
1516.38000000	0.03215198
1516.71000000	0.00528305
1516.96000000	0.00912156
1517.41000000	0.03620424
1517.70000000	0.02217835
1518.17500000	0.00305667
1518.56000000	0.00084407
1519.38000000	0.00278073
1520.49000000	0.00023522
1522.02000000	0.00000000
1522.02000000	0.00000000
1522.02000000	0.00506291
1524.05500000	0.00406131
1527.38000000	0.00486188
1529.07000000	0.01417519
1530.09500000	0.02767057
1530.64500000	0.04314635
1530.96000000	0.01436250
1531.60000000	0.09667994
1531.88000000	0.00422523
1534.38000000	0.00462998
1536.88000000	0.00000000
1536.88000000	0.00000000
1536.88000000	0.01423719
1537.94000000	0.04155491
1538.25000000	0.00448483
1539.48000000	0.00447740
1541.09000000	0.07408448
1541.76000000	0.20840065
1542.10000000	0.16510783
1542.62000000	0.01398444
1545.12000000	0.01025339
1548.79500000	0.01315951
1550.99000000	0.00778882
1553.16000000	0.01526729
1554.33500000	0.01825030
1554.78000000	0.00000000
1554.78000000	0.01522527
1555.23000000	0.07340769
1555.79000000	0.06202099
1555.93500000	0.01207229
1556.08000000	0.00000000
1556.08000000	0.00000000
1556.08000000	0.00073384
1556.54000000	0.02338141
1556.91000000	0.00295519
1557.34000000	0.00609345
1557.63000000	0.00869575
1557.92000000	0.00230072
1561.64000000	0.00948908
1562.02500000	0.00749377
1562.48000000	0.00058098
1565.67000000	0.00019681
1567.77000000	0.01330721
1568.60500000	0.00692382
1569.41000000	0.00000000
1569.41000000	0.00000000
1569.41000000	0.00910878
1570.96000000	0.01212191
1571.97000000	0.16335868
1572.14500000	0.02982187
1572.32000000	0.00000000
1572.32000000	0.00000000
1572.32000000	0.04502347
1572.90000000	0.03680088
1573.48000000	0.02067632
1574.97000000	0.01557811
1580.88000000	0.00026796
1589.23500000	0.05293610
1590.01000000	0.04137224
1590.26000000	0.00632948
1590.48500000	0.00496603
1590.75500000	0.13756657
1590.93000000	0.00000000
1590.93000000	0.03226428
1591.17500000	0.00717083
1591.42000000	0.05335729
1591.79500000	0.00068606
1592.57000000	0.01843385
1593.40500000	0.00000000
1593.40500000	0.01215388
1594.27500000	0.01038972
1594.71000000	0.00000000
1594.71000000	0.00000000
1594.71000000	0.00000000
1594.71000000	0.00218328
1596.15000000	0.01742180
1600.68000000	0.00103556
1601.30000000	0.00382019
1601.64500000	0.01753864
1602.59000000	0.00820774
1604.33000000	0.01317434
1605.37000000	0.00702354
1610.48000000	0.01645689
1611.72000000	0.02384491
1612.96000000	0.16208393
1613.68000000	0.17575846
1614.27000000	0.09523449
1614.72000000	0.30072021
1615.91000000	0.00000000
1616.01000000	0.08263759
1616.31500000	0.02594326
1617.04500000	0.04671537
1617.92500000	0.00794145
1618.28000000	0.01064334
1618.77500000	0.00332581
1620.19000000	0.02770163
1620.66500000	0.00631575
1621.59500000	0.00346911
1622.33000000	0.01344406
1623.64000000	0.00171623
1625.43000000	0.00528578
1626.36000000	0.00223951
1627.97500000	0.09221039
1628.90000000	0.01303564
1630.35500000	0.00970799
1631.29500000	0.05574770
1632.00000000	0.01567931
1632.74000000	0.01248614
1633.94000000	0.03267245
1634.76500000	0.09112620
1635.15000000	0.03384358
1635.92000000	0.03049901
1637.66000000	0.02443127
1638.08000000	0.02281413
1638.91500000	0.00217854
1640.11000000	0.15274639
1640.56000000	0.03357665
1641.77000000	0.10798208
1643.11500000	0.07426605
1644.43000000	0.66151907
1644.80500000	0.03601764
1645.65000000	0.02941482
1646.83000000	0.26271914
1647.90000000	0.04962654
1648.96500000	0.05384141
1649.83000000	0.07636809
1650.63000000	0.01808419
1652.22000000	0.11911237
1653.06000000	0.00514730
1655.80500000	0.10554564
1656.03000000	0.12100964
1656.68000000	0.06221394
1658.37000000	0.02026722
1658.72000000	0.01345398
1660.06000000	0.01510433
1661.03000000	0.01083743
1662.41000000	0.01074270
1662.86000000	0.05444342
1663.17000000	0.03699155
1663.33000000	0.00000000
1663.33000000	0.02271064
1663.69000000	0.01081629
1665.80500000	0.02416981
1666.15000000	0.02960787
1666.43000000	0.00361398
1667.37000000	0.00050337
1668.84000000	0.00988261
1669.76500000	0.01759699
1669.97000000	0.00368472
1671.89000000	0.00142200
1673.57000000	0.00298124
1675.70500000	0.00542391
1678.13000000	0.02644582
1678.56500000	0.01723977
1679.27500000	0.00911638
1680.11000000	0.01552330
1681.21500000	0.00264028
1684.66000000	0.01034015
1685.74000000	0.00951994
1686.09000000	0.04487885
1686.44000000	0.01337233
1687.05000000	0.01924893
1687.95000000	0.02096090
1689.00000000	0.01282495
1690.60000000	0.01934539
1691.66000000	0.00840755
1692.40000000	0.03292605
1692.91000000	0.05463809
1693.42000000	0.00000000
1693.42000000	0.04119529
1694.81000000	0.13216141
1695.05000000	0.06234330
1695.49500000	0.00533262
1695.94000000	0.04299695
1696.55000000	0.08648949
1697.16000000	0.07862422
