DEPTH d	VALUE d
1370.62000000	247.12810199
1372.51500000	246.43984234
1373.53000000	245.32549566
1374.66000000	244.64141578
1376.30000000	242.87710179
1376.67000000	242.59942741
1378.57500000	241.41490856
1384.20000000	241.19818001
1384.20000000	241.19818001
1384.71500000	241.10605577
1385.12500000	241.08790836
1385.66000000	241.18064839
1385.99000000	240.97396799
1386.99000000	240.11017148
1386.99000000	240.11017148
1387.29000000	237.75964435
1387.42000000	237.64059780
1387.42000000	237.64059780
1388.06500000	238.48042811
1391.63500000	238.81298229
1394.11000000	239.29229513
1394.72500000	239.57991467
1398.64500000	239.74794310
1399.14000000	239.70550156
1401.47000000	241.62630463
1401.62000000	242.41773558
1401.88000000	243.46695095
1401.93000000	244.57210330
1401.93000000	244.57210330
1401.93000000	244.57210330
1401.98000000	243.89871123
1402.97000000	243.42882473
1403.90000000	242.98279986
1404.58000000	242.46044739
1405.24000000	242.20387468
1408.01000000	242.32323749
1408.94000000	242.45967344
1408.94000000	242.45967344
1411.84500000	242.18824172
1415.71000000	242.18544587
1416.15000000	241.67107049
1416.73500000	241.57881598
1417.18000000	242.06052090
1417.68000000	241.95730945
1417.68000000	241.95730945
1418.84500000	241.51904924
1420.93000000	241.03561845
1422.10500000	239.79995356
1422.10500000	239.79995356
1422.10500000	239.79995356
1424.66000000	240.39007414
1425.76000000	240.38856620
1426.36500000	240.77787394
1429.07500000	241.16456719
1430.81000000	240.76574517
1433.35000000	240.17222530
1433.92000000	239.71521316
1434.34500000	239.51947381
1435.08500000	238.92632235
1435.91000000	238.92986496
1436.28000000	238.83935002
1436.74000000	238.65106694
1437.78500000	238.63314507
1439.03000000	238.52925383
1439.24000000	238.77996239
1439.78000000	238.67334605
1440.66000000	238.67990234
1441.00000000	238.70726781
1441.00000000	238.70726781
1441.22500000	238.60431196
1442.02000000	238.34092681
1442.87000000	238.31935191
1443.69000000	238.18979958
1445.21000000	237.99425068
1445.60000000	238.75545992
1446.16000000	239.24602530
1446.49000000	239.77993650
1446.87500000	240.03325029
1449.42000000	240.67756630
1452.28000000	240.39598619
1455.75000000	240.81093909
1456.68000000	240.94233598
1457.15000000	240.70504953
1460.49500000	240.91074159
1460.95000000	240.77221173
1460.95000000	240.77221173
1461.31000000	240.55159381
1461.49000000	240.37793638
1461.67000000	240.40756526
1461.74500000	240.70784149
1461.74500000	240.70784149
1461.82000000	240.71205506
1462.73500000	240.85345083
1463.69000000	241.63214681
1464.43000000	242.05534606
1470.48000000	242.68212446
1471.03000000	242.98401142
1474.98000000	243.73655527
1476.71000000	244.73575332
1477.08000000	244.82341822
1478.37000000	244.30928294
1478.63000000	244.53203297
1478.89000000	244.22909711
1479.98000000	243.82804836
1480.30000000	243.35155726
1480.62500000	243.11937867
1480.62500000	243.11937867
1481.66000000	242.88627130
1482.16500000	242.97514742
1482.16500000	242.97514742
1482.67000000	243.38606992
1483.08000000	243.50430016
1483.49000000	243.64655840
1484.67000000	242.83719282
1485.74500000	242.09788047
1486.19500000	241.51106747
1486.89000000	240.92686865
1488.33000000	239.71749289
1490.46000000	238.81711049
1493.33000000	238.45227726
1496.74000000	238.33427388
1499.51000000	237.77013954
1500.02000000	237.56311537
1500.61000000	236.80039696
1501.33000000	235.95280445
1502.18000000	236.19968767
1502.18000000	236.19968767
1503.01000000	236.01025768
1503.01000000	236.01025768
1503.01000000	236.01025768
1503.36000000	235.08507210
1503.36000000	235.08507210
1503.88000000	235.73000686
1504.65000000	236.40085692
1505.97000000	237.67776630
1506.36500000	238.10388441
1507.00000000	238.62075232
1511.86500000	239.46610297
1515.51000000	239.72831220
1515.56000000	240.17898204
1516.38000000	240.59737969
1516.71000000	241.91540079
1516.96000000	242.39518501
1517.41000000	243.97547420
1517.70000000	244.90771318
1518.17500000	244.30417534
1518.56000000	243.96848252
1519.38000000	242.95440808
1520.49000000	242.31814075
1522.02000000	242.23817788
1522.02000000	242.23817788
1522.02000000	242.23817788
1524.05500000	242.21980252
1527.38000000	242.69383399
1529.07000000	241.48764114
1530.09500000	241.34685892
1530.64500000	241.35402573
1530.96000000	240.60416197
1531.60000000	241.52870311
1531.88000000	241.45391067
1534.38000000	241.28456982
1536.88000000	241.25097859
1536.88000000	241.25097859
1536.88000000	241.25097859
1537.94000000	241.26089017
1538.25000000	241.86313292
1539.48000000	241.99703321
1541.09000000	242.90806652
1541.76000000	243.85253963
1542.10000000	244.09929052
1542.62000000	243.91677693
1545.12000000	244.37055702
1548.79500000	246.74476521
1550.99000000	248.06995250
1553.16000000	248.79297016
1554.33500000	249.45685416
1554.78000000	249.43573605
1554.78000000	249.43573605
1555.23000000	248.84638054
1555.79000000	249.21877193
1555.93500000	249.20966205
1556.08000000	248.92575809
1556.08000000	248.92575809
1556.08000000	248.92575809
1556.54000000	249.59723076
1556.91000000	249.26712192
1557.34000000	248.76764907
1557.63000000	247.79450248
1557.92000000	248.11719998
1561.64000000	249.03776344
1562.02500000	249.89126136
1562.48000000	250.07171294
1565.67000000	248.73090991
1567.77000000	247.54379036
1568.60500000	246.84883552
1569.41000000	246.67251621
1569.41000000	246.67251621
1569.41000000	246.67251621
1570.96000000	247.12924178
1571.97000000	247.51905337
1572.14500000	247.38429041
