DEPTH d	VALUE d
1371.91000000	28.47602788
1377.58000000	27.40150998
1380.43000000	18.86732232
1383.28000000	27.12904754
1384.86000000	24.27059644
1384.86000000	24.27059644
1387.07000000	33.08116771
1388.72000000	40.73600381
1388.72000000	40.73600381
1388.72000000	40.73600381
1391.51000000	46.94392025
1392.62000000	49.07869571
1392.78000000	53.77216836
1392.78000000	53.77216836
1392.78000000	53.77216836
1392.78000000	53.77216836
1392.78000000	53.77216836
1394.21500000	54.78134635
1395.93000000	62.31155483
1396.08500000	58.93535451
1396.24000000	58.71601046
1396.50000000	60.04434391
1396.70000000	63.17678025
1396.90000000	62.02963887
1396.90000000	62.02963887
1396.90000000	62.02963887
1402.23000000	57.63311482
1403.43500000	60.77995413
1403.70000000	57.66869926
1404.69500000	49.31347379
1406.08000000	47.63620110
1412.47500000	45.80314335
1412.47500000	45.80314335
1412.47500000	45.80314335
1412.47500000	45.80314335
1412.47500000	45.80314335
1412.47500000	45.80314335
1412.95000000	43.61512208
1413.59000000	33.53857065
1413.93000000	35.89163228
1414.27000000	33.29791885
1414.34500000	28.60259663
1414.34500000	28.60259663
1414.34500000	28.60259663
1414.34500000	28.60259663
1414.55500000	31.19909098
1422.75000000	42.29808582
1430.29000000	36.23016265
1430.63000000	39.23882745
1431.67000000	52.93075224
1431.83500000	53.05937990
1431.83500000	53.05937990
1431.83500000	53.05937990
1431.83500000	53.05937990
1431.83500000	53.05937990
1431.83500000	53.05937990
1431.83500000	53.05937990
1431.83500000	53.05937990
1431.83500000	53.05937990
1432.00000000	55.07626578
1432.78000000	55.45498129
1434.26000000	44.38855098
1444.12000000	29.78006986
1445.66000000	34.49001208
1446.41000000	33.80491086
1447.45000000	31.40262756
1447.58000000	22.98153256
1447.58000000	22.98153256
1447.86000000	21.52861369
1448.14000000	19.25272822
1448.21500000	20.84319263
1448.29000000	24.20183613
1448.29000000	24.20183613
1448.29000000	24.20183613
1448.29000000	24.20183613
1448.29000000	24.20183613
1448.29000000	24.20183613
1449.86000000	23.89077261
1449.86000000	23.89077261
1449.91000000	20.60355764
1450.72500000	12.93672155
1451.43500000	17.09525385
1455.98000000	26.20799383
1459.43500000	18.42042403
1462.84000000	19.80109152
1462.90000000	16.91072652
1464.16000000	22.71872098
1465.36000000	26.56326100
1465.36000000	26.56326100
1465.64500000	28.84139373
1468.61000000	23.25657253
1469.26500000	18.08790593
1469.26500000	18.08790593
1469.92000000	22.12950628
1469.92000000	22.12950628
1469.92000000	22.12950628
1469.92000000	22.12950628
1474.81000000	23.05829900
1474.81000000	23.05829900
1474.81000000	23.05829900
1475.16000000	35.48277303
1475.16000000	35.48277303
1475.16000000	35.48277303
1475.32000000	38.77223486
1475.48000000	34.59801157
1475.48000000	34.59801157
1475.48000000	34.59801157
1476.85500000	30.71659148
1478.23000000	33.63105821
1487.74000000	24.07066481
1494.07000000	25.25487972
1494.07000000	25.25487972
1494.07000000	25.25487972
1494.38500000	17.51056664
1494.38500000	17.51056664
1494.38500000	17.51056664
1494.38500000	17.51056664
1494.70000000	14.71163014
1494.70000000	14.71163014
1495.18500000	30.29196464
1495.18500000	30.29196464
1495.18500000	30.29196464
1504.02000000	5.26765212
1504.02000000	5.26765212
1504.02000000	5.26765212
1504.02000000	5.26765212
1504.02000000	5.26765212
1504.02000000	5.26765212
1507.40000000	4.86891130
1507.42000000	7.34382826
1507.44000000	9.00569971
1507.44000000	9.00569971
1510.64000000	22.51325521
1510.64000000	22.51325521
1513.84000000	26.22468050
1514.83000000	32.43706374
1514.83000000	32.43706374
1514.83000000	32.43706374
1514.83000000	32.43706374
1517.74000000	18.54835970
1517.74000000	18.54835970
1518.87000000	22.18985489
1520.16000000	41.14030404
1520.16000000	41.14030404
1520.16000000	41.14030404
1520.16000000	41.14030404
1520.16000000	41.14030404
1520.16000000	41.14030404
1524.19000000	48.59010771
1525.21000000	50.51376394
1525.21000000	50.51376394
1525.21000000	50.51376394
1526.23000000	47.62972117
1526.23000000	47.62972117
1533.85000000	53.11242759
1533.99000000	57.27850173
1533.99000000	57.27850173
1533.99000000	57.27850173
1533.99000000	57.27850173
1536.97500000	62.44701158
1536.97500000	62.44701158
1539.96000000	64.47002517
1540.03000000	59.13497827
1540.03000000	59.13497827
1540.10000000	58.57515878
1540.38500000	56.18385641
1540.38500000	56.18385641
1540.38500000	56.18385641
1549.33000000	51.47955451
1549.33000000	51.47955451
1550.06500000	51.46214384
1550.06500000	51.46214384
1550.06500000	51.46214384
1550.06500000	51.46214384
1550.80000000	46.89838676
1553.48000000	46.94763941
1553.48000000	46.94763941
1553.48000000	46.94763941
1555.39000000	47.35193192
1560.64000000	45.00505893
1563.06000000	47.85176526
1563.63000000	43.89422476
1563.98000000	45.79352182
1563.98000000	45.79352182
1564.33000000	45.40112407
1564.75000000	42.48867215
1564.83000000	41.27687449
1565.04000000	43.69180254
1565.74000000	47.97621129
1565.76000000	48.83257405
1566.25000000	48.87339490
1566.25000000	48.87339490
1566.31500000	49.87752511
1566.31500000	49.87752511
1566.31500000	49.87752511
1568.33000000	47.92058809
1568.33000000	47.92058809
1568.33000000	47.92058809
1570.95500000	47.77129740
1572.59000000	50.40557644
1573.24000000	47.04960191
1573.85500000	55.01366062
1573.85500000	55.01366062
1573.85500000	55.01366062
1573.96000000	60.31884982
1574.02000000	65.28325069
1574.08000000	68.64764742
1575.28000000	75.79962316
1583.54000000	70.85137173
1589.56000000	70.63407897
1591.56500000	77.16685300
1591.56500000	77.16685300
1597.82000000	61.21075063
1597.86500000	58.70169808
1597.91000000	57.12917155
1597.96000000	56.13072967
1597.96000000	56.13072967
1597.96000000	56.13072967
1597.96000000	56.13072967
1597.96000000	56.13072967
1598.18500000	54.78511177
1598.18500000	54.78511177
1598.36000000	59.88884244
1598.36000000	59.88884244
1598.90000000	55.30748931
1598.90000000	55.30748931
1598.90000000	55.30748931
1599.89000000	52.55087747
1600.34000000	51.04332805
1600.34000000	51.04332805
1600.34000000	51.04332805
1600.34000000	51.04332805
1605.81000000	44.73638908
1606.70000000	54.68693824
1609.81500000	45.93819518
1612.20000000	45.02063515
1612.20000000	45.02063515
1612.20000000	45.02063515
1612.20000000	45.02063515
1612.20000000	45.02063515
1616.01500000	55.44102677
1616.01500000	55.44102677
1619.71000000	37.02818586
1619.71000000	37.02818586
1622.86000000	26.37528873
1622.86000000	26.37528873
1622.86000000	26.37528873
1627.64500000	19.73899541
1627.64500000	19.73899541
1627.64500000	19.73899541
1627.64500000	19.73899541
1627.64500000	19.73899541
1633.25000000	33.61301225
1633.25000000	33.61301225
1637.22000000	47.61608431
1637.22000000	47.61608431
1637.22000000	47.61608431
1637.22000000	47.61608431
1637.52000000	50.22167575
1637.52000000	50.22167575
1640.61000000	63.44636552
1643.40000000	58.57142424
1643.40000000	58.57142424
1643.40000000	58.57142424
1644.46000000	69.43382333
1644.46000000	69.43382333
1644.46000000	69.43382333
1644.46000000	69.43382333
1644.46000000	69.43382333
1644.46000000	69.43382333
1644.46000000	69.43382333
1644.46000000	69.43382333
1645.58000000	75.30909603
1645.58000000	75.30909603
1645.58000000	75.30909603
1645.58000000	75.30909603
1645.58000000	75.30909603
1645.58000000	75.30909603
1645.64000000	81.87227670
1664.38000000	76.15068458
1664.58000000	65.40053302
1664.58000000	65.40053302
1664.58000000	65.40053302
1664.58000000	65.40053302
1664.58000000	65.40053302
1664.58000000	65.40053302
1664.58000000	65.40053302
1664.58000000	65.40053302
1664.58000000	65.40053302
1664.58000000	65.40053302
1664.58000000	65.40053302
1664.58000000	65.40053302
1664.58000000	65.40053302
1664.58000000	65.40053302
1664.58000000	65.40053302
1664.58000000	65.40053302
1664.58000000	65.40053302
1664.58000000	65.40053302
1674.12500000	56.86953601
1683.67000000	44.36999999
1683.67000000	44.36999999
1686.83000000	82.95249306
1686.83000000	82.95249306
1686.83000000	82.95249306
1686.83000000	82.95249306
1686.83000000	82.95249306
1686.83000000	82.95249306
1686.83000000	82.95249306
1686.83000000	82.95249306
1690.76000000	95.06569763
1690.76000000	95.06569763
1694.69000000	85.72651724
1694.69000000	85.72651724
1694.69000000	85.72651724
1694.69000000	85.72651724
1694.69000000	85.72651724
1694.69000000	85.72651724
1694.69000000	85.72651724
1695.60000000	95.82874985
1695.60000000	95.82874985
1695.60000000	95.82874985
1696.51000000	87.06549979
1696.51000000	87.06549979
1696.51000000	87.06549979
1696.51000000	87.06549979
1696.51000000	87.06549979
1696.51000000	87.06549979
1696.51000000	87.06549979
1704.89000000	63.84155990
1713.27000000	37.00895240
1713.27000000	37.00895240
1713.27000000	6.61999999
1717.23000000	17.56748183
1717.23000000	17.56748183
1717.23000000	17.56748183
1717.23000000	17.56748183
1717.23000000	17.56748183
1717.23000000	17.56748183
1717.23000000	17.56748183
1717.23000000	17.56748183
1721.49500000	50.70050182
1721.49500000	50.70050182
1721.49500000	50.70050182
1721.49500000	50.70050182
1721.49500000	50.70050182
1721.49500000	50.70050182
1721.49500000	50.70050182
1721.49500000	50.70050182
1725.76000000	87.91388264
1725.76000000	87.91388264
1730.53000000	54.40086351
1730.53000000	54.40086351
1736.64500000	62.31071975
1736.64500000	62.31071975
1736.64500000	62.31071975
1736.64500000	62.31071975
1736.64500000	62.31071975
1736.64500000	62.31071975
1736.64500000	62.31071975
1736.64500000	62.31071975
1737.99000000	34.29497071
1737.99000000	34.29497071
1737.99000000	34.29497071
1737.99000000	34.29497071
1737.99000000	34.29497071
1737.99000000	34.29497071
1737.99000000	34.29497071
1737.99000000	34.29497071
1737.99000000	34.29497071
1737.99000000	34.29497071
1737.99000000	62.06999999
1762.91000000	8.94999999
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1763.36000000	359.38282744
1784.56000000	7.41245472
1784.56000000	7.41245472
1784.56000000	7.41245472
1784.99000000	22.24807066
1784.99000000	22.24807066
1784.99000000	22.24807066
1784.99000000	22.24807066
1784.99000000	22.24807066
