DEPTH d	VALUE d
1376.34000000	0.00469117
1385.25500000	0.13367326
1385.70000000	0.00000000
1385.70000000	0.00000000
1385.70000000	0.04391433
1385.89000000	0.00000000
1385.98500000	0.00000000
1385.98500000	0.00000000
1386.08000000	0.16708763
1386.24500000	0.00000000
1386.24500000	0.11878338
1386.51000000	0.00000000
1386.61000000	0.32418551
1386.73500000	0.28308365
1386.86000000	0.00000000
1386.86000000	0.00000000
1386.86000000	0.00000000
1386.94000000	0.00000000
1387.02000000	0.00090725
1390.33000000	0.00026852
1396.97000000	0.00938159
1399.27000000	0.01786625
1403.81000000	0.01453608
1404.03000000	0.00000000
1404.03000000	0.09439207
1404.25000000	0.00000000
1404.25000000	0.02070033
1404.52000000	0.32342367
1404.79000000	0.09894688
1405.22000000	0.00000000
1405.22000000	0.00000000
1405.22000000	0.08561015
1405.52000000	0.01028971
1408.17000000	0.02266197
1410.41000000	0.00000000
1410.41000000	0.00000000
1410.41000000	0.00000000
1410.41000000	0.02283082
1412.65000000	0.04794647
1412.95000000	0.00015374
1414.70000000	0.00000000
1414.70000000	0.00000000
1414.70000000	0.00000000
1414.79000000	0.00000000
1414.79000000	0.00059235
1416.44500000	0.02955990
1421.83000000	0.00970587
1425.56000000	0.06080498
1428.00000000	0.06447189
1430.76500000	0.00000000
1430.76500000	0.00000000
1430.76500000	0.00000000
1430.76500000	0.18756199
1431.09000000	0.00000000
1431.09000000	0.00000000
1431.09000000	0.00000000
1431.09000000	0.00000000
1431.09000000	0.00000000
1431.09000000	0.00000000
1431.09000000	0.30367506
1431.38000000	0.77374314
1431.67000000	0.01648093
1438.80000000	0.00000000
1438.80000000	0.00000000
1438.80000000	0.00538933
1446.82000000	0.06229984
1450.78000000	0.00000000
1450.78000000	0.00000000
1450.78000000	0.00000000
1450.78000000	0.26841261
1450.95000000	0.27334173
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.02335326
1453.48000000	0.00000000
1453.48000000	0.00217079
1455.84000000	0.00259414
1463.60500000	0.03784861
1464.70000000	0.00000000
1464.79000000	0.00000000
1464.88000000	0.00000000
1464.88000000	0.07175546
1465.05000000	0.03417691
1465.29000000	0.00000000
1465.29000000	0.00000000
1465.29000000	0.00000000
1465.29000000	0.03817901
1465.53000000	0.08359621
1465.83000000	0.00000000
1465.83000000	0.00000000
1465.83000000	0.00000000
1465.83000000	0.00000000
1465.83000000	0.00000000
1465.83000000	0.01917217
1467.23500000	0.00000000
1467.23500000	0.00242404
1468.64000000	0.00579187
1477.80500000	0.00000000
1477.80500000	0.00000000
1477.80500000	0.01919240
1479.57000000	0.00000000
1479.57000000	0.52120613
1479.70000000	0.00000000
1479.70000000	0.00000000
1479.70000000	0.76870864
1479.83000000	0.01874692
1486.55000000	0.00000000
1486.55000000	0.00209757
1493.27000000	0.00000000
1493.27000000	0.00000000
1493.27000000	0.20380026
1494.66000000	0.00000000
1494.66000000	0.00000000
1494.66000000	0.00000000
1494.66000000	0.00000000
1494.66000000	0.01569984
1504.15000000	0.00000000
1504.15000000	0.00000000
1504.15000000	0.00000000
1504.16000000	0.00000000
1504.19500000	0.00000000
1504.23000000	0.00000000
1504.23000000	0.00000000
1504.23000000	0.00000000
1504.23000000	0.01351585
1505.56500000	0.04783032
1506.90000000	0.04456974
1507.40500000	0.00190719
1507.91000000	0.00000000
1507.91000000	0.00000000
1507.91000000	0.00000000
1507.91000000	0.00000000
1507.91000000	0.00000000
1507.91000000	0.00438544
1508.83500000	0.00000000
1508.83500000	0.00279576
1515.71500000	0.00000000
1515.71500000	0.00000000
1515.71500000	0.09013917
1516.06000000	0.00766666
1519.12000000	0.00455491
1522.18000000	0.00000000
1522.18000000	0.00000000
1522.18000000	0.00000000
1522.18000000	0.00000000
1522.18000000	0.00000000
1522.18000000	0.03800211
1523.19000000	0.00708019
1524.20000000	0.00000000
1524.20000000	0.00000000
1524.20000000	0.00000000
1524.20000000	0.00000000
1524.20000000	0.00922798
1541.05000000	0.00000000
1541.08000000	0.00000000
1541.08000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
