DEPTH d	VALUE d
1376.34000000	0.00523175
1385.25500000	0.08715181
1385.70000000	0.00000000
1385.70000000	0.00000000
1385.70000000	0.04423133
1385.89000000	0.00000000
1385.98500000	0.00000000
1385.98500000	0.00000000
1386.08000000	0.15561152
1386.24500000	0.00000000
1386.24500000	0.19014837
1386.51000000	0.00000000
1386.61000000	0.23148690
1386.73500000	0.03890993
1386.86000000	0.00000000
1386.86000000	0.00000000
1386.86000000	0.00000000
1386.94000000	0.00000000
1387.02000000	0.00029476
1390.33000000	0.00061161
1396.97000000	0.00977159
1399.27000000	0.00448379
1403.81000000	0.07293051
1404.03000000	0.00000000
1404.03000000	0.01985767
1404.25000000	0.00000000
1404.25000000	0.07575442
1404.52000000	0.02196248
1404.79000000	0.02594234
1405.22000000	0.00000000
1405.22000000	0.00000000
1405.22000000	0.11809726
1405.52000000	0.02327236
1408.17000000	0.00083100
1410.41000000	0.00000000
1410.41000000	0.00000000
1410.41000000	0.00000000
1410.41000000	0.00720392
1412.65000000	0.01429819
1412.95000000	0.03746028
1414.70000000	0.00000000
1414.70000000	0.00000000
1414.70000000	0.00000000
1414.79000000	0.00000000
1414.79000000	0.03204381
1416.44500000	0.00500593
1421.83000000	0.00690899
1425.56000000	0.00224682
1428.00000000	0.00820688
1430.76500000	0.00000000
1430.76500000	0.00000000
1430.76500000	0.00000000
1430.76500000	0.27527488
1431.09000000	0.00000000
1431.09000000	0.00000000
1431.09000000	0.00000000
1431.09000000	0.00000000
1431.09000000	0.00000000
1431.09000000	0.00000000
1431.09000000	0.35792335
1431.38000000	0.10137227
1431.67000000	0.00133437
1438.80000000	0.00000000
1438.80000000	0.00000000
1438.80000000	0.01107502
1446.82000000	0.03123021
1450.78000000	0.00000000
1450.78000000	0.00000000
1450.78000000	0.00000000
1450.78000000	0.19710641
1450.95000000	0.25852245
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00788483
1453.48000000	0.00000000
1453.48000000	0.00827284
1455.84000000	0.00066685
1463.60500000	0.02523386
1464.70000000	0.00000000
1464.79000000	0.00000000
1464.88000000	0.00000000
1464.88000000	0.03356790
1465.05000000	0.09392027
1465.29000000	0.00000000
1465.29000000	0.00000000
1465.29000000	0.00000000
1465.29000000	0.08632203
1465.53000000	0.19712184
1465.83000000	0.00000000
1465.83000000	0.00000000
1465.83000000	0.00000000
1465.83000000	0.00000000
1465.83000000	0.00000000
1465.83000000	0.00911580
1467.23500000	0.00000000
1467.23500000	0.00866357
1468.64000000	0.00172440
1477.80500000	0.00000000
1477.80500000	0.00000000
1477.80500000	0.05381554
1479.57000000	0.00000000
1479.57000000	1.00000000
1479.70000000	0.00000000
1479.70000000	0.00000000
1479.70000000	0.76426030
1479.83000000	0.00680308
1486.55000000	0.00000000
1486.55000000	0.01271461
1493.27000000	0.00000000
1493.27000000	0.00000000
1493.27000000	0.05161697
1494.66000000	0.00000000
1494.66000000	0.00000000
1494.66000000	0.00000000
1494.66000000	0.00000000
1494.66000000	0.00516267
1504.15000000	0.00000000
1504.15000000	0.00000000
1504.15000000	0.00000000
1504.16000000	0.00000000
1504.19500000	0.00000000
1504.23000000	0.00000000
1504.23000000	0.00000000
1504.23000000	0.00000000
1504.23000000	0.01908432
1505.56500000	0.03235427
1506.90000000	0.07270482
1507.40500000	0.00396102
1507.91000000	0.00000000
1507.91000000	0.00000000
1507.91000000	0.00000000
1507.91000000	0.00000000
1507.91000000	0.00000000
1507.91000000	0.01082844
1508.83500000	0.00000000
1508.83500000	0.00984609
1515.71500000	0.00000000
1515.71500000	0.00000000
1515.71500000	0.01816715
1516.06000000	0.00294674
1519.12000000	0.01174581
1522.18000000	0.00000000
1522.18000000	0.00000000
1522.18000000	0.00000000
1522.18000000	0.00000000
1522.18000000	0.00000000
1522.18000000	0.05014928
1523.19000000	0.00938907
1524.20000000	0.00000000
1524.20000000	0.00000000
1524.20000000	0.00000000
1524.20000000	0.00000000
1524.20000000	0.00851790
1541.05000000	0.00000000
1541.08000000	0.00000000
1541.08000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00000000
1541.11000000	0.00137866
1548.69500000	0.00970900
1556.28000000	0.00000000
1556.28000000	0.00000000
1556.28000000	0.03749010
1556.98000000	0.12540480
1558.98000000	0.00000000
1558.98000000	0.00000000
1558.98000000	0.03160338
1562.32500000	0.02974511
1564.54000000	0.08879497
1564.97000000	0.00000000
1564.97000000	0.07624921
1565.23000000	0.00000000
1565.23000000	0.00000000
1565.23000000	0.00000000
1565.23000000	0.00422222
1565.35000000	0.00000000
1565.35000000	0.08874373
1565.67500000	0.00000000
1565.67500000	0.08736385
1565.88000000	0.00000000
1565.96500000	0.00000000
1565.96500000	0.00000000
1565.96500000	0.00000000
1566.05000000	0.00000000
1566.05000000	0.00000000
1566.05000000	0.00000000
1566.05000000	0.00539341
1568.31000000	0.00600515
1572.65000000	0.05062849
1574.45000000	0.00000000
1574.45000000	0.05577785
1574.62500000	0.00000000
1574.62500000	0.29992648
1574.80000000	0.00000000
1574.80000000	0.00464471
1582.64500000	0.01029889
1590.49000000	0.04092758
1594.00000000	0.00000000
1594.09500000	0.00000000
1594.09500000	0.00000000
1594.19000000	0.00000000
1594.19000000	0.05651521
1595.66000000	0.05831736
1596.30500000	0.05534907
1596.95000000	0.00000000
1596.95000000	0.00000000
1596.95000000	0.00000000
1596.95000000	0.00000000
1596.95000000	0.00672340
1598.08000000	0.00000000
1598.08000000	0.01580374
1599.21000000	0.00000000
1599.21000000	0.07932188
1599.61000000	0.00921370
1600.70000000	0.00232986
1603.98500000	0.00369006
1606.51000000	0.00590729
1607.93000000	0.01322794
1609.97000000	0.00000000
1609.97000000	0.00828181
1610.55500000	0.03253846
1611.14000000	0.07778021
1611.54000000	0.00000000
1611.61000000	0.00000000
1611.68000000	0.00000000
1611.68000000	0.02069117
1612.04500000	0.00000000
1612.04500000	0.00000000
1612.04500000	0.03795188
1612.41000000	0.21191257
1612.78000000	0.01457692
1614.11500000	0.00119075
1616.76500000	0.02337978
1618.08000000	0.00120264
1625.56500000	0.00593453
1627.74500000	0.00000000
1627.74500000	0.00000000
1627.74500000	0.02807826
1628.57500000	0.01625686
1629.36000000	0.00000000
1629.36000000	0.00000000
1629.42500000	0.00000000
1629.42500000	0.00000000
1629.42500000	0.00000000
1629.42500000	0.00000000
1629.42500000	0.00000000
1629.49000000	0.00000000
1629.49000000	0.02175825
1632.59000000	0.00000000
1632.59000000	0.03816917
1636.12000000	0.00000000
1636.12000000	0.00208157
1641.13500000	0.00000000
1641.13500000	0.00000000
1641.13500000	0.00000000
1641.13500000	0.00000000
1641.13500000	0.00000000
1641.13500000	0.00298535
1645.72000000	0.00000000
1645.72000000	0.00000000
1645.72000000	0.00000000
1645.72000000	0.00000000
1645.72000000	0.00000000
1645.72000000	0.00000000
1645.72000000	0.00000000
1645.72000000	0.00897868
1663.63000000	0.09139714
1664.21000000	0.11298124
1665.13000000	0.00000000
1665.13000000	0.00000000
1665.13000000	0.00000000
1665.13000000	0.00000000
1665.13000000	0.00000000
1665.13000000	0.00000000
1665.13000000	0.00000000
1665.13000000	0.00000000
1665.13000000	0.00000000
1665.13000000	0.00000000
1665.13000000	0.00000000
1665.13000000	0.00000000
1665.13000000	0.00000000
1665.13000000	0.00000000
1665.13000000	0.00000000
1665.13000000	0.00000000
1665.13000000	0.00000000
1665.13000000	0.29509803
1665.39000000	0.00357747
1674.51500000	0.01412440
1683.64000000	0.07526308
1686.83000000	0.00000000
1686.83000000	0.00000000
1686.83000000	0.14426032
1687.89000000	0.00000000
1687.89000000	0.00000000
1687.89000000	0.00000000
1687.89000000	0.00000000
1687.89000000	0.02368312
1691.82000000	0.00000000
1691.82000000	0.00000000
1691.82000000	0.00000000
1691.82000000	0.00000000
1691.82000000	0.00000000
1691.82000000	0.00000000
1691.82000000	0.00000000
1691.82000000	0.00000000
1691.82000000	0.02053038
1694.69000000	0.00000000
1694.69000000	0.00000000
1694.69000000	0.00000000
1694.71500000	0.00000000
1694.71500000	0.00000000
1694.71500000	0.00000000
1694.74000000	0.00000000
1694.74000000	0.00000000
1694.74000000	0.00000000
1694.74000000	0.00000000
1717.25000000	0.00000000
1717.25000000	0.00000000
1717.25000000	0.00000000
1717.25000000	0.00000000
1717.25000000	0.00000000
1717.25000000	0.00000000
1717.25000000	0.00000000
1717.25000000	0.02522813
1721.50500000	0.00000000
1721.50500000	0.00000000
1721.50500000	0.00000000
1721.50500000	0.00000000
1721.50500000	0.00000000
1721.50500000	0.00000000
1721.50500000	0.02435895
1725.76000000	0.00000000
1725.76000000	0.00040527
1729.09000000	0.00000000
1729.09000000	0.00230349
1732.42000000	0.01952995
1735.47500000	0.00000000
1735.47500000	0.00000000
1735.47500000	0.00000000
1735.47500000	0.00000000
1735.47500000	0.00272920
1736.73500000	0.00000000
1736.73500000	0.00000000
1736.73500000	0.04861214
1737.05000000	0.00000000
1737.05000000	0.00000000
1737.05000000	0.00000000
1737.05000000	0.00000000
1737.05000000	0.00000000
1737.05000000	0.00000000
1737.05000000	0.01900633
1739.55500000	0.00000000
1739.55500000	0.00209274
1742.06000000	0.00000000
1742.06000000	0.04754239
1742.41000000	0.18268178
1742.76000000	0.02351789
1750.60000000	0.01626666
1758.44000000	0.00000000
1758.44000000	0.00000000
1758.44000000	0.10798447
1759.02000000	0.05025156
1763.54000000	0.00000000
1763.54000000	0.00000000
1763.54000000	0.00000000
1763.54000000	0.00000000
1763.54000000	0.00000000
1763.54000000	0.00000000
1763.54000000	0.74015608
1763.65500000	0.00000000
1763.65500000	0.00000000
1763.65500000	0.00000000
1763.65500000	0.00000000
1763.65500000	0.00000000
1763.65500000	0.00000000
1763.65500000	0.20151678
1763.77000000	0.01096472
1767.11000000	0.03405363
1770.45000000	0.00000000
1770.45000000	0.02051960
1774.12500000	0.00984431
1779.80500000	0.04247100
1782.78000000	0.00000000
1782.78000000	0.00000000
1782.78000000	0.00000000
1782.78000000	0.00000000
1782.78000000	0.00000000
1782.78000000	0.00000000
1782.78000000	0.29628037
1782.90000000	0.00000000
1782.90000000	0.00000000
1782.90000000	0.00000000
1782.90000000	0.00000000
1782.92500000	0.00000000
1782.92500000	0.00000000
1782.92500000	0.00000000
1782.95000000	0.00000000
1782.95000000	0.00000000
1782.95000000	0.00000000
1782.95000000	0.00000000
1782.97500000	0.71858244
1783.13500000	0.01977695
1794.54000000	0.00000000
1794.54000000	0.00000000
1794.54000000	0.00000000
1794.54000000	0.00000000
1794.54000000	0.00000000
1794.54000000	0.00000000
1794.54000000	0.00000000
1794.54000000	0.00000000
1794.54000000	0.00000000
1794.54000000	0.00000000
1794.54000000	0.00836726
