DEPTH d	VALUE d
1371.91000000	285.59800850
1377.58000000	283.36890875
1380.43000000	290.14711665
1383.28000000	290.97157590
1384.86000000	290.90472973
1384.86000000	290.90472973
1387.07000000	286.91700597
1388.72000000	275.95367909
1388.72000000	275.95367909
1388.72000000	275.95367909
1391.51000000	272.20477117
1392.62000000	268.97133000
1392.78000000	261.27880218
1392.78000000	261.27880218
1392.78000000	261.27880218
1392.78000000	261.27880218
1392.78000000	261.27880218
1394.21500000	260.53549866
1395.93000000	254.11527111
1396.08500000	258.52907746
1396.24000000	258.63016247
1396.50000000	259.35910050
1396.70000000	253.24245104
1396.90000000	254.42637663
1396.90000000	254.42637663
1396.90000000	254.42637663
1402.23000000	260.38219524
1403.43500000	258.16171219
1403.70000000	262.37116920
1404.69500000	271.80535239
1406.08000000	271.98133374
1412.47500000	275.06587956
1412.47500000	275.06587956
1412.47500000	275.06587956
1412.47500000	275.06587956
1412.47500000	275.06587956
1412.47500000	275.06587956
1412.95000000	276.97633876
1413.59000000	286.21249635
1413.93000000	284.17034592
1414.27000000	287.97066309
1414.34500000	288.61530161
1414.34500000	288.61530161
1414.34500000	288.61530161
1414.34500000	288.61530161
1414.55500000	288.50780286
1422.75000000	280.69118567
1430.29000000	287.84313491
1430.63000000	282.41201130
1431.67000000	268.23592574
1431.83500000	271.04290548
1431.83500000	271.04290548
1431.83500000	271.04290548
1431.83500000	271.04290548
1431.83500000	271.04290548
1431.83500000	271.04290548
1431.83500000	271.04290548
1431.83500000	271.04290548
1431.83500000	271.04290548
1432.00000000	268.17445524
1432.78000000	267.04255506
1434.26000000	285.42499152
1444.12000000	301.77476301
1445.66000000	294.85452920
1446.41000000	296.01690885
1447.45000000	293.25576727
1447.58000000	290.52190657
1447.58000000	290.52190657
1447.86000000	292.42079782
1448.14000000	293.24791470
1448.21500000	291.08124349
1448.29000000	290.31701693
1448.29000000	290.31701693
1448.29000000	290.31701693
1448.29000000	290.31701693
1448.29000000	290.31701693
1448.29000000	290.31701693
1449.86000000	286.49458907
1449.86000000	286.49458907
1449.91000000	287.07271990
1450.72500000	292.18770075
1451.43500000	288.14911787
1455.98000000	278.89438033
1459.43500000	281.19174739
1462.84000000	276.87730127
1462.90000000	279.38359073
1464.16000000	278.50732754
1465.36000000	276.57651297
1465.36000000	276.57651297
1465.64500000	274.27410413
1468.61000000	279.17263380
1469.26500000	280.23501964
1469.26500000	280.23501964
1469.92000000	278.38217195
1469.92000000	278.38217195
1469.92000000	278.38217195
1469.92000000	278.38217195
1474.81000000	279.43742364
1474.81000000	279.43742364
1474.81000000	279.43742364
1475.16000000	266.75409413
1475.16000000	266.75409413
1475.16000000	266.75409413
1475.32000000	266.68277971
1475.48000000	268.21853089
1475.48000000	268.21853089
1475.48000000	268.21853089
1476.85500000	269.91567383
1478.23000000	266.96162037
1487.74000000	274.22296492
1494.07000000	273.86855636
1494.07000000	273.86855636
1494.07000000	273.86855636
1494.38500000	276.41773594
1494.38500000	276.41773594
1494.38500000	276.41773594
1494.38500000	276.41773594
1494.70000000	280.10635209
1494.70000000	280.10635209
1495.18500000	279.41435557
1495.18500000	279.41435557
1495.18500000	279.41435557
1504.02000000	290.70713265
1504.02000000	290.70713265
1504.02000000	290.70713265
1504.02000000	290.70713265
1504.02000000	290.70713265
1504.02000000	290.70713265
1507.40000000	290.39238756
1507.42000000	287.56887468
1507.44000000	284.37583757
1507.44000000	284.37583757
1510.64000000	282.67134751
1510.64000000	282.67134751
1513.84000000	278.15141144
1514.83000000	273.99286812
1514.83000000	273.99286812
1514.83000000	273.99286812
1514.83000000	273.99286812
1517.74000000	279.47098998
1517.74000000	279.47098998
1518.87000000	277.14990353
1520.16000000	263.54962769
1520.16000000	263.54962769
1520.16000000	263.54962769
1520.16000000	263.54962769
1520.16000000	263.54962769
1520.16000000	263.54962769
1524.19000000	268.75144310
1525.21000000	265.97391465
1525.21000000	265.97391465
1525.21000000	265.97391465
1526.23000000	268.56723355
1526.23000000	268.56723355
1533.85000000	265.62923587
1533.99000000	268.57984281
1533.99000000	268.57984281
1533.99000000	268.57984281
1533.99000000	268.57984281
1536.97500000	256.42423713
1536.97500000	256.42423713
1539.96000000	254.02102554
1540.03000000	268.35031238
1540.03000000	268.35031238
1540.10000000	266.07022962
1540.38500000	271.20429929
1540.38500000	271.20429929
1540.38500000	271.20429929
1549.33000000	266.82353317
1549.33000000	266.82353317
1550.06500000	268.53521644
1550.06500000	268.53521644
1550.06500000	268.53521644
1550.06500000	268.53521644
1550.80000000	268.98835478
1553.48000000	281.67652792
1553.48000000	281.67652792
1553.48000000	281.67652792
1555.39000000	278.49838041
1560.64000000	276.40970365
1563.06000000	270.99612898
1563.63000000	272.75891483
1563.98000000	271.25777792
1563.98000000	271.25777792
1564.33000000	272.80960143
1564.75000000	271.37972682
1564.83000000	272.48767592
1565.04000000	274.10914864
1565.74000000	272.83230552
1565.76000000	271.34677188
1566.25000000	270.42654611
1566.25000000	270.42654611
1566.31500000	269.46479426
1566.31500000	269.46479426
1566.31500000	269.46479426
1568.33000000	263.14844726
1568.33000000	263.14844726
1568.33000000	263.14844726
1570.95500000	262.89605969
1572.59000000	262.68638652
1573.24000000	266.11154652
1573.85500000	262.97036214
1573.85500000	262.97036214
1573.85500000	262.97036214
1573.96000000	262.14466687
1574.02000000	261.33211724
1574.08000000	257.49912002
1575.28000000	246.43898856
1583.54000000	245.34479393
1589.56000000	243.87254515
1591.56500000	233.02132493
1591.56500000	233.02132493
1597.82000000	238.36897812
1597.86500000	239.66123110
1597.91000000	239.68556552
1597.96000000	239.09791044
1597.96000000	239.09791044
1597.96000000	239.09791044
1597.96000000	239.09791044
1597.96000000	239.09791044
1598.18500000	244.87624970
1598.18500000	244.87624970
1598.36000000	243.11138352
1598.36000000	243.11138352
1598.90000000	246.35182294
1598.90000000	246.35182294
1598.90000000	246.35182294
1599.89000000	251.16440459
1600.34000000	252.27804455
1600.34000000	252.27804455
1600.34000000	252.27804455
1600.34000000	252.27804455
1605.81000000	256.62801232
1606.70000000	255.27181125
1609.81500000	272.37524519
1612.20000000	278.94846121
1612.20000000	278.94846121
1612.20000000	278.94846121
1612.20000000	278.94846121
1612.20000000	278.94846121
1616.01500000	268.76840155
1616.01500000	268.76840155
1619.71000000	280.83507711
1619.71000000	280.83507711
1622.86000000	292.20380531
1622.86000000	292.20380531
1622.86000000	292.20380531
1627.64500000	314.10175347
1627.64500000	314.10175347
1627.64500000	314.10175347
1627.64500000	314.10175347
1627.64500000	314.10175347
1633.25000000	276.68991201
1633.25000000	276.68991201
1637.22000000	255.27880861
1637.22000000	255.27880861
1637.22000000	255.27880861
1637.22000000	255.27880861
1637.52000000	251.51796173
1637.52000000	251.51796173
1640.61000000	239.96704295
1643.40000000	246.66797857
1643.40000000	246.66797857
1643.40000000	246.66797857
1644.46000000	229.08935266
1644.46000000	229.08935266
1644.46000000	229.08935266
1644.46000000	229.08935266
1644.46000000	229.08935266
1644.46000000	229.08935266
1644.46000000	229.08935266
1644.46000000	229.08935266
1645.58000000	216.71645644
1645.58000000	216.71645644
1645.58000000	216.71645644
1645.58000000	216.71645644
1645.58000000	216.71645644
1645.58000000	216.71645644
1645.64000000	200.68616920
1664.38000000	221.19082660
1664.58000000	237.45693526
1664.58000000	237.45693526
1664.58000000	237.45693526
1664.58000000	237.45693526
1664.58000000	237.45693526
1664.58000000	237.45693526
1664.58000000	237.45693526
1664.58000000	237.45693526
1664.58000000	237.45693526
1664.58000000	237.45693526
1664.58000000	237.45693526
1664.58000000	237.45693526
1664.58000000	237.45693526
1664.58000000	237.45693526
1664.58000000	237.45693526
1664.58000000	237.45693526
1664.58000000	237.45693526
1664.58000000	237.45693526
1674.12500000	242.25839096
1683.67000000	241.37356574
1683.67000000	241.37356574
1686.83000000	220.92705724
1686.83000000	220.92705724
1686.83000000	220.92705724
1686.83000000	220.92705724
1686.83000000	220.92705724
1686.83000000	220.92705724
1686.83000000	220.92705724
1686.83000000	220.92705724
1690.76000000	208.33589982
1690.76000000	208.33589982
1694.69000000	208.49355404
1694.69000000	208.49355404
1694.69000000	208.49355404
1694.69000000	208.49355404
1694.69000000	208.49355404
1694.69000000	208.49355404
1694.69000000	208.49355404
1695.60000000	189.32152127
1695.60000000	189.32152127
1695.60000000	189.32152127
1696.51000000	192.88509588
1696.51000000	192.88509588
1696.51000000	192.88509588
1696.51000000	192.88509588
1696.51000000	192.88509588
1696.51000000	192.88509588
1696.51000000	192.88509588
1704.89000000	239.77881180
1713.27000000	281.71177446
1713.27000000	281.71177446
1713.27000000	285.03459956
1717.23000000	271.07015251
1717.23000000	271.07015251
1717.23000000	271.07015251
1717.23000000	271.07015251
1717.23000000	271.07015251
1717.23000000	271.07015251
1717.23000000	271.07015251
1717.23000000	271.07015251
1721.49500000	254.38861587
1721.49500000	254.38861587
1721.49500000	254.38861587
1721.49500000	254.38861587
1721.49500000	254.38861587
1721.49500000	254.38861587
1721.49500000	254.38861587
1721.49500000	254.38861587
1725.76000000	224.18059096
1725.76000000	224.18059096
1730.53000000	248.34621628
1730.53000000	248.34621628
1736.64500000	240.91978488
1736.64500000	240.91978488
1736.64500000	240.91978488
1736.64500000	240.91978488
1736.64500000	240.91978488
1736.64500000	240.91978488
1736.64500000	240.91978488
1736.64500000	240.91978488
1737.99000000	261.47198114
1737.99000000	261.47198114
1737.99000000	261.47198114
1737.99000000	261.47198114
1737.99000000	261.47198114
1737.99000000	261.47198114
1737.99000000	261.47198114
1737.99000000	261.47198114
1737.99000000	261.47198114
1737.99000000	261.47198114
1737.99000000	219.66965041
1762.91000000	268.56621642
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1763.36000000	274.42715534
1784.56000000	275.47358231
1784.56000000	275.47358231
1784.56000000	275.47358231
1784.99000000	267.46807559
1784.99000000	267.46807559
1784.99000000	267.46807559
1784.99000000	267.46807559
1784.99000000	267.46807559
