DEPTH d	VALUE d
1376.34000000	0.00275744
1385.25500000	0.09039158
1385.70000000	0.00000000
1385.70000000	0.00000000
1385.70000000	0.02266300
1385.89000000	0.00000000
1385.98500000	0.00000000
1385.98500000	0.00000000
1386.08000000	0.20851583
1386.24500000	0.00000000
1386.24500000	0.02410704
1386.51000000	0.00000000
1386.61000000	0.17602037
1386.73500000	0.26048358
1386.86000000	0.00000000
1386.86000000	0.00000000
1386.86000000	0.00000000
1386.94000000	0.00000000
1387.02000000	0.00091148
1390.33000000	0.00051488
1396.97000000	0.01261047
1399.27000000	0.01294716
1403.81000000	0.04190165
1404.03000000	0.00000000
1404.03000000	0.07244810
1404.25000000	0.00000000
1404.25000000	0.04714127
1404.52000000	0.26234959
1404.79000000	0.07209914
1405.22000000	0.00000000
1405.22000000	0.00000000
1405.22000000	0.12123547
1405.52000000	0.00142794
1408.17000000	0.01941666
1410.41000000	0.00000000
1410.41000000	0.00000000
1410.41000000	0.00000000
1410.41000000	0.01574694
1412.65000000	0.04702830
1412.95000000	0.01928479
1414.70000000	0.00000000
1414.70000000	0.00000000
1414.70000000	0.00000000
1414.79000000	0.00000000
1414.79000000	0.02022791
1416.44500000	0.02734139
1421.83000000	0.01243411
1425.56000000	0.05315183
1428.00000000	0.04986699
1430.76500000	0.00000000
1430.76500000	0.00000000
1430.76500000	0.00000000
1430.76500000	0.32776362
1431.09000000	0.00000000
1431.09000000	0.00000000
1431.09000000	0.00000000
1431.09000000	0.00000000
1431.09000000	0.00000000
1431.09000000	0.00000000
1431.09000000	0.45398841
1431.38000000	0.69764606
1431.67000000	0.01610739
1438.80000000	0.00000000
1438.80000000	0.00000000
1438.80000000	0.00060660
1446.82000000	0.07089110
1450.78000000	0.00000000
1450.78000000	0.00000000
1450.78000000	0.00000000
1450.78000000	0.13331587
1450.95000000	0.34979776
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.02332196
1453.48000000	0.00000000
1453.48000000	0.00233906
1455.84000000	0.00182135
1463.60500000	0.01776651
1464.70000000	0.00000000
1464.79000000	0.00000000
1464.88000000	0.00000000
1464.88000000	0.07609079
1465.05000000	0.08152793
1465.29000000	0.00000000
1465.29000000	0.00000000
1465.29000000	0.00000000
1465.29000000	0.02066023
1465.53000000	0.17776152
1465.83000000	0.00000000
1465.83000000	0.00000000
1465.83000000	0.00000000
1465.83000000	0.00000000
1465.83000000	0.00000000
1465.83000000	0.02081282
1467.23500000	0.00000000
1467.23500000	0.00258358
1468.64000000	0.00385427
1477.80500000	0.00000000
1477.80500000	0.00000000
1477.80500000	0.04392178
1479.57000000	0.00000000
1479.57000000	0.87082585
1479.70000000	0.00000000
1479.70000000	0.00000000
1479.70000000	0.99114783
1479.83000000	0.01442071
1486.55000000	0.00000000
