DEPTH d	VALUE d
1371.91000000	0.00425358
1377.58000000	0.00774130
1380.43000000	0.00313589
1383.28000000	0.00705811
1384.86000000	0.00000000
1384.86000000	0.00264807
1387.07000000	0.02928309
1388.72000000	0.00000000
1388.72000000	0.00000000
1388.72000000	0.00720822
1391.51000000	0.03491250
1392.62000000	0.03389821
1392.78000000	0.00000000
1392.78000000	0.00000000
1392.78000000	0.00000000
1392.78000000	0.00000000
1392.78000000	0.00175204
1394.21500000	0.00606552
1395.93000000	0.05150494
1396.08500000	0.02045993
1396.24000000	0.13122889
1396.50000000	0.04950478
1396.70000000	0.04616239
1396.90000000	0.00000000
1396.90000000	0.00000000
1396.90000000	0.00187731
1402.23000000	0.02185115
1403.43500000	0.00254233
1403.70000000	0.01707528
1404.69500000	0.00359401
1406.08000000	0.00297842
1412.47500000	0.00000000
1412.47500000	0.00000000
1412.47500000	0.00000000
1412.47500000	0.00000000
1412.47500000	0.00000000
1412.47500000	0.00242086
1412.95000000	0.05282303
1413.59000000	0.01531431
1413.93000000	0.06346753
1414.27000000	0.00000000
1414.34500000	0.00000000
1414.34500000	0.00000000
1414.34500000	0.00000000
1414.34500000	0.00024453
1414.55500000	0.00019161
1422.75000000	0.00261402
1430.29000000	0.07963803
1430.63000000	0.03240743
1431.67000000	0.11323134
1431.83500000	0.00000000
1431.83500000	0.00000000
1431.83500000	0.00000000
1431.83500000	0.00000000
1431.83500000	0.00000000
1431.83500000	0.00000000
1431.83500000	0.00000000
1431.83500000	0.00000000
1431.83500000	0.07776851
1432.00000000	0.01343475
1432.78000000	0.01015084
1434.26000000	0.00011825
1444.12000000	0.01683795
1445.66000000	0.00490147
1446.41000000	0.02211973
1447.45000000	0.11576463
1447.58000000	0.00000000
1447.58000000	0.03417665
1447.86000000	0.01617479
1448.14000000	0.00000000
1448.21500000	0.00000000
1448.29000000	0.00000000
1448.29000000	0.00000000
1448.29000000	0.00000000
1448.29000000	0.00000000
1448.29000000	0.00000000
1448.29000000	0.01860024
1449.86000000	0.00000000
1449.86000000	0.00000000
1449.91000000	0.04013463
1450.72500000	0.03729119
1451.43500000	0.00932078
1455.98000000	0.00285721
1459.43500000	0.00675961
1462.84000000	0.00000000
1462.90000000	0.00440175
1464.16000000	0.00243014
1465.36000000	0.00000000
1465.36000000	0.04200799
1465.64500000	0.00513101
1468.61000000	0.00133229
1469.26500000	0.00000000
1469.26500000	0.01761904
1469.92000000	0.00000000
1469.92000000	0.00000000
1469.92000000	0.00000000
1469.92000000	0.00419843
1474.81000000	0.00000000
1474.81000000	0.00000000
1474.81000000	0.11101660
1475.16000000	0.00000000
1475.16000000	0.00000000
1475.16000000	0.07783721
