DEPTH d	VALUE d
1371.91000000	0.01068130
1377.58000000	0.02156091
1380.43000000	0.02520660
1383.28000000	0.00815796
1384.86000000	0.04046928
1387.07000000	0.00169750
1388.72000000	0.01013754
1391.51000000	0.04207595
1392.62000000	0.34065948
1392.78000000	0.00151599
1394.21500000	0.04201934
1395.93000000	0.27331168
1396.08500000	0.04240722
1396.24000000	0.02866955
1396.50000000	0.22669261
1396.70000000	0.12134703
1396.90000000	0.00883146
1402.23000000	0.04688383
1403.43500000	0.11915400
1403.70000000	0.09116816
1404.69500000	0.00117210
1406.08000000	0.00564462
1412.47500000	0.02784149
1412.95000000	0.16469670
1413.59000000	0.11675045
1413.93000000	0.04148393
1414.34500000	0.12993828
1414.55500000	0.01630687
1422.75000000	0.00987123
1430.29000000	0.08309677
1430.63000000	0.15499106
1431.67000000	0.02403995
1431.83500000	0.08681784
1432.00000000	0.00367249
1432.78000000	0.09088327
1434.26000000	0.01910458
1444.12000000	0.02463670
1445.66000000	0.02317183
1446.41000000	0.03661046
1447.45000000	0.75390365
1447.58000000	0.05795084
1447.86000000	0.10975056
1448.29000000	0.00883643
1449.91000000	0.08231545
1450.72500000	0.04725610
1451.43500000	0.02054877
1455.98000000	0.02136172
1459.43500000	0.00741217
1462.90000000	0.05009342
1464.16000000	0.03935070
1465.36000000	0.07972257
1465.64500000	0.02433526
1468.61000000	0.10191660
1469.26500000	0.05022280
1469.92000000	0.00552069
1474.81000000	0.36434163
1475.16000000	0.25153204
1475.32000000	0.40522888
1475.48000000	0.04015063
1476.85500000	0.00672899
1478.23000000	0.01172525
1487.74000000	0.00011644
1494.07000000	0.21169435
1494.38500000	0.07481646
1494.70000000	0.26951777
1495.18500000	0.01917130
1504.02000000	0.00030279
1507.44000000	0.05191359
1510.64000000	0.00804431
1513.84000000	0.07155068
1514.83000000	0.05486031
1517.74000000	0.03983112
1518.87000000	0.16396693
1520.16000000	0.04089863
1524.19000000	0.03052684
1525.21000000	0.02219129
1526.23000000	0.00449398
1533.85000000	0.12113448
1533.99000000	0.02052294
1536.97500000	0.00363704
1540.10000000	0.07775394
1540.38500000	0.01404635
1549.33000000	0.01512912
1550.06500000	0.05809229
1550.80000000	0.02016297
1553.48000000	0.00107557
1555.39000000	0.00738728
1560.64000000	0.01122894
1563.06000000	0.10403311
1563.63000000	0.04763368
1563.98000000	0.02821874
1564.33000000	0.09033075
1564.83000000	0.04391383
1565.04000000	0.02204139
1565.76000000	0.00442785
1566.31500000	0.01604715
1568.33000000	0.00873106
1570.95500000	0.00337985
1572.59000000	0.13192518
1573.24000000	0.17656097
1573.85500000	1.00000000
1574.08000000	0.13002722
1575.28000000	0.00174708
1583.54000000	0.00139928
1589.56000000	0.05204921
1591.56500000	0.00527456
1597.96000000	0.31872985
1598.18500000	0.22953781
1598.36000000	0.09518140
1598.90000000	0.07788853
1599.89000000	0.01670990
1600.34000000	0.02093667
1605.81000000	0.06646187
1606.70000000	0.05030962
1609.81500000	0.02716097
1612.20000000	0.05369250
1616.01500000	0.05513682
1619.71000000	0.04106361
1622.86000000	0.02068947
1627.64500000	0.04457914
1633.25000000	0.07873817
1637.22000000	0.11627624
1637.52000000	0.04747498
1640.61000000	0.03327117
1643.40000000	0.13473761
1644.46000000	0.02189310
1645.64000000	0.00096089
1664.38000000	0.25314511
1664.58000000	0.01303599
1674.12500000	0.02191399
1683.67000000	0.14872626
1686.83000000	0.02307744
1690.76000000	0.02651258
1694.69000000	0.08127719
1695.60000000	0.09800239
1696.51000000	0.02703747
1704.89000000	0.04206404
1713.27000000	0.02284650
1717.23000000	0.14086243
1721.49500000	0.10547924
1725.76000000	0.05728817
1730.53000000	0.01134073
1736.64500000	0.31788247
1737.99000000	0.02944578
1762.91000000	0.27355373
1763.36000000	0.00893426
