DEPTH d	VALUE d
1371.91000000	259.12060823
1377.58000000	254.72182125
1380.43000000	259.26640223
1383.28000000	249.67397151
1384.86000000	248.41068141
1384.86000000	248.41068141
1387.07000000	238.26562317
1388.72000000	235.59081775
1388.72000000	235.59081775
1388.72000000	235.59081775
1391.51000000	235.42782422
1392.62000000	234.87772858
1392.78000000	232.67899353
1392.78000000	232.67899353
1392.78000000	232.67899353
1392.78000000	232.67899353
1392.78000000	232.67899353
1394.21500000	232.88555206
1395.93000000	226.54080893
1396.08500000	228.86264575
1396.24000000	229.63380266
1396.50000000	229.26745393
1396.70000000	228.10393072
1396.90000000	230.64846290
1396.90000000	230.64846290
1396.90000000	230.64846290
1402.23000000	233.84576105
1403.43500000	226.71888584
1403.70000000	229.12615270
1404.69500000	235.47185461
1406.08000000	234.84701598
1412.47500000	235.46072512
1412.47500000	235.46072512
1412.47500000	235.46072512
1412.47500000	235.46072512
1412.47500000	235.46072512
1412.47500000	235.46072512
1412.95000000	235.97522077
1413.59000000	246.84493813
1413.93000000	243.78846874
1414.27000000	245.34751870
1414.34500000	245.44002033
1414.34500000	245.44002033
1414.34500000	245.44002033
1414.34500000	245.44002033
1414.55500000	242.54953237
1422.75000000	231.15021834
1430.29000000	239.30962848
1430.63000000	235.98594115
1431.67000000	224.30805653
1431.83500000	223.80211323
1431.83500000	223.80211323
1431.83500000	223.80211323
1431.83500000	223.80211323
1431.83500000	223.80211323
1431.83500000	223.80211323
1431.83500000	223.80211323
1431.83500000	223.80211323
1431.83500000	223.80211323
1432.00000000	223.33913269
1432.78000000	224.54920932
1434.26000000	236.04474033
1444.12000000	250.72473070
1445.66000000	246.79826239
1446.41000000	249.41985361
1447.45000000	250.97541164
1447.58000000	257.90504576
1447.58000000	257.90504576
1447.86000000	259.49126999
1448.14000000	259.95221211
1448.21500000	257.98809237
1448.29000000	255.33670294
1448.29000000	255.33670294
1448.29000000	255.33670294
1448.29000000	255.33670294
1448.29000000	255.33670294
1448.29000000	255.33670294
1449.86000000	252.16497588
1449.86000000	252.16497588
1449.91000000	253.65578014
1450.72500000	258.63540260
1451.43500000	255.05969256
1455.98000000	248.78503113
1459.43500000	251.34613111
1462.84000000	247.11610392
1462.90000000	248.62256821
1464.16000000	245.50521066
1465.36000000	244.69040664
1465.36000000	244.69040664
1465.64500000	243.61158435
1468.61000000	248.25212575
1469.26500000	250.87591793
1469.26500000	250.87591793
1469.92000000	249.59087373
1469.92000000	249.59087373
1469.92000000	249.59087373
1469.92000000	249.59087373
1474.81000000	252.55400595
1474.81000000	252.55400595
1474.81000000	252.55400595
1475.16000000	248.00378439
1475.16000000	248.00378439
1475.16000000	248.00378439
1475.32000000	246.88553543
1475.48000000	249.34786027
1475.48000000	249.34786027
1475.48000000	249.34786027
1476.85500000	250.61221775
1478.23000000	248.35823512
1487.74000000	253.88035109
1494.07000000	252.39527384
1494.07000000	252.39527384
1494.07000000	252.39527384
1494.38500000	255.13634777
1494.38500000	255.13634777
1494.38500000	255.13634777
1494.38500000	255.13634777
1494.70000000	258.16313244
1494.70000000	258.16313244
1495.18500000	241.09725241
1495.18500000	241.09725241
1495.18500000	241.09725241
1504.02000000	253.16796821
1504.02000000	253.16796821
1504.02000000	253.16796821
1504.02000000	253.16796821
1504.02000000	253.16796821
1504.02000000	253.16796821
1507.40000000	252.63310769
1507.42000000	248.58613958
1507.44000000	244.26313519
1507.44000000	244.26313519
1510.64000000	240.34938711
1510.64000000	240.34938711
1513.84000000	238.74856449
1514.83000000	237.67061181
1514.83000000	237.67061181
1514.83000000	237.67061181
1514.83000000	237.67061181
