DEPTH d	VALUE d
1371.91000000	275.33195075
1377.58000000	272.22767678
1380.43000000	279.05772650
1383.28000000	277.15876100
1384.86000000	277.72429397
1384.86000000	277.72429397
1387.07000000	273.48310054
1388.72000000	266.27080004
1388.72000000	266.27080004
1388.72000000	266.27080004
1391.51000000	263.00040013
1392.62000000	259.65065490
1392.78000000	253.01059573
1392.78000000	253.01059573
1392.78000000	253.01059573
1392.78000000	253.01059573
1392.78000000	253.01059573
1394.21500000	252.42522563
1395.93000000	247.82463040
1396.08500000	251.45005804
1396.24000000	251.54219139
1396.50000000	251.18348729
1396.70000000	245.49697846
1396.90000000	246.60828600
1396.90000000	246.60828600
1396.90000000	246.60828600
1402.23000000	250.87164995
1403.43500000	248.85890312
1403.70000000	252.23180563
1404.69500000	260.90631483
1406.08000000	261.11421235
1412.47500000	264.11580693
1412.47500000	264.11580693
1412.47500000	264.11580693
1412.47500000	264.11580693
1412.47500000	264.11580693
1412.47500000	264.11580693
1412.95000000	265.68900855
1413.59000000	273.82297653
1413.93000000	271.52421831
1414.27000000	274.53651343
1414.34500000	276.47251402
1414.34500000	276.47251402
1414.34500000	276.47251402
1414.34500000	276.47251402
1414.55500000	276.04955633
1422.75000000	268.40007828
1430.29000000	274.13218344
1430.63000000	270.05500387
1431.67000000	256.73945388
1431.83500000	258.45424008
1431.83500000	258.45424008
1431.83500000	258.45424008
1431.83500000	258.45424008
1431.83500000	258.45424008
1431.83500000	258.45424008
1431.83500000	258.45424008
1431.83500000	258.45424008
1431.83500000	258.45424008
1432.00000000	255.97766189
1432.78000000	255.31182288
1434.26000000	271.17734861
1444.12000000	287.87806653
1445.66000000	281.83109906
1446.41000000	282.87490405
1447.45000000	281.64974528
1447.58000000	281.60548376
1447.58000000	281.60548376
1447.86000000	283.46242485
1448.14000000	284.61515313
1448.21500000	282.48412183
1448.29000000	281.15608884
1448.29000000	281.15608884
1448.29000000	281.15608884
1448.29000000	281.15608884
1448.29000000	281.15608884
1448.29000000	281.15608884
1449.86000000	278.19335217
1449.86000000	278.19335217
1449.91000000	279.10313069
1450.72500000	284.31272929
1451.43500000	280.35736875
1455.98000000	271.34111614
1459.43500000	273.83359035
1462.84000000	270.46755577
1462.90000000	272.67351009
1464.16000000	271.55588815
1465.36000000	269.56286511
1465.36000000	269.56286511
1465.64500000	267.52054957
1468.61000000	271.87410526
1469.26500000	273.39908569
1469.26500000	273.39908569
1469.92000000	271.57102357
1469.92000000	271.57102357
1469.92000000	271.57102357
1469.92000000	271.57102357
1474.81000000	272.18152269
1474.81000000	272.18152269
1474.81000000	272.18152269
1475.16000000	260.17255797
1475.16000000	260.17255797
1475.16000000	260.17255797
1475.32000000	259.72479261
1475.48000000	261.41282482
1475.48000000	261.41282482
1475.48000000	261.41282482
1476.85500000	263.17863442
1478.23000000	260.72928715
1487.74000000	267.64452275
1494.07000000	267.49161171
1494.07000000	267.49161171
1494.07000000	267.49161171
1494.38500000	270.05311849
1494.38500000	270.05311849
1494.38500000	270.05311849
1494.38500000	270.05311849
1494.70000000	273.43184303
1494.70000000	273.43184303
1495.18500000	271.97787998
1495.18500000	271.97787998
1495.18500000	271.97787998
1504.02000000	283.36328274
1504.02000000	283.36328274
1504.02000000	283.36328274
1504.02000000	283.36328274
1504.02000000	283.36328274
1504.02000000	283.36328274
1507.40000000	283.07177796
1507.42000000	280.20030307
1507.44000000	277.43836510
1507.44000000	277.43836510
1510.64000000	274.15073962
1510.64000000	274.15073962
1513.84000000	270.38094815
1514.83000000	266.45627966
1514.83000000	266.45627966
1514.83000000	266.45627966
1514.83000000	266.45627966
1517.74000000	271.80058963
1517.74000000	271.80058963
1518.87000000	269.57975310
1520.16000000	256.34382118
1520.16000000	256.34382118
1520.16000000	256.34382118
1520.16000000	256.34382118
1520.16000000	256.34382118
1520.16000000	256.34382118
1524.19000000	254.71460558
1525.21000000	252.11850852
1525.21000000	252.11850852
1525.21000000	252.11850852
1526.23000000	254.50983215
1526.23000000	254.50983215
1533.85000000	251.33832331
1533.99000000	253.36889152
1533.99000000	253.36889152
1533.99000000	253.36889152
1533.99000000	253.36889152
1536.97500000	243.39578245
1536.97500000	243.39578245
1539.96000000	241.31372606
1540.03000000	251.55576786
1540.03000000	251.55576786
1540.10000000	251.06030190
1540.38500000	254.04240058
1540.38500000	254.04240058
1540.38500000	254.04240058
1549.33000000	256.17808950
1549.33000000	256.17808950
1550.06500000	257.42086889
1550.06500000	257.42086889
1550.06500000	257.42086889
1550.06500000	257.42086889
1550.80000000	258.04972241
1553.48000000	268.07254728
1553.48000000	268.07254728
1553.48000000	268.07254728
1555.39000000	266.04073452
1560.64000000	265.28044786
1563.06000000	261.19326415
1563.63000000	263.40013147
1563.98000000	262.19082642
1563.98000000	262.19082642
1564.33000000	263.41098933
1564.75000000	263.19628106
1564.83000000	264.43309981
1565.04000000	265.36821013
1565.74000000	264.34046608
1565.76000000	263.22624838
1566.25000000	262.63498952
1566.25000000	262.63498952
1566.31500000	261.87739138
1566.31500000	261.87739138
1566.31500000	261.87739138
1568.33000000	257.17611785
1568.33000000	257.17611785
1568.33000000	257.17611785
1570.95500000	257.12150142
1572.59000000	256.98569703
1573.24000000	260.15006727
1573.85500000	256.52630449
1573.85500000	256.52630449
1573.85500000	256.52630449
1573.96000000	255.63446780
1574.02000000	254.62361693
1574.08000000	250.83446064
1575.28000000	242.56662605
1583.54000000	241.50432234
1589.56000000	240.05829279
1591.56500000	231.55517554
1591.56500000	231.55517554
1597.82000000	235.73880067
1597.86500000	236.76380367
1597.91000000	236.80503803
1597.96000000	236.32030526
1597.96000000	236.32030526
1597.96000000	236.32030526
1597.96000000	236.32030526
1597.96000000	236.32030526
1598.18500000	241.09587192
1598.18500000	241.09587192
1598.36000000	239.44750993
1598.36000000	239.44750993
1598.90000000	241.99550118
1598.90000000	241.99550118
1598.90000000	241.99550118
1599.89000000	245.79039245
1600.34000000	246.81958069
1600.34000000	246.81958069
1600.34000000	246.81958069
1600.34000000	246.81958069
1605.81000000	250.82198378
1606.70000000	249.14127196
1609.81500000	263.48266482
1612.20000000	268.79811007
1612.20000000	268.79811007
1612.20000000	268.79811007
