DEPTH d	VALUE d
1371.91000000	0.00736441
1377.58000000	0.00953499
1380.43000000	0.01436278
1383.28000000	0.01360424
1384.86000000	0.00000000
1384.86000000	0.01858198
1387.07000000	0.05480537
1388.72000000	0.00000000
1388.72000000	0.00000000
1388.72000000	0.00354158
1391.51000000	0.04621568
1392.62000000	0.00071497
1392.78000000	0.00000000
1392.78000000	0.00000000
1392.78000000	0.00000000
1392.78000000	0.00000000
1392.78000000	0.00088249
1394.21500000	0.01577763
1395.93000000	0.02902285
1396.08500000	0.02568862
1396.24000000	0.10862742
1396.50000000	0.00503354
1396.70000000	0.06384881
1396.90000000	0.00000000
1396.90000000	0.00000000
1396.90000000	0.00489809
1402.23000000	0.03539130
1403.43500000	0.01420903
1403.70000000	0.03290554
1404.69500000	0.00145564
1406.08000000	0.00562629
1412.47500000	0.00000000
1412.47500000	0.00000000
1412.47500000	0.00000000
1412.47500000	0.00000000
1412.47500000	0.00000000
1412.47500000	0.00289113
1412.95000000	0.01280893
1413.59000000	0.06159177
1413.93000000	0.02986570
1414.27000000	0.00000000
1414.34500000	0.00000000
1414.34500000	0.00000000
1414.34500000	0.00000000
1414.34500000	0.07047604
1414.55500000	0.00660278
1422.75000000	0.00054039
1430.29000000	0.04870565
1430.63000000	0.08098247
1431.67000000	0.16183993
1431.83500000	0.00000000
1431.83500000	0.00000000
1431.83500000	0.00000000
1431.83500000	0.00000000
1431.83500000	0.00000000
1431.83500000	0.00000000
1431.83500000	0.00000000
1431.83500000	0.00000000
1431.83500000	0.13160330
1432.00000000	0.01669846
1432.78000000	0.02649644
1434.26000000	0.00999293
1444.12000000	0.00239059
1445.66000000	0.00615759
1446.41000000	0.04229210
1447.45000000	0.61303743
1447.58000000	0.00000000
1447.58000000	0.02432777
1447.86000000	0.09564740
1448.14000000	0.00000000
1448.21500000	0.00000000
1448.29000000	0.00000000
1448.29000000	0.00000000
1448.29000000	0.00000000
1448.29000000	0.00000000
1448.29000000	0.00000000
1448.29000000	0.02136970
1449.86000000	0.00000000
1449.86000000	0.00000000
1449.91000000	0.04503396
1450.72500000	0.02018081
1451.43500000	0.00635526
1455.98000000	0.01181808
1459.43500000	0.00211696
1462.84000000	0.00000000
1462.90000000	0.02533221
1464.16000000	0.02095490
1465.36000000	0.00000000
1465.36000000	0.00688454
1465.64500000	0.00523438
1468.61000000	0.05814689
1469.26500000	0.00000000
1469.26500000	0.02271837
1469.92000000	0.00000000
1469.92000000	0.00000000
1469.92000000	0.00000000
1469.92000000	0.00737665
1474.81000000	0.00000000
1474.81000000	0.00000000
