DEPTH d	VALUE d
1371.91000000	47.23427455
1377.58000000	44.07612912
1380.43000000	45.88468403
1383.28000000	43.48183663
1384.86000000	44.77452932
1384.86000000	44.77452932
1387.07000000	42.57964923
1388.72000000	47.90071382
1388.72000000	47.90071382
1388.72000000	47.90071382
1391.51000000	47.41045500
1392.62000000	44.61259421
1392.78000000	44.49846856
1392.78000000	44.49846856
1392.78000000	44.49846856
1392.78000000	44.49846856
1392.78000000	44.49846856
1394.21500000	44.33247159
1395.93000000	45.56007033
1396.08500000	45.78998533
1396.24000000	45.85187161
1396.50000000	45.09734140
1396.70000000	45.04913376
1396.90000000	45.92052795
1396.90000000	45.92052795
1396.90000000	45.92052795
1402.23000000	44.49718752
1403.43500000	41.73663816
1403.70000000	41.31868322
1404.69500000	43.84664171
1406.08000000	43.85681205
1412.47500000	45.93940150
1412.47500000	45.93940150
1412.47500000	45.93940150
1412.47500000	45.93940150
1412.47500000	45.93940150
1412.47500000	45.93940150
1412.95000000	46.26675017
1413.59000000	47.14836403
1413.93000000	46.16437780
1414.27000000	46.01835003
1414.34500000	48.16624811
1414.34500000	48.16624811
1414.34500000	48.16624811
1414.34500000	48.16624811
1414.55500000	46.88964451
1422.75000000	44.66224391
1430.29000000	44.63587297
1430.63000000	45.51283240
1431.67000000	39.77276687
1431.83500000	38.59940688
1431.83500000	38.59940688
1431.83500000	38.59940688
1431.83500000	38.59940688
1431.83500000	38.59940688
1431.83500000	38.59940688
1431.83500000	38.59940688
1431.83500000	38.59940688
1431.83500000	38.59940688
1432.00000000	37.32205030
1432.78000000	37.68813154
1434.26000000	42.25107395
1444.12000000	48.86190819
1445.66000000	48.13075998
1446.41000000	47.95486448
1447.45000000	50.76641877
1447.58000000	54.74825051
1447.58000000	54.74825051
1447.86000000	55.35483356
1448.14000000	56.62351680
1448.21500000	55.91718319
1448.29000000	54.58089461
1448.29000000	54.58089461
1448.29000000	54.58089461
1448.29000000	54.58089461
1448.29000000	54.58089461
1448.29000000	54.58089461
1449.86000000	56.61298649
1449.86000000	56.61298649
1449.91000000	57.56800521
1450.72500000	59.42948374
1451.43500000	58.49917087
1455.98000000	56.81712388
1459.43500000	59.10721702
1462.84000000	59.82723140
1462.90000000	59.91576684
1464.16000000	58.55581356
1465.36000000	57.02830988
1465.36000000	57.02830988
1465.64500000	56.59659180
1468.61000000	57.18137696
1469.26500000	58.56225662
1469.26500000	58.56225662
1469.92000000	57.63586357
1469.92000000	57.63586357
1469.92000000	57.63586357
1469.92000000	57.63586357
1474.81000000	54.86386224
1474.81000000	54.86386224
1474.81000000	54.86386224
1475.16000000	52.54515847
1475.16000000	52.54515847
1475.16000000	52.54515847
1475.32000000	50.27803782
1475.48000000	51.54558932
1475.48000000	51.54558932
1475.48000000	51.54558932
1476.85500000	52.54680545
1478.23000000	53.90851215
1487.74000000	55.71672196
1494.07000000	56.22340648
1494.07000000	56.22340648
1494.07000000	56.22340648
1494.38500000	56.68587599
1494.38500000	56.68587599
1494.38500000	56.68587599
1494.38500000	56.68587599
1494.70000000	56.93486975
1494.70000000	56.93486975
1495.18500000	55.84890520
1495.18500000	55.84890520
1495.18500000	55.84890520
1504.02000000	60.38356850
1504.02000000	60.38356850
1504.02000000	60.38356850
1504.02000000	60.38356850
1504.02000000	60.38356850
1504.02000000	60.38356850
1507.40000000	60.40597469
1507.42000000	59.63290420
1507.44000000	60.10986847
1507.44000000	60.10986847
1510.64000000	58.43955682
1510.64000000	58.43955682
1513.84000000	58.41604743
1514.83000000	56.16394301
1514.83000000	56.16394301
1514.83000000	56.16394301
1514.83000000	56.16394301
1517.74000000	59.10935019
1517.74000000	59.10935019
1518.87000000	57.78516813
1520.16000000	53.87809259
1520.16000000	53.87809259
1520.16000000	53.87809259
1520.16000000	53.87809259
1520.16000000	53.87809259
1520.16000000	53.87809259
1524.19000000	44.57439879
1525.21000000	43.18775919
1525.21000000	43.18775919
1525.21000000	43.18775919
1526.23000000	45.57641379
1526.23000000	45.57641379
1533.85000000	40.73633845
1533.99000000	41.63721714
1533.99000000	41.63721714
1533.99000000	41.63721714
1533.99000000	41.63721714
1536.97500000	36.90464693
1536.97500000	36.90464693
1539.96000000	34.69692829
1540.03000000	35.90301359
1540.03000000	35.90301359
1540.10000000	39.19214903
1540.38500000	37.58177283
1540.38500000	37.58177283
1540.38500000	37.58177283
1549.33000000	46.45119447
1549.33000000	46.45119447
1550.06500000	45.41422417
1550.06500000	45.41422417
1550.06500000	45.41422417
1550.06500000	45.41422417
1550.80000000	47.18903578
1553.48000000	42.75221638
1553.48000000	42.75221638
1553.48000000	42.75221638
1555.39000000	43.74137444
1560.64000000	46.73353894
1563.06000000	48.17040235
1563.63000000	51.39372653
1563.98000000	51.83346098
1563.98000000	51.83346098
1564.33000000	51.68695609
1564.75000000	54.02034881
1564.83000000	55.46987109
1565.04000000	53.88744447
