DEPTH d	VALUE d
1376.22000000	239.72899665
1376.79000000	243.06481894
1376.79000000	243.06481894
1376.79000000	243.06481894
1376.79000000	243.06481894
1376.79000000	243.06481894
1376.85500000	245.20451851
1379.97500000	248.02702286
1383.03000000	241.06942258
1383.66500000	239.70173821
1386.05500000	249.02240598
1391.02500000	250.88644292
1395.57000000	249.60837642
1395.57000000	249.60837642
1395.57000000	249.60837642
1395.57000000	249.60837642
1395.57000000	249.60837642
1395.90500000	251.58294384
1400.83000000	262.89694598
1400.83000000	262.89694598
1403.44500000	260.69953409
1403.44500000	260.69953409
1403.44500000	260.69953409
1403.44500000	260.69953409
1403.44500000	260.69953409
1403.44500000	260.69953409
1403.44500000	260.69953409
1403.44500000	260.69953409
1403.52000000	258.52830595
1403.82000000	254.63600484
1403.98000000	251.54890109
1408.87000000	251.28525751
1414.39500000	257.32363874
1414.39500000	257.32363874
1414.39500000	257.32363874
1414.39500000	257.32363874
1414.39500000	257.32363874
1415.15000000	260.10487572
1415.33000000	252.75652216
1415.33000000	252.75652216
1417.23000000	245.52909858
1417.23000000	245.52909858
1417.23000000	245.52909858
1417.23000000	245.52909858
1421.90000000	250.46187230
1425.80000000	255.85817858
1428.19500000	251.65747744
1429.89000000	250.36607702
1430.38000000	248.32664783
1430.56000000	250.06521387
1431.13500000	246.19779925
1431.71000000	245.72485811
1432.15000000	243.70172059
1432.15000000	243.70172059
1432.17500000	241.27625224
1432.17500000	241.27625224
1432.17500000	241.27625224
1432.17500000	241.27625224
1432.20000000	242.91306381
1433.66500000	239.11870869
1434.13000000	240.44418372
1435.03500000	238.76418241
1437.00500000	238.95737477
1442.14000000	238.79223933
1445.07000000	236.19387403
1445.41000000	234.12783323
1447.44000000	233.02682478
1447.87500000	233.53644912
1448.28500000	233.99322543
1448.28500000	233.99322543
1448.46500000	235.36970027
1448.46500000	235.36970027
1448.58000000	233.53866691
1448.58000000	233.53866691
1448.64000000	234.83337926
1448.64000000	234.83337926
1448.64000000	234.83337926
1448.70000000	235.66640254
1448.77000000	232.56868896
1449.90000000	235.47327709
1449.90000000	235.47327709
1449.95000000	236.65777960
1451.32000000	235.84312560
1459.61000000	232.62880968
1464.18000000	234.14186151
1469.27000000	237.96216235
1469.27000000	237.96216235
1469.52000000	237.29047445
1469.52000000	237.29047445
1470.30500000	236.47113237
1470.84000000	237.52770869
1470.84000000	237.52770869
1470.84000000	237.52770869
1470.95000000	238.92591868
1470.95000000	238.92591868
1471.06000000	239.55147900
1471.06000000	239.55147900
1471.20000000	238.40591873
1471.34000000	241.90813593
1473.01000000	240.59788436
1473.01000000	240.59788436
1473.01000000	240.59788436
1473.01000000	240.59788436
1474.68000000	242.67877036
1475.14000000	242.11047255
1479.90000000	240.19571173
1479.90000000	240.19571173
1479.90000000	240.19571173
1479.90000000	240.19571173
1485.69500000	244.22157793
1485.69500000	244.22157793
1485.69500000	244.22157793
1485.69500000	244.22157793
1490.37000000	241.23755791
1495.26500000	242.38931630
1500.16000000	241.66034042
1500.16000000	241.66034042
1500.16000000	241.66034042
1504.11000000	242.95585488
1504.11000000	242.95585488
1504.11000000	242.95585488
1504.11000000	242.95585488
1504.11000000	242.95585488
1504.18500000	241.95826425
1504.26000000	243.65711113
1504.26000000	243.65711113
1504.26000000	243.65711113
1506.56500000	257.56833462
1506.56500000	257.56833462
1508.87000000	260.22414949
1510.84000000	259.34622231
1514.00000000	256.19843895
1514.00000000	256.19843895
1514.00000000	256.19843895
1515.75000000	255.94124735
1516.61000000	253.33171235
1516.61000000	253.33171235
1516.61000000	253.33171235
1517.11000000	255.87396735
1517.11000000	255.87396735
1519.89000000	252.58178157
1519.89000000	252.58178157
1520.19000000	252.02614428
1520.89000000	253.34706391
1520.89000000	253.34706391
1520.89000000	253.34706391
1520.89000000	253.34706391
1521.10000000	249.84763973
1521.10000000	249.84763973
1521.31000000	247.66343275
1523.47500000	247.16363512
1525.92500000	247.47283948
1526.21000000	254.40809772
1526.21000000	254.40809772
1528.51000000	254.66386075
1533.71000000	259.85642430
1533.71000000	259.85642430
1533.71000000	259.85642430
1533.71000000	259.85642430
1533.71000000	259.85642430
1539.13000000	265.40396197
1539.13000000	265.40396197
1540.21000000	273.84138960
1540.59000000	274.36573894
1544.85500000	265.03268916
1544.85500000	265.03268916
1544.85500000	265.03268916
1544.85500000	265.03268916
1544.85500000	265.03268916
1544.85500000	265.03268916
1544.85500000	265.03268916
1544.85500000	265.03268916
1548.89000000	255.78231307
1548.89000000	255.78231307
1549.79000000	256.86779729
1549.93500000	248.29265001
1549.93500000	248.29265001
1549.93500000	248.29265001
1549.93500000	248.29265001
1550.08000000	241.34166559
1557.74500000	245.12954947
1557.74500000	245.12954947
1565.89500000	254.96307212
1566.38000000	253.79102662
1567.83000000	260.06433866
1567.83000000	260.06433866
1567.83000000	260.06433866
1567.84000000	258.28931784
1567.85000000	258.79314602
1567.85000000	258.79314602
1567.85000000	258.79314602
1567.85000000	258.79314602
1567.85000000	258.79314602
1567.85000000	258.79314602
1567.85000000	258.79314602
1567.85000000	258.79314602
1567.85000000	258.79314602
1567.85000000	258.79314602
1567.85000000	258.79314602
1570.53000000	267.99121439
1573.21000000	266.73413005
1573.21000000	266.73413005
1573.72000000	255.86915231
1573.72000000	255.86915231
1589.79000000	234.36620467
1589.79000000	234.36620467
1590.09500000	230.18047529
1590.17000000	228.23102047
1590.94000000	221.34667891
1590.94000000	221.34667891
1590.94000000	221.34667891
1590.94000000	221.34667891
1594.89500000	235.73195066
1597.55000000	233.94184374
1597.66000000	239.47395053
1597.96500000	244.26500612
1597.96500000	244.26500612
1597.96500000	244.26500612
1597.96500000	244.26500612
1597.96500000	244.26500612
1598.24500000	241.76368529
1598.70000000	248.41335672
1599.07000000	249.20228677
1599.07000000	249.20228677
1600.50500000	253.62347908
1601.25000000	249.64703441
1605.87000000	251.59597272
1606.00000000	249.79746648
1606.47500000	249.18602322
1606.47500000	249.18602322
1606.47500000	249.18602322
1606.95000000	246.76502937
1608.01000000	245.43975336
1609.70500000	247.29329498
1611.40000000	244.48577044
1611.42000000	240.36849276
1611.42000000	240.36849276
1611.42000000	240.36849276
1611.42000000	240.36849276
1611.42000000	240.36849276
1611.67000000	243.42378668
1612.11000000	231.17976229
1613.44000000	228.84401290
1613.44000000	228.84401290
1613.44000000	228.84401290
1614.53000000	230.52228127
1628.50000000	226.10789885
1630.29500000	227.10572311
1632.09000000	223.79999064
1632.09000000	223.79999064
1632.09000000	223.79999064
1632.31000000	227.48697830
1632.31000000	227.48697830
1632.31000000	227.48697830
1632.31000000	227.48697830
1632.53000000	239.30872386
1632.53000000	239.30872386
1636.82000000	244.96144797
1636.82000000	244.96144797
1636.82000000	244.96144797
1636.82000000	244.96144797
1636.82000000	244.96144797
1641.11000000	247.93076152
1641.11000000	247.93076152
1641.11000000	247.93076152
1641.11000000	247.93076152
1647.89000000	258.90839658
1652.43000000	262.98199394
1652.43000000	262.98199394
1652.43000000	262.98199394
1652.43000000	262.98199394
1652.43000000	262.98199394
1652.74500000	251.42900632
1652.74500000	251.42900632
1652.74500000	251.42900632
1653.06000000	243.94128781
1653.06000000	243.94128781
1655.46000000	238.29764173
1655.46000000	238.29764173
1655.46000000	238.29764173
1655.46000000	238.29764173
1655.46000000	238.29764173
1657.86000000	233.00795746
1657.86000000	233.00795746
1657.86000000	233.00795746
1657.86000000	233.00795746
1662.71500000	232.95254732
1667.57000000	215.36664644
1667.57000000	215.36664644
1667.57000000	215.36664644
1667.57000000	215.36664644
1667.57000000	215.36664644
1667.57000000	219.71971236
1667.57000000	219.71971236
1667.57000000	219.71971236
1667.57000000	219.71971236
1667.57000000	219.71971236
1667.57000000	219.71971236
1667.57000000	219.71971236
1667.57000000	219.71971236
1667.57000000	219.71971236
1713.73000000	284.16980198
1713.73000000	284.16980198
1713.73000000	284.16980198
1713.73000000	284.16980198
1713.73000000	284.16980198
1713.73000000	284.16980198
1713.73000000	284.16980198
1713.73000000	284.16980198
1713.73000000	284.16980198
1713.73000000	284.16980198
1713.73000000	284.16980198
1713.73000000	284.16980198
1713.73000000	284.16980198
1726.78000000	254.17640317
1727.19000000	251.54657770
1727.19000000	251.54657770
1727.60000000	249.01425918
1727.60000000	249.01425918
1727.60000000	249.01425918
1727.60000000	249.01425918
1728.81500000	240.44909558
1728.81500000	240.44909558
1728.81500000	240.44909558
1728.81500000	240.44909558
1728.81500000	240.44909558
1734.33500000	248.40805180
1734.33500000	248.40805180
1734.33500000	248.40805180
1734.33500000	248.40805180
1738.64000000	257.14229970
1738.64000000	257.14229970
1738.64000000	257.14229970
1738.64000000	257.14229970
1738.97500000	262.27069343
1739.31000000	263.65907980
1739.31000000	263.65907980
1741.28000000	269.97981091
1741.28000000	269.97981091
1741.28000000	269.97981091
1741.28000000	269.97981091
1741.28000000	269.97981091
1741.28000000	269.97981091
1741.28000000	269.97981091
1743.25000000	272.64482382
1743.25000000	272.64482382
1758.01000000	272.77953886
1758.01000000	272.77953886
1758.01000000	272.77953886
1758.01000000	272.77953886
1761.08000000	241.90505634
1763.49000000	237.43130779
1764.39000000	239.80548665
1764.39000000	239.80548665
1764.39000000	239.80548665
1764.55500000	239.09245738
1764.55500000	239.09245738
1764.72000000	240.66399492
1765.06000000	241.45908905
1767.71000000	242.41068851
1767.71000000	242.41068851
1767.71000000	242.41068851
1767.71000000	242.41068851
1767.71000000	242.41068851
1770.12000000	238.68609569
1771.17000000	235.76089437
1771.28000000	236.38953072
1771.28000000	236.38953072
1771.28000000	236.38953072
1771.28000000	236.38953072
1771.50000000	236.87710198
1771.84000000	245.10860021
1777.32500000	246.15718752
1777.32500000	246.15718752
1777.32500000	246.15718752
1777.73000000	247.24094152
1777.73000000	247.24094152
1777.92000000	246.15420487
1780.69000000	246.82102250
1784.16500000	242.57618240
1784.16500000	242.57618240
1784.16500000	242.57618240
1784.16500000	242.57618240
1784.16500000	242.57618240
1784.26000000	242.47653305
1785.31000000	254.74965013
1785.31000000	254.74965013
1785.31000000	254.74965013
1785.31000000	254.74965013
1785.31000000	254.74965013
1788.62000000	264.42689911
1792.02500000	238.33373630
1792.12000000	229.57364644
1792.12000000	229.57364644
1792.12000000	229.57364644
1792.12000000	229.57364644
1792.12000000	229.57364644
1792.12000000	229.57364644
1816.37000000	241.19999999
