DEPTH d	VALUE d
1376.22000000	0.09895881
1376.79000000	0.00000000
1376.79000000	0.00000000
1376.79000000	0.00000000
1376.79000000	0.00000000
1376.79000000	0.00000000
1376.85500000	0.01529701
1379.97500000	0.03851010
1383.03000000	0.03641989
1383.66500000	0.06594404
1386.05500000	0.00634198
1391.02500000	0.00475495
1395.57000000	0.00000000
1395.57000000	0.00000000
1395.57000000	0.00000000
1395.57000000	0.00000000
1395.57000000	0.09966750
1395.90500000	0.03884512
1400.83000000	0.00000000
1400.83000000	0.01420909
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.52000000	0.21938735
1403.82000000	0.32625536
1403.98000000	0.00091166
1408.87000000	0.01848054
1414.39500000	0.00000000
1414.39500000	0.00000000
1414.39500000	0.00000000
1414.39500000	0.00000000
1414.39500000	0.06228987
1415.15000000	0.69030966
1415.33000000	0.00000000
1415.33000000	0.06432152
1417.23000000	0.00000000
1417.23000000	0.00000000
1417.23000000	0.00000000
1417.23000000	0.01786079
1421.90000000	0.02339690
1425.80000000	0.02965806
1428.19500000	0.01288302
1429.89000000	0.07037833
1430.38000000	0.16332215
1430.56000000	0.11373112
1431.13500000	0.01390803
1431.71000000	0.07774978
1432.15000000	0.00000000
1432.15000000	0.00000000
1432.17500000	0.00000000
1432.17500000	0.00000000
1432.17500000	0.00000000
1432.17500000	0.00000000
1432.20000000	0.04379523
1433.66500000	0.04819977
1434.13000000	0.03138972
1435.03500000	0.00165825
1437.00500000	0.00054378
1442.14000000	0.01499543
1445.07000000	0.10275108
1445.41000000	0.00917109
1447.44000000	0.01981013
1447.87500000	0.01883849
1448.28500000	0.00000000
1448.28500000	0.12930705
1448.46500000	0.00000000
1448.46500000	0.26923086
1448.58000000	0.00000000
1448.58000000	0.00000000
1448.64000000	0.00000000
1448.64000000	0.00000000
1448.64000000	0.00000000
1448.70000000	0.00000000
1448.77000000	0.04346428
1449.90000000	0.00000000
1449.90000000	0.00000000
1449.95000000	0.01005493
1451.32000000	0.00655632
1459.61000000	0.00559840
1464.18000000	0.01269130
1469.27000000	0.00000000
1469.27000000	0.04543117
1469.52000000	0.00000000
1469.52000000	0.01764908
1470.30500000	0.03339439
1470.84000000	0.00000000
1470.84000000	0.00000000
1470.84000000	0.21493450
1470.95000000	0.00000000
1470.95000000	0.09616188
1471.06000000	0.00000000
1471.06000000	0.13836184
1471.20000000	0.42300106
1471.34000000	0.01326675
1473.01000000	0.00000000
1473.01000000	0.00000000
1473.01000000	0.00000000
1473.01000000	0.02106969
1474.68000000	0.02089029
1475.14000000	0.00680196
1479.90000000	0.00000000
1479.90000000	0.00000000
1479.90000000	0.00000000
1479.90000000	0.01174714
1485.69500000	0.00000000
1485.69500000	0.00000000
1485.69500000	0.00000000
1485.69500000	0.01079615
1490.37000000	0.00398155
1495.26500000	0.00251818
1500.16000000	0.00000000
1500.16000000	0.00000000
1500.16000000	0.00554589
1504.11000000	0.00000000
