DEPTH d	VALUE d
1376.22000000	225.01195287
1376.79000000	227.93513427
1376.79000000	227.93513427
1376.79000000	227.93513427
1376.79000000	227.93513427
1376.79000000	227.93513427
1376.85500000	229.71145335
1379.97500000	231.18691735
1383.03000000	226.94362954
1383.66500000	224.85807636
1386.05500000	235.27636727
1391.02500000	236.02020289
1395.57000000	235.26022834
1395.57000000	235.26022834
1395.57000000	235.26022834
1395.57000000	235.26022834
1395.57000000	235.26022834
1395.90500000	238.18580484
1400.83000000	249.53115286
1400.83000000	249.53115286
1403.44500000	250.46222971
1403.44500000	250.46222971
1403.44500000	250.46222971
1403.44500000	250.46222971
1403.44500000	250.46222971
1403.44500000	250.46222971
1403.44500000	250.46222971
1403.44500000	250.46222971
1403.52000000	248.36733262
1403.82000000	241.58119386
1403.98000000	237.11349924
1408.87000000	237.52410406
1414.39500000	242.78029313
1414.39500000	242.78029313
1414.39500000	242.78029313
1414.39500000	242.78029313
1414.39500000	242.78029313
1415.15000000	244.24691659
1415.33000000	236.77779674
1415.33000000	236.77779674
1417.23000000	231.14793020
1417.23000000	231.14793020
1417.23000000	231.14793020
1417.23000000	231.14793020
1421.90000000	235.51204155
1425.80000000	239.22405626
1428.19500000	236.41382054
1429.89000000	235.44444536
1430.38000000	233.42924401
1430.56000000	236.14826285
1431.13500000	231.74918126
1431.71000000	230.77076963
1432.15000000	229.72377475
1432.15000000	229.72377475
1432.17500000	227.04111403
1432.17500000	227.04111403
1432.17500000	227.04111403
1432.17500000	227.04111403
1432.20000000	229.03556701
1433.66500000	225.70960316
1434.13000000	226.42575723
1435.03500000	225.34927480
1437.00500000	226.18253043
1442.14000000	227.05885988
1445.07000000	226.15113107
1445.41000000	227.62806663
1447.44000000	226.56502953
1447.87500000	226.99634794
1448.28500000	227.15693353
1448.28500000	227.15693353
1448.46500000	229.04773776
1448.46500000	229.04773776
1448.58000000	228.02070898
1448.58000000	228.02070898
1448.64000000	229.90195216
1448.64000000	229.90195216
1448.64000000	229.90195216
1448.70000000	230.58139316
1448.77000000	227.66554978
1449.90000000	229.01426746
1449.90000000	229.01426746
1449.95000000	229.90216783
1451.32000000	228.63184566
1459.61000000	224.26710049
1464.18000000	225.31884695
1469.27000000	229.74216309
1469.27000000	229.74216309
1469.52000000	228.61941096
1469.52000000	228.61941096
1470.30500000	228.34590141
1470.84000000	229.27868576
1470.84000000	229.27868576
1470.84000000	229.27868576
