DEPTH d	VALUE d
1376.22000000	41.10916553
1376.79000000	41.97548363
1376.79000000	41.97548363
1376.79000000	41.97548363
1376.79000000	41.97548363
1376.79000000	41.97548363
1376.85500000	40.84607142
1379.97500000	36.85254794
1383.03000000	39.21251700
1383.66500000	43.45010132
1386.05500000	38.67005248
1391.02500000	38.23700778
1395.57000000	35.18055107
1395.57000000	35.18055107
1395.57000000	35.18055107
1395.57000000	35.18055107
1395.57000000	35.18055107
1395.90500000	30.75765817
1400.83000000	28.61805222
1400.83000000	28.61805222
1403.44500000	28.04495526
1403.44500000	28.04495526
1403.44500000	28.04495526
1403.44500000	28.04495526
1403.44500000	28.04495526
1403.44500000	28.04495526
1403.44500000	28.04495526
1403.44500000	28.04495526
1403.52000000	27.96306379
1403.82000000	26.74977443
1403.98000000	25.55195576
1408.87000000	28.24624385
1414.39500000	31.69063259
1414.39500000	31.69063259
1414.39500000	31.69063259
1414.39500000	31.69063259
1414.39500000	31.69063259
1415.15000000	32.67394507
1415.33000000	34.88895573
1415.33000000	34.88895573
1417.23000000	37.69227231
1417.23000000	37.69227231
1417.23000000	37.69227231
1417.23000000	37.69227231
1421.90000000	32.28310254
1425.80000000	31.51583698
1428.19500000	33.42191525
1429.89000000	33.13840275
1430.38000000	32.47927896
1430.56000000	34.74184653
1431.13500000	35.49841140
1431.71000000	33.64190907
1432.15000000	33.60186739
1432.15000000	33.60186739
1432.17500000	33.27173966
1432.17500000	33.27173966
1432.17500000	33.27173966
1432.17500000	33.27173966
1432.20000000	35.00770044
1433.66500000	34.62912660
1434.13000000	33.16910273
1435.03500000	34.25425974
1437.00500000	34.82884152
1442.14000000	36.91851327
1445.07000000	37.44892875
1445.41000000	37.28818666
1447.44000000	36.82142663
1447.87500000	37.74491320
1448.28500000	38.95986615
1448.28500000	38.95986615
1448.46500000	37.43701970
1448.46500000	37.43701970
1448.58000000	36.95028907
1448.58000000	36.95028907
1448.64000000	37.36716551
1448.64000000	37.36716551
1448.64000000	37.36716551
1448.70000000	37.41567913
1448.77000000	36.03454257
1449.90000000	34.90482869
1449.90000000	34.90482869
1449.95000000	33.66431452
1451.32000000	32.51758390
1459.61000000	26.15208629
1464.18000000	28.36960151
1469.27000000	28.36852152
1469.27000000	28.36852152
1469.52000000	26.13923505
1469.52000000	26.13923505
1470.30500000	27.98105950
1470.84000000	28.50376154
1470.84000000	28.50376154
1470.84000000	28.50376154
1470.95000000	26.96616969
1470.95000000	26.96616969
1471.06000000	29.40701088
1471.06000000	29.40701088
1471.20000000	28.48356122
1471.34000000	28.09940665
1473.01000000	30.22943893
1473.01000000	30.22943893
1473.01000000	30.22943893
1473.01000000	30.22943893
1474.68000000	29.84616029
1475.14000000	33.14464689
1479.90000000	38.65180787
1479.90000000	38.65180787
1479.90000000	38.65180787
1479.90000000	38.65180787
1485.69500000	40.65086468
1485.69500000	40.65086468
1485.69500000	40.65086468
1485.69500000	40.65086468
1490.37000000	53.04955001
1495.26500000	40.07786821
1500.16000000	29.02416911
1500.16000000	29.02416911
1500.16000000	29.02416911
1504.11000000	31.06919918
1504.11000000	31.06919918
1504.11000000	31.06919918
1504.11000000	31.06919918
1504.11000000	31.06919918
1504.18500000	25.98694238
1504.26000000	20.43694874
1504.26000000	20.43694874
1504.26000000	20.43694874
1506.56500000	21.02295846
1506.56500000	21.02295846
1508.87000000	24.72098893
1510.84000000	24.02207789
1514.00000000	23.57953081
1514.00000000	23.57953081
1514.00000000	23.57953081
1515.75000000	23.65534018
1516.61000000	23.63931547
1516.61000000	23.63931547
1516.61000000	23.63931547
1517.11000000	21.90985684
1517.11000000	21.90985684
1519.89000000	22.58492122
1519.89000000	22.58492122
1520.19000000	25.15347639
