DEPTH d	VALUE d
1376.22000000	0.06689441
1376.79000000	0.00331224
1379.91000000	0.01351186
1383.66500000	0.11171769
1384.30000000	0.05495967
1386.48000000	0.01472572
1391.02500000	0.02205696
1395.70000000	0.00782109
1399.74000000	0.00091787
1403.61000000	0.12750348
1403.82000000	0.00266161
1408.20000000	0.02082063
1410.98000000	0.02038256
1413.76000000	0.03409513
1415.33000000	0.00094008
1417.23000000	0.01370174
1417.61500000	0.04869694
1418.00000000	0.00740282
1421.90000000	0.00189748
1426.50000000	0.00743901
1428.47500000	0.01020852
1430.56000000	0.03832351
1431.71000000	0.17498440
1431.93000000	0.02589907
1432.20000000	0.01714716
1433.66500000	0.05777328
1434.13000000	0.00809667
1436.23000000	0.00155274
1441.15000000	0.01025192
1444.86500000	0.01974065
1445.24000000	0.08962840
1445.41000000	0.00198470
1447.44000000	0.04819726
1447.87500000	0.08282756
1448.35000000	0.06203021
1448.46500000	0.02438923
1448.64000000	0.20909311
1448.77000000	0.01064316
1449.47000000	0.00669960
1449.90000000	0.01376153
1459.61000000	0.00104713
1465.98500000	0.00286064
1469.52000000	0.19296558
1469.77000000	0.02065732
1471.06000000	0.17150984
1471.20000000	0.40410861
1471.34000000	0.00429937
1473.01000000	0.00156104
1474.91000000	0.02375169
1478.08000000	0.01071947
1485.06000000	0.02850839
1489.73500000	0.03602780
1490.37000000	0.01658417
1504.26000000	0.01191094
1508.53500000	0.01397463
1512.81000000	0.04297080
1514.00000000	0.00229037
1515.19000000	0.06113783
1515.75000000	0.01642071
1517.11000000	0.00843687
1519.00000000	0.02601563
1521.10000000	0.08465016
1521.31000000	0.00913513
1523.76000000	0.01432500
1526.21000000	0.01209015
1527.16500000	0.03081175
1528.12000000	0.02133510
1528.51000000	0.00800395
1538.20000000	0.02815251
1539.13000000	0.00138063
1540.21000000	0.15938037
1540.36000000	0.01571422
1545.07500000	0.01071852
1549.79000000	0.00477727
1565.41000000	0.06326189
1566.62000000	0.00135084
1567.83000000	0.03535669
1570.77500000	0.02142883
1573.72000000	0.00231677
1590.17000000	0.04397178
1591.20500000	0.07515774
1592.24000000	0.02853443
1595.00500000	0.00562625
1597.77000000	0.09000678
1598.42000000	0.04872841
1599.51500000	0.01248372
1600.50500000	0.07750531
1601.05000000	0.06659667
1601.25000000	0.00078115
1604.20000000	0.01593747
1606.95000000	0.05901646
1607.21500000	0.04583064
1607.48000000	0.00722704
1609.44000000	0.02291152
1611.40000000	0.10166262
1612.11000000	0.00186010
1613.44000000	0.05732769
1613.98500000	0.16407030
1614.53000000	0.00785147
1630.29500000	0.02785488
1632.09000000	0.11553517
1632.31000000	0.04497642
1632.53000000	0.01854326
1636.82000000	0.00684817
1652.43000000	0.19709147
1652.74500000	0.26076273
1653.06000000	0.00953298
1660.31500000	0.00391183
1667.57000000	0.00569852
1704.44000000	0.03822834
1713.73000000	0.01425096
1726.78000000	0.04680684
1728.40500000	0.09679388
1730.03000000	0.00762510
1738.64000000	0.08817417
1738.97500000	0.03565115
1739.31000000	0.01839325
1741.28000000	0.01107225
1743.25000000	0.00393039
1758.01000000	0.02002212
1761.08000000	0.00734901
1763.49000000	0.01564692
1764.39000000	0.31407268
1764.55500000	0.04832030
1764.89000000	0.00100172
1766.38500000	0.00523913
1767.71000000	0.01352047
1769.44000000	0.00747526
1771.17000000	0.01346435
1771.39000000	0.19739766
1771.72500000	0.00545938
1777.73000000	0.00870734
1780.50000000	0.00171145
