DEPTH d	VALUE d
1376.22000000	40.24745222
1376.79000000	42.39151924
1376.79000000	42.39151924
1376.79000000	42.39151924
1376.79000000	42.39151924
1376.79000000	42.39151924
1379.91000000	41.53231250
1383.66500000	37.99825563
1384.30000000	42.22942565
1384.30000000	42.22942565
1386.48000000	34.04262665
1391.02500000	30.66218610
1391.02500000	30.66218610
1391.02500000	30.66218610
1391.02500000	30.66218610
1391.02500000	30.66218610
1391.02500000	30.66218610
1395.70000000	25.98765194
1399.74000000	26.24932551
1399.74000000	26.24932551
1403.44500000	27.00024298
1403.44500000	27.00024298
1403.52000000	25.62963838
1403.52000000	25.62963838
1403.52000000	25.62963838
1403.52000000	25.62963838
1403.52000000	25.62963838
1403.52000000	25.62963838
1403.61000000	25.14018658
1403.82000000	23.97204611
1408.20000000	23.10853399
1410.98000000	25.38442700
1413.76000000	26.89988623
1413.76000000	26.89988623
1413.76000000	26.89988623
1413.76000000	26.89988623
1413.76000000	26.89988623
1415.27000000	29.37091412
1415.33000000	30.37328581
1415.33000000	30.37328581
1417.23000000	30.88551180
1417.23000000	30.88551180
1417.61500000	31.28162589
1417.61500000	31.28162589
1418.00000000	30.72079709
1421.90000000	29.46644424
1426.50000000	30.77594908
1428.47500000	30.10898820
1430.56000000	28.94548474
1431.71000000	31.29431500
1431.71000000	31.29431500
1431.93000000	29.33185804
1432.17500000	30.81034654
1432.17500000	30.81034654
1432.17500000	30.81034654
1432.17500000	30.81034654
1432.17500000	30.81034654
1432.17500000	30.81034654
1432.20000000	32.21366933
1433.66500000	31.29525262
1434.13000000	30.31553959
1436.23000000	31.53516941
1441.15000000	32.23364842
1444.86500000	33.68757956
1445.24000000	32.98597761
1445.41000000	33.72576938
1447.44000000	33.25142547
1447.87500000	34.41391288
1448.28500000	36.45411139
1448.28500000	36.45411139
1448.35000000	34.94256637
1448.35000000	34.94256637
1448.46500000	34.45967687
1448.46500000	34.45967687
1448.46500000	34.45967687
1448.46500000	34.45967687
1448.46500000	34.45967687
1448.58000000	34.49096518
1448.64000000	33.87313680
1448.77000000	34.93994384
1448.77000000	34.93994384
1449.47000000	34.02863550
1449.90000000	33.50305622
1459.61000000	28.25260962
1465.98500000	28.77927932
1469.52000000	28.35353145
1469.52000000	28.35353145
1469.77000000	26.70270854
1469.77000000	26.70270854
1471.06000000	27.57001688
1471.20000000	28.93077676
1471.20000000	28.93077676
1471.20000000	28.93077676
1471.20000000	28.93077676
1471.20000000	28.93077676
1471.34000000	30.43664907
1471.34000000	30.43664907
1473.01000000	29.67709481
1473.01000000	29.67709481
1473.01000000	29.67709481
1473.01000000	29.67709481
1473.01000000	29.67709481
1473.01000000	29.67709481
1474.91000000	27.23297833
1478.08000000	32.02658332
1485.06000000	36.18950001
1485.06000000	36.18950001
1485.06000000	36.18950001
1485.06000000	36.18950001
1489.73500000	45.44679728
1489.73500000	45.44679728
1489.73500000	45.44679728
1489.73500000	45.44679728
1489.73500000	45.44679728
1489.73500000	45.44679728
1490.37000000	43.09599447
1490.37000000	43.09599447
1490.37000000	43.09599447
1504.11000000	29.50299415
1504.11000000	29.50299415
1504.11000000	29.50299415
1504.11000000	29.50299415
