DEPTH d	VALUE d
1376.22000000	61.10914486
1376.79000000	63.53381473
1376.79000000	63.53381473
1376.79000000	63.53381473
1376.79000000	63.53381473
1376.79000000	63.53381473
1376.85500000	65.13047101
1379.97500000	67.26180194
1383.03000000	62.63219141
1383.66500000	60.78337257
1386.05500000	66.55325677
1391.02500000	66.65646429
1395.57000000	65.24244189
1395.57000000	65.24244189
1395.57000000	65.24244189
1395.57000000	65.24244189
1395.57000000	65.24244189
1395.90500000	66.24677357
1400.83000000	71.77269759
1400.83000000	71.77269759
1403.44500000	71.28388688
1403.44500000	71.28388688
1403.44500000	71.28388688
1403.44500000	71.28388688
1403.44500000	71.28388688
1403.44500000	71.28388688
1403.44500000	71.28388688
1403.44500000	71.28388688
1403.52000000	69.95049916
1403.82000000	67.22611234
1403.98000000	65.21684699
1408.87000000	65.56840508
1414.39500000	69.51651294
1414.39500000	69.51651294
1414.39500000	69.51651294
1414.39500000	69.51651294
1414.39500000	69.51651294
1415.15000000	70.79432411
1415.33000000	65.94598481
1415.33000000	65.94598481
1417.23000000	62.48152887
1417.23000000	62.48152887
1417.23000000	62.48152887
1417.23000000	62.48152887
1421.90000000	64.50053998
1425.80000000	67.10783161
1428.19500000	65.54929901
1429.89000000	64.86595582
1430.38000000	63.84098832
1430.56000000	65.40155506
1431.13500000	63.29705768
1431.71000000	62.81813887
1432.15000000	61.62464372
1432.15000000	61.62464372
1432.17500000	60.07372387
1432.17500000	60.07372387
1432.17500000	60.07372387
1432.17500000	60.07372387
1432.20000000	61.07302962
1433.66500000	59.15268695
1434.13000000	59.83047294
1435.03500000	59.11162434
1437.00500000	59.41293979
1442.14000000	59.44398162
1445.07000000	58.29630237
1445.41000000	56.92553959
1447.44000000	56.40478466
1447.87500000	56.59260114
1448.28500000	56.82913308
1448.28500000	56.82913308
1448.46500000	57.72787271
1448.46500000	57.72787271
1448.58000000	56.73203398
1448.58000000	56.73203398
1448.64000000	57.73045891
1448.64000000	57.73045891
1448.64000000	57.73045891
1448.70000000	58.16856906
1448.77000000	56.38063651
1449.90000000	58.09000828
1449.90000000	58.09000828
1449.95000000	58.73399181
1451.32000000	58.16169087
1459.61000000	56.82259883
1464.18000000	56.28595477
1469.27000000	58.33535272
1469.27000000	58.33535272
1469.52000000	58.09318830
1469.52000000	58.09318830
1470.30500000	57.83680074
1470.84000000	58.45334639
1470.84000000	58.45334639
1470.84000000	58.45334639
1470.95000000	59.59842329
1470.95000000	59.59842329
1471.06000000	59.84366581
1471.06000000	59.84366581
1471.20000000	59.34576725
1471.34000000	61.06498427
1473.01000000	60.57048557
1473.01000000	60.57048557
1473.01000000	60.57048557
1473.01000000	60.57048557
1474.68000000	61.70380408
1475.14000000	61.71155233
1479.90000000	61.34988924
1479.90000000	61.34988924
1479.90000000	61.34988924
1479.90000000	61.34988924
1485.69500000	64.65485434
1485.69500000	64.65485434
1485.69500000	64.65485434
1485.69500000	64.65485434
1490.37000000	61.45368540
1495.26500000	60.73252547
1500.16000000	233.56512074
1500.16000000	233.56512074
1500.16000000	233.56512074
1504.11000000	59.10509196
1504.11000000	59.10509196
1504.11000000	59.10509196
1504.11000000	59.10509196
1504.11000000	59.10509196
1504.18500000	57.49995010
1504.26000000	236.92515609
1504.26000000	236.92515609
1504.26000000	236.92515609
1506.56500000	242.65107701
1506.56500000	242.65107701
1508.87000000	245.39221624
1510.84000000	245.29837320
1514.00000000	244.52785863
1514.00000000	244.52785863
1514.00000000	244.52785863
1515.75000000	245.00149123
1516.61000000	244.14346381
1516.61000000	244.14346381
1516.61000000	244.14346381
1517.11000000	245.13804699
1517.11000000	245.13804699
1519.89000000	243.83803420
1519.89000000	243.83803420
1520.19000000	244.07904223
1520.89000000	65.06770092
1520.89000000	65.06770092
1520.89000000	65.06770092
1520.89000000	65.06770092
1521.10000000	63.54242448
1521.10000000	63.54242448
1521.31000000	242.38329043
1523.47500000	62.14408780
1525.92500000	62.13655338
1526.21000000	65.26785685
1526.21000000	65.26785685
1528.51000000	67.46919756
1533.71000000	71.34853308
1533.71000000	71.34853308
1533.71000000	71.34853308
1533.71000000	71.34853308
1533.71000000	71.34853308
1539.13000000	75.96185030
1539.13000000	75.96185030
1540.21000000	80.15674256
1540.59000000	80.09575325
1544.85500000	73.89265335
1544.85500000	73.89265335
1544.85500000	73.89265335
1544.85500000	73.89265335
1544.85500000	73.89265335
1544.85500000	73.89265335
1544.85500000	73.89265335
1544.85500000	73.89265335
1548.89000000	69.02739343
1548.89000000	69.02739343
1549.79000000	246.92135627
1549.93500000	241.87330037
1549.93500000	241.87330037
1549.93500000	241.87330037
1549.93500000	241.87330037
1550.08000000	239.74916933
1557.74500000	241.53183483
1557.74500000	241.53183483
1565.89500000	245.83173933
1566.38000000	66.14017930
1567.83000000	69.09318657
1567.83000000	69.09318657
1567.83000000	69.09318657
1567.84000000	249.32485908
1567.85000000	70.32055654
1567.85000000	70.32055654
1567.85000000	70.32055654
1567.85000000	70.32055654
1567.85000000	70.32055654
1567.85000000	70.32055654
1567.85000000	70.32055654
1567.85000000	70.32055654
1567.85000000	70.32055654
