DEPTH d	VALUE d
1376.22000000	0.00499494
1376.79000000	0.00000000
1376.79000000	0.00000000
1376.79000000	0.00000000
1376.79000000	0.00000000
1376.79000000	0.00000000
1376.85500000	0.00080214
1379.97500000	0.00177945
1383.03000000	0.00341880
1383.66500000	0.00283480
1386.05500000	0.00002438
1391.02500000	0.00036532
1395.57000000	0.00000000
1395.57000000	0.00000000
1395.57000000	0.00000000
1395.57000000	0.00000000
1395.57000000	0.00352034
1395.90500000	0.00131750
1400.83000000	0.00000000
1400.83000000	0.00021949
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.52000000	0.01066351
1403.82000000	0.01474585
1403.98000000	0.00008442
1408.87000000	0.00083909
1414.39500000	0.00000000
1414.39500000	0.00000000
1414.39500000	0.00000000
1414.39500000	0.00000000
1414.39500000	0.00198734
1415.15000000	0.03162809
1415.33000000	0.00000000
1415.33000000	0.00214109
1417.23000000	0.00000000
1417.23000000	0.00000000
1417.23000000	0.00000000
1417.23000000	0.00050766
1421.90000000	0.00078501
1425.80000000	0.00076412
1428.19500000	0.00047339
1429.89000000	0.00245622
1430.38000000	0.01018034
1430.56000000	0.00429767
1431.13500000	0.00097802
1431.71000000	0.00318508
1432.15000000	0.00000000
1432.15000000	0.00000000
1432.17500000	0.00000000
1432.17500000	0.00000000
1432.17500000	0.00000000
1432.17500000	0.00000000
1432.20000000	0.00153919
1433.66500000	0.00171156
1434.13000000	0.00093270
1435.03500000	0.00017960
1437.00500000	0.00000710
1442.14000000	0.00045994
1445.07000000	0.00473408
1445.41000000	0.00030122
1447.44000000	0.00050699
1447.87500000	0.00067742
1448.28500000	0.00000000
1448.28500000	0.00586292
1448.46500000	0.00000000
1448.46500000	0.01016819
1448.58000000	0.00000000
1448.58000000	0.00000000
1448.64000000	0.00000000
1448.64000000	0.00000000
1448.64000000	0.00000000
1448.70000000	0.00000000
1448.77000000	0.00177628
1449.90000000	0.00000000
1449.90000000	0.00000000
1449.95000000	0.00049052
1451.32000000	0.00018967
1459.61000000	0.00013789
1464.18000000	0.00047278
1469.27000000	0.00000000
1469.27000000	0.00113743
1469.52000000	0.00000000
1469.52000000	0.00038351
1470.30500000	0.00135321
1470.84000000	0.00000000
1470.84000000	0.00000000
1470.84000000	0.01222347
1470.95000000	0.00000000
1470.95000000	0.00261792
1471.06000000	0.00000000
1471.06000000	0.00417605
1471.20000000	0.01441967
1471.34000000	0.00034770
1473.01000000	0.00000000
1473.01000000	0.00000000
1473.01000000	0.00000000
1473.01000000	0.00079687
1474.68000000	0.00001978
1475.14000000	0.00008922
1479.90000000	0.00000000
1479.90000000	0.00000000
1479.90000000	0.00000000
1479.90000000	0.00066968
1485.69500000	0.00000000
1485.69500000	0.00000000
1485.69500000	0.00000000
1485.69500000	0.00080379
1490.37000000	0.00017324
1495.26500000	0.00028942
1500.16000000	0.00000000
1500.16000000	0.00000000
1500.16000000	0.00012513
1504.11000000	0.00000000
1504.11000000	0.00000000
1504.11000000	0.00000000
1504.11000000	0.00000000
1504.11000000	0.00000000
1504.18500000	0.00000000
1504.26000000	0.00000000
1504.26000000	0.00000000
1504.26000000	0.00291694
1506.56500000	0.00000000
1506.56500000	0.00139641
1508.87000000	0.00005594
1510.84000000	0.00028632
1514.00000000	0.00000000
1514.00000000	0.00000000
1514.00000000	0.00031780
1515.75000000	0.00117153
1516.61000000	0.00000000
1516.61000000	0.00000000
1516.61000000	0.00233574
1517.11000000	0.00000000
1517.11000000	0.00054910
1519.89000000	0.00000000
1519.89000000	0.00094333
1520.19000000	0.30028597
1520.89000000	0.00000000
1520.89000000	0.00000000
1520.89000000	0.00000000
1520.89000000	0.00852868
1521.10000000	0.00000000
1521.10000000	1.00000000
1521.31000000	0.09749663
1523.47500000	0.00000361
1525.92500000	0.01290128
1526.21000000	0.00000000
1526.21000000	0.00112386
1528.51000000	0.00087600
1533.71000000	0.00000000
1533.71000000	0.00000000
1533.71000000	0.00000000
1533.71000000	0.00000000
1533.71000000	0.00099946
1539.13000000	0.00000000
1539.13000000	0.00456089
1540.21000000	0.00018846
1540.59000000	0.00170782
1544.85500000	0.00000000
1544.85500000	0.00000000
1544.85500000	0.00000000
1544.85500000	0.00000000
1544.85500000	0.00000000
1544.85500000	0.00000000
1544.85500000	0.00000000
1544.85500000	0.00141584
1548.89000000	0.00000000
1548.89000000	0.23209791
1549.79000000	0.04087979
1549.93500000	0.00000000
1549.93500000	0.00000000
1549.93500000	0.00000000
1549.93500000	0.01720148
1550.08000000	0.00027309
1557.74500000	0.00000000
1557.74500000	0.00061952
1565.89500000	0.43504930
1566.38000000	0.00239138
1567.83000000	0.00000000
1567.83000000	0.00000000
1567.83000000	0.00000000
1567.84000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.07740895
1570.53000000	0.07827972
1573.21000000	0.00000000
1573.21000000	0.00582686
1573.72000000	0.00000000
1573.72000000	0.01225103
1589.79000000	0.00000000
1589.79000000	0.00993134
1590.09500000	0.00000000
1590.17000000	0.00556372
1590.94000000	0.00000000
1590.94000000	0.00000000
1590.94000000	0.00000000
1590.94000000	0.00075326
1594.89500000	0.00031511
1597.55000000	0.02371968
1597.66000000	0.68353050
1597.96500000	0.00000000
1597.96500000	0.00000000
1597.96500000	0.00000000
1597.96500000	0.00000000
1597.96500000	0.00097011
1598.24500000	0.00849100
1598.70000000	0.00186413
1599.07000000	0.00000000
1599.07000000	0.00198472
1600.50500000	0.00231169
1601.25000000	0.00040446
1605.87000000	0.00583146
1606.00000000	0.00032508
1606.47500000	0.00000000
1606.47500000	0.00000000
1606.47500000	0.00266341
1606.95000000	0.00158227
1608.01000000	0.00084865
1609.70500000	0.00103048
1611.40000000	0.00000000
1611.42000000	0.00000000
1611.42000000	0.00000000
1611.42000000	0.00000000
1611.42000000	0.00000000
1611.42000000	0.00612246
1611.67000000	0.01457586
1612.11000000	0.00244572
1613.44000000	0.00000000
1613.44000000	0.00000000
1613.44000000	0.00079825
1614.53000000	0.01467010
1628.50000000	0.00059741
1630.29500000	0.00197914
1632.09000000	0.00000000
1632.09000000	0.00000000
1632.09000000	0.00445972
1632.31000000	0.00000000
1632.31000000	0.00000000
1632.31000000	0.00000000
1632.31000000	0.04149887
1632.53000000	0.00000000
1632.53000000	0.00076491
1636.82000000	0.00000000
1636.82000000	0.00000000
1636.82000000	0.00000000
1636.82000000	0.00000000
1636.82000000	0.00065718
1641.11000000	0.00000000
1641.11000000	0.00000000
1641.11000000	0.00000000
1641.11000000	0.00141718
1647.89000000	0.00137195
1652.43000000	0.00000000
1652.43000000	0.00000000
1652.43000000	0.00000000
1652.43000000	0.00000000
1652.43000000	0.02817826
1652.74500000	0.00000000
1652.74500000	0.00000000
1652.74500000	0.01925675
1653.06000000	0.00000000
1653.06000000	0.00152990
1655.46000000	0.00000000
1655.46000000	0.00000000
1655.46000000	0.00000000
1655.46000000	0.00000000
1655.46000000	0.00246622
1657.86000000	0.00000000
1657.86000000	0.00000000
1657.86000000	0.00000000
1657.86000000	0.00001188
1662.71500000	0.00368610
1667.57000000	0.00000000
1667.57000000	0.00000000
1667.57000000	0.00000000
1667.57000000	0.00000000
1667.57000000	0.00000000
1667.57000000	0.00000000
1667.57000000	0.00000000
1667.57000000	0.00000000
1667.57000000	0.00000000
1667.57000000	0.00000000
1667.57000000	0.00000000
1667.57000000	0.00000000
1667.57000000	0.00000000
1667.57000000	0.00000000
1713.73000000	0.00000000
1713.73000000	0.00000000
1713.73000000	0.00000000
