DEPTH d	VALUE d
1376.22000000	101.97647613
1376.79000000	104.94036551
1376.79000000	104.94036551
1376.79000000	104.94036551
1376.79000000	104.94036551
1376.79000000	104.94036551
1376.85500000	106.00100274
1379.97500000	107.56185793
1383.03000000	103.51289036
1383.66500000	103.76841822
1386.05500000	109.97703693
1391.02500000	104.29894942
1395.57000000	109.99678492
1395.57000000	109.99678492
1395.57000000	109.99678492
1395.57000000	109.99678492
1395.57000000	109.99678492
1395.90500000	111.17890771
1400.83000000	116.36015911
1400.83000000	116.36015911
1403.44500000	122.76622882
1403.44500000	122.76622882
1403.44500000	122.76622882
1403.44500000	122.76622882
1403.44500000	122.76622882
1403.44500000	122.76622882
1403.44500000	122.76622882
1403.44500000	122.76622882
1403.52000000	120.27010779
1403.82000000	113.12337440
1403.98000000	108.26356530
1408.87000000	108.98270751
1414.39500000	109.52070703
1414.39500000	109.52070703
1414.39500000	109.52070703
1414.39500000	109.52070703
1414.39500000	109.52070703
1415.15000000	112.97209768
1415.33000000	100.59933723
1415.33000000	100.59933723
1417.23000000	92.21807257
1417.23000000	92.21807257
1417.23000000	92.21807257
1417.23000000	92.21807257
1421.90000000	109.19210879
1425.80000000	113.87414726
1428.19500000	107.84590495
1429.89000000	105.82798182
1430.38000000	109.09607343
1430.56000000	110.39497967
1431.13500000	107.04090805
1431.71000000	108.13114428
1432.15000000	106.20579700
1432.15000000	106.20579700
1432.17500000	102.74062080
1432.17500000	102.74062080
1432.17500000	102.74062080
1432.17500000	102.74062080
1432.20000000	103.12103348
1433.66500000	97.61810173
1434.13000000	100.46462137
1435.03500000	97.57967329
1437.00500000	96.17808427
1442.14000000	93.15223116
1445.07000000	92.87284019
1445.41000000	93.34789324
1447.44000000	95.31682061
1447.87500000	95.50652513
1448.28500000	92.23991014
1448.28500000	92.23991014
1448.46500000	98.31513394
1448.46500000	98.31513394
1448.58000000	98.44133927
1448.58000000	98.44133927
1448.64000000	100.50353685
1448.64000000	100.50353685
1448.64000000	100.50353685
1448.70000000	99.66782891
1448.77000000	98.00346443
1449.90000000	107.16819436
1449.90000000	107.16819436
1449.95000000	111.15815374
1451.32000000	114.75387120
1459.61000000	112.08725160
1464.18000000	103.81640259
1469.27000000	117.87333302
1469.27000000	117.87333302
1469.52000000	114.72169331
1469.52000000	114.72169331
1470.30500000	115.49978909
1470.84000000	114.31052787
1470.84000000	114.31052787
1470.84000000	114.31052787
1470.95000000	115.72742213
1470.95000000	115.72742213
1471.06000000	112.46926782
1471.06000000	112.46926782
1471.20000000	115.26164389
1471.34000000	116.22632041
