DEPTH d	VALUE d
1376.22000000	83.65316804
1376.79000000	85.79572988
1379.91000000	88.36179906
1383.66500000	96.15624485
1384.30000000	89.40680866
1386.48000000	86.75633919
1391.02500000	89.95141754
1395.70000000	91.94653369
1399.74000000	94.33432632
1403.61000000	90.62230871
1403.82000000	92.12742221
1408.20000000	92.06976367
1410.98000000	91.61491410
1413.76000000	90.92205127
1415.33000000	91.98959631
1417.23000000	85.88567757
1417.61500000	83.02798556
1418.00000000	83.82372294
1421.90000000	87.72423237
1426.50000000	84.71092570
1428.47500000	84.99596256
1430.56000000	87.16896706
1431.71000000	84.32229655
1431.93000000	85.98821772
1432.20000000	84.39129576
1433.66500000	84.52792790
1434.13000000	85.58745470
1436.23000000	84.16441539
1441.15000000	83.27223130
1444.86500000	81.68788934
1445.24000000	82.59811396
1445.41000000	81.52461150
1447.44000000	82.06507159
1447.87500000	80.89617221
1448.35000000	80.12608477
1448.46500000	80.64065846
1448.64000000	81.19333480
1448.77000000	80.29007779
1449.47000000	81.73138269
1449.90000000	84.00872096
1459.61000000	98.94243854
1465.98500000	98.47002662
1469.52000000	103.01812416
1469.77000000	112.97107249
1471.06000000	112.50772363
1471.20000000	102.76325544
1471.34000000	95.53524692
1473.01000000	104.90511446
1474.91000000	103.52287053
1478.08000000	94.51494892
1485.06000000	85.86108463
1489.73500000	74.18964945
1490.37000000	73.69210332
1504.26000000	81.23069232
1508.53500000	91.78827486
1512.81000000	87.92821015
1514.00000000	99.84208328
1515.19000000	93.19009211
1515.75000000	96.56098588
1517.11000000	118.62930787
1519.00000000	103.01602835
1521.10000000	93.78027932
1521.31000000	89.27016277
1523.76000000	91.30976272
1526.21000000	87.03037826
1527.16500000	87.20687914
1528.12000000	85.54213478
1528.51000000	83.56186362
1538.20000000	77.75705693
1539.13000000	77.86036317
1540.21000000	76.54497000
1540.36000000	77.31839998
1545.07500000	78.13831056
1549.79000000	78.53358728
1565.41000000	81.08993904
1566.62000000	79.10599706
1567.83000000	78.50005202
1570.77500000	81.66036696
1573.72000000	84.23307064
1590.17000000	85.53531001
1591.20500000	85.06569334
1592.24000000	85.50181659
1595.00500000	83.22545372
1597.77000000	81.47118580
1598.42000000	79.09210790
1599.51500000	76.90393193
1600.50500000	77.92869897
1601.05000000	76.11338173
1601.25000000	76.10778354
1604.20000000	78.71371283
1606.95000000	82.79207206
1607.21500000	82.95645788
1607.48000000	84.38647564
1609.44000000	85.52218226
1611.40000000	87.89982837
1612.11000000	94.50676368
1613.44000000	114.87475692
1613.98500000	98.04851652
1614.53000000	111.96693275
1630.29500000	86.80807637
1632.09000000	83.50166028
1632.31000000	82.06480183
1632.53000000	80.73725283
1636.82000000	75.55111604
1652.43000000	70.01022721
1652.74500000	68.37899205
1653.06000000	59.98406393
1660.31500000	61.20655489
1667.57000000	63.90519744
1704.44000000	81.14585520
1713.73000000	84.87691298
1726.78000000	50.19968373
1728.40500000	89.78344180
1730.03000000	65.88817733
1738.64000000	64.05834020
1738.97500000	71.99434025
1739.31000000	73.84735266
1741.28000000	75.76087943
1743.25000000	75.25464679
1758.01000000	78.12278220
1761.08000000	68.64434444
1763.49000000	67.25315547
1764.39000000	68.37772001
1764.55500000	71.65799681
1764.89000000	72.10430161
1766.38500000	72.17449222
1767.71000000	72.43951122
1769.44000000	71.33040963
1771.17000000	72.19019291
1771.39000000	72.03178527
1771.72500000	79.12113160
1777.73000000	80.56957388
1780.50000000	80.49988330
