DEPTH d	VALUE d
1376.22000000	224.24809919
1376.79000000	226.73340009
1376.79000000	226.73340009
1376.79000000	226.73340009
1376.79000000	226.73340009
1376.79000000	226.73340009
1376.85500000	228.06950421
1379.97500000	228.66344883
1383.03000000	225.37328315
1383.66500000	223.73881615
1386.05500000	232.46195946
1391.02500000	232.92268082
1395.57000000	231.81679127
1395.57000000	231.81679127
1395.57000000	231.81679127
1395.57000000	231.81679127
1395.57000000	231.81679127
1395.90500000	233.32621613
1400.83000000	241.89572852
1400.83000000	241.89572852
1403.44500000	243.37651081
1403.44500000	243.37651081
1403.44500000	243.37651081
1403.44500000	243.37651081
1403.44500000	243.37651081
1403.44500000	243.37651081
1403.44500000	243.37651081
1403.44500000	243.37651081
1403.52000000	241.77254073
1403.82000000	236.36359436
1403.98000000	232.61002968
1408.87000000	233.59598312
1414.39500000	237.87592045
1414.39500000	237.87592045
1414.39500000	237.87592045
1414.39500000	237.87592045
1414.39500000	237.87592045
1415.15000000	239.29950269
1415.33000000	233.30559595
1415.33000000	233.30559595
1417.23000000	229.12655689
1417.23000000	229.12655689
1417.23000000	229.12655689
1417.23000000	229.12655689
1421.90000000	232.49237544
1425.80000000	235.07039122
1428.19500000	233.25876559
1429.89000000	232.43073008
1430.38000000	230.71423538
1430.56000000	233.08935455
1431.13500000	229.59651151
1431.71000000	228.52919340
1432.15000000	228.21206586
1432.15000000	228.21206586
1432.17500000	226.05218074
1432.17500000	226.05218074
1432.17500000	226.05218074
1432.17500000	226.05218074
1432.20000000	227.78253531
1433.66500000	225.07153984
1434.13000000	225.46725916
1435.03500000	224.74456185
1437.00500000	225.47933249
1442.14000000	226.40001234
1445.07000000	225.28563302
1445.41000000	226.53675983
1447.44000000	225.57931979
1447.87500000	225.97487968
1448.28500000	226.16505605
1448.28500000	226.16505605
1448.46500000	227.66874436
1448.46500000	227.66874436
1448.58000000	226.86860245
1448.58000000	226.86860245
1448.64000000	228.36330956
1448.64000000	228.36330956
1448.64000000	228.36330956
1448.70000000	228.94994315
1448.77000000	226.75438675
1449.90000000	228.75989551
1449.90000000	228.75989551
1449.95000000	229.40047749
1451.32000000	228.41772934
1459.61000000	224.86737576
1464.18000000	225.88184397
1469.27000000	228.74090811
1469.27000000	228.74090811
1469.52000000	227.71797744
1469.52000000	227.71797744
1470.30500000	227.65538859
1470.84000000	228.43450868
1470.84000000	228.43450868
1470.84000000	228.43450868
1470.95000000	229.17169323
1470.95000000	229.17169323
1471.06000000	230.14769938
1471.06000000	230.14769938
1471.20000000	229.04609052
1471.34000000	232.66612786
1473.01000000	232.14125361
1473.01000000	232.14125361
1473.01000000	232.14125361
1473.01000000	232.14125361
1474.68000000	233.82293103
1475.14000000	233.83386439
1479.90000000	233.20798732
1479.90000000	233.20798732
1479.90000000	233.20798732
1479.90000000	233.20798732
1485.69500000	238.25052001
1485.69500000	238.25052001
1485.69500000	238.25052001
1485.69500000	238.25052001
1490.37000000	238.01992534
1495.26500000	238.15860074
1500.16000000	236.66316745
1500.16000000	236.66316745
1500.16000000	236.66316745
1504.11000000	231.69771516
1504.11000000	231.69771516
1504.11000000	231.69771516
1504.11000000	231.69771516
1504.11000000	231.69771516
1504.18500000	230.27646448
1504.26000000	229.54029024
1504.26000000	229.54029024
1504.26000000	229.54029024
1506.56500000	235.46926033
1506.56500000	235.46926033
1508.87000000	239.33530393
1510.84000000	239.24123011
1514.00000000	237.68079409
1514.00000000	237.68079409
1514.00000000	237.68079409
1515.75000000	237.97740440
1516.61000000	236.53130221
1516.61000000	236.53130221
1516.61000000	236.53130221
1517.11000000	238.15303620
1517.11000000	238.15303620
1519.89000000	236.08085076
1519.89000000	236.08085076
1520.19000000	236.80884258
1520.89000000	238.43409598
1520.89000000	238.43409598
1520.89000000	238.43409598
1520.89000000	238.43409598
1521.10000000	237.69340403
1521.10000000	237.69340403
1521.31000000	236.22574882
1523.47500000	235.76696132
1525.92500000	235.87577762
1526.21000000	237.11687224
1526.21000000	237.11687224
1528.51000000	238.31966484
1533.71000000	242.34717111
1533.71000000	242.34717111
1533.71000000	242.34717111
1533.71000000	242.34717111
1533.71000000	242.34717111
1539.13000000	247.85247337
1539.13000000	247.85247337
1540.21000000	253.45370968
1540.59000000	253.04986912
1544.85500000	244.72867626
1544.85500000	244.72867626
1544.85500000	244.72867626
1544.85500000	244.72867626
1544.85500000	244.72867626
1544.85500000	244.72867626
1544.85500000	244.72867626
1544.85500000	244.72867626
1548.89000000	241.19719777
1548.89000000	241.19719777
1549.79000000	239.07462902
1549.93500000	235.77926845
1549.93500000	235.77926845
1549.93500000	235.77926845
1549.93500000	235.77926845
1550.08000000	230.89524957
1557.74500000	232.56047604
1557.74500000	232.56047604
1565.89500000	238.81459445
1566.38000000	238.08209126
1567.83000000	242.18718756
1567.83000000	242.18718756
1567.83000000	242.18718756
1567.84000000	240.25685668
1567.85000000	241.27923794
1567.85000000	241.27923794
1567.85000000	241.27923794
1567.85000000	241.27923794
1567.85000000	241.27923794
1567.85000000	241.27923794
1567.85000000	241.27923794
1567.85000000	241.27923794
1567.85000000	241.27923794
1567.85000000	241.27923794
1567.85000000	241.27923794
1570.53000000	248.81366998
1573.21000000	248.69594667
1573.21000000	248.69594667
1573.72000000	240.86487161
1573.72000000	240.86487161
1589.79000000	224.45609609
1589.79000000	224.45609609
1590.09500000	222.43102953
1590.17000000	221.08147807
1590.94000000	219.34184824
1590.94000000	219.34184824
1590.94000000	219.34184824
1590.94000000	219.34184824
1594.89500000	225.56100327
1597.55000000	224.83657892
1597.66000000	227.41620960
1597.96500000	231.26559206
1597.96500000	231.26559206
1597.96500000	231.26559206
1597.96500000	231.26559206
1597.96500000	231.26559206
1598.24500000	229.07013946
1598.70000000	232.02530606
1599.07000000	232.62117884
1599.07000000	232.62117884
1600.50500000	236.64564010
1601.25000000	233.65490370
1605.87000000	235.40906374
1606.00000000	233.82105099
1606.47500000	233.68043815
1606.47500000	233.68043815
1606.47500000	233.68043815
1606.95000000	231.67922041
1608.01000000	230.11180788
1609.70500000	231.31659724
1611.40000000	229.05053561
1611.42000000	225.13446702
1611.42000000	225.13446702
1611.42000000	225.13446702
1611.42000000	225.13446702
1611.42000000	225.13446702
1611.67000000	227.38223881
1612.11000000	222.39269543
1613.44000000	222.12896401
1613.44000000	222.12896401
1613.44000000	222.12896401
1614.53000000	222.68992418
1628.50000000	221.65256420
1630.29500000	222.35325666
1632.09000000	220.26208670
1632.09000000	220.26208670
1632.09000000	220.26208670
1632.31000000	224.20812469
1632.31000000	224.20812469
1632.31000000	224.20812469
1632.31000000	224.20812469
1632.53000000	227.83158875
1632.53000000	227.83158875
1636.82000000	230.29131948
1636.82000000	230.29131948
1636.82000000	230.29131948
1636.82000000	230.29131948
1636.82000000	230.29131948
1641.11000000	232.35882252
1641.11000000	232.35882252
1641.11000000	232.35882252
1641.11000000	232.35882252
1647.89000000	243.83066348
1652.43000000	249.37040175
1652.43000000	249.37040175
1652.43000000	249.37040175
1652.43000000	249.37040175
1652.43000000	249.37040175
1652.74500000	235.66948751
1652.74500000	235.66948751
1652.74500000	235.66948751
1653.06000000	228.82316113
1653.06000000	228.82316113
1655.46000000	225.43032698
1655.46000000	225.43032698
1655.46000000	225.43032698
1655.46000000	225.43032698
1655.46000000	225.43032698
1657.86000000	221.46984052
1657.86000000	221.46984052
1657.86000000	221.46984052
1657.86000000	221.46984052
1662.71500000	219.74418255
1667.57000000	214.44312236
1667.57000000	214.44312236
1667.57000000	214.44312236
1667.57000000	214.44312236
1667.57000000	214.44312236
1667.57000000	220.19870733
1667.57000000	220.19870733
1667.57000000	220.19870733
1667.57000000	220.19870733
1667.57000000	220.19870733
1667.57000000	220.19870733
1667.57000000	220.19870733
1667.57000000	220.19870733
1667.57000000	220.19870733
1713.73000000	267.62208190
1713.73000000	267.62208190
1713.73000000	267.62208190
1713.73000000	267.62208190
1713.73000000	267.62208190
1713.73000000	267.62208190
1713.73000000	267.62208190
1713.73000000	267.62208190
1713.73000000	267.62208190
1713.73000000	267.62208190
1713.73000000	267.62208190
1713.73000000	267.62208190
1713.73000000	267.62208190
1726.78000000	239.91208679
1727.19000000	234.32934754
1727.19000000	234.32934754
1727.60000000	235.06452110
1727.60000000	235.06452110
1727.60000000	235.06452110
1727.60000000	235.06452110
1728.81500000	232.77013467
1728.81500000	232.77013467
1728.81500000	232.77013467
1728.81500000	232.77013467
1728.81500000	232.77013467
1734.33500000	238.90201231
1734.33500000	238.90201231
1734.33500000	238.90201231
1734.33500000	238.90201231
1738.64000000	240.72837459
1738.64000000	240.72837459
1738.64000000	240.72837459
1738.64000000	240.72837459
1738.97500000	244.29832514
1739.31000000	248.63012040
1739.31000000	248.63012040
1741.28000000	254.74424235
1741.28000000	254.74424235
1741.28000000	254.74424235
1741.28000000	254.74424235
1741.28000000	254.74424235
1741.28000000	254.74424235
1741.28000000	254.74424235
1743.25000000	258.57930848
1743.25000000	258.57930848
1758.01000000	253.15343360
1758.01000000	253.15343360
1758.01000000	253.15343360
1758.01000000	253.15343360
1761.08000000	227.12132993
1763.49000000	224.61850793
1764.39000000	228.27180372
1764.39000000	228.27180372
1764.39000000	228.27180372
1764.55500000	228.04641650
1764.55500000	228.04641650
1764.72000000	229.35224294
1765.06000000	230.43827915
1767.71000000	231.95890697
1767.71000000	231.95890697
1767.71000000	231.95890697
1767.71000000	231.95890697
1767.71000000	231.95890697
1770.12000000	230.46740824
1771.17000000	227.60482705
1771.28000000	227.87285846
1771.28000000	227.87285846
1771.28000000	227.87285846
1771.28000000	227.87285846
1771.50000000	228.53712095
1771.84000000	229.92133588
1777.32500000	230.24222390
1777.32500000	230.24222390
1777.32500000	230.24222390
1777.73000000	230.88804407
1777.73000000	230.88804407
1777.92000000	229.80443585
1780.69000000	229.26723039
1784.16500000	224.75069523
1784.16500000	224.75069523
1784.16500000	224.75069523
1784.16500000	224.75069523
1784.16500000	224.75069523
1784.26000000	224.42127059
1785.31000000	233.61797933
1785.31000000	233.61797933
1785.31000000	233.61797933
1785.31000000	233.61797933
1785.31000000	233.61797933
1788.62000000	241.61673673
1792.02500000	228.53256312
1792.12000000	221.12108636
1792.12000000	221.12108636
1792.12000000	221.12108636
1792.12000000	221.12108636
1792.12000000	221.12108636
1792.12000000	221.12108636
1816.37000000	233.52150273
