DEPTH d	VALUE d
1376.22000000	250.79006476
1376.79000000	254.43482959
1376.79000000	254.43482959
1376.79000000	254.43482959
1376.79000000	254.43482959
1376.79000000	254.43482959
1379.91000000	256.80618447
1383.66500000	260.81974662
1384.30000000	252.51334587
1384.30000000	252.51334587
1386.48000000	258.34461034
1391.02500000	259.15877820
1391.02500000	259.15877820
1391.02500000	259.15877820
1391.02500000	259.15877820
1391.02500000	259.15877820
1391.02500000	259.15877820
1395.70000000	259.11065882
1399.74000000	266.06626003
1399.74000000	266.06626003
1403.44500000	259.73427786
1403.44500000	259.73427786
1403.52000000	271.58190585
1403.52000000	271.58190585
1403.52000000	271.58190585
1403.52000000	271.58190585
1403.52000000	271.58190585
1403.52000000	271.58190585
1403.61000000	268.53845069
1403.82000000	267.54665998
1408.20000000	270.00122423
1410.98000000	267.85865943
1413.76000000	272.55435616
1413.76000000	272.55435616
1413.76000000	272.55435616
1413.76000000	272.55435616
1413.76000000	272.55435616
1415.27000000	278.95955309
1415.33000000	281.40752211
1415.33000000	281.40752211
1417.23000000	268.70610155
1417.23000000	268.70610155
1417.61500000	257.65261245
1417.61500000	257.65261245
1418.00000000	260.86567542
1421.90000000	267.19473357
1426.50000000	261.08284634
1428.47500000	259.39422153
1430.56000000	257.37942707
1431.71000000	256.82327250
1431.71000000	256.82327250
1431.93000000	256.96719668
1432.17500000	253.12431822
1432.17500000	253.12431822
1432.17500000	253.12431822
1432.17500000	253.12431822
1432.17500000	253.12431822
1432.17500000	253.12431822
1432.20000000	254.22032742
1433.66500000	249.61001793
1434.13000000	251.80462112
1436.23000000	249.22987225
1441.15000000	248.44268073
1444.86500000	246.97377251
1445.24000000	244.60689213
1445.41000000	239.69975567
1447.44000000	239.15709985
1447.87500000	239.70686046
1448.28500000	240.71360863
1448.28500000	240.71360863
1448.35000000	240.17146697
1448.35000000	240.17146697
1448.46500000	237.78701971
1448.46500000	237.78701971
1448.46500000	237.78701971
1448.46500000	237.78701971
1448.46500000	237.78701971
1448.58000000	238.54770413
1448.64000000	236.00712098
1448.77000000	237.71738877
1448.77000000	237.71738877
1449.47000000	239.06199608
1449.90000000	238.89830085
1459.61000000	237.05677799
1465.98500000	238.47274016
1469.52000000	241.45846846
1469.52000000	241.45846846
1469.77000000	241.23130349
1469.77000000	241.23130349
1471.06000000	239.83680632
1471.20000000	241.03475916
1471.20000000	241.03475916
1471.20000000	241.03475916
1471.20000000	241.03475916
1471.20000000	241.03475916
1471.34000000	241.72389909
1471.34000000	241.72389909
1473.01000000	240.69456678
1473.01000000	240.69456678
1473.01000000	240.69456678
1473.01000000	240.69456678
1473.01000000	240.69456678
1473.01000000	240.69456678
1474.91000000	258.47991043
1478.08000000	257.92830992
1485.06000000	259.83582083
1485.06000000	259.83582083
1485.06000000	259.83582083
1485.06000000	259.83582083
