DEPTH d	VALUE d
1376.22000000	0.07463478
1376.79000000	0.00000000
1376.79000000	0.00000000
1376.79000000	0.00000000
1376.79000000	0.00000000
1376.79000000	0.00495681
1379.91000000	0.01756855
1383.66500000	0.15122115
1384.30000000	0.00000000
1384.30000000	0.07273571
1386.48000000	0.01801478
1391.02500000	0.00000000
1391.02500000	0.00000000
1391.02500000	0.00000000
1391.02500000	0.00000000
1391.02500000	0.00000000
1391.02500000	0.02741022
1395.70000000	0.01401137
1399.74000000	0.00000000
1399.74000000	0.00039333
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.52000000	0.00000000
1403.52000000	0.00000000
1403.52000000	0.00000000
1403.52000000	0.00000000
1403.52000000	0.00000000
1403.52000000	0.00000000
1403.61000000	0.13878996
1403.82000000	0.00351150
1408.20000000	0.02711575
1410.98000000	0.02060885
1413.76000000	0.00000000
1413.76000000	0.00000000
1413.76000000	0.00000000
1413.76000000	0.00000000
1413.76000000	0.03101413
1415.27000000	0.00000000
1415.33000000	0.00000000
1415.33000000	0.01975243
1417.23000000	0.00000000
1417.23000000	0.05671906
1417.61500000	0.00000000
1417.61500000	0.07735373
1418.00000000	0.01195836
1421.90000000	0.00491705
1426.50000000	0.00754140
1428.47500000	0.01048905
1430.56000000	0.04728720
1431.71000000	0.00000000
1431.71000000	0.21100863
1431.93000000	0.01524577
1432.17500000	0.00000000
1432.17500000	0.00000000
1432.17500000	0.00000000
1432.17500000	0.00000000
1432.17500000	0.00000000
1432.17500000	0.00000000
1432.20000000	0.01601668
1433.66500000	0.07592178
1434.13000000	0.01134018
1436.23000000	0.00194397
1441.15000000	0.01269586
1444.86500000	0.01838689
1445.24000000	0.11939740
1445.41000000	0.00212987
1447.44000000	0.05761493
1447.87500000	0.09889958
1448.28500000	0.00000000
1448.28500000	0.00000000
1448.35000000	0.00000000
1448.35000000	0.06263079
1448.46500000	0.00000000
1448.46500000	0.00000000
1448.46500000	0.00000000
1448.46500000	0.00000000
1448.46500000	0.03503069
1448.58000000	0.00000000
1448.64000000	0.23856997
1448.77000000	0.00000000
1448.77000000	0.01504285
1449.47000000	0.00909911
1449.90000000	0.01649889
1459.61000000	0.00102846
1465.98500000	0.00421470
1469.52000000	0.00000000
1469.52000000	0.23291363
1469.77000000	0.00000000
1469.77000000	0.02628114
1471.06000000	0.19852889
1471.20000000	0.00000000
1471.20000000	0.00000000
1471.20000000	0.00000000
1471.20000000	0.00000000
1471.20000000	0.48561957
1471.34000000	0.00000000
1471.34000000	0.00447473
1473.01000000	0.00000000
1473.01000000	0.00000000
1473.01000000	0.00000000
1473.01000000	0.00000000
1473.01000000	0.00000000
1473.01000000	0.00351679
1474.91000000	0.02933870
1478.08000000	0.01317648
1485.06000000	0.00000000
1485.06000000	0.00000000
1485.06000000	0.00000000
1485.06000000	0.03001816
1489.73500000	0.00000000
1489.73500000	0.00000000
1489.73500000	0.00000000
1489.73500000	0.00000000
1489.73500000	0.00000000
1489.73500000	0.18006466
1490.37000000	0.00000000
1490.37000000	0.00000000
1490.37000000	0.01358296
1504.11000000	0.00000000
1504.11000000	0.00000000
1504.11000000	0.00000000
1504.11000000	0.00000000
1504.11000000	0.00000000
1504.18500000	0.00000000
1504.26000000	0.00000000
1504.26000000	0.00000000
1504.26000000	0.02074602
1508.53500000	0.00000000
1508.53500000	0.01579573
1512.81000000	0.04892876
1514.00000000	0.00074942
1515.19000000	0.00000000
1515.19000000	0.00000000
1515.19000000	0.00000000
1515.19000000	0.05984273
1515.75000000	0.00000000
1515.75000000	0.00000000
1515.75000000	0.02536178
1517.11000000	0.00000000
1517.11000000	0.01623923
1519.00000000	0.00000000
1519.00000000	0.03196829
1521.10000000	0.00000000
1521.10000000	0.00000000
1521.10000000	0.00000000
1521.10000000	0.00000000
1521.10000000	0.13589801
1521.31000000	0.00000000
1521.31000000	0.00921396
1523.76000000	0.01786244
1526.21000000	0.01627434
1527.16500000	0.02211379
1528.12000000	0.00000000
1528.12000000	0.02871769
1528.51000000	0.00903769
1538.20000000	0.00000000
1538.20000000	0.00000000
1538.20000000	0.00000000
1538.20000000	0.00000000
1538.20000000	0.01780785
1539.13000000	0.00000000
1539.13000000	0.02646037
1540.21000000	0.00000000
1540.21000000	0.08323038
1540.36000000	0.00000000
1540.36000000	0.00000000
1540.36000000	0.00000000
1540.36000000	0.00000000
1540.36000000	0.00000000
1540.36000000	0.00000000
1540.36000000	0.00000000
1540.36000000	0.01266048
1545.07500000	0.00000000
1545.07500000	0.01341282
1549.79000000	0.00000000
1549.79000000	0.00000000
1549.79000000	0.00000000
1549.79000000	0.00000000
1549.79000000	0.00475777
1565.41000000	0.00000000
1565.41000000	0.00000000
1565.41000000	0.06138870
1566.62000000	0.00000000
1566.62000000	0.00044131
1567.83000000	0.00000000
1567.83000000	0.00000000
1567.83000000	0.00000000
1567.83000000	0.04340348
1570.77500000	0.00000000
1570.77500000	0.00000000
1570.77500000	0.00000000
1570.77500000	0.00000000
1570.77500000	0.00000000
1570.77500000	0.00000000
1570.77500000	0.00000000
1570.77500000	0.00000000
1570.77500000	0.00000000
1570.77500000	0.00000000
1570.77500000	0.01582765
1573.72000000	0.00000000
1573.72000000	0.00000000
1573.72000000	0.00000000
1573.72000000	0.00000000
1573.72000000	0.00475458
1590.17000000	0.00000000
1590.17000000	0.05616327
1591.20500000	0.00000000
1591.20500000	0.09094754
1592.24000000	0.00000000
1592.24000000	0.00000000
1592.24000000	0.00000000
1592.24000000	0.03470620
1595.00500000	0.00698928
1597.77000000	0.10017723
1598.42000000	0.05231384
1599.51500000	0.00000000
1599.51500000	0.00000000
1599.51500000	0.00000000
1599.51500000	0.00000000
1599.51500000	0.00000000
1599.51500000	0.02876860
1600.50500000	0.00000000
1600.50500000	0.00000000
1600.50500000	0.08067262
1601.05000000	0.12167462
1601.25000000	0.00129940
1604.20000000	0.01751530
1606.95000000	0.06299660
1607.21500000	0.00000000
1607.21500000	0.00000000
1607.21500000	0.00000000
1607.21500000	0.05938868
1607.48000000	0.00555073
1609.44000000	0.02529180
1611.40000000	0.11860108
1612.11000000	0.00000000
1612.11000000	0.00000000
1612.11000000	0.00000000
1612.11000000	0.00000000
1612.11000000	0.00000000
1612.11000000	0.01336811
1613.44000000	0.06895789
1613.98500000	0.00000000
1613.98500000	0.00000000
1613.98500000	0.20414741
1614.53000000	0.00989284
1630.29500000	0.03350560
1632.09000000	0.14565069
1632.31000000	0.00000000
1632.31000000	0.00000000
1632.31000000	0.00000000
1632.31000000	0.00000000
1632.31000000	0.00000000
1632.31000000	0.00000000
1632.31000000	0.08664424
1632.53000000	0.00000000
1632.53000000	0.00000000
1632.53000000	0.00000000
1632.53000000	0.00000000
1632.53000000	0.00000000
1632.53000000	0.00000000
1632.53000000	0.02210976
1636.82000000	0.00000000
1636.82000000	0.00000000
1636.82000000	0.00000000
1636.82000000	0.00736960
1652.43000000	0.18937678
