DEPTH d	VALUE d
1376.22000000	239.53677844
1376.79000000	242.72470660
1379.91000000	245.08871371
1383.66500000	248.75807486
1384.30000000	239.97820281
1386.48000000	249.18618669
1391.02500000	249.33569473
1395.70000000	251.95079083
1399.74000000	260.53194404
1403.61000000	261.93951012
1403.82000000	259.83095321
1408.20000000	259.91956244
1410.98000000	258.00692727
1413.76000000	262.26480456
1415.33000000	266.53109682
1417.23000000	254.51752794
1417.61500000	247.50462736
1418.00000000	250.88460358
1421.90000000	255.62856747
1426.50000000	250.91683909
1428.47500000	249.60179925
1430.56000000	247.85834798
1431.71000000	247.81086074
1431.93000000	247.59371432
1432.20000000	246.41497301
1433.66500000	242.20705299
1434.13000000	244.01635708
1436.23000000	242.10416160
1441.15000000	242.14862352
1444.86500000	241.57113670
1445.24000000	240.06578955
1445.41000000	238.35300949
1447.44000000	237.95990707
1447.87500000	238.32506914
1448.35000000	238.49820612
1448.46500000	237.07290202
1448.64000000	236.22087360
1448.77000000	238.49060337
1449.47000000	239.78695851
1449.90000000	239.09865054
1459.61000000	236.33984537
1465.98500000	236.87126199
1469.52000000	239.32200131
1469.77000000	238.97710073
1471.06000000	238.01566535
1471.20000000	239.53458432
1471.34000000	240.13175600
1473.01000000	239.08411289
1474.91000000	246.36891208
1478.08000000	245.80436298
1485.06000000	245.56946025
1489.73500000	256.26099799
1490.37000000	283.39143933
1504.26000000	238.01462200
1508.53500000	252.57535509
1512.81000000	255.90567912
1514.00000000	254.81830677
1515.19000000	253.54449070
1515.75000000	250.37324792
1517.11000000	254.92545514
1519.00000000	249.60591032
1521.10000000	248.90764345
1521.31000000	245.06183011
1523.76000000	241.98071131
1526.21000000	241.01304594
1527.16500000	239.62519242
1528.12000000	248.23817863
1528.51000000	251.13567850
1538.20000000	254.58199069
1539.13000000	260.98859876
1540.21000000	270.96523334
1540.36000000	265.19428172
1545.07500000	254.59428388
1549.79000000	249.40951526
1565.41000000	240.19270485
1566.62000000	251.23866552
1567.83000000	252.33353847
1570.77500000	255.51582597
1573.72000000	261.98754823
1590.17000000	240.79979307
1591.20500000	233.48663209
1592.24000000	220.00393145
1595.00500000	229.34487048
1597.77000000	227.81154164
1598.42000000	236.18185750
1599.51500000	241.97158784
1600.50500000	249.95310358
1601.05000000	253.38920609
1601.25000000	250.07738002
1604.20000000	254.04482374
1606.95000000	252.08467271
1607.21500000	251.15723397
1607.48000000	252.01741728
1609.44000000	255.63388948
1611.40000000	253.50643765
1612.11000000	253.36801304
1613.44000000	238.47953911
1613.98500000	235.28848268
1614.53000000	238.52274210
1630.29500000	228.18739989
1632.09000000	227.65906835
1632.31000000	223.45671365
1632.53000000	233.65087541
1636.82000000	236.69848346
1652.43000000	248.46913578
1652.74500000	255.96713398
1653.06000000	251.10464661
1660.31500000	240.80989146
1667.57000000	221.80161483
1704.44000000	315.84667021
1713.73000000	262.59089604
1726.78000000	246.64620712
1728.40500000	244.99408248
1730.03000000	240.06682227
1738.64000000	247.09017963
1738.97500000	254.22322387
1739.31000000	259.13673278
1741.28000000	265.19212956
1743.25000000	267.88995554
1758.01000000	267.02585040
1761.08000000	239.98153124
1763.49000000	236.42983661
1764.39000000	238.54012967
1764.55500000	237.46036803
1764.89000000	238.28162074
1766.38500000	239.29820242
1767.71000000	236.05458494
1769.44000000	235.95314316
1771.17000000	236.55864092
1771.39000000	237.01972139
1771.72500000	243.82079669
1777.73000000	244.66459585
1780.50000000	246.25491732
