DEPTH d	VALUE d
1376.22000000	0.12069932
1376.79000000	0.01635179
1379.91000000	0.02108879
1383.66500000	0.29839093
1384.30000000	0.09115473
1386.48000000	0.00070991
1391.02500000	0.01207194
1395.70000000	0.04583903
1399.74000000	0.01134575
1403.61000000	0.21668916
1403.82000000	0.00043659
1408.20000000	0.01484768
1410.98000000	0.03305366
1413.76000000	0.06271450
1415.33000000	0.13645505
1417.23000000	0.39310459
1417.61500000	0.18946285
1418.00000000	0.02625113
1421.90000000	0.02210516
1426.50000000	0.01436954
1428.47500000	0.01804575
1430.56000000	0.00089115
1431.71000000	0.02130106
1431.93000000	0.21477166
1432.20000000	0.06198706
1433.66500000	0.08397109
1434.13000000	0.01965098
1436.23000000	0.00019503
1441.15000000	0.00335471
1444.86500000	0.08663164
1445.24000000	0.21743219
1445.41000000	0.00417908
1447.44000000	0.01811622
1447.87500000	0.04283941
1448.35000000	0.26747356
1448.46500000	0.11641998
1448.64000000	0.37679225
1448.77000000	0.03996659
1449.47000000	0.03454502
1449.90000000	0.00613159
1459.61000000	0.00179898
1465.98500000	0.01496163
1469.52000000	0.02977317
1469.77000000	0.01608428
1471.06000000	0.23414114
1471.20000000	0.09205393
1471.34000000	0.01353842
1473.01000000	0.08274374
1474.91000000	0.00384338
1478.08000000	0.00072628
1485.06000000	0.04935484
1489.73500000	0.92204962
1490.37000000	0.05196948
1504.26000000	0.07350524
1508.53500000	0.01681208
1512.81000000	0.01971980
1514.00000000	0.02310101
1515.19000000	0.12221165
1515.75000000	0.07223610
1517.11000000	0.06074126
1519.00000000	0.00717585
1521.10000000	0.39522105
1521.31000000	0.02714023
1523.76000000	0.00852374
1526.21000000	0.03136255
1527.16500000	0.19463527
1528.12000000	0.16033561
1528.51000000	0.00767542
1538.20000000	0.14866761
1539.13000000	0.19935699
1540.21000000	0.83028527
1540.36000000	0.04851715
1545.07500000	0.02373115
1549.79000000	0.01273417
1565.41000000	0.19701046
1566.62000000	0.01952763
1567.83000000	0.02331982
1570.77500000	0.07797679
1573.72000000	0.02779651
1590.17000000	0.15248810
1591.20500000	0.28113033
1592.24000000	0.07290655
1595.00500000	0.01196772
1597.77000000	0.27790710
1598.42000000	0.11410781
1599.51500000	0.17398882
1600.50500000	0.13606323
1601.05000000	0.35736226
1601.25000000	0.02902418
1604.20000000	0.01538254
1606.95000000	0.07552844
1607.21500000	0.07005132
1607.48000000	0.03981990
1609.44000000	0.02342474
1611.40000000	0.00420752
1612.11000000	0.24158485
1613.44000000	0.12635986
1613.98500000	0.12807062
1614.53000000	0.01414823
1630.29500000	0.00635204
1632.09000000	0.41223151
1632.31000000	1.00000000
1632.53000000	0.01533109
1636.82000000	0.01627304
1652.43000000	0.51369571
1652.74500000	0.33313410
1653.06000000	0.03062314
1660.31500000	0.01427386
1667.57000000	0.05504704
1704.44000000	0.04664188
1713.73000000	0.02636797
1726.78000000	0.02194121
1728.40500000	0.06543699
1730.03000000	0.01760406
1738.64000000	0.45951667
1738.97500000	0.31653235
1739.31000000	0.06633573
1741.28000000	0.02955418
1743.25000000	0.00126343
1758.01000000	0.19011170
1761.08000000	0.03180459
1763.49000000	0.05060244
1764.39000000	0.14122615
1764.55500000	0.05290579
1764.89000000	0.01467480
1766.38500000	0.05283052
1767.71000000	0.00126544
1769.44000000	0.00755332
1771.17000000	0.04522986
1771.39000000	0.43813095
1771.72500000	0.00303248
1777.73000000	0.01239014
1780.50000000	0.01279570
