DEPTH d	VALUE d
1376.22000000	0.05859726
1376.79000000	0.00000000
1376.79000000	0.00000000
1376.79000000	0.00000000
1376.79000000	0.00000000
1376.79000000	0.00000000
1376.85500000	0.04349956
1379.97500000	0.02283163
1383.03000000	0.18488266
1383.66500000	0.00177257
1386.05500000	0.00733564
1391.02500000	0.01300702
1395.57000000	0.00000000
1395.57000000	0.00000000
1395.57000000	0.00000000
1395.57000000	0.00000000
1395.57000000	0.29410513
1395.90500000	0.01548764
1400.83000000	0.00000000
1400.83000000	0.01878565
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.44500000	0.00000000
1403.52000000	0.03378486
1403.82000000	0.20817935
1403.98000000	0.01286431
1408.87000000	0.01060255
1414.39500000	0.00000000
1414.39500000	0.00000000
1414.39500000	0.00000000
1414.39500000	0.00000000
1414.39500000	0.02182912
1415.15000000	0.49448298
1415.33000000	0.00000000
1415.33000000	0.04245665
1417.23000000	0.00000000
1417.23000000	0.00000000
1417.23000000	0.00000000
1417.23000000	0.02788762
1421.90000000	0.00932403
1425.80000000	0.02195955
1428.19500000	0.00321725
1429.89000000	0.03187693
1430.38000000	0.23573860
1430.56000000	0.04915850
1431.13500000	0.07301375
1431.71000000	0.00245991
1432.15000000	0.00000000
1432.15000000	0.00000000
1432.17500000	0.00000000
1432.17500000	0.00000000
1432.17500000	0.00000000
1432.17500000	0.00000000
1432.20000000	0.00518357
1433.66500000	0.07486854
1434.13000000	0.02970174
1435.03500000	0.00780792
1437.00500000	0.01003041
1442.14000000	0.00343808
1445.07000000	0.01177927
1445.41000000	0.00554329
1447.44000000	0.05398546
1447.87500000	0.07849709
1448.28500000	0.00000000
1448.28500000	0.18944503
1448.46500000	0.00000000
1448.46500000	0.07920881
1448.58000000	0.00000000
1448.58000000	0.00000000
1448.64000000	0.00000000
1448.64000000	0.00000000
1448.64000000	0.00000000
1448.70000000	0.00000000
1448.77000000	0.01861324
1449.90000000	0.00000000
1449.90000000	0.00000000
1449.95000000	0.02009224
1451.32000000	0.01862551
1459.61000000	0.01141545
1464.18000000	0.00060110
1469.27000000	0.00000000
1469.27000000	0.20720712
1469.52000000	0.00000000
1469.52000000	0.04716466
1470.30500000	0.01778874
1470.84000000	0.00000000
1470.84000000	0.00000000
1470.84000000	0.30800790
1470.95000000	0.00000000
1470.95000000	0.53292923
1471.06000000	0.00000000
1471.06000000	0.19668785
1471.20000000	0.08625749
1471.34000000	0.03098957
1473.01000000	0.00000000
1473.01000000	0.00000000
1473.01000000	0.00000000
1473.01000000	0.00697711
1474.68000000	0.16902308
1475.14000000	0.02764056
1479.90000000	0.00000000
1479.90000000	0.00000000
1479.90000000	0.00000000
1479.90000000	0.00990580
1485.69500000	0.00000000
1485.69500000	0.00000000
1485.69500000	0.00000000
1485.69500000	0.06264721
1490.37000000	0.06231874
1495.26500000	0.23834293
1500.16000000	0.00000000
1500.16000000	0.00000000
1500.16000000	0.34620720
1504.11000000	0.00000000
1504.11000000	0.00000000
1504.11000000	0.00000000
1504.11000000	0.00000000
1504.11000000	0.00000000
1504.18500000	0.00000000
1504.26000000	0.00000000
1504.26000000	0.00000000
1504.26000000	0.00873106
1506.56500000	0.00000000
1506.56500000	0.02937074
1508.87000000	0.00845757
1510.84000000	0.00159197
1514.00000000	0.00000000
1514.00000000	0.00000000
1514.00000000	0.00111739
1515.75000000	0.00288463
1516.61000000	0.00000000
1516.61000000	0.00000000
1516.61000000	0.10290749
1517.11000000	0.00000000
1517.11000000	0.00978887
1519.89000000	0.00000000
1519.89000000	0.20409479
1520.19000000	0.01582013
1520.89000000	0.00000000
1520.89000000	0.00000000
1520.89000000	0.00000000
1520.89000000	0.06419169
1521.10000000	0.00000000
1521.10000000	0.11168764
1521.31000000	0.00544783
1523.47500000	0.00643086
1525.92500000	0.08064512
1526.21000000	0.00000000
1526.21000000	0.04660709
1528.51000000	0.00115266
1533.71000000	0.00000000
1533.71000000	0.00000000
1533.71000000	0.00000000
1533.71000000	0.00000000
1533.71000000	0.00427543
1539.13000000	0.00000000
1539.13000000	0.08402163
1540.21000000	0.07946041
1540.59000000	0.00075676
1544.85500000	0.00000000
1544.85500000	0.00000000
1544.85500000	0.00000000
1544.85500000	0.00000000
1544.85500000	0.00000000
1544.85500000	0.00000000
1544.85500000	0.00000000
1544.85500000	0.00887583
1548.89000000	0.00000000
1548.89000000	0.14471561
1549.79000000	0.18100002
1549.93500000	0.00000000
1549.93500000	0.00000000
1549.93500000	0.00000000
1549.93500000	0.49274753
1550.08000000	0.00924722
1557.74500000	0.00000000
1557.74500000	0.00422335
1565.89500000	0.11756343
1566.38000000	0.01958780
1567.83000000	0.00000000
1567.83000000	0.00000000
1567.83000000	0.00000000
1567.84000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.00000000
1567.85000000	0.01579009
1570.53000000	0.02999717
1573.21000000	0.00000000
1573.21000000	0.04700984
1573.72000000	0.00000000
1573.72000000	0.00502697
1589.79000000	0.00000000
1589.79000000	0.00543106
1590.09500000	0.00000000
1590.17000000	0.04679666
1590.94000000	0.00000000
1590.94000000	0.00000000
1590.94000000	0.00000000
1590.94000000	0.00166143
1594.89500000	0.01874017
1597.55000000	0.43619074
1597.66000000	0.27595429
1597.96500000	0.00000000
1597.96500000	0.00000000
1597.96500000	0.00000000
1597.96500000	0.00000000
1597.96500000	0.12428224
1598.24500000	0.04515928
1598.70000000	0.05368702
1599.07000000	0.00000000
1599.07000000	0.03023973
1600.50500000	0.02805828
1601.25000000	0.00757791
1605.87000000	0.02434628
1606.00000000	0.01259083
1606.47500000	0.00000000
1606.47500000	0.00000000
1606.47500000	0.01495268
1606.95000000	0.03369088
1608.01000000	0.01411300
1609.70500000	0.02218584
1611.40000000	0.00000000
1611.42000000	0.00000000
1611.42000000	0.00000000
1611.42000000	0.00000000
1611.42000000	0.00000000
1611.42000000	0.07361603
1611.67000000	0.11803832
1612.11000000	0.03122717
1613.44000000	0.00000000
1613.44000000	0.00000000
1613.44000000	0.00733388
1614.53000000	0.01780539
1628.50000000	0.02360692
1630.29500000	0.01482553
1632.09000000	0.00000000
1632.09000000	0.00000000
1632.09000000	0.17241285
1632.31000000	0.00000000
1632.31000000	0.00000000
