DEPTH d	VALUE d
1374.16000000	25.63401625
1374.61500000	24.44343074
1374.67000000	17.48125822
1375.10500000	24.88236703
1375.54000000	22.07643719
1376.56000000	22.05736981
1383.28000000	29.12817729
1386.75500000	42.68006892
1386.75500000	42.68006892
1388.72000000	45.17680017
1391.85500000	51.10781208
1392.46000000	51.73877806
1392.62000000	56.31967333
1392.62000000	56.31967333
1392.62000000	56.31967333
1392.78000000	56.78643132
1392.78000000	56.78643132
1394.21500000	57.46727604
1395.93000000	64.53020789
1396.08500000	61.26940489
1396.37000000	60.51221194
1396.70000000	61.67521972
1396.90000000	64.69184294
1400.35000000	61.55628402
1401.29000000	61.27450904
1401.29000000	61.27450904
1402.70000000	57.04322042
1403.98000000	54.21649512
1405.22500000	49.78748016
1406.08000000	42.30276361
1408.98500000	40.19442182
1412.00000000	36.17228224
1412.00000000	36.17228224
1412.37500000	36.25429602
1412.37500000	36.25429602
1412.75000000	35.30700301
1412.75000000	35.30700301
1413.06500000	32.47887800
1413.48500000	23.04084808
1413.68000000	24.08211402
1414.00000000	21.11960512
1414.13500000	16.34646684
1414.13500000	16.34646684
1414.34500000	22.88588673
1414.42000000	22.63879458
1414.69000000	26.00560889
1424.97000000	30.98115901
1428.63000000	28.12699615
1430.83000000	30.78573954
1431.25500000	40.54056667
1431.46000000	39.06430054
1431.46000000	39.06430054
1431.46000000	39.06430054
1431.48000000	39.36024928
1431.48000000	39.36024928
1431.48000000	39.36024928
1431.48500000	39.29806414
1431.48500000	39.29806414
1431.48500000	39.29806414
1432.00000000	42.94011163
1432.29000000	44.71438266
1432.64000000	35.56805958
1434.26000000	25.03838601
1438.20000000	29.76203506
1441.59000000	29.84613023
1445.66000000	27.38798025
1447.46000000	19.89152727
1447.58000000	21.68768078
1447.86000000	20.22966376
1448.14000000	18.05636904
1448.21500000	19.62332592
1448.29000000	22.81679859
1449.81000000	21.88332513
1449.86000000	21.71226915
1449.86000000	21.71226915
1449.86000000	21.71226915
1449.91000000	21.67330836
1450.72500000	21.62669581
1451.01000000	21.49266364
1451.20000000	18.31574855
1451.51500000	11.39389516
1451.72500000	14.91281626
1456.30500000	22.37729330
1457.32000000	14.69941954
1462.84000000	20.73477658
1462.96000000	20.48790499
1465.36000000	29.43396270
1465.64500000	31.88504872
1465.64500000	31.88504872
1465.93000000	33.42016110
1468.81500000	28.06324261
1469.02000000	24.12329354
1469.20000000	25.46242699
1469.40500000	28.52628481
1469.40500000	28.52628481
1469.40500000	28.52628481
1469.40500000	28.52628481
1470.43000000	29.63918191
1470.94000000	30.03996692
1471.12000000	29.88448116
1471.90500000	41.12444285
1471.90500000	41.12444285
1471.90500000	41.12444285
1472.51000000	44.33648619
1475.32000000	28.36740790
1475.48000000	24.69129926
1476.85500000	25.14909522
1478.23000000	18.92445288
1482.34000000	23.49059933
1491.12000000	15.61814734
1493.85000000	15.04662516
1493.85000000	15.04662516
1493.85000000	15.04662516
1493.96000000	6.21527872
1493.96000000	6.21527872
1493.96000000	6.21527872
1493.96000000	6.21527872
1494.38500000	0.67248034
1494.38500000	0.67248034
1494.70000000	13.11148361
1494.70000000	13.11148361
1494.70000000	13.11148361
1502.79000000	0.85565342
1503.40500000	359.97178100
1504.02000000	6.10295554
1504.02000000	6.10295554
1504.02000000	6.10295554
1504.02000000	6.10295554
1507.40000000	5.83090736
1507.44000000	8.32765560
1507.71500000	10.10720582
1507.99000000	13.80106442
1508.08000000	23.07812722
1508.08000000	23.07812722
1508.17000000	25.70026309
1513.84000000	30.86214405
1514.33500000	31.05544905
1514.83000000	33.54632514
1514.83000000	33.54632514
1517.28500000	20.67777323
1517.28500000	20.67777323
1517.74000000	23.73263848
1520.16000000	39.85994175
1520.58000000	41.33891894
1521.97000000	42.45569727
1521.97000000	42.45569727
