DEPTH d	VALUE d
1379.46500000	165.53765771
1385.25500000	168.01238675
1385.51000000	164.53497263
1385.51000000	164.53497263
1385.51000000	164.53497263
1385.70000000	163.86750032
1385.89000000	165.47929043
1385.89000000	165.47929043
1385.98500000	165.05389210
1385.98500000	165.05389210
1385.98500000	165.05389210
1386.08000000	162.17775956
1386.08000000	162.17775956
1386.24500000	164.93487664
1386.41000000	166.77723849
1386.41000000	166.77723849
1386.41000000	166.77723849
1386.71500000	165.70025368
1386.71500000	165.70025368
1388.67500000	163.70043298
1398.80500000	164.60475256
1404.25000000	162.11611186
1404.52000000	166.68063919
1404.79000000	166.70369499
1404.79000000	166.70369499
1405.00500000	168.39337488
1405.00500000	168.39337488
1405.00500000	168.39337488
1405.00500000	168.39337488
1405.37000000	170.05371789
1405.52000000	172.16976381
1405.52000000	172.16976381
1405.52000000	172.16976381
1406.84500000	170.60913370
1408.17000000	167.98776753
1408.17000000	167.98776753
1408.17000000	167.98776753
1408.17000000	167.98776753
1408.17000000	167.98776753
1414.61000000	172.95293775
1414.79000000	178.25056495
1414.79000000	178.25056495
1414.79000000	178.25056495
1414.91000000	184.98333847
1414.91000000	184.98333847
1415.03000000	176.54074661
1422.73500000	171.67012182
1422.73500000	171.67012182
1422.73500000	171.67012182
1430.76500000	168.22551482
1433.45000000	172.73053262
1433.45000000	172.73053262
1433.45000000	172.73053262
1433.45000000	172.73053262
1433.45000000	172.73053262
1435.81000000	178.28398621
1435.81000000	178.28398621
1435.81000000	178.28398621
1435.81000000	178.28398621
1435.81000000	178.28398621
1435.81000000	178.28398621
1437.99500000	179.23036682
1440.18000000	166.22600522
1440.18000000	166.22600522
1440.18000000	166.22600522
1443.05500000	167.94173074
1445.93000000	171.95654139
1445.93000000	171.95654139
1445.93000000	171.95654139
1445.93000000	171.95654139
1447.71000000	161.89373878
1447.71000000	161.89373878
1447.71000000	161.89373878
1447.71000000	161.89373878
1447.71000000	161.89373878
1451.77500000	154.38557520
1451.77500000	154.38557520
1455.84000000	152.23596084
1455.84000000	152.23596084
1459.17500000	158.05517690
1464.53000000	157.14354658
1464.88000000	153.21028255
1464.96500000	160.96053157
1464.96500000	160.96053157
1464.96500000	160.96053157
1464.96500000	160.96053157
1464.96500000	160.96053157
1464.96500000	160.96053157
1464.96500000	160.96053157
1464.96500000	160.96053157
1465.05000000	159.32566566
1465.29000000	160.11784588
1465.29000000	160.11784588
1465.29000000	160.11784588
1465.53000000	151.72082423
1465.53000000	151.72082423
1465.53000000	151.72082423
1465.68000000	153.12179289
1465.68000000	153.12179289
1465.83000000	148.19348516
1479.83000000	139.54891779
1479.83000000	139.54891779
1479.83000000	139.54891779
1479.83000000	139.54891779
1479.83000000	139.54891779
1479.83000000	139.54891779
1479.83000000	139.54891779
1479.83000000	139.54891779
1486.55000000	144.77376066
1493.27000000	156.40737358
1493.27000000	156.40737358
1493.96500000	153.22406357
1493.96500000	153.22406357
1493.96500000	153.22406357
1494.66000000	191.93885501
1494.66000000	191.93885501
1494.66000000	191.93885501
1494.66000000	191.93885501
1494.66000000	191.93885501
1504.15000000	173.00775910
1504.15000000	173.00775910
1504.15000000	173.00775910
1504.16000000	173.93439814
1504.19500000	171.27082375
1504.19500000	171.27082375
1504.19500000	171.27082375
1504.19500000	171.27082375
1504.19500000	171.27082375
1504.23000000	169.73812299
1505.56500000	165.28789924
1505.56500000	165.28789924
1506.90000000	165.76215296
1506.90000000	165.76215296
1506.90000000	165.76215296
1506.90000000	165.76215296
1506.90000000	165.76215296
1506.90000000	165.76215296
1507.40500000	165.80127427
1507.40500000	165.80127427
1519.12000000	169.31754869
1519.12000000	169.31754869
1519.12000000	169.31754869
1522.18000000	168.11997466
1523.19000000	172.16359033
1523.19000000	172.16359033
1523.19000000	172.16359033
1523.19000000	172.16359033
1523.19000000	172.16359033
1523.19000000	172.16359033
1523.19000000	172.16359033
1523.19000000	172.16359033
1524.20000000	172.30025090
1524.20000000	172.30025090
1524.20000000	172.30025090
1524.20000000	172.30025090
1524.20000000	172.30025090
1524.20000000	172.30025090
1524.20000000	177.03999998
1524.20000000	177.03999998
1557.68000000	153.23999998
1557.68000000	153.23999998
1557.68000000	153.23999998
1557.68000000	153.23999998
1557.68000000	153.23999998
1557.68000000	153.23999998
1557.68000000	153.23999998
1564.54000000	150.65089470
1564.54000000	150.65089470
1565.29500000	163.69851206
1565.29500000	163.69851206
1565.29500000	163.69851206
1565.29500000	163.69851206
1565.29500000	163.69851206
1565.29500000	163.69851206
1565.88000000	153.22168823
1565.88000000	153.22168823
1565.88000000	153.22168823
1565.88000000	153.22168823
1565.88000000	153.22168823
1565.96500000	156.54107684
1565.96500000	156.54107684
1565.96500000	156.54107684
1565.96500000	156.54107684
1565.96500000	156.54107684
1565.96500000	156.54107684
1565.96500000	156.54107684
1569.35000000	155.91659183
1569.35000000	155.91659183
1572.65000000	124.48999998
1572.65000000	124.48999998
1572.65000000	124.48999998
1572.65000000	124.48999998
1590.49000000	126.65037512
1590.49000000	126.65037512
1590.49000000	132.90999998
1593.40000000	136.83651823
1593.79500000	142.54571085
1594.19000000	145.10885256
1594.19000000	145.10885256
1594.92500000	147.19834852
1594.92500000	147.19834852
1594.92500000	147.19834852
1594.92500000	147.19834852
1595.66000000	152.32844264
1595.66000000	152.32844264
1595.66000000	152.32844264
1595.66000000	152.32844264
1595.66000000	152.32844264
1596.30500000	153.72563971
1596.30500000	153.72563971
1596.30500000	153.72563971
1596.30500000	153.72563971
1599.20500000	159.79974251
1601.46000000	161.38592299
1603.98500000	162.70242019
1606.51000000	166.74158656
1608.24000000	168.51332501
1609.97000000	172.17183961
1609.97000000	172.17183961
1611.54000000	173.76757057
1611.54000000	173.76757057
1611.54000000	173.76757057
1611.54000000	173.76757057
1611.97500000	172.91778265
1611.97500000	172.91778265
1611.97500000	172.91778265
1611.97500000	172.91778265
1611.97500000	172.91778265
1612.41000000	176.02020737
1617.37000000	175.70392897
1617.37000000	175.70392897
1622.53500000	178.15220256
1627.70000000	183.39492274
1627.74500000	187.87145285
1627.79000000	185.45844460
1627.79000000	185.45844460
1627.79000000	185.45844460
1628.64000000	181.13590553
1629.49000000	174.20826957
1632.59000000	170.28901404
1632.59000000	170.28901404
1632.59000000	170.28901404
