DEPTH d	VALUE d
1374.16000000	0.01285594
1374.61500000	0.00000000
1374.67000000	0.01037750
1375.10500000	0.02615183
1375.54000000	0.01152953
1376.56000000	0.00109866
1383.28000000	0.00135686
1386.75500000	0.00000000
1386.75500000	0.01553660
1388.72000000	0.01068976
1391.85500000	0.03520269
1392.46000000	0.01054594
1392.62000000	0.00000000
1392.62000000	0.00000000
1392.62000000	0.07505700
1392.78000000	0.00000000
1392.78000000	0.00182512
1394.21500000	0.00343187
1395.93000000	0.01141429
1396.08500000	0.03486318
1396.37000000	0.04707643
1396.70000000	0.01556985
1396.90000000	0.00259306
1400.35000000	0.01005154
1401.29000000	0.00000000
1401.29000000	0.00373442
1402.70000000	0.00093583
1403.98000000	0.01579289
1405.22500000	0.00615769
1406.08000000	0.00145523
1408.98500000	0.00598180
1412.00000000	0.00000000
1412.00000000	0.01308548
1412.37500000	0.00000000
1412.37500000	0.01840022
1412.75000000	0.00000000
1412.75000000	0.01063055
1413.06500000	0.01447569
1413.48500000	0.12809381
1413.68000000	0.02121081
1414.00000000	0.07787919
1414.13500000	0.00000000
1414.13500000	0.03684197
1414.34500000	0.00000000
1414.42000000	0.05081228
1414.69000000	0.00165585
1424.97000000	0.00106796
1428.63000000	0.00342535
1430.83000000	0.01723628
1431.25500000	0.03020551
1431.46000000	0.00000000
1431.46000000	0.00000000
1431.46000000	0.00000000
1431.48000000	0.00000000
1431.48000000	0.00000000
1431.48000000	0.00000000
1431.48500000	0.00000000
1431.48500000	0.00000000
1431.48500000	0.05448705
1432.00000000	0.02579443
1432.29000000	0.02838127
1432.64000000	0.00472893
1434.26000000	0.00131188
1438.20000000	0.00309770
1441.59000000	0.00221079
1445.66000000	0.00408584
1447.46000000	0.10891762
1447.58000000	0.00055213
1447.86000000	0.02331935
1448.14000000	0.00000000
1448.21500000	0.00000000
1448.29000000	0.01151542
1449.81000000	0.00000000
1449.86000000	0.00000000
1449.86000000	0.00000000
1449.86000000	0.00000000
1449.91000000	0.00692734
1450.72500000	0.01966030
1451.01000000	0.06015213
1451.20000000	0.03613293
1451.51500000	0.06396551
1451.72500000	0.00300396
1456.30500000	0.00183086
1457.32000000	0.00415337
1462.84000000	0.01384674
1462.96000000	0.00120388
1465.36000000	0.02248279
1465.64500000	0.00000000
1465.64500000	0.00877878
1465.93000000	0.00224374
1468.81500000	0.03111232
1469.02000000	0.08692621
1469.20000000	0.01077880
1469.40500000	0.00000000
1469.40500000	0.00000000
1469.40500000	0.00000000
1469.40500000	0.00131563
1470.43000000	0.01200120
1470.94000000	0.06217716
1471.12000000	0.01615040
1471.90500000	0.00000000
1471.90500000	0.00000000
1471.90500000	0.00118532
1472.51000000	0.00647353
1475.32000000	0.07570848
1475.48000000	0.01632249
1476.85500000	0.00062544
1478.23000000	0.00975064
