DEPTH d	VALUE d
1374.16000000	26.88827021
1374.61500000	27.74038626
1374.67000000	30.20240010
1375.10500000	31.20522109
1375.54000000	29.42394625
1376.56000000	31.15170736
1383.28000000	30.64101492
1386.75500000	28.80801020
1386.75500000	28.80801020
1388.72000000	33.07029006
1391.85500000	37.28892633
1392.46000000	40.26101681
1392.62000000	40.54984376
1392.62000000	40.54984376
1392.62000000	40.54984376
1392.78000000	39.37701874
1392.78000000	39.37701874
1394.21500000	39.55903368
1395.93000000	38.33263982
1396.08500000	37.90385578
1396.37000000	36.83135303
1396.70000000	39.63742678
1396.90000000	39.86982785
1400.35000000	39.11586083
1401.29000000	38.07253716
1401.29000000	38.07253716
1402.70000000	39.27674217
1403.98000000	40.52991761
1405.22500000	37.53786779
1406.08000000	38.25099580
1408.98500000	37.55852726
1412.00000000	34.95352010
1412.00000000	34.95352010
1412.37500000	34.08564229
1412.37500000	34.08564229
1412.75000000	35.17889648
1412.75000000	35.17889648
1413.06500000	34.84352933
1413.48500000	36.11635065
1413.68000000	32.47831761
1414.00000000	33.88952059
1414.13500000	31.76350201
1414.13500000	31.76350201
1414.34500000	29.43670648
1414.42000000	30.84277920
1414.69000000	33.38437653
1424.97000000	30.36976938
1428.63000000	29.45984151
1430.83000000	30.57634952
1431.25500000	29.23463578
1431.46000000	28.45696635
1431.46000000	28.45696635
1431.46000000	28.45696635
1431.48000000	27.84432058
1431.48000000	27.84432058
1431.48000000	27.84432058
1431.48500000	26.59305379
1431.48500000	26.59305379
1431.48500000	26.59305379
1432.00000000	31.43936081
1432.29000000	32.45036686
1432.64000000	34.48202245
1434.26000000	36.07899651
1438.20000000	36.63614010
1441.59000000	38.04884267
1445.66000000	36.36286267
1447.46000000	34.96815125
1447.58000000	37.05050780
1447.86000000	37.25291394
1448.14000000	36.23096035
1448.21500000	36.14892041
1448.29000000	36.71134895
1449.81000000	34.12850790
1449.86000000	35.20415602
1449.86000000	35.20415602
1449.86000000	35.20415602
1449.91000000	36.25716604
1450.72500000	35.03341398
1451.01000000	34.22714807
1451.20000000	32.37248945
1451.51500000	34.57687192
1451.72500000	32.15118704
1456.30500000	29.17258381
1457.32000000	28.89230009
1462.84000000	24.83809669
1462.96000000	24.60484956
1465.36000000	24.59719238
1465.64500000	25.50237378
1465.64500000	25.50237378
1465.93000000	25.67574903
1468.81500000	26.68406659
1469.02000000	25.39094755
1469.20000000	27.76525954
1469.40500000	27.96124393
1469.40500000	27.96124393
1469.40500000	27.96124393
1469.40500000	27.96124393
1470.43000000	28.16491697
1470.94000000	29.10341280
1471.12000000	30.69504317
1471.90500000	26.82229047
1471.90500000	26.82229047
1471.90500000	26.82229047
1472.51000000	27.16001492
1475.32000000	33.06847760
1475.48000000	35.10798038
1476.85500000	37.41518832
1478.23000000	37.81948528
1482.34000000	32.26293589
1491.12000000	34.38602906
1493.85000000	33.88422537
1493.85000000	33.88422537
1493.85000000	33.88422537
1493.96000000	35.20079422
1493.96000000	35.20079422
1493.96000000	35.20079422
1493.96000000	35.20079422
1494.38500000	34.58037218
1494.38500000	34.58037218
1494.70000000	31.72921776
1494.70000000	31.72921776
1494.70000000	31.72921776
1502.79000000	37.46468264
1503.40500000	35.15323939
1504.02000000	31.60680964
1504.02000000	31.60680964
1504.02000000	31.60680964
1504.02000000	31.60680964
1507.40000000	34.13206381
1507.44000000	33.00084305
1507.71500000	31.18761660
1507.99000000	29.70590240
1508.08000000	32.00402835
1508.08000000	32.00402835
1508.17000000	31.36382175
1513.84000000	31.96326014
1514.33500000	30.61806626
1514.83000000	31.61740893
1514.83000000	31.61740893
1517.28500000	30.53514239
1517.28500000	30.53514239
1517.74000000	31.03857315
1520.16000000	27.68840355
1520.58000000	29.77944048
1521.97000000	24.67304154
