DEPTH d	VALUE d
1374.16000000	261.09699913
1374.61500000	261.85150308
1374.67000000	265.72450315
1375.10500000	263.29284542
1375.54000000	262.11734402
1376.56000000	264.63639064
1383.28000000	259.99395937
1386.75500000	252.73637955
1386.75500000	252.73637955
1388.72000000	251.12416805
1391.85500000	250.48212254
1392.46000000	250.20857039
1392.62000000	244.91046997
1392.62000000	244.91046997
1392.62000000	244.91046997
1392.78000000	243.57342594
1392.78000000	243.57342594
1394.21500000	243.76544106
1395.93000000	237.99889956
1396.08500000	241.29782505
1396.37000000	242.46488127
1396.70000000	242.23825625
1396.90000000	238.82636174
1400.35000000	242.75836846
1401.29000000	242.44266415
1401.29000000	242.44266415
1402.70000000	245.91192554
1403.98000000	247.73904009
1405.22500000	248.41631633
1406.08000000	253.49103224
1408.98500000	253.24044620
1412.00000000	253.61648900
1412.00000000	253.61648900
1412.37500000	253.00660325
1412.37500000	253.00660325
1412.75000000	254.47412065
1412.75000000	254.47412065
1413.06500000	254.88400207
1413.48500000	259.37613929
1413.68000000	254.66825534
1414.00000000	255.58174528
1414.13500000	255.16615714
1414.13500000	255.16615714
1414.34500000	252.23205690
1414.42000000	253.60171011
1414.69000000	254.34444484
1424.97000000	250.13418341
1428.63000000	251.04598077
1430.83000000	251.59173610
1431.25500000	247.15666554
1431.46000000	247.40739037
1431.46000000	247.40739037
1431.46000000	247.40739037
1431.48000000	246.19266176
1431.48000000	246.19266176
1431.48000000	246.19266176
1431.48500000	245.09367740
1431.48500000	245.09367740
1431.48500000	245.09367740
1432.00000000	245.91039439
1432.29000000	246.02000674
1432.64000000	251.86750310
1434.26000000	258.78174769
1438.20000000	258.35096158
1441.59000000	260.85152181
1445.66000000	260.91621832
1447.46000000	262.81681332
1447.58000000	264.70994033
1447.86000000	265.29129582
1448.14000000	264.96497356
1448.21500000	264.21348349
1448.29000000	263.37615693
1449.81000000	260.17643877
1449.86000000	262.05111353
1449.86000000	262.05111353
1449.86000000	262.05111353
1449.91000000	264.03072823
1450.72500000	262.59967652
1451.01000000	261.54140446
1451.20000000	260.41985907
1451.51500000	264.36737061
1451.72500000	260.78069008
1456.30500000	255.72859302
1457.32000000	256.72312587
1462.84000000	250.82811603
1462.96000000	250.21787384
1465.36000000	247.93851590
1465.64500000	248.17994236
1465.64500000	248.17994236
1465.93000000	248.18062538
1468.81500000	251.16822189
1469.02000000	251.63374891
1469.20000000	253.79213890
1469.40500000	253.63301773
1469.40500000	253.63301773
1469.40500000	253.63301773
1469.40500000	253.63301773
1470.43000000	253.73340103
1470.94000000	254.54586274
1471.12000000	256.31560680
1471.90500000	249.80335451
1471.90500000	249.80335451
1471.90500000	249.80335451
1472.51000000	248.51781106
1475.32000000	259.25258702
1475.48000000	263.21442217
1476.85500000	267.58455446
1478.23000000	269.97294527
1482.34000000	261.82994791
1491.12000000	267.40985805
1493.85000000	266.72717542
1493.85000000	266.72717542
1493.85000000	266.72717542
1493.96000000	268.99134757
1493.96000000	268.99134757
1493.96000000	268.99134757
1493.96000000	268.99134757
1494.38500000	267.18445889
1494.38500000	267.18445889
1494.70000000	261.12740210
1494.70000000	261.12740210
1494.70000000	261.12740210
1502.79000000	266.31949149
1503.40500000	262.88169328
1504.02000000	259.04368680
1504.02000000	259.04368680
1504.02000000	259.04368680
1504.02000000	259.04368680
1507.40000000	261.17125045
1507.44000000	257.21156275
1507.71500000	253.21354904
1507.99000000	252.02336989
1508.08000000	251.24055825
1508.08000000	251.24055825
1508.17000000	250.76011486
1513.84000000	250.65627724
1514.33500000	249.44687809
1514.83000000	249.70041204
1514.83000000	249.70041204
1517.28500000	254.03276393
1517.28500000	254.03276393
1517.74000000	253.53476284
1520.16000000	247.41721422
1520.58000000	248.79773970
1521.97000000	244.00947498
1521.97000000	244.00947498
1521.97000000	244.00947498
1521.97000000	244.00947498
1524.39000000	241.64612494
1525.31000000	239.99832121
1525.31000000	239.99832121
1526.23000000	239.46130455
1527.86500000	239.98432210
1527.86500000	239.98432210
1529.59000000	240.07462970
1533.85000000	240.92362680
1533.87000000	241.13840877
1533.87000000	241.13840877
1533.89000000	239.52962867
1533.99000000	235.44911261
1533.99000000	235.44911261
1536.57000000	234.53459256
1539.15000000	238.35084991
1539.15000000	238.35084991
1540.10000000	242.37012683
1540.38500000	245.23074466
1540.38500000	245.23074466
1540.38500000	245.23074466
1549.33000000	247.71068573
1549.33000000	247.71068573
1550.80000000	249.63485369
1553.37000000	249.75754130
1553.42500000	249.51042994
1553.42500000	249.51042994
1553.50500000	249.94766783
1553.80000000	250.90242661
1555.14000000	249.14800092
1555.14000000	249.14800092
1556.00500000	251.27002250
1556.68000000	252.37857781
1561.00000000	250.22754671
1561.34000000	251.83573890
1561.39000000	250.90156793
1562.22500000	250.42324164
1563.06000000	250.76704592
1564.33000000	249.38653498
1564.75000000	250.14995328
1565.04000000	251.94457065
1566.00500000	252.51621971
1566.31500000	252.00758662
1569.32500000	250.94465026
1570.11000000	250.95595753
1570.22500000	250.92854263
1570.22500000	250.92854263
1570.22500000	250.92854263
1570.28000000	250.36079457
1571.32000000	251.11688436
1571.32000000	251.11688436
1571.63000000	250.95814327
1572.66000000	250.23654053
1573.03500000	251.78136873
1573.75000000	250.00640903
1573.75000000	250.00640903
1573.76500000	250.58510532
1573.87000000	248.33923095
1574.72000000	247.54061726
1575.28000000	245.98492544
1575.38000000	242.15394464
1577.52000000	239.95617492
1589.43000000	238.62266754
1590.69000000	231.83060884
1590.69000000	231.83060884
1597.17000000	230.17980166
1597.44000000	231.63392768
1597.91000000	229.72977059
1597.96000000	229.65427143
1597.96000000	229.65427143
1597.96000000	229.65427143
1597.96000000	229.65427143
1597.96000000	229.65427143
1598.12500000	231.75924050
1598.24000000	232.09858372
1598.51000000	233.83960831
1599.33000000	235.15874754
1599.51000000	237.10664847
1600.17000000	237.77369307
1605.97000000	240.23164025
1607.03000000	241.26736142
1607.43000000	241.37864033
1607.43000000	241.37864033
1607.43000000	241.37864033
1607.72000000	241.33201468
1608.14000000	243.59820397
1608.84000000	243.83480379
1610.99000000	249.07596453
1611.14000000	249.80633924
1611.14000000	249.80633924
1611.14000000	249.80633924
1611.14000000	249.80633924
1611.14000000	249.80633924
1611.58000000	247.79290766
1611.66000000	248.42709229
1611.72000000	248.55196142
1612.32000000	249.21422097
1612.72000000	251.01398415
1613.39000000	250.08103203
1619.71000000	247.68962963
1627.42500000	245.17773618
1629.06000000	247.82747239
1629.28000000	245.43997446
1629.28000000	245.43997446
1629.91000000	246.92808576
1632.96000000	240.27933473
1632.96000000	240.27933473
1634.35000000	236.99199950
1634.35000000	236.99199950
1634.35000000	236.99199950
1634.35000000	236.99199950
1635.78500000	236.40017897
1635.78500000	236.40017897
1637.91500000	231.45325181
1638.01000000	233.23541589
1638.01000000	233.23541589
1640.70500000	232.39176433
1643.40000000	230.01107852
1644.42000000	229.22092353
1645.44000000	227.88759791
1645.44000000	227.88759791
1645.44000000	227.88759791
1645.48000000	226.72775506
1645.48000000	226.72775506
1645.52000000	228.30706372
1645.64000000	227.94562318
1645.73000000	227.47320128
1645.73000000	227.47320128
1645.73000000	227.47320128
1645.73000000	227.47320128
1645.73000000	227.47320128
1645.82000000	227.48635516
1657.91000000	228.24023951
1664.38000000	231.51312371
1664.44500000	230.61595697
1664.44500000	230.61595697
1664.44500000	230.61595697
1664.44500000	230.61595697
1664.44500000	230.61595697
1664.44500000	230.61595697
1664.44500000	230.61595697
1664.44500000	230.61595697
1664.44500000	230.61595697
1664.44500000	230.61595697
1664.51000000	229.04317208
1664.53500000	228.44317986
1664.53500000	228.44317986
1664.53500000	228.44317986
1664.53500000	228.44317986
1664.53500000	228.44317986
1664.53500000	228.44317986
1664.56000000	229.50205692
1683.67000000	230.88840435
1683.67000000	230.88840435
1683.67000000	241.37356574
1683.67000000	241.37356574
1683.67000000	241.37356574
1683.67000000	241.37356574
1690.95000000	235.54757891
1690.95000000	235.54757891
1690.95000000	235.54757891
1690.95000000	235.54757891
1692.60000000	230.63506835
1692.60000000	230.63506835
1694.25000000	227.33346233
1694.25000000	227.33346233
1694.25000000	227.33346233
1694.25000000	227.33346233
1694.25000000	227.33346233
1694.25000000	227.33346233
1694.25000000	227.33346233
1695.38000000	223.52843316
1696.51000000	236.54553488
1696.51000000	236.54553488
1696.51000000	236.54553488
1696.51000000	236.54553488
1700.47500000	235.92004979
1700.47500000	235.92004979
1704.44000000	237.18624426
1704.44000000	237.18624426
1704.44000000	237.18624426
1706.24000000	249.70668688
1708.04000000	263.02448862
1708.04000000	263.02448862
1710.65500000	272.06625228
1715.25000000	249.75641680
1715.25000000	249.75641680
1717.23000000	243.15770651
1717.23000000	243.15770651
1717.23000000	243.15770651
1717.23000000	243.15770651
1717.23000000	243.15770651
1717.23000000	236.91262857
1717.23000000	236.91262857
1717.23000000	236.91262857
1717.23000000	236.91262857
1718.33500000	237.81514848
1718.33500000	237.81514848
1718.33500000	237.81514848
1718.33500000	237.81514848
1718.33500000	237.81514848
1719.44000000	230.99945607
1719.44000000	230.99945607
1719.44500000	237.01893021
1719.44500000	237.01893021
1735.30000000	240.15896888
1735.30000000	240.15896888
1737.99000000	249.43166201
1737.99000000	249.43166201
1737.99000000	249.43166201
1737.99000000	249.43166201
1737.99000000	249.43166201
1737.99000000	249.43166201
1737.99000000	249.43166201
1737.99000000	249.43166201
1742.79500000	245.42806733
1742.79500000	245.42806733
1742.79500000	245.42806733
1742.79500000	245.42806733
1742.79500000	245.42806733
1742.79500000	245.42806733
1747.60000000	242.28597556
1747.60000000	242.28597556
1753.98000000	233.50594997
1753.98000000	233.50594997
1754.77000000	235.37497766
1754.77000000	235.37497766
1754.77000000	235.37497766
1754.77000000	235.37497766
1754.77000000	235.37497766
1755.56000000	241.38056403
1759.23500000	247.99239632
1759.23500000	247.99239632
1759.23500000	247.99239632
1759.23500000	247.99239632
1762.91000000	251.21780994
1762.91000000	251.21780994
1763.13500000	246.03063890
1763.13500000	246.03063890
1763.13500000	246.03063890
1763.13500000	246.03063890
1763.36000000	249.49923387
1763.36000000	249.49923387
1766.67500000	257.95939714
1766.67500000	257.95939714
1766.67500000	257.95939714
1766.67500000	257.95939714
1766.67500000	257.95939714
1766.67500000	257.95939714
1775.58500000	247.18036651
1781.39000000	239.88504148
1782.13000000	234.51203938
1784.11000000	246.17749910
1784.11000000	246.17749910
1784.11000000	246.17749910
1784.36000000	244.25005899
1784.36000000	244.25005899
1784.46000000	245.33484185
1784.46000000	245.33484185
1784.46000000	245.33484185
