DEPTH d	VALUE d
1379.46500000	232.18670528
1385.25500000	229.59882692
1385.51000000	227.51322314
1385.51000000	227.51322314
1385.51000000	227.51322314
1385.70000000	227.31909581
1385.89000000	228.07260367
1385.89000000	228.07260367
1385.98500000	209.91168218
1385.98500000	209.91168218
1385.98500000	209.91168218
1386.08000000	210.15154340
1386.08000000	210.15154340
1386.24500000	231.81180198
1386.41000000	232.02655232
1386.41000000	232.02655232
1386.41000000	232.02655232
1386.71500000	233.28075930
1386.71500000	233.28075930
1388.67500000	232.14147439
1398.80500000	232.54171612
1404.25000000	237.69016699
1404.52000000	240.85795607
1404.79000000	238.34107593
1404.79000000	238.34107593
1405.00500000	239.82691142
1405.00500000	239.82691142
1405.00500000	239.82691142
1405.00500000	239.82691142
1405.37000000	236.94095986
1405.52000000	248.31519276
1405.52000000	248.31519276
1405.52000000	248.31519276
1406.84500000	240.53927828
1408.17000000	240.84148233
1408.17000000	240.84148233
1408.17000000	240.84148233
1408.17000000	240.84148233
1408.17000000	240.84148233
1414.61000000	244.05633783
1414.79000000	252.07126796
1414.79000000	252.07126796
1414.79000000	252.07126796
1414.91000000	80.68831947
1414.91000000	80.68831947
1415.03000000	249.84894302
1422.73500000	245.75480250
1422.73500000	245.75480250
1422.73500000	245.75480250
1430.76500000	250.70538098
1433.45000000	72.51754408
1433.45000000	72.51754408
1433.45000000	72.51754408
1433.45000000	72.51754408
1433.45000000	72.51754408
1435.81000000	71.26042393
1435.81000000	71.26042393
1435.81000000	71.26042393
1435.81000000	71.26042393
1435.81000000	71.26042393
1435.81000000	71.26042393
1437.99500000	76.92750256
1440.18000000	247.82726953
1440.18000000	247.82726953
1440.18000000	247.82726953
1443.05500000	256.16506982
1445.93000000	66.13310439
1445.93000000	66.13310439
1445.93000000	66.13310439
1445.93000000	66.13310439
1447.71000000	248.35454078
1447.71000000	248.35454078
1447.71000000	248.35454078
1447.71000000	248.35454078
1447.71000000	248.35454078
1451.77500000	250.92491249
1451.77500000	250.92491249
1455.84000000	245.18974743
1455.84000000	245.18974743
1459.17500000	251.71655121
1464.53000000	246.87588861
1464.88000000	236.17317200
1464.96500000	240.26568675
1464.96500000	240.26568675
1464.96500000	240.26568675
1464.96500000	240.26568675
1464.96500000	240.26568675
1464.96500000	240.26568675
1464.96500000	240.26568675
1464.96500000	240.26568675
1465.05000000	243.50936678
1465.29000000	251.11617217
1465.29000000	251.11617217
1465.29000000	251.11617217
1465.53000000	246.02909053
1465.53000000	246.02909053
1465.53000000	246.02909053
1465.68000000	249.38274722
1465.68000000	249.38274722
1465.83000000	235.61011856
1479.83000000	88.04649019
1479.83000000	88.04649019
1479.83000000	88.04649019
1479.83000000	88.04649019
1479.83000000	88.04649019
1479.83000000	88.04649019
1479.83000000	88.04649019
1479.83000000	88.04649019
1486.55000000	242.92693157
1493.27000000	251.06184765
1493.27000000	251.06184765
1493.96500000	258.82439925
1493.96500000	258.82439925
1493.96500000	258.82439925
1494.66000000	344.69699667
1494.66000000	344.69699667
