DEPTH d	VALUE d
1374.16000000	4.04207637
1374.61500000	4.03690365
1374.67000000	355.65807982
1375.10500000	8.94559784
1375.54000000	0.98460213
1376.56000000	4.31883928
1383.28000000	14.89415960
1386.75500000	41.70739190
1386.75500000	41.70739190
1388.72000000	46.36976106
1391.85500000	54.88869928
1392.46000000	55.13007455
1392.62000000	61.45911661
1392.62000000	61.45911661
1392.62000000	61.45911661
1392.78000000	62.66716031
1392.78000000	62.66716031
1394.21500000	63.49592723
1395.93000000	73.74046031
1396.08500000	69.32082256
1396.37000000	68.98110322
1396.70000000	69.50505873
1396.90000000	73.43714223
1400.35000000	69.74188749
1401.29000000	70.06473759
1401.29000000	70.06473759
1402.70000000	63.55655978
1403.98000000	59.36738079
1405.22500000	53.49698428
1406.08000000	41.61244744
1408.98500000	38.23244080
1412.00000000	30.89253215
1412.00000000	30.89253215
1412.37500000	30.69432376
1412.37500000	30.69432376
1412.75000000	29.56583617
1412.75000000	29.56583617
1413.06500000	24.53329459
1413.48500000	10.14135197
1413.68000000	7.14574714
1414.00000000	3.86769361
1414.13500000	353.57156731
1414.13500000	353.57156731
1414.34500000	1.72346904
1414.42000000	3.85830116
1414.69000000	12.55638019
1424.97000000	18.08999710
1428.63000000	11.64292841
1430.83000000	18.46813979
1431.25500000	37.09209489
1431.46000000	33.25653988
1431.46000000	33.25653988
1431.46000000	33.25653988
1431.48000000	33.21681716
1431.48000000	33.21681716
1431.48000000	33.21681716
1431.48500000	31.61398025
1431.48500000	31.61398025
1431.48500000	31.61398025
1432.00000000	42.35509114
1432.29000000	45.76999554
1432.64000000	29.51284149
1434.26000000	12.97605726
1438.20000000	21.03206747
1441.59000000	22.09139272
1445.66000000	17.45924652
1447.46000000	4.99946015
1447.58000000	9.52684772
1447.86000000	7.38444982
1448.14000000	3.32020949
1448.21500000	5.74247297
1448.29000000	10.93542236
1449.81000000	6.91540577
1449.86000000	7.95819851
1449.86000000	7.95819851
1449.86000000	7.95819851
1449.91000000	9.08570418
1450.72500000	8.23780978
1451.01000000	7.17224137
1451.20000000	0.12940593
1451.51500000	352.53293788
1451.72500000	354.55564451
1456.30500000	2.54853034
1457.32000000	349.61255607
1462.84000000	348.22723000
1462.96000000	346.61576727
1465.36000000	2.79082382
1465.64500000	12.63375252
1465.64500000	12.63375252
1465.93000000	17.43796896
1468.81500000	8.22030203
1469.02000000	357.31022746
1469.20000000	6.53029819
1469.40500000	12.88244729
1469.40500000	12.88244729
1469.40500000	12.88244729
1469.40500000	12.88244729
1470.43000000	15.33576397
1470.94000000	17.41456396
1471.12000000	19.03250543
1471.90500000	38.69590359
1471.90500000	38.69590359
1471.90500000	38.69590359
1472.51000000	45.14822564
1475.32000000	17.35787630
1475.48000000	13.11547360
1476.85500000	16.10675765
1478.23000000	7.22671944
1482.34000000	8.31132808
1491.12000000	359.21967723
1493.85000000	357.15927213
1493.85000000	357.15927213
1493.85000000	357.15927213
1493.96000000	346.13351884
1493.96000000	346.13351884
1493.96000000	346.13351884
1493.96000000	346.13351884
1494.38500000	338.04307781
1494.38500000	338.04307781
1494.70000000	349.83831700
1494.70000000	349.83831700
1494.70000000	349.83831700
1502.79000000	341.23854578
1503.40500000	337.08605505
1504.02000000	341.11928314
1504.02000000	341.11928314
1504.02000000	341.11928314
1504.02000000	341.11928314
1507.40000000	345.07173436
1507.44000000	346.42879543
1507.71500000	345.01407078
1507.99000000	347.84335696
1508.08000000	5.66831930
1508.08000000	5.66831930
1508.17000000	9.75417301
1513.84000000	20.36252066
1514.33500000	18.92477073
1514.83000000	24.42911920
1514.83000000	24.42911920
1517.28500000	0.25097591
1517.28500000	0.25097591
1517.74000000	6.63997358
1520.16000000	35.64704327
1520.58000000	39.34753364
1521.97000000	40.43360885
1521.97000000	40.43360885
1521.97000000	40.43360885
1521.97000000	40.43360885
1524.39000000	53.14233273
1525.31000000	56.84794178
1525.31000000	56.84794178
1526.23000000	57.04297077
1527.86500000	53.46023912
1527.86500000	53.46023912
1529.59000000	63.04155463
1533.85000000	71.89307508
1533.87000000	69.43953068
1533.87000000	69.43953068
1533.89000000	77.12228662
1533.99000000	81.11633848
1533.99000000	81.11633848
1536.57000000	85.84333766
1539.15000000	76.41997534
1539.15000000	76.41997534
1540.10000000	68.57815618
1540.38500000	64.42900244
1540.38500000	64.42900244
1540.38500000	64.42900244
1549.33000000	62.73567156
1549.33000000	62.73567156
1550.80000000	62.60269002
1553.37000000	65.45862399
1553.42500000	67.61469712
1553.42500000	67.61469712
1553.50500000	61.01696749
1553.80000000	48.34395259
1555.14000000	56.42368949
1555.14000000	56.42368949
1556.00500000	43.40787205
1556.68000000	40.49402823
1561.00000000	48.34629521
1561.34000000	37.97216806
1561.39000000	41.16652141
1562.22500000	40.99835057
1563.06000000	39.42282102
1564.33000000	25.25455843
1564.75000000	21.96538568
1565.04000000	27.02422362
1566.00500000	37.44294557
1566.31500000	37.92206139
1569.32500000	35.13881412
1570.11000000	36.90603814
1570.22500000	40.90369479
1570.22500000	40.90369479
1570.22500000	40.90369479
1570.28000000	42.62229078
1571.32000000	40.47056338
1571.32000000	40.47056338
1571.63000000	37.27742191
1572.66000000	38.29052323
1573.03500000	7.86470111
1573.75000000	48.25499418
1573.75000000	48.25499418
1573.76500000	47.55176218
1573.87000000	69.50957922
1574.72000000	102.39819448
1575.28000000	102.32209153
1575.38000000	142.48063831
1577.52000000	142.64850989
1589.43000000	133.89881897
1590.69000000	112.34380037
1590.69000000	112.34380037
1597.17000000	82.80593043
1597.44000000	76.40842472
1597.91000000	92.37750503
1597.96000000	84.35763168
1597.96000000	84.35763168
1597.96000000	84.35763168
1597.96000000	84.35763168
1597.96000000	84.35763168
1598.12500000	77.84647551
