DEPTH d	VALUE d
1379.46500000	0.00540252
1385.25500000	0.10438555
1385.51000000	0.03405809
1385.70000000	0.08185066
1386.08000000	0.14337405
1386.24500000	0.21366624
1386.41000000	0.02319902
1386.71500000	0.00614137
1388.67500000	0.00044253
1398.80500000	0.00176356
1404.25000000	0.16059698
1404.52000000	0.03871268
1404.79000000	0.08425268
1405.00500000	0.06811529
1405.37000000	0.25116938
1405.52000000	0.00167506
1406.84500000	0.02466664
1408.17000000	0.00606612
1414.61000000	0.36298422
1414.79000000	0.68903165
1414.91000000	0.85599398
1415.03000000	0.00647487
1422.73500000	0.00441029
1430.76500000	0.00860203
1433.45000000	0.03770690
1435.81000000	0.00544968
1437.99500000	0.05230847
1440.18000000	0.01394492
1443.05500000	0.01941182
1445.93000000	0.07857488
1447.71000000	0.03561561
1451.77500000	0.00910956
1455.84000000	0.03780854
1459.17500000	0.00166786
1464.53000000	0.09726756
1465.05000000	0.08815769
1465.29000000	0.39719149
1465.53000000	0.17101386
1465.68000000	0.66349474
1465.83000000	0.01481085
1479.83000000	0.02390421
1486.55000000	0.02201668
1493.27000000	0.01321292
1493.96500000	0.45436511
1494.66000000	0.01448197
1504.23000000	0.03272969
1505.56500000	0.00158527
1506.90000000	0.00299317
1507.40500000	0.00189665
1519.12000000	0.01166841
1522.18000000	0.02933041
1523.19000000	0.00184566
1524.20000000	0.01051912
1557.68000000	0.02978728
1564.54000000	0.17847871
1565.29500000	0.15397946
1565.96500000	0.00614539
1569.35000000	0.18878216
1572.65000000	0.00321143
1590.49000000	0.02498647
1593.40000000	0.25837808
1593.79500000	0.08170542
1594.19000000	0.12720929
1594.92500000	0.08450209
1595.66000000	0.02228244
1596.30500000	0.01152654
1599.20500000	0.00433047
1601.46000000	0.01937489
1603.98500000	0.01574158
1606.51000000	0.01587918
1608.24000000	0.02116529
1609.97000000	0.03073501
1611.54000000	0.01514915
1611.97500000	0.08126649
1612.41000000	0.00499497
1617.37000000	0.00467092
1622.53500000	0.01144803
1627.79000000	0.03329031
1628.64000000	0.08177875
1629.49000000	0.02500402
1632.59000000	0.00912114
1636.12000000	0.40597173
1636.55000000	0.03391817
1657.86000000	0.00417934
1663.63000000	0.22759741
1664.21000000	0.14083035
1664.96000000	0.53323695
1665.13000000	0.88800823
1665.26000000	0.14591018
1665.39000000	0.00000519
1694.74000000	0.00710609
1717.25000000	0.00300039
1725.89000000	0.00245603
1734.53000000	0.00822732
1736.73500000	0.35688424
1737.05000000	0.01977198
1739.90500000	0.03813492
1742.76000000	0.00386948
1758.44000000	0.04546709
1763.65500000	0.29733387
1763.77000000	0.01316786
1767.11000000	0.01512289
1774.12500000	0.04054717
1777.95500000	0.00988752
1782.66000000	0.20125337
1782.78000000	0.04522707
1783.00000000	0.48500519
1783.27000000	0.00367164
