DEPTH d	VALUE d
1379.46500000	188.18192554
1385.25500000	189.45942032
1385.51000000	188.25125476
1385.70000000	187.54460348
1386.08000000	187.97268391
1386.24500000	189.26420273
1386.41000000	192.04867700
1386.71500000	191.98466200
1388.67500000	191.65813566
1398.80500000	191.15797854
1404.25000000	191.68844867
1404.52000000	194.03127125
1404.79000000	192.84440394
1405.00500000	194.35088026
1405.37000000	196.06378718
1405.52000000	198.90888919
1406.84500000	199.24191810
1408.17000000	197.27391563
1414.61000000	198.92516204
1414.79000000	202.57629656
1414.91000000	207.61573037
1415.03000000	201.77196476
1422.73500000	198.55687308
1430.76500000	196.43889345
1433.45000000	197.24449594
1435.81000000	203.80946676
1437.99500000	202.12108427
1440.18000000	198.91930053
1443.05500000	202.54645914
1445.93000000	207.40026106
1447.71000000	196.96357437
1451.77500000	185.71049670
1455.84000000	181.94665183
1459.17500000	192.51403731
1464.53000000	190.71293481
1465.05000000	193.36369260
1465.29000000	191.30216247
1465.53000000	187.28559213
1465.68000000	189.57429446
1465.83000000	181.69415791
1479.83000000	167.26433454
1486.55000000	181.12574532
1493.27000000	190.08663542
1493.96500000	192.66751802
1494.66000000	199.42360631
1504.23000000	194.65105247
1505.56500000	192.11845452
1506.90000000	191.56856808
1507.40500000	191.13286678
1519.12000000	188.96566343
1522.18000000	185.34595132
1523.19000000	185.60727839
1524.20000000	185.77148209
1557.68000000	162.92954050
1564.54000000	187.01000614
1565.29500000	194.47041324
1565.96500000	195.91064617
1569.35000000	194.87777066
1572.65000000	141.63185718
1590.49000000	148.83000477
1593.40000000	155.69395102
1593.79500000	164.73676867
1594.19000000	166.69868791
1594.92500000	176.53113318
1595.66000000	180.65725804
1596.30500000	181.07509609
1599.20500000	181.61652290
1601.46000000	181.88489989
1603.98500000	186.69076361
1606.51000000	188.50004192
1608.24000000	190.32628899
1609.97000000	192.33044384
1611.54000000	197.25949223
1611.97500000	198.44567251
1612.41000000	201.27474365
1617.37000000	199.09908042
1622.53500000	200.12360398
1627.79000000	204.85184085
1628.64000000	202.90975904
1629.49000000	199.60086827
1632.59000000	193.09088544
1636.12000000	190.76222768
1636.55000000	165.75166782
1657.86000000	212.63126117
1663.63000000	211.94416789
1664.21000000	209.85595452
1664.96000000	204.91424852
1665.13000000	198.51880859
1665.26000000	189.61272950
1665.39000000	192.47862693
1694.74000000	183.50845563
1717.25000000	198.58345705
1725.89000000	199.60396071
1734.53000000	200.66594806
1736.73500000	198.96765058
1737.05000000	194.92984293
1739.90500000	191.47890048
1742.76000000	169.26246319
1758.44000000	176.70413912
1763.65500000	197.40078660
1763.77000000	199.73549612
1767.11000000	202.59884446
1774.12500000	206.24829016
1777.95500000	202.25943345
1782.66000000	199.07663362
1782.78000000	197.61419586
1783.00000000	188.80503476
1783.27000000	195.07366595
