DEPTH d	VALUE d
1379.46500000	184.68626311
1385.25500000	183.54242179
1385.51000000	181.65259397
1385.51000000	181.65259397
1385.51000000	181.65259397
1385.70000000	182.34299371
1385.89000000	183.68499545
1385.89000000	183.68499545
1385.98500000	184.21315486
1385.98500000	184.21315486
1385.98500000	184.21315486
1386.08000000	182.47365598
1386.08000000	182.47365598
1386.24500000	185.30849510
1386.41000000	188.98567718
1386.41000000	188.98567718
1386.41000000	188.98567718
1386.71500000	188.33864049
1386.71500000	188.33864049
1388.67500000	188.88186017
1398.80500000	189.76392639
1404.25000000	193.25650263
1404.52000000	196.32784987
1404.79000000	194.75029822
1404.79000000	194.75029822
1405.00500000	195.68337777
1405.00500000	195.68337777
1405.00500000	195.68337777
1405.00500000	195.68337777
1405.37000000	197.62975303
1405.52000000	200.65420191
1405.52000000	200.65420191
1405.52000000	200.65420191
1406.84500000	201.04715313
1408.17000000	199.13817764
1408.17000000	199.13817764
1408.17000000	199.13817764
1408.17000000	199.13817764
1408.17000000	199.13817764
1414.61000000	200.07011333
1414.79000000	203.90041797
1414.79000000	203.90041797
1414.79000000	203.90041797
1414.91000000	208.96374566
1414.91000000	208.96374566
1415.03000000	203.26146707
1422.73500000	200.20452128
1422.73500000	200.20452128
1422.73500000	200.20452128
1430.76500000	198.35512188
1433.45000000	198.94947236
1433.45000000	198.94947236
1433.45000000	198.94947236
1433.45000000	198.94947236
1433.45000000	198.94947236
1435.81000000	204.44354463
1435.81000000	204.44354463
1435.81000000	204.44354463
1435.81000000	204.44354463
1435.81000000	204.44354463
1435.81000000	204.44354463
1437.99500000	202.74226636
1440.18000000	201.10576750
1440.18000000	201.10576750
1440.18000000	201.10576750
1443.05500000	204.70786768
1445.93000000	209.60434147
1445.93000000	209.60434147
1445.93000000	209.60434147
1445.93000000	209.60434147
1447.71000000	198.85656485
1447.71000000	198.85656485
1447.71000000	198.85656485
1447.71000000	198.85656485
1447.71000000	198.85656485
1451.77500000	188.12898267
1451.77500000	188.12898267
1455.84000000	184.66078973
1455.84000000	184.66078973
1459.17500000	195.26709409
1464.53000000	192.77997610
1464.88000000	191.08234253
1464.96500000	194.53342705
1464.96500000	194.53342705
1464.96500000	194.53342705
1464.96500000	194.53342705
1464.96500000	194.53342705
1464.96500000	194.53342705
1464.96500000	194.53342705
1464.96500000	194.53342705
1465.05000000	195.10034235
1465.29000000	192.70583438
1465.29000000	192.70583438
1465.29000000	192.70583438
1465.53000000	189.06917556
1465.53000000	189.06917556
1465.53000000	189.06917556
1465.68000000	191.11554248
1465.68000000	191.11554248
1465.83000000	182.82684630
1479.83000000	167.12486282
1479.83000000	167.12486282
1479.83000000	167.12486282
1479.83000000	167.12486282
1479.83000000	167.12486282
1479.83000000	167.12486282
1479.83000000	167.12486282
1479.83000000	167.12486282
1486.55000000	183.52085186
1493.27000000	193.38525575
1493.27000000	193.38525575
1493.96500000	197.04523844
1493.96500000	197.04523844
1493.96500000	197.04523844
1494.66000000	204.78661870
1494.66000000	204.78661870
1494.66000000	204.78661870
1494.66000000	204.78661870
1494.66000000	204.78661870
1504.15000000	199.91087641
1504.15000000	199.91087641
1504.15000000	199.91087641
1504.16000000	199.64129487
1504.19500000	197.60017967
1504.19500000	197.60017967
1504.19500000	197.60017967
1504.19500000	197.60017967
1504.19500000	197.60017967
1504.23000000	195.38053841
1505.56500000	192.74278804
1505.56500000	192.74278804
1506.90000000	192.26673414
1506.90000000	192.26673414
1506.90000000	192.26673414
1506.90000000	192.26673414
1506.90000000	192.26673414
1506.90000000	192.26673414
1507.40500000	191.67296791
1507.40500000	191.67296791
1519.12000000	188.62972186
1519.12000000	188.62972186
1519.12000000	188.62972186
1522.18000000	185.53763170
1523.19000000	186.31459812
1523.19000000	186.31459812
1523.19000000	186.31459812
1523.19000000	186.31459812
1523.19000000	186.31459812
1523.19000000	186.31459812
1523.19000000	186.31459812
1523.19000000	186.31459812
1524.20000000	185.71962956
1524.20000000	185.71962956
1524.20000000	185.71962956
1524.20000000	185.71962956
1524.20000000	185.71962956
1524.20000000	185.71962956
1524.20000000	185.85178874
1524.20000000	185.85178874
1557.68000000	152.21187851
1557.68000000	152.21187851
1557.68000000	152.21187851
1557.68000000	152.21187851
1557.68000000	152.21187851
1557.68000000	152.21187851
1557.68000000	152.21187851
1564.54000000	190.08493939
1564.54000000	190.08493939
1565.29500000	199.73656325
1565.29500000	199.73656325
1565.29500000	199.73656325
