DEPTH d	VALUE d
1379.46500000	0.00020470
1385.25500000	0.01245364
1385.51000000	0.00000000
1385.51000000	0.00000000
1385.51000000	0.00040042
1385.70000000	0.00904624
1385.89000000	0.00000000
1385.89000000	0.00000000
1385.98500000	0.00000000
1385.98500000	0.00000000
1385.98500000	0.00000000
1386.08000000	0.00000000
1386.08000000	0.02375367
1386.24500000	0.00949875
1386.41000000	0.00000000
1386.41000000	0.00000000
1386.41000000	0.00339049
1386.71500000	0.00000000
1386.71500000	0.00064337
1388.67500000	0.00004963
1398.80500000	0.00018897
1404.25000000	0.00996622
1404.52000000	0.00010268
1404.79000000	0.00000000
1404.79000000	0.00485127
1405.00500000	0.00000000
1405.00500000	0.00000000
1405.00500000	0.00000000
1405.00500000	0.00490337
1405.37000000	0.00725562
1405.52000000	0.00000000
1405.52000000	0.00000000
1405.52000000	0.00195664
1406.84500000	0.00080042
1408.17000000	0.00000000
1408.17000000	0.00000000
1408.17000000	0.00000000
1408.17000000	0.00000000
1408.17000000	0.00056959
1414.61000000	0.02016730
1414.79000000	0.00000000
1414.79000000	0.00000000
1414.79000000	0.02199241
1414.91000000	0.00000000
1414.91000000	0.00872435
1415.03000000	0.00041420
1422.73500000	0.00000000
1422.73500000	0.00000000
1422.73500000	0.00022938
1430.76500000	0.00305064
1433.45000000	0.00000000
1433.45000000	0.00000000
1433.45000000	0.00000000
1433.45000000	0.00000000
1433.45000000	0.00063171
1435.81000000	0.00000000
1435.81000000	0.00000000
1435.81000000	0.00000000
1435.81000000	0.00000000
1435.81000000	0.00000000
1435.81000000	0.00083694
1437.99500000	0.00332796
1440.18000000	0.00000000
1440.18000000	0.00000000
1440.18000000	0.00025591
1443.05500000	0.00179129
1445.93000000	0.00000000
1445.93000000	0.00000000
1445.93000000	0.00000000
1445.93000000	0.00562590
1447.71000000	0.00000000
1447.71000000	0.00000000
1447.71000000	0.00000000
1447.71000000	0.00000000
1447.71000000	0.00131551
1451.77500000	0.00000000
1451.77500000	0.00053096
1455.84000000	0.00000000
1455.84000000	0.00133447
1459.17500000	0.00066953
1464.53000000	0.00266526
1464.88000000	0.00000000
1464.96500000	0.00000000
1464.96500000	0.00000000
1464.96500000	0.00000000
1464.96500000	0.00000000
1464.96500000	0.00000000
1464.96500000	0.00000000
1464.96500000	0.00000000
1464.96500000	0.00000000
1465.05000000	0.00724529
1465.29000000	0.00000000
1465.29000000	0.00000000
1465.29000000	0.00128287
1465.53000000	0.00000000
1465.53000000	0.00000000
1465.53000000	0.00554173
1465.68000000	0.00000000
1465.68000000	0.02778954
1465.83000000	0.00693398
1479.83000000	0.00000000
1479.83000000	0.00000000
1479.83000000	0.00000000
1479.83000000	0.00000000
1479.83000000	0.00000000
1479.83000000	0.00000000
1479.83000000	0.00000000
1479.83000000	0.01416500
1486.55000000	0.00060204
1493.27000000	0.00000000
1493.27000000	0.00325457
1493.96500000	0.00000000
1493.96500000	0.00000000
1493.96500000	0.08263245
1494.66000000	0.00000000
1494.66000000	0.00000000
1494.66000000	0.00000000
1494.66000000	0.00000000
1494.66000000	0.00443624
1504.15000000	0.00000000
1504.15000000	0.00000000
1504.15000000	0.00000000
1504.16000000	0.00000000
1504.19500000	0.00000000
1504.19500000	0.00000000
1504.19500000	0.00000000
1504.19500000	0.00000000
1504.19500000	0.00000000
1504.23000000	0.00264129
1505.56500000	0.00000000
1505.56500000	0.00162501
1506.90000000	0.00000000
1506.90000000	0.00000000
1506.90000000	0.00000000
1506.90000000	0.00000000
1506.90000000	0.00000000
1506.90000000	0.00447632
1507.40500000	0.00000000
1507.40500000	0.00037520
1519.12000000	0.00000000
1519.12000000	0.00000000
1519.12000000	0.00031637
1522.18000000	0.00020285
1523.19000000	0.00000000
1523.19000000	0.00000000
1523.19000000	0.00000000
1523.19000000	0.00000000
1523.19000000	0.00000000
1523.19000000	0.00000000
1523.19000000	0.00000000
1523.19000000	0.05632358
1524.20000000	0.00000000
1524.20000000	0.00000000
1524.20000000	0.00000000
1524.20000000	0.00000000
1524.20000000	0.00000000
1524.20000000	0.00000000
1524.20000000	0.00000000
1557.68000000	0.00000000
1557.68000000	0.00000000
1557.68000000	0.00000000
1557.68000000	0.00000000
1557.68000000	0.00000000
1557.68000000	0.00000000
1557.68000000	0.00185526
1564.54000000	0.00000000
1564.54000000	0.00604366
1565.29500000	0.00000000
1565.29500000	0.00000000
1565.29500000	0.00000000
1565.29500000	0.00000000
1565.29500000	0.00000000
1565.29500000	0.00084968
1565.88000000	0.00000000
1565.88000000	0.00000000
1565.88000000	0.00000000
1565.88000000	0.00000000
1565.88000000	0.00000000
1565.96500000	0.00000000
1565.96500000	0.00000000
1565.96500000	0.00000000
1565.96500000	0.00000000
1565.96500000	0.00000000
1565.96500000	0.00000000
1565.96500000	0.00040220
1569.35000000	0.00000000
1569.35000000	0.00746720
1572.65000000	0.00000000
1572.65000000	0.00000000
1572.65000000	0.00000000
1572.65000000	0.00013251
1590.49000000	0.00000000
1590.49000000	0.00000000
1590.49000000	0.00184989
1593.40000000	0.01793263
1593.79500000	0.00144039
1594.19000000	0.00000000
1594.19000000	0.00358857
1594.92500000	0.00000000
1594.92500000	0.00000000
1594.92500000	0.00000000
1594.92500000	0.00604749
1595.66000000	0.00000000
1595.66000000	0.00000000
1595.66000000	0.00000000
1595.66000000	0.00000000
1595.66000000	0.00009699
1596.30500000	0.00000000
1596.30500000	0.00000000
