DEPTH d	VALUE d
1374.86000000	0.08899072
1375.05000000	0.00000000
1375.05000000	0.00000000
1375.05000000	0.02707686
1375.29500000	0.00000000
1375.29500000	0.37118951
1375.54000000	0.00000000
1375.54000000	0.00017503
1386.61000000	0.22981301
1386.86000000	0.00399073
1394.52500000	0.00000000
1394.52500000	0.01587872
1396.85000000	0.00000000
1396.85000000	0.00000000
1396.91000000	0.00000000
1396.91000000	0.00000000
1396.91000000	0.01443366
1397.63000000	0.00000000
1397.63000000	0.00540464
1398.29000000	0.03723854
1400.35000000	0.00000000
1400.35000000	0.00000000
1400.35000000	0.00705414
1402.08000000	0.00000000
1402.08000000	0.00000000
1402.08000000	0.04045233
1403.98000000	0.00436205
1407.54500000	0.00000000
1407.54500000	0.00000000
1407.54500000	0.04436741
1411.21000000	0.00000000
1411.21000000	0.14175976
1412.75000000	0.00000000
1412.75000000	0.10442586
1413.06500000	0.00000000
1413.06500000	0.00000000
1413.06500000	0.06568519
1413.53000000	0.00050709
1413.84000000	0.07857032
1416.05000000	0.00000000
1416.05000000	0.00000000
1416.05000000	0.05661775
1418.10000000	1.00000000
1418.25000000	0.15878393
1421.61000000	0.08796501
1425.26500000	0.01944726
1429.26000000	0.05735734
1430.10000000	0.00010021
1430.31000000	0.00000000
1430.31000000	0.00000000
1430.31000000	0.00000000
1430.31000000	0.02437259
1431.24500000	0.00000000
1431.24500000	0.00000000
1431.24500000	0.00115866
1431.46000000	0.00000000
1431.46000000	0.00000000
1431.46000000	0.00000000
1431.48000000	0.00000000
1431.48500000	0.00000000
1431.48500000	0.00000000
1431.49000000	0.10125426
1432.03500000	0.02767382
1432.64000000	0.02956338
1435.45000000	0.01951697
1450.78000000	0.26816891
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.16000000	0.18600001
1451.26000000	0.00000000
1451.32000000	0.00000000
1451.32000000	0.00000000
1451.32000000	0.00000000
1451.38000000	0.00000000
1451.38000000	0.00000000
1451.44000000	0.31759915
1451.59000000	0.00119705
1456.06000000	0.00000000
1456.06000000	0.00049821
1456.69000000	0.00974658
1457.32000000	0.01039448
1463.02000000	0.00117111
1464.70000000	0.01370310
1468.64000000	0.00000000
1468.64000000	0.00000000
1468.64000000	0.00000000
1468.64000000	0.00000000
1468.64000000	0.09580352
1468.83000000	0.15866245
1469.11000000	0.00000000
1469.20000000	0.08815724
1469.40500000	0.00000000
1469.40500000	0.00000000
1469.40500000	0.00000000
1469.40500000	0.01257348
1469.61000000	0.01275532
1470.50000000	0.27136318
1470.84000000	0.00000000
1470.84000000	0.00000000
1470.84000000	0.00000000
1470.89000000	0.49285873
1471.30000000	0.00783451
1479.17500000	0.04602077
1479.57000000	0.00000000
1479.57000000	0.00064376
1486.71000000	0.00000000
1486.71000000	0.00000000
1486.71000000	0.00000000
1486.71000000	0.00000000
1486.71000000	0.01059466
1493.85000000	0.00000000
1493.85000000	0.01303383
1500.16000000	0.00000000
1500.16000000	0.12738843
1501.47500000	0.00000000
1501.47500000	0.00000000
1501.47500000	0.00000000
1501.47500000	0.00000000
1501.47500000	0.09217283
1502.79000000	0.02207016
1507.99000000	0.00000000
1508.08000000	0.00000000
1508.08000000	0.00000000
1508.08000000	0.00000000
1508.08000000	0.00000000
1508.17000000	0.00000000
1508.17000000	0.62161004
1508.52000000	0.04705388
1509.31500000	0.00000000
1509.31500000	0.00000000
1509.31500000	0.10858233
1509.76000000	0.00382136
1515.37000000	0.00181412
1515.99000000	0.09464748
1516.61000000	0.00000000
1516.61000000	0.02022102
1516.72000000	0.34447155
1516.83000000	0.00000000
1516.83000000	0.00063063
1518.36000000	0.00601316
1520.04000000	0.00878446
1524.39000000	0.00000000
1524.39000000	0.00000000
1524.39000000	0.00000000
1524.39000000	0.00000000
1524.39000000	0.00000000
1524.39000000	0.05336612
1525.01500000	0.00200819
1527.43000000	0.00000000
1527.43000000	0.00000000
1527.43000000	0.00196406
1529.36000000	0.11450141
1529.54500000	0.29658511
1529.68000000	0.00000000
1529.68000000	0.00873021
1534.41500000	0.00129768
1539.15000000	0.05245151
1539.98500000	0.00000000
1539.98500000	0.00000000
1539.98500000	0.03839299
1540.82000000	0.08478594
1541.11000000	0.00561006
1542.20500000	0.00000000
1542.20500000	0.00000000
1542.20500000	0.00065584
1546.09500000	0.00000000
1546.09500000	0.00099666
1548.89000000	0.00543474
1551.80500000	0.00138477
1553.53000000	0.00000000
1553.53000000	0.03669508
1553.66500000	0.46820393
1553.80000000	0.03315478
1556.28000000	0.00000000
1556.28000000	0.86509970
1556.45000000	0.00000000
1556.45000000	0.42211682
1556.68000000	0.07598822
1557.46000000	0.01975521
1559.37500000	0.03202182
1561.39000000	0.00000000
1561.39000000	0.00842420
1565.27500000	0.00000000
1565.32000000	0.00000000
1565.39500000	0.01313383
1566.51000000	0.02734308
1568.08000000	0.01011869
1569.32500000	0.01337920
1570.17000000	0.00411194
1570.74500000	0.00000000
1570.74500000	0.00000000
1570.74500000	0.00000000
1570.74500000	0.02001239
1572.07500000	0.00000000
1572.07500000	0.00000000
1572.07500000	0.00000000
1572.07500000	0.09935943
1573.21000000	0.00000000
1573.24000000	0.09344501
1573.51000000	0.15875649
1574.11500000	0.11098716
1574.58500000	0.11217391
1575.32000000	0.00894257
1575.44000000	0.00000000
1575.48000000	0.00292923
