DEPTH d	VALUE d
1374.86000000	224.16493015
1375.05000000	220.37553464
1375.05000000	220.37553464
1375.05000000	220.37553464
1375.29500000	219.59142450
1375.29500000	219.59142450
1375.54000000	190.27483598
1375.54000000	190.27483598
1386.61000000	185.99896390
1386.86000000	152.63040815
1394.52500000	155.39123193
1394.52500000	155.39123193
1396.85000000	172.39534915
1396.85000000	172.39534915
1396.91000000	168.93512448
1396.91000000	168.93512448
1396.91000000	168.93512448
1397.63000000	178.96299237
1397.63000000	178.96299237
1398.29000000	183.48856151
1400.35000000	213.06956148
1400.35000000	213.06956148
1400.35000000	213.06956148
1402.08000000	211.79392931
1402.08000000	211.79392931
1402.08000000	211.79392931
1403.98000000	236.85076303
1407.54500000	240.15227991
1407.54500000	240.15227991
1407.54500000	240.15227991
1411.21000000	188.17232821
1411.21000000	188.17232821
1412.75000000	102.60240725
1412.75000000	102.60240725
1413.06500000	93.94031228
1413.06500000	93.94031228
1413.06500000	93.94031228
1413.53000000	82.69989761
1413.84000000	86.43910718
1416.05000000	140.77601987
1416.05000000	140.77601987
1416.05000000	140.77601987
1418.10000000	106.01870037
1418.25000000	153.67241770
1421.61000000	330.17935189
1425.26500000	71.92991583
1429.26000000	400.20460618
1430.10000000	384.27568932
1430.31000000	385.77476519
1430.31000000	385.77476519
1430.31000000	385.77476519
1430.31000000	385.77476519
1431.24500000	380.19610209
1431.24500000	380.19610209
1431.24500000	380.19610209
1431.46000000	379.60437138
1431.46000000	379.60437138
1431.46000000	379.60437138
1431.48000000	374.80996073
1431.48500000	379.85720378
1431.48500000	379.85720378
1431.49000000	380.75474752
1432.03500000	366.03281286
1432.64000000	369.99961668
1435.45000000	402.09982138
1450.78000000	300.04999001
1451.12000000	270.81816675
1451.12000000	270.81816675
1451.12000000	270.81816675
1451.12000000	270.81816675
1451.16000000	258.47206656
1451.26000000	262.31358998
1451.32000000	262.67662813
1451.32000000	262.67662813
1451.32000000	262.67662813
1451.38000000	253.44620969
1451.38000000	253.44620969
1451.44000000	263.06607895
1451.59000000	247.83386508
1456.06000000	248.07901050
1456.06000000	248.07901050
1456.69000000	249.02861151
1457.32000000	246.43538181
1463.02000000	237.85276621
1464.70000000	238.79035584
1468.64000000	222.28952572
1468.64000000	222.28952572
1468.64000000	222.28952572
1468.64000000	222.28952572
1468.64000000	222.28952572
1468.83000000	217.71777880
1469.11000000	203.70249548
1469.20000000	221.63643454
1469.40500000	226.25258110
1469.40500000	226.25258110
1469.40500000	226.25258110
1469.40500000	226.25258110
1469.61000000	222.59304840
1470.50000000	229.32098816
1470.84000000	201.32045232
1470.84000000	201.32045232
1470.84000000	201.32045232
1470.89000000	194.36262360
1471.30000000	249.72448169
1479.17500000	260.02478726
1479.57000000	243.29489576
1479.57000000	243.29489576
1486.71000000	238.76412707
1486.71000000	238.76412707
1486.71000000	238.76412707
1486.71000000	238.76412707
1486.71000000	238.76412707
1493.85000000	205.37728574
1493.85000000	215.65999999
1500.16000000	252.12733296
1500.16000000	252.12733296
1501.47500000	325.93150744
1501.47500000	325.93150744
1501.47500000	325.93150744
1501.47500000	325.93150744
1501.47500000	325.93150744
1502.79000000	374.86287800
1507.99000000	332.69457992
1508.08000000	298.89429779
1508.08000000	298.89429779
1508.08000000	298.89429779
1508.08000000	298.89429779
1508.17000000	316.81159776
1508.17000000	316.81159776
1508.52000000	251.96665988
1509.31500000	268.05413109
1509.31500000	268.05413109
1509.31500000	268.05413109
1509.76000000	280.99715642
1515.37000000	286.61246452
1515.99000000	289.47708447
1516.61000000	269.36374030
1516.61000000	269.36374030
1516.72000000	266.29896932
1516.83000000	278.02287714
1516.83000000	278.02287714
1518.36000000	271.25554937
1520.04000000	271.36675838
1524.39000000	279.77173274
1524.39000000	279.77173274
1524.39000000	279.77173274
1524.39000000	279.77173274
1524.39000000	279.77173274
1524.39000000	279.77173274
1525.01500000	291.08737110
1527.43000000	284.41696755
1527.43000000	284.41696755
1527.43000000	284.41696755
1529.36000000	286.01996524
1529.54500000	295.24750092
1529.68000000	267.45265561
1529.68000000	267.45265561
1534.41500000	259.09070316
1539.15000000	262.49909753
1539.98500000	247.13665622
1539.98500000	247.13665622
1539.98500000	247.13665622
1540.82000000	258.18116071
1541.11000000	253.04551764
1542.20500000	252.82993473
1542.20500000	252.82993473
1542.20500000	252.82993473
1546.09500000	273.82197986
1546.09500000	273.82197986
1548.89000000	278.37008300
1551.80500000	272.85015538
1553.53000000	270.85740551
1553.53000000	270.85740551
1553.66500000	270.98375391
1553.80000000	249.36263948
1556.28000000	219.02079517
1556.28000000	219.02079517
1556.45000000	276.64899236
1556.45000000	276.64899236
1556.68000000	236.36228089
1557.46000000	259.57721211
1559.37500000	271.63010329
1561.39000000	247.69825283
1561.39000000	247.69825283
1565.27500000	240.46980753
1565.32000000	239.95348374
1565.39500000	280.19547268
1566.51000000	280.96533142
1568.08000000	263.97334766
1569.32500000	264.36524460
1570.17000000	267.81384157
1570.74500000	269.03050244
1570.74500000	269.03050244
1570.74500000	269.03050244
1570.74500000	269.03050244
1572.07500000	276.00542840
1572.07500000	276.00542840
1572.07500000	276.00542840
1572.07500000	276.00542840
1573.21000000	306.01493559
1573.24000000	294.04726773
1573.51000000	287.86147909
1574.11500000	316.36620104
1574.58500000	298.85916261
1575.32000000	272.74065319
1575.44000000	272.71553093
1575.48000000	256.56056914
1589.49500000	238.65278761
1590.02000000	242.08295235
1590.70500000	236.88138215
1590.70500000	236.88138215
1591.71000000	245.87249537
1597.30000000	273.03256843
1598.16000000	242.40322551
1598.16000000	242.40322551
1598.16000000	242.40322551
1598.16000000	242.40322551
1598.16000000	242.40322551
1598.16000000	242.40322551
1598.24000000	246.01269833
1598.28500000	242.37094676
1598.49500000	250.39486158
1599.36500000	254.04731124
1599.61000000	261.40166304
1600.00000000	264.77390259
1607.93000000	267.10620675
1608.01000000	252.87437532
1608.01000000	252.25477463
1608.06000000	269.32600411
1608.11000000	262.78982574
1608.12500000	261.58201424
1608.47000000	257.46737753
1610.05500000	225.47345852
1611.14000000	239.16303059
1611.28000000	254.49844693
1611.28000000	254.49844693
1611.28000000	254.49844693
1611.42000000	229.25304065
1611.42000000	229.25304065
1611.46000000	207.47446512
1611.58000000	183.30539032
1611.66500000	172.57936135
1611.82000000	218.19712308
1612.72000000	210.52156630
1612.78000000	207.72609014
1618.08000000	184.53438543
1623.43000000	183.40674535
1628.84000000	181.59062356
1629.10000000	192.80607001
1629.36000000	188.53749746
1629.95000000	187.90538244
1630.54000000	186.43551859
1631.57000000	177.40694760
1631.57000000	177.40694760
1631.57000000	177.40694760
1631.57000000	177.40694760
1631.57000000	177.40694760
1634.35000000	302.67653183
1634.35000000	302.67653183
1640.68000000	204.85216409
1640.68000000	204.85216409
1640.68000000	204.85216409
1643.35000000	205.30733912
1644.39500000	224.49296556
1645.44000000	221.71195363
1645.50000000	209.61802244
1645.50000000	209.61802244
1645.50000000	209.61802244
1645.56000000	183.95715785
1645.56000000	183.95715785
1645.64000000	252.63787566
1645.77000000	262.59603782
1645.82000000	266.74841473
1645.82000000	266.74841473
1645.82000000	266.74841473
1645.82000000	266.74841473
1645.82000000	266.74841473
1645.90000000	207.12910270
1657.39000000	205.34030525
1664.31000000	254.15461010
1664.41000000	213.36421775
1664.41000000	213.36421775
1664.41000000	213.36421775
1664.41000000	213.36421775
1664.41000000	213.36421775
1664.41000000	213.36421775
1664.41000000	213.36421775
1664.41000000	213.36421775
1664.41000000	213.36421775
1664.41000000	213.36421775
1664.51000000	184.93807478
1664.53500000	181.69388575
1664.53500000	181.69388575
1664.53500000	181.69388575
1664.53500000	181.69388575
1664.53500000	181.69388575
1664.53500000	181.69388575
1664.56000000	168.38204175
1683.64000000	122.40723191
1683.64000000	122.40723191
1683.64000000	121.87999998
1683.64000000	121.87999998
1688.95000000	194.27679803
1688.95000000	194.27679803
1689.95000000	198.54679738
1689.95000000	198.54679738
1689.95000000	198.54679738
1689.95000000	198.54679738
1690.95000000	175.61554953
1690.95000000	175.61554953
1690.95000000	175.61554953
1690.95000000	175.61554953
1690.95000000	175.61554953
1690.95000000	175.61554953
1690.95000000	175.61554953
1690.95000000	175.61554953
1690.95000000	175.61554953
1692.60000000	198.40208005
1692.60000000	198.40208005
1692.60000000	198.40208005
1692.60000000	198.40208005
1692.60000000	198.40208005
1701.14500000	126.11659003
1701.14500000	126.11659003
1708.04000000	91.99658480
1708.04000000	91.99658480
1708.04000000	91.99658480
1708.04000000	91.99658480
1708.04000000	41.74999999
