DEPTH d	VALUE d
1374.86000000	0.00214744
1375.05000000	0.00000000
1375.05000000	0.00000000
1375.05000000	0.00831063
1375.29500000	0.00000000
1375.29500000	0.01198770
1375.54000000	0.00000000
1375.54000000	0.00120892
1386.61000000	0.11292316
1386.86000000	0.00007383
1394.52500000	0.00000000
1394.52500000	0.00407620
1396.85000000	0.00000000
1396.85000000	0.00000000
1396.91000000	0.00000000
1396.91000000	0.00000000
1396.91000000	0.00927404
1397.63000000	0.00000000
1397.63000000	0.00760841
1398.29000000	0.00470375
1400.35000000	0.00000000
1400.35000000	0.00000000
1400.35000000	0.00215574
1402.08000000	0.00000000
1402.08000000	0.00000000
1402.08000000	0.00115011
1403.98000000	0.00300814
1407.54500000	0.00000000
1407.54500000	0.00000000
1407.54500000	0.00230427
1411.21000000	0.00000000
1411.21000000	0.00341568
1412.75000000	0.00000000
1412.75000000	0.00580523
1413.06500000	0.00000000
1413.06500000	0.00000000
1413.06500000	0.00686802
1413.53000000	0.00160394
1413.84000000	0.00098027
1416.05000000	0.00000000
1416.05000000	0.00000000
1416.05000000	0.00091336
1418.10000000	0.02581656
1418.25000000	0.00023138
1421.61000000	0.00060081
1425.26500000	0.00151243
1429.26000000	0.00019536
1430.10000000	0.01435867
1430.31000000	0.00000000
1430.31000000	0.00000000
1430.31000000	0.00000000
1430.31000000	0.00036870
1431.24500000	0.00000000
1431.24500000	0.00000000
1431.24500000	0.00271394
1431.46000000	0.00000000
1431.46000000	0.00000000
1431.46000000	0.00000000
1431.48000000	0.00000000
1431.48500000	0.00000000
1431.48500000	0.00000000
1431.49000000	0.00308087
1432.03500000	0.00156412
1432.64000000	0.00283818
1435.45000000	0.00048564
1450.78000000	0.00466972
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.16000000	0.00018070
1451.26000000	0.00000000
1451.32000000	0.00000000
1451.32000000	0.00000000
1451.32000000	0.00000000
1451.38000000	0.00000000
1451.38000000	0.00000000
1451.44000000	0.01059679
1451.59000000	0.00061678
1456.06000000	0.00000000
1456.06000000	0.00184978
1456.69000000	0.00004987
1457.32000000	0.00141672
1463.02000000	0.00096778
1464.70000000	0.00041560
1468.64000000	0.00000000
1468.64000000	0.00000000
1468.64000000	0.00000000
1468.64000000	0.00000000
1468.64000000	0.01314046
1468.83000000	0.00517594
1469.11000000	0.00000000
1469.20000000	0.01527171
1469.40500000	0.00000000
1469.40500000	0.00000000
1469.40500000	0.00000000
1469.40500000	0.01247313
1469.61000000	0.00411076
1470.50000000	0.00814794
1470.84000000	0.00000000
1470.84000000	0.00000000
1470.84000000	0.00000000
1470.89000000	0.02689234
1471.30000000	0.00104617
1479.17500000	0.03568120
1479.57000000	0.00000000
1479.57000000	0.00124341
1486.71000000	0.00000000
1486.71000000	0.00000000
1486.71000000	0.00000000
1486.71000000	0.00000000
1486.71000000	0.00053456
1493.85000000	0.00000000
1493.85000000	0.00121949
1500.16000000	0.00000000
1500.16000000	0.00389236
1501.47500000	0.00000000
1501.47500000	0.00000000
1501.47500000	0.00000000
1501.47500000	0.00000000
1501.47500000	0.00416788
1502.79000000	0.00029993
1507.99000000	0.00000000
1508.08000000	0.00000000
1508.08000000	0.00000000
1508.08000000	0.00000000
1508.08000000	0.00000000
1508.17000000	0.00000000
1508.17000000	0.00016320
1508.52000000	0.00205217
1509.31500000	0.00000000
1509.31500000	0.00000000
1509.31500000	0.01197935
1509.76000000	0.00026647
1515.37000000	0.00203941
1515.99000000	0.00550757
1516.61000000	0.00000000
1516.61000000	0.00620504
1516.72000000	0.02483957
1516.83000000	0.00000000
1516.83000000	0.00312508
1518.36000000	0.00047806
1520.04000000	0.00031811
1524.39000000	0.00000000
1524.39000000	0.00000000
1524.39000000	0.00000000
1524.39000000	0.00000000
1524.39000000	0.00000000
1524.39000000	0.00312424
1525.01500000	0.00177126
1527.43000000	0.00000000
1527.43000000	0.00000000
1527.43000000	0.00288811
1529.36000000	0.00176612
1529.54500000	0.02502878
1529.68000000	0.00000000
1529.68000000	0.00136248
1534.41500000	0.00002580
1539.15000000	0.00396424
1539.98500000	0.00000000
1539.98500000	0.00000000
1539.98500000	0.00163978
1540.82000000	0.00195980
1541.11000000	0.00593810
1542.20500000	0.00000000
1542.20500000	0.00000000
1542.20500000	0.00232561
1546.09500000	0.00000000
1546.09500000	0.00072410
1548.89000000	0.00027845
1551.80500000	0.00054233
1553.53000000	0.00000000
1553.53000000	0.00185851
1553.66500000	0.00003339
1553.80000000	0.00203275
1556.28000000	0.00000000
1556.28000000	0.00429732
1556.45000000	0.00000000
1556.45000000	0.01866029
1556.68000000	0.00317890
1557.46000000	0.00033742
1559.37500000	0.00016660
1561.39000000	0.00000000
1561.39000000	0.00170377
1565.27500000	0.00000000
1565.32000000	0.00000000
1565.39500000	0.00104987
1566.51000000	0.00214678
1568.08000000	0.00043697
1569.32500000	0.00122029
1570.17000000	0.00048861
1570.74500000	0.00000000
1570.74500000	0.00000000
1570.74500000	0.00000000
1570.74500000	0.00090037
1572.07500000	0.00000000
1572.07500000	0.00000000
1572.07500000	0.00000000
1572.07500000	0.00120369
1573.21000000	0.00000000
1573.24000000	0.00782312
1573.51000000	0.00269322
1574.11500000	0.00154698
1574.58500000	0.00526245
1575.32000000	0.01539089
1575.44000000	0.00000000
1575.48000000	0.00035487
1589.49500000	0.00735371
1590.02000000	0.00640758
1590.70500000	0.00000000
1590.70500000	0.00533774
1591.71000000	0.00038799
1597.30000000	0.00169447
1598.16000000	0.00000000
1598.16000000	0.00000000
1598.16000000	0.00000000
1598.16000000	0.00000000
1598.16000000	0.00000000
1598.16000000	0.00000000
1598.24000000	0.00000000
1598.28500000	0.00318623
1598.49500000	0.00732914
1599.36500000	0.00923189
1599.61000000	0.00248969
1600.00000000	0.00007212
1607.93000000	0.00000000
1608.01000000	0.00000000
1608.01000000	0.00000000
1608.06000000	0.00000000
1608.11000000	0.00000000
1608.12500000	0.00018734
1608.47000000	0.00095804
1610.05500000	0.00289431
1611.14000000	0.00437735
1611.28000000	0.00000000
1611.28000000	0.00000000
1611.28000000	0.01093503
1611.42000000	0.00000000
1611.42000000	0.00000000
1611.46000000	0.00450838
1611.58000000	0.00000000
1611.66500000	0.01883423
1611.82000000	0.00400635
1612.72000000	0.00000000
1612.78000000	0.00120768
1618.08000000	0.00039069
1623.43000000	0.00120910
1628.84000000	0.01401345
1629.10000000	0.00725232
1629.36000000	0.00303364
1629.95000000	0.00401260
1630.54000000	0.00352456
1631.57000000	0.00000000
1631.57000000	0.00000000
1631.57000000	0.00000000
1631.57000000	0.00000000
1631.57000000	0.00413187
1634.35000000	0.00000000
1634.35000000	0.00047853
1640.68000000	0.00000000
1640.68000000	0.00000000
1640.68000000	0.00017340
1643.35000000	0.00174120
1644.39500000	0.00139312
1645.44000000	0.00000000
1645.50000000	0.00000000
1645.50000000	0.00000000
1645.50000000	0.00000000
1645.56000000	0.00000000
1645.56000000	0.00000000
1645.64000000	0.00916687
1645.77000000	0.00000000
1645.82000000	0.00000000
1645.82000000	0.00000000
1645.82000000	0.00000000
1645.82000000	0.00000000
1645.82000000	0.00000000
1645.90000000	0.00002465
1657.39000000	0.00036368
1664.31000000	0.00000000
1664.41000000	0.00000000
1664.41000000	0.00000000
1664.41000000	0.00000000
1664.41000000	0.00000000
1664.41000000	0.00000000
1664.41000000	0.00000000
1664.41000000	0.00000000
1664.41000000	0.00000000
1664.41000000	0.00000000
1664.41000000	0.04010237
1664.51000000	0.00000000
1664.53500000	0.00000000
1664.53500000	0.00000000
1664.53500000	0.00000000
1664.53500000	0.00000000
1664.53500000	0.00000000
1664.53500000	0.00000000
1664.56000000	0.00113257
1683.64000000	0.00000000
1683.64000000	0.00000000
1683.64000000	0.00000000
1683.64000000	0.00127926
1688.95000000	0.00000000
1688.95000000	0.01257433
1689.95000000	0.00000000
1689.95000000	0.00000000
1689.95000000	0.00000000
1689.95000000	0.00455600
1690.95000000	0.00000000
1690.95000000	0.00000000
1690.95000000	0.00000000
1690.95000000	0.00000000
