DEPTH d	VALUE d
1374.86000000	-2.84091315
1375.05000000	-3.30246901
1375.05000000	-3.30246901
1375.05000000	-3.30246901
1375.29500000	-2.77073774
1375.29500000	-2.77073774
1375.54000000	-1.81286471
1375.54000000	-1.81286471
1386.61000000	2.79986918
1386.86000000	14.03363610
1394.52500000	14.84741084
1394.52500000	14.84741084
1396.85000000	11.18396488
1396.85000000	11.18396488
1396.91000000	9.01833851
1396.91000000	9.01833851
1396.91000000	9.01833851
1397.63000000	5.89094037
1397.63000000	5.89094037
1398.29000000	3.91446098
1400.35000000	0.68421070
1400.35000000	0.68421070
1400.35000000	0.68421070
1402.08000000	-0.60099510
1402.08000000	-0.60099510
1402.08000000	-0.60099510
1403.98000000	1.07330007
1407.54500000	-3.26044828
1407.54500000	-3.26044828
1407.54500000	-3.26044828
1411.21000000	-6.77995722
1411.21000000	-6.77995722
1412.75000000	-4.01155478
1412.75000000	-4.01155478
1413.06500000	-5.00061856
1413.06500000	-5.00061856
1413.06500000	-5.00061856
1413.53000000	-1.97879398
1413.84000000	-1.78553930
1416.05000000	-3.26297468
1416.05000000	-3.26297468
1416.05000000	-3.26297468
1418.10000000	-2.66233798
1418.25000000	-4.72632901
1421.61000000	-5.39720369
1425.26500000	-4.58637628
1429.26000000	-1.70520840
1430.10000000	-1.78246983
1430.31000000	-3.03238387
1430.31000000	-3.03238387
1430.31000000	-3.03238387
1430.31000000	-3.03238387
1431.24500000	-2.85465887
1431.24500000	-2.85465887
1431.24500000	-2.85465887
1431.46000000	-2.92321079
1431.46000000	-2.92321079
1431.46000000	-2.92321079
1431.48000000	-2.89602105
1431.48500000	-0.53786835
1431.48500000	-0.53786835
1431.49000000	-0.89628430
1432.03500000	-1.50072792
1432.64000000	-0.89159119
1435.45000000	-4.22795005
1450.78000000	-0.77558115
1451.12000000	-0.31715619
1451.12000000	-0.31715619
1451.12000000	-0.31715619
1451.12000000	-0.31715619
1451.16000000	0.70849812
1451.26000000	1.03529746
1451.32000000	1.43768102
1451.32000000	1.43768102
1451.32000000	1.43768102
1451.38000000	1.98685972
1451.38000000	1.98685972
1451.44000000	0.93782310
1451.59000000	1.38335500
1456.06000000	2.31253827
1456.06000000	2.31253827
1456.69000000	2.72631724
1457.32000000	2.83596498
1463.02000000	-0.58575482
1464.70000000	-1.18842116
1468.64000000	-0.22004543
1468.64000000	-0.22004543
1468.64000000	-0.22004543
1468.64000000	-0.22004543
1468.64000000	-0.22004543
1468.83000000	-1.16167782
1469.11000000	-0.80344393
1469.20000000	-1.47000397
1469.40500000	-0.30333755
1469.40500000	-0.30333755
1469.40500000	-0.30333755
1469.40500000	-0.30333755
1469.61000000	0.69758172
1470.50000000	-0.83091055
1470.84000000	-1.75314779
1470.84000000	-1.75314779
1470.84000000	-1.75314779
1470.89000000	-2.44567343
1471.30000000	2.23923836
1479.17500000	5.16777989
1479.57000000	11.44124075
1479.57000000	11.44124075
1486.71000000	7.50779800
1486.71000000	7.50779800
1486.71000000	7.50779800
1486.71000000	7.50779800
1486.71000000	7.50779800
1493.85000000	8.30920765
1493.85000000	5.03000000
1500.16000000	6.05895320
1500.16000000	6.05895320
1501.47500000	2.86193446
1501.47500000	2.86193446
1501.47500000	2.86193446
1501.47500000	2.86193446
1501.47500000	2.86193446
1502.79000000	0.47062975
1507.99000000	0.31075443
1508.08000000	-1.92532663
1508.08000000	-1.92532663
1508.08000000	-1.92532663
1508.08000000	-1.92532663
1508.17000000	-2.44132399
1508.17000000	-2.44132399
1508.52000000	-2.83287175
1509.31500000	-4.02295722
1509.31500000	-4.02295722
1509.31500000	-4.02295722
1509.76000000	-1.92494267
1515.37000000	-1.51234594
1515.99000000	-1.85561963
1516.61000000	-0.24985305
1516.61000000	-0.24985305
1516.72000000	0.25761807
1516.83000000	1.16394574
1516.83000000	1.16394574
1518.36000000	3.12205469
1520.04000000	3.04843651
1524.39000000	2.68630742
1524.39000000	2.68630742
1524.39000000	2.68630742
1524.39000000	2.68630742
1524.39000000	2.68630742
1524.39000000	2.68630742
1525.01500000	3.46052675
1527.43000000	4.95699740
1527.43000000	4.95699740
1527.43000000	4.95699740
1529.36000000	3.43773471
1529.54500000	3.18881035
1529.68000000	4.60217536
1529.68000000	4.60217536
1534.41500000	1.16479524
1539.15000000	0.87265635
1539.98500000	-0.25622953
1539.98500000	-0.25622953
1539.98500000	-0.25622953
1540.82000000	0.43308989
1541.11000000	-0.11054915
1542.20500000	2.52918579
1542.20500000	2.52918579
1542.20500000	2.52918579
1546.09500000	-0.78372788
1546.09500000	-0.78372788
1548.89000000	-1.37214705
1551.80500000	-0.54925101
1553.53000000	-0.77535625
1553.53000000	-0.77535625
1553.66500000	-0.85189544
1553.80000000	-0.60225623
1556.28000000	-2.33401626
1556.28000000	-2.33401626
1556.45000000	-0.76623401
1556.45000000	-0.76623401
1556.68000000	0.23469379
1557.46000000	-0.70120818
1559.37500000	-0.49921329
1561.39000000	-0.38339181
1561.39000000	-0.38339181
1565.27500000	-2.95462772
1565.32000000	-2.73168305
1565.39500000	-3.90999443
1566.51000000	-3.58563274
1568.08000000	-2.31870649
1569.32500000	-1.90467464
1570.17000000	-2.48593430
1570.74500000	-2.46258640
1570.74500000	-2.46258640
1570.74500000	-2.46258640
1570.74500000	-2.46258640
1572.07500000	-2.14912777
1572.07500000	-2.14912777
1572.07500000	-2.14912777
1572.07500000	-2.14912777
1573.21000000	-1.27276299
1573.24000000	-2.09372389
1573.51000000	-2.97447174
1574.11500000	-2.27081687
1574.58500000	-1.83873919
1575.32000000	-0.02266802
1575.44000000	0.63630681
1575.48000000	1.70926598
1589.49500000	3.40701010
1590.02000000	2.35731681
1590.70500000	3.53857434
1590.70500000	3.53857434
1591.71000000	1.70905868
1597.30000000	0.41838819
1598.16000000	-0.06655854
1598.16000000	-0.06655854
1598.16000000	-0.06655854
1598.16000000	-0.06655854
1598.16000000	-0.06655854
1598.16000000	-0.06655854
1598.24000000	1.23658700
1598.28500000	0.90666526
1598.49500000	0.15670023
1599.36500000	-2.75632222
1599.61000000	-3.87563959
1600.00000000	-4.40053042
1607.93000000	-4.67486824
1608.01000000	-4.38336257
1608.01000000	-4.76677009
1608.06000000	-5.05967450
1608.11000000	-4.63880669
1608.12500000	-4.51938679
1608.47000000	-4.60539284
1610.05500000	-3.88215251
1611.14000000	-5.48161649
1611.28000000	-5.26294337
1611.28000000	-5.26294337
1611.28000000	-5.26294337
1611.42000000	-4.78653731
1611.42000000	-4.78653731
1611.46000000	-5.36511739
1611.58000000	-5.65568780
1611.66500000	-4.43093729
1611.82000000	-2.86967602
1612.72000000	-1.20060705
1612.78000000	-0.61969696
1618.08000000	2.28931881
1623.43000000	1.78938006
1628.84000000	3.90031998
1629.10000000	2.82423868
1629.36000000	2.14054817
1629.95000000	2.58194691
1630.54000000	1.92600760
1631.57000000	0.62084287
1631.57000000	0.62084287
1631.57000000	0.62084287
1631.57000000	0.62084287
1631.57000000	0.62084287
1634.35000000	-3.08079139
1634.35000000	-3.08079139
1640.68000000	-1.47319260
1640.68000000	-1.47319260
1640.68000000	-1.47319260
1643.35000000	-1.39318753
1644.39500000	-2.10783331
1645.44000000	-2.84189775
1645.50000000	-3.16201654
1645.50000000	-3.16201654
1645.50000000	-3.16201654
1645.56000000	-2.60755538
1645.56000000	-2.60755538
1645.64000000	-3.64829487
1645.77000000	-3.10091694
1645.82000000	-1.33477542
1645.82000000	-1.33477542
1645.82000000	-1.33477542
1645.82000000	-1.33477542
1645.82000000	-1.33477542
1645.90000000	0.19343949
1657.39000000	0.48697640
1664.31000000	-0.50079919
1664.41000000	-0.60431247
1664.41000000	-0.60431247
1664.41000000	-0.60431247
1664.41000000	-0.60431247
1664.41000000	-0.60431247
1664.41000000	-0.60431247
1664.41000000	-0.60431247
1664.41000000	-0.60431247
1664.41000000	-0.60431247
1664.41000000	-0.60431247
1664.51000000	1.43876705
1664.53500000	2.00454507
1664.53500000	2.00454507
1664.53500000	2.00454507
1664.53500000	2.00454507
1664.53500000	2.00454507
1664.53500000	2.00454507
1664.56000000	3.22082452
1683.64000000	10.47718626
1683.64000000	10.47718626
1683.64000000	16.38000000
1683.64000000	16.38000000
1688.95000000	11.45885176
1688.95000000	11.45885176
1689.95000000	5.96063671
1689.95000000	5.96063671
1689.95000000	5.96063671
1689.95000000	5.96063671
1690.95000000	4.30701038
1690.95000000	4.30701038
1690.95000000	4.30701038
1690.95000000	4.30701038
1690.95000000	4.30701038
1690.95000000	4.30701038
1690.95000000	4.30701038
1690.95000000	4.30701038
1690.95000000	4.30701038
1692.60000000	1.97499505
