DEPTH d	VALUE d
1374.86000000	0.00516376
1375.05000000	0.00000000
1375.05000000	0.00000000
1375.05000000	0.01865771
1375.29500000	0.00000000
1375.29500000	0.18727570
1375.54000000	0.00000000
1375.54000000	0.01319479
1386.61000000	1.00000000
1386.86000000	0.00078001
1394.52500000	0.00000000
1394.52500000	0.03291313
1396.85000000	0.00000000
1396.85000000	0.00000000
1396.91000000	0.00000000
1396.91000000	0.00000000
1396.91000000	0.09071515
1397.63000000	0.00000000
1397.63000000	0.06260045
1398.29000000	0.04198157
1400.35000000	0.00000000
1400.35000000	0.00000000
1400.35000000	0.00626768
1402.08000000	0.00000000
1402.08000000	0.00000000
1402.08000000	0.00624360
1403.98000000	0.00817352
1407.54500000	0.00000000
1407.54500000	0.00000000
1407.54500000	0.00967513
1411.21000000	0.00000000
1411.21000000	0.00331230
1412.75000000	0.00000000
1412.75000000	0.02064282
1413.06500000	0.00000000
1413.06500000	0.00000000
1413.06500000	0.00808787
1413.53000000	0.01200844
1413.84000000	0.01363892
1416.05000000	0.00000000
1416.05000000	0.00000000
1416.05000000	0.00778779
1418.10000000	0.04993001
1418.25000000	0.00500753
1421.61000000	0.00098440
1425.26500000	0.00960038
1429.26000000	0.01133191
1430.10000000	0.06132486
1430.31000000	0.00000000
1430.31000000	0.00000000
1430.31000000	0.00000000
1430.31000000	0.00712891
1431.24500000	0.00000000
1431.24500000	0.00000000
1431.24500000	0.04218709
1431.46000000	0.00000000
1431.46000000	0.00000000
1431.46000000	0.00000000
1431.48000000	0.00000000
1431.48500000	0.00000000
1431.48500000	0.00000000
1431.49000000	0.02090531
1432.03500000	0.02242654
1432.64000000	0.01219040
1435.45000000	0.00022185
1450.78000000	0.09361637
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.16000000	0.05250869
1451.26000000	0.00000000
1451.32000000	0.00000000
1451.32000000	0.00000000
1451.32000000	0.00000000
1451.38000000	0.00000000
1451.38000000	0.00000000
1451.44000000	0.14616938
1451.59000000	0.00060019
1456.06000000	0.00000000
1456.06000000	0.00830908
1456.69000000	0.00454355
1457.32000000	0.00085486
1463.02000000	0.00166720
1464.70000000	0.00299379
1468.64000000	0.00000000
1468.64000000	0.00000000
1468.64000000	0.00000000
1468.64000000	0.00000000
1468.64000000	0.05053612
1468.83000000	0.02649963
1469.11000000	0.00000000
1469.20000000	0.02572738
1469.40500000	0.00000000
1469.40500000	0.00000000
1469.40500000	0.00000000
1469.40500000	0.04516051
1469.61000000	0.02179170
1470.50000000	0.01200494
1470.84000000	0.00000000
1470.84000000	0.00000000
1470.84000000	0.00000000
1470.89000000	0.01715970
1471.30000000	0.00657086
1479.17500000	0.00619316
1479.57000000	0.00000000
1479.57000000	0.00018622
1486.71000000	0.00000000
1486.71000000	0.00000000
1486.71000000	0.00000000
1486.71000000	0.00000000
1486.71000000	0.01018048
1493.85000000	0.00000000
1493.85000000	0.00243155
1500.16000000	0.00000000
1500.16000000	0.02325520
1501.47500000	0.00000000
1501.47500000	0.00000000
1501.47500000	0.00000000
1501.47500000	0.00000000
1501.47500000	0.02555414
1502.79000000	0.00608691
1507.99000000	0.00000000
1508.08000000	0.00000000
1508.08000000	0.00000000
1508.08000000	0.00000000
1508.08000000	0.00000000
1508.17000000	0.00000000
1508.17000000	0.07196814
1508.52000000	0.03096841
1509.31500000	0.00000000
1509.31500000	0.00000000
1509.31500000	0.02308277
1509.76000000	0.00200206
1515.37000000	0.00413561
1515.99000000	0.02272826
1516.61000000	0.00000000
1516.61000000	0.00377616
1516.72000000	0.11633494
1516.83000000	0.00000000
1516.83000000	0.00362799
1518.36000000	0.00690045
1520.04000000	0.00016918
1524.39000000	0.00000000
1524.39000000	0.00000000
1524.39000000	0.00000000
1524.39000000	0.00000000
1524.39000000	0.00000000
1524.39000000	0.03058118
1525.01500000	0.00240637
1527.43000000	0.00000000
1527.43000000	0.00000000
1527.43000000	0.00723975
1529.36000000	0.12913402
1529.54500000	0.00924041
1529.68000000	0.00000000
1529.68000000	0.00356935
1534.41500000	0.00137832
1539.15000000	0.01148219
