DEPTH d	VALUE d
1374.86000000	229.38017937
1375.05000000	228.85704606
1375.05000000	228.85704606
1375.05000000	228.85704606
1375.29500000	227.89232025
1375.29500000	227.89232025
1375.54000000	224.95354894
1375.54000000	224.95354894
1386.61000000	214.02160865
1386.86000000	199.30722364
1394.52500000	202.59252553
1394.52500000	202.59252553
1396.85000000	207.00539547
1396.85000000	207.00539547
1396.91000000	209.74536414
1396.91000000	209.74536414
1396.91000000	209.74536414
1397.63000000	212.96024507
1397.63000000	212.96024507
1398.29000000	215.62262525
1400.35000000	225.40058204
1400.35000000	225.40058204
1400.35000000	225.40058204
1402.08000000	226.48199789
1402.08000000	226.48199789
1402.08000000	226.48199789
1403.98000000	228.23582153
1407.54500000	230.30361388
1407.54500000	230.30361388
1407.54500000	230.30361388
1411.21000000	232.86594170
1411.21000000	232.86594170
1412.75000000	233.35145113
1412.75000000	233.35145113
1413.06500000	233.59692408
1413.06500000	233.59692408
1413.06500000	233.59692408
1413.53000000	234.84215790
1413.84000000	235.50221790
1416.05000000	233.21119896
1416.05000000	233.21119896
1416.05000000	233.21119896
1418.10000000	234.03563964
1418.25000000	233.46087647
1421.61000000	234.42004230
1425.26500000	234.36676134
1429.26000000	237.20826177
1430.10000000	237.65397203
1430.31000000	236.88214516
1430.31000000	236.88214516
1430.31000000	236.88214516
1430.31000000	236.88214516
1431.24500000	236.18731602
1431.24500000	236.18731602
1431.24500000	236.18731602
1431.46000000	235.63978983
1431.46000000	235.63978983
1431.46000000	235.63978983
1431.48000000	235.26551627
1431.48500000	236.95294509
1431.48500000	236.95294509
1431.49000000	237.13047953
1432.03500000	236.35956466
1432.64000000	237.42874045
1435.45000000	235.00520488
1450.78000000	235.19877838
1451.12000000	233.35906217
1451.12000000	233.35906217
1451.12000000	233.35906217
1451.12000000	233.35906217
1451.16000000	232.05888881
1451.26000000	232.74611039
1451.32000000	233.07217336
1451.32000000	233.07217336
1451.32000000	233.07217336
1451.38000000	233.31544515
1451.38000000	233.31544515
1451.44000000	233.96956248
1451.59000000	232.02852639
1456.06000000	231.75042692
1456.06000000	231.75042692
1456.69000000	231.28629796
1457.32000000	231.22189481
1463.02000000	231.13899923
1464.70000000	231.55202169
1468.64000000	231.23734393
1468.64000000	231.23734393
1468.64000000	231.23734393
1468.64000000	231.23734393
1468.64000000	231.23734393
1468.83000000	231.98346813
1469.11000000	231.26616139
1469.20000000	232.06982383
1469.40500000	231.80161246
1469.40500000	231.80161246
1469.40500000	231.80161246
1469.40500000	231.80161246
1469.61000000	231.21217862
1470.50000000	232.96017700
1470.84000000	233.66478845
1470.84000000	233.66478845
1470.84000000	233.66478845
1470.89000000	234.02769372
1471.30000000	234.10381541
1479.17500000	237.31777175
1479.57000000	236.24752809
1479.57000000	236.24752809
1486.71000000	237.24236554
1486.71000000	237.24236554
1486.71000000	237.24236554
1486.71000000	237.24236554
1486.71000000	237.24236554
1493.85000000	233.73106949
1493.85000000	241.45238444
1500.16000000	239.87924278
1500.16000000	239.87924278
1501.47500000	240.85986954
1501.47500000	240.85986954
1501.47500000	240.85986954
1501.47500000	240.85986954
1501.47500000	240.85986954
1502.79000000	237.53400579
1507.99000000	235.29991189
1508.08000000	233.00713458
1508.08000000	233.00713458
1508.08000000	233.00713458
1508.08000000	233.00713458
1508.17000000	232.02936447
1508.17000000	232.02936447
1508.52000000	229.90167255
1509.31500000	231.56304564
1509.31500000	231.56304564
1509.31500000	231.56304564
1509.76000000	232.33922594
1515.37000000	232.81321512
1515.99000000	233.16699003
1516.61000000	232.37334594
1516.61000000	232.37334594
1516.72000000	232.57160929
1516.83000000	233.33660978
1516.83000000	233.33660978
1518.36000000	233.63001976
1520.04000000	234.18482300
1524.39000000	234.66976585
1524.39000000	234.66976585
1524.39000000	234.66976585
1524.39000000	234.66976585
1524.39000000	234.66976585
1524.39000000	234.66976585
1525.01500000	236.64919646
1527.43000000	236.09166340
1527.43000000	236.09166340
1527.43000000	236.09166340
1529.36000000	236.53164060
1529.54500000	236.79035078
1529.68000000	236.94979599
1529.68000000	236.94979599
1534.41500000	235.42066282
1539.15000000	235.65986540
1539.98500000	234.80392045
1539.98500000	234.80392045
1539.98500000	234.80392045
1540.82000000	235.50134597
1541.11000000	238.88307726
1542.20500000	237.55641899
1542.20500000	237.55641899
1542.20500000	237.55641899
1546.09500000	236.65646266
1546.09500000	236.65646266
1548.89000000	237.59402528
1551.80500000	238.90005659
1553.53000000	239.29204054
1553.53000000	239.29204054
1553.66500000	238.63344669
1553.80000000	237.75289921
1556.28000000	237.80458364
