DEPTH d	VALUE d
1374.86000000	0.01357711
1375.05000000	0.02039085
1375.29500000	0.03614127
1375.54000000	0.00215179
1386.61000000	0.15087726
1386.86000000	0.00194156
1394.52500000	0.00315386
1396.91000000	0.01512471
1397.63000000	0.01754965
1398.29000000	0.00094545
1400.35000000	0.00590498
1402.08000000	0.00831796
1403.98000000	0.00770534
1407.54500000	0.00560710
1411.21000000	0.00981294
1412.75000000	0.01241981
1413.06500000	0.01888352
1413.53000000	0.00431998
1413.84000000	0.00541861
1416.05000000	0.00492244
1418.10000000	0.09326675
1418.25000000	0.00172677
1421.61000000	0.00367300
1425.26500000	0.00153315
1429.26000000	0.00811303
1430.10000000	0.00938152
1430.31000000	0.00246775
1431.24500000	0.00102629
1431.49000000	0.01623725
1432.03500000	0.00379050
1432.64000000	0.00112927
1435.45000000	0.00193247
1450.78000000	0.02338615
1451.16000000	0.00061341
1451.44000000	0.02696602
1451.59000000	0.00168447
1456.06000000	0.00495217
1456.69000000	0.00041575
1457.32000000	0.00426282
1463.02000000	0.00235818
1464.70000000	0.00012198
1468.64000000	0.03808807
1468.83000000	0.00838356
1469.20000000	0.04273043
1469.40500000	0.03056278
1469.61000000	0.00847228
1470.50000000	0.04469733
1470.89000000	0.10714755
1471.30000000	0.00287343
1479.17500000	0.09690500
1479.57000000	0.00334626
1486.71000000	0.00084974
1493.85000000	0.00302247
1500.16000000	0.02740575
1501.47500000	0.02355798
1502.79000000	0.00353598
1508.17000000	0.01518932
1508.52000000	0.00479844
1509.31500000	0.03150161
1509.76000000	0.00058654
1515.37000000	0.00527835
1515.99000000	0.01639904
1516.61000000	0.01661113
1516.72000000	0.06284867
1516.83000000	0.00838696
1518.36000000	0.00145393
1520.04000000	0.00123368
1524.39000000	0.00363574
1525.01500000	0.00479286
1527.43000000	0.00766571
1529.36000000	0.01723946
1529.54500000	0.09542893
1529.68000000	0.00311086
1534.41500000	0.00011278
1539.15000000	0.00989992
1539.98500000	0.00409969
1540.82000000	0.00627067
1541.11000000	0.01597116
1542.20500000	0.00626607
1546.09500000	0.00195688
1548.89000000	0.00076558
1551.80500000	0.00146612
1553.53000000	0.00474482
1553.66500000	0.01574083
1553.80000000	0.00714331
1556.28000000	0.04848582
1556.45000000	0.03123415
1556.68000000	0.00388143
1557.46000000	0.00128404
1559.37500000	0.00050420
1561.39000000	0.00458553
1565.39500000	0.00274985
1566.51000000	0.00579145
1568.08000000	0.00123814
1569.32500000	0.00328756
1570.17000000	0.00130044
1570.74500000	0.00217377
1572.07500000	0.00250334
1573.24000000	0.01494794
1573.51000000	0.00350957
1574.11500000	0.01184003
1574.58500000	0.01913953
1575.32000000	0.04058267
1575.48000000	0.00087937
1589.49500000	0.01899016
1590.02000000	0.01529579
1590.70500000	0.01321472
1591.71000000	0.00099345
1597.30000000	0.00536597
1598.28500000	0.00465071
1598.49500000	0.01980565
1599.36500000	0.02325134
1599.61000000	0.00645540
1600.00000000	0.00019357
1608.12500000	0.00009677
1608.47000000	0.00007490
1610.05500000	0.00499487
1611.14000000	0.01863339
1611.28000000	0.00677825
1611.46000000	0.03098470
1611.66500000	0.09723747
1611.82000000	0.00654406
1612.78000000	0.00125956
1618.08000000	0.00086320
1623.43000000	0.00329755
1628.84000000	0.02084021
1629.10000000	0.03208512
1629.36000000	0.00324168
1629.95000000	0.01065738
1630.54000000	0.01404340
1631.57000000	0.00138574
1634.35000000	0.00050155
1640.68000000	0.00030302
1643.35000000	0.00077927
1644.39500000	0.00341368
1645.64000000	0.02603256
1645.90000000	0.00001134
1657.39000000	0.00000780
1664.41000000	0.00471487
1664.56000000	0.00106051
1683.64000000	0.00781482
1688.95000000	0.02791736
1689.95000000	0.03259188
1690.95000000	0.00280403
1692.60000000	0.00816933
1701.14500000	0.00171104
1708.04000000	0.00067171
1717.23000000	0.00068676
1719.45000000	0.00366931
1723.52500000	0.00286290
1727.60000000	0.00826375
1732.42000000	0.00000546
1737.24000000	0.00150835
1744.83000000	0.00096959
1747.60000000	0.01142152
1750.79000000	0.00301740
1753.98000000	0.00187762
1754.77000000	0.01162035
1755.56000000	0.00212327
1757.29000000	0.00116526
1759.02000000	0.00247602
1764.50500000	0.00404441
1770.12000000	0.00350543
1773.52000000	0.00900996
1781.18000000	0.03553647
1781.60000000	0.05575583
1781.70500000	0.02037730
1782.66000000	0.01598787
1782.80500000	0.02156501
1782.95000000	0.02095259
1783.44000000	0.01858775
1783.93000000	0.07905216
1784.19000000	0.07512191
1784.56000000	0.02194782
