DEPTH d	VALUE d
1374.86000000	18.55110093
1375.05000000	18.54178236
1375.29500000	19.23856277
1375.54000000	18.26537728
1386.61000000	20.34157451
1386.86000000	23.65018140
1394.52500000	24.51138207
1396.91000000	23.15152191
1397.63000000	22.30185510
1398.29000000	21.25471854
1400.35000000	20.91769131
1402.08000000	19.90409656
1403.98000000	21.42738779
1407.54500000	18.32348731
1411.21000000	15.87849667
1412.75000000	13.84109810
1413.06500000	14.40112431
1413.53000000	12.18522477
1413.84000000	12.00651093
1416.05000000	13.98426740
1418.10000000	12.83019759
1418.25000000	14.80324029
1421.61000000	15.68601066
1425.26500000	14.03123438
1429.26000000	13.04648253
1430.10000000	13.88604161
1430.31000000	14.16436985
1431.24500000	14.20351036
1431.49000000	13.47041457
1432.03500000	14.37014762
1432.64000000	13.81246245
1435.45000000	13.48128011
1450.78000000	16.72214915
1451.16000000	18.94035024
1451.44000000	18.89077660
1451.59000000	19.38415379
1456.06000000	20.35564876
1456.69000000	20.71385567
1457.32000000	20.57856364
1463.02000000	18.46051040
1464.70000000	17.95699262
1468.64000000	17.98285387
1468.83000000	17.03212276
1469.20000000	17.44633716
1469.40500000	18.62302437
1469.61000000	19.29403816
1470.50000000	18.53500423
1470.89000000	16.26279249
1471.30000000	20.77287834
1479.17500000	23.24754797
1479.57000000	25.68995630
1486.71000000	23.89394094
1493.85000000	15.71941914
1500.16000000	19.21716018
1501.47500000	15.86184337
1502.79000000	13.77393518
1508.17000000	15.72480994
1508.52000000	16.43573420
1509.31500000	16.54559236
1509.76000000	18.45892091
1515.37000000	19.03297768
1515.99000000	18.51851832
1516.61000000	19.75498525
1516.72000000	19.74504749
1516.83000000	20.63723065
1518.36000000	21.51443440
1520.04000000	22.14703229
1524.39000000	21.42513148
1525.01500000	21.79411033
1527.43000000	22.66430286
1529.36000000	20.57014360
1529.54500000	20.15516648
1529.68000000	21.38325366
1534.41500000	19.95895720
1539.15000000	20.07552045
1539.98500000	18.99226560
1540.82000000	19.23065644
1541.11000000	19.47487445
1542.20500000	21.53527697
1546.09500000	19.89268190
1548.89000000	19.21504182
1551.80500000	19.18531498
1553.53000000	18.80584602
1553.66500000	19.02345455
1553.80000000	18.71979011
1556.28000000	16.53401813
1556.45000000	17.30537805
1556.68000000	18.43006805
1557.46000000	17.88522457
1559.37500000	18.14693460
1561.39000000	17.97383363
1565.39500000	15.36692197
1566.51000000	15.71589063
1568.08000000	16.92762788
1569.32500000	16.92102496
1570.17000000	16.66446429
1570.74500000	16.80989462
1572.07500000	17.23041118
1573.24000000	16.72468849
1573.51000000	16.28005967
1574.11500000	16.10199865
1574.58500000	16.68621352
1575.32000000	18.11074178
1575.48000000	19.34225361
1589.49500000	20.53928193
1590.02000000	19.17896660
1590.70500000	20.80072142
1591.71000000	19.25456396
1597.30000000	18.56535417
1598.28500000	19.28422136
1598.49500000	19.30009961
1599.36500000	17.48936603
1599.61000000	16.91933658
1600.00000000	16.64619816
1608.12500000	16.69886896
1608.47000000	16.78452404
1610.05500000	16.79416780
1611.14000000	16.41253186
1611.28000000	16.71721237
1611.46000000	16.10843547
1611.66500000	15.35288902
1611.82000000	17.09707228
1612.78000000	17.97933107
1618.08000000	18.01353142
1623.43000000	16.89703104
1628.84000000	18.36748676
1629.10000000	17.67536392
1629.36000000	16.57996238
1629.95000000	16.93352924
1630.54000000	16.29107377
1631.57000000	15.18501534
1634.35000000	14.21235692
1640.68000000	14.10094773
1643.35000000	14.27123614
1644.39500000	14.23556724
1645.64000000	13.98917633
1645.90000000	13.62721667
1657.39000000	13.78273344
1664.41000000	13.46144787
1664.56000000	13.93903276
1683.64000000	17.58811318
1688.95000000	26.33564035
1689.95000000	23.23869950
1690.95000000	19.68481889
1692.60000000	20.78382966
1701.14500000	9.77513065
1708.04000000	7.02454167
1717.23000000	9.61376541
1719.45000000	12.60902621
1723.52500000	14.78704684
1727.60000000	16.21825272
1732.42000000	19.30616450
1737.24000000	19.09655679
1744.83000000	18.23434028
1747.60000000	17.60437026
1750.79000000	16.05919954
1753.98000000	16.88259726
1754.77000000	16.98969777
1755.56000000	16.14648847
1757.29000000	15.97297096
1759.02000000	15.75183865
1764.50500000	18.04383864
1770.12000000	19.68096615
1773.52000000	21.21756175
1781.18000000	17.20119382
1781.60000000	17.88666857
1781.70500000	17.11320506
1782.66000000	15.01969435
1782.80500000	15.03103525
1782.95000000	14.97894438
1783.44000000	13.86546950
1783.93000000	13.19382845
1784.19000000	12.81458339
1784.56000000	10.62053150
