DEPTH d	VALUE d
1374.86000000	239.72671517
1375.05000000	239.65432726
1375.05000000	239.65432726
1375.05000000	239.65432726
1375.29500000	239.34311692
1375.29500000	239.34311692
1375.54000000	236.49020544
1375.54000000	236.49020544
1386.61000000	227.58362666
1386.86000000	212.53018013
1394.52500000	212.48626204
1394.52500000	212.48626204
1396.85000000	217.13072577
1396.85000000	217.13072577
1396.91000000	219.68108466
1396.91000000	219.68108466
1396.91000000	219.68108466
1397.63000000	223.80280298
1397.63000000	223.80280298
1398.29000000	226.42265655
1400.35000000	232.08103904
1400.35000000	232.08103904
1400.35000000	232.08103904
1402.08000000	232.76239717
1402.08000000	232.76239717
1402.08000000	232.76239717
1403.98000000	233.62525527
1407.54500000	235.43073082
1407.54500000	235.43073082
1407.54500000	235.43073082
1411.21000000	237.63796952
1411.21000000	237.63796952
1412.75000000	237.87057413
1412.75000000	237.87057413
1413.06500000	238.32407974
1413.06500000	238.32407974
1413.06500000	238.32407974
1413.53000000	238.05039488
1413.84000000	238.29121038
1416.05000000	236.41439182
1416.05000000	236.41439182
1416.05000000	236.41439182
1418.10000000	237.39226238
1418.25000000	236.99428567
1421.61000000	238.13614273
1425.26500000	238.30131873
1429.26000000	240.72320446
1430.10000000	241.38518060
1430.31000000	240.56963212
1430.31000000	240.56963212
1430.31000000	240.56963212
1430.31000000	240.56963212
1431.24500000	240.16011979
1431.24500000	240.16011979
1431.24500000	240.16011979
1431.46000000	239.57187411
1431.46000000	239.57187411
1431.46000000	239.57187411
1431.48000000	239.61706762
1431.48500000	240.93278685
1431.48500000	240.93278685
1431.49000000	240.89684020
1432.03500000	240.22621617
1432.64000000	241.07991792
1435.45000000	238.82801925
1450.78000000	238.76498170
1451.12000000	236.73112870
1451.12000000	236.73112870
1451.12000000	236.73112870
1451.12000000	236.73112870
1451.16000000	235.69893732
1451.26000000	236.05439272
1451.32000000	236.46502647
1451.32000000	236.46502647
1451.32000000	236.46502647
1451.38000000	236.83713255
1451.38000000	236.83713255
1451.44000000	237.36589999
1451.59000000	235.93293909
