DEPTH d	VALUE d
1374.86000000	0.90852410
1375.05000000	0.00000000
1375.05000000	0.00000000
1375.05000000	0.15624435
1375.29500000	0.00000000
1375.29500000	0.83674564
1375.54000000	0.00000000
1375.54000000	0.02043334
1386.61000000	0.08486279
1386.86000000	0.01342807
1394.52500000	0.00000000
1394.52500000	0.03182891
1396.85000000	0.00000000
1396.85000000	0.00000000
1396.91000000	0.00000000
1396.91000000	0.00000000
1396.91000000	0.06584818
1397.63000000	0.00000000
1397.63000000	0.03944912
1398.29000000	0.08792707
1400.35000000	0.00000000
1400.35000000	0.00000000
1400.35000000	0.00420489
1402.08000000	0.00000000
1402.08000000	0.00000000
1402.08000000	0.02167039
1403.98000000	0.00676417
1407.54500000	0.00000000
1407.54500000	0.00000000
1407.54500000	0.01412216
1411.21000000	0.00000000
1411.21000000	0.00144825
1412.75000000	0.00000000
1412.75000000	0.05710491
1413.06500000	0.00000000
1413.06500000	0.00000000
1413.06500000	0.02359344
1413.53000000	0.02946825
1413.84000000	0.02682684
1416.05000000	0.00000000
1416.05000000	0.00000000
1416.05000000	0.01305751
1418.10000000	0.03208856
1418.25000000	0.01066621
1421.61000000	0.00098529
1425.26500000	0.02018684
1429.26000000	0.01686460
1430.10000000	0.12301132
1430.31000000	0.00000000
1430.31000000	0.00000000
1430.31000000	0.00000000
1430.31000000	0.01476771
1431.24500000	0.00000000
1431.24500000	0.00000000
1431.24500000	0.07949507
1431.46000000	0.00000000
1431.46000000	0.00000000
1431.46000000	0.00000000
1431.48000000	0.00000000
1431.48500000	0.00000000
1431.48500000	0.00000000
1431.49000000	0.04531344
1432.03500000	0.04201563
1432.64000000	0.02243886
1435.45000000	0.00021121
1450.78000000	0.13339503
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.12000000	0.00000000
1451.16000000	0.08076117
1451.26000000	0.00000000
1451.32000000	0.00000000
1451.32000000	0.00000000
1451.32000000	0.00000000
1451.38000000	0.00000000
1451.38000000	0.00000000
1451.44000000	0.18999203
1451.59000000	0.00002152
1456.06000000	0.00000000
1456.06000000	0.00771348
1456.69000000	0.00616165
1457.32000000	0.00413028
1463.02000000	0.00085333
1464.70000000	0.00526568
1468.64000000	0.00000000
1468.64000000	0.00000000
1468.64000000	0.00000000
1468.64000000	0.00000000
1468.64000000	0.03964202
1468.83000000	0.06971270
1469.11000000	0.00000000
1469.20000000	0.00958570
1469.40500000	0.00000000
1469.40500000	0.00000000
1469.40500000	0.00000000
1469.40500000	0.04634813
1469.61000000	0.02824121
1470.50000000	0.02064272
1470.84000000	0.00000000
1470.84000000	0.00000000
1470.84000000	0.00000000
1470.89000000	0.09053634
1471.30000000	0.00806042
1479.17500000	0.01325453
1479.57000000	0.00000000
1479.57000000	0.00042728
1486.71000000	0.00000000
1486.71000000	0.00000000
1486.71000000	0.00000000
1486.71000000	0.00000000
1486.71000000	0.01091326
1493.85000000	0.00000000
1493.85000000	0.00351973
1500.16000000	0.00000000
1500.16000000	0.03470629
1501.47500000	0.00000000
1501.47500000	0.00000000
1501.47500000	0.00000000
1501.47500000	0.00000000
1501.47500000	0.03750060
1502.79000000	0.00936854
1507.99000000	0.00000000
1508.08000000	0.00000000
1508.08000000	0.00000000
1508.08000000	0.00000000
1508.08000000	0.00000000
1508.17000000	0.00000000
1508.17000000	0.09874547
1508.52000000	0.03698602
1509.31500000	0.00000000
1509.31500000	0.00000000
1509.31500000	0.05779357
1509.76000000	0.00304894
1515.37000000	0.00173430
1515.99000000	0.02382176
1516.61000000	0.00000000
1516.61000000	0.00733417
1516.72000000	0.18950957
1516.83000000	0.00000000
1516.83000000	0.00714085
1518.36000000	0.00790392
1520.04000000	0.00001981
1524.39000000	0.00000000
1524.39000000	0.00000000
1524.39000000	0.00000000
1524.39000000	0.00000000
1524.39000000	0.00000000
1524.39000000	0.03811660
1525.01500000	0.00236082
1527.43000000	0.00000000
1527.43000000	0.00000000
1527.43000000	0.00806595
1529.36000000	0.15462257
1529.54500000	0.02802522
1529.68000000	0.00000000
1529.68000000	0.00377384
1534.41500000	0.00163901
1539.15000000	0.01371071
1539.98500000	0.00000000
1539.98500000	0.00000000
1539.98500000	0.01007177
1540.82000000	0.21647171
1541.11000000	0.02587439
1542.20500000	0.00000000
1542.20500000	0.00000000
1542.20500000	0.00386508
1546.09500000	0.00000000
1546.09500000	0.00880798
1548.89000000	0.01142024
1551.80500000	0.00643673
1553.53000000	0.00000000
1553.53000000	0.08137103
1553.66500000	0.28982297
1553.80000000	0.01275672
1556.28000000	0.00000000
1556.28000000	0.21370642
1556.45000000	0.00000000
1556.45000000	0.56147329
1556.68000000	0.05734571
1557.46000000	0.00629410
1559.37500000	0.01557464
1561.39000000	0.00000000
