DEPTH d	VALUE d
1374.86000000	60.56645954
1375.05000000	89.48051172
1375.05000000	89.48051172
1375.05000000	89.48051172
1375.29500000	97.74167545
1375.29500000	97.74167545
1375.54000000	136.31945479
1375.54000000	136.31945479
1386.61000000	181.08431515
1386.86000000	154.67311702
1394.52500000	164.12782918
1394.52500000	164.12782918
1396.85000000	181.87807490
1396.85000000	181.87807490
1396.91000000	180.26718849
1396.91000000	180.26718849
1396.91000000	180.26718849
1397.63000000	194.42915437
1397.63000000	194.42915437
1398.29000000	203.75598218
1400.35000000	235.44974082
1400.35000000	235.44974082
1400.35000000	235.44974082
1402.08000000	235.50328618
1402.08000000	235.50328618
1402.08000000	235.50328618
1403.98000000	238.66418198
1407.54500000	248.88298003
1407.54500000	248.88298003
1407.54500000	248.88298003
1411.21000000	261.80340275
1411.21000000	261.80340275
1412.75000000	265.81269098
1412.75000000	265.81269098
1413.06500000	268.77272486
1413.06500000	268.77272486
1413.06500000	268.77272486
1413.53000000	266.11532256
1413.84000000	264.73652852
1416.05000000	252.96783543
1416.05000000	252.96783543
1416.05000000	252.96783543
1418.10000000	261.06842698
1418.25000000	260.21603928
1421.61000000	265.66925760
1425.26500000	266.68364301
1429.26000000	282.68806399
1430.10000000	281.88095796
1430.31000000	277.20314968
1430.31000000	277.20314968
1430.31000000	277.20314968
1430.31000000	277.20314968
1431.24500000	272.38657363
1431.24500000	272.38657363
1431.24500000	272.38657363
1431.46000000	268.65047513
1431.46000000	268.65047513
1431.46000000	268.65047513
1431.48000000	270.78548589
1431.48500000	279.50111428
1431.48500000	279.50111428
1431.49000000	277.97838590
1432.03500000	270.34409908
1432.64000000	275.52327869
1435.45000000	262.82466468
1450.78000000	257.08394077
1451.12000000	246.77719045
1451.12000000	246.77719045
1451.12000000	246.77719045
1451.12000000	246.77719045
1451.16000000	242.80930484
1451.26000000	242.97514997
1451.32000000	244.79871320
1451.32000000	244.79871320
1451.32000000	244.79871320
1451.38000000	246.55812441
1451.38000000	246.55812441
1451.44000000	248.92220486
1451.59000000	243.84216392
1456.06000000	243.35088844
1456.06000000	243.35088844
1456.69000000	242.83752822
1457.32000000	241.68163806
1463.02000000	244.61493175
1464.70000000	247.46121734
1468.64000000	243.34570857
1468.64000000	243.34570857
1468.64000000	243.34570857
1468.64000000	243.34570857
1468.64000000	243.34570857
1468.83000000	245.74426978
1469.11000000	243.53425014
1469.20000000	250.73539346
1469.40500000	249.32609168
1469.40500000	249.32609168
1469.40500000	249.32609168
1469.40500000	249.32609168
1469.61000000	247.19312046
1470.50000000	254.50643423
1470.84000000	255.37671430
1470.84000000	255.37671430
1470.84000000	255.37671430
1470.89000000	259.02743931
1471.30000000	260.32827549
1479.17500000	253.45780981
1479.57000000	254.51496710
1479.57000000	254.51496710
1486.71000000	252.95354675
1486.71000000	252.95354675
1486.71000000	252.95354675
1486.71000000	252.95354675
1486.71000000	252.95354675
1493.85000000	235.09083833
1493.85000000	245.12876341
1500.16000000	242.66708108
1500.16000000	242.66708108
1501.47500000	262.61690451
1501.47500000	262.61690451
1501.47500000	262.61690451
1501.47500000	262.61690451
1501.47500000	262.61690451
1502.79000000	266.39880913
1507.99000000	252.10717243
1508.08000000	244.23750801
1508.08000000	244.23750801
1508.08000000	244.23750801
1508.08000000	244.23750801
1508.17000000	241.45104034
1508.17000000	241.45104034
1508.52000000	234.00509360
1509.31500000	252.49943135
1509.31500000	252.49943135
1509.31500000	252.49943135
1509.76000000	255.36654589
1515.37000000	258.63340943
1515.99000000	257.35147004
1516.61000000	254.38829807
1516.61000000	254.38829807
1516.72000000	253.13400565
1516.83000000	255.98660086
1516.83000000	255.98660086
1518.36000000	256.49026072
1520.04000000	261.36483228
1524.39000000	258.27383117
1524.39000000	258.27383117
1524.39000000	258.27383117
1524.39000000	258.27383117
1524.39000000	258.27383117
1524.39000000	258.27383117
1525.01500000	262.57928234
1527.43000000	248.04061374
1527.43000000	248.04061374
1527.43000000	248.04061374
1529.36000000	252.78011117
1529.54500000	260.48520269
1529.68000000	258.73448617
1529.68000000	258.73448617
1534.41500000	263.96793441
1539.15000000	266.71024461
1539.98500000	265.37938149
1539.98500000	265.37938149
1539.98500000	265.37938149
1540.82000000	266.02507342
1541.11000000	283.17017404
1542.20500000	275.00306919
1542.20500000	275.00306919
1542.20500000	275.00306919
1546.09500000	283.25420835
1546.09500000	283.25420835
1548.89000000	289.71179999
1551.80500000	295.06856230
1553.53000000	296.70095185
1553.53000000	296.70095185
1553.66500000	295.74866213
1553.80000000	288.91475880
1556.28000000	297.98441737
1556.28000000	297.98441737
1556.45000000	301.41503089
1556.45000000	301.41503089
1556.68000000	274.44531598
1557.46000000	280.78705210
1559.37500000	282.06075663
1561.39000000	275.79213728
1561.39000000	275.79213728
1565.27500000	275.90278772
1565.32000000	277.52021555
1565.39500000	284.77021884
1566.51000000	283.89762830
1568.08000000	277.77777164
1569.32500000	273.89237493
1570.17000000	270.22328221
1570.74500000	268.81610870
1570.74500000	268.81610870
1570.74500000	268.81610870
1570.74500000	268.81610870
1572.07500000	266.61679799
1572.07500000	266.61679799
1572.07500000	266.61679799
1572.07500000	266.61679799
1573.21000000	272.70381208
1573.24000000	270.95157055
1573.51000000	270.55275642
1574.11500000	274.59445831
1574.58500000	269.84156610
1575.32000000	265.09771932
1575.44000000	262.52069888
1575.48000000	256.15690574
1589.49500000	240.72930348
1590.02000000	239.35302158
1590.70500000	225.35899828
1590.70500000	225.35899828
1591.71000000	228.19213461
1597.30000000	235.53843741
1598.16000000	224.62828249
1598.16000000	224.62828249
1598.16000000	224.62828249
1598.16000000	224.62828249
1598.16000000	224.62828249
1598.16000000	224.62828249
1598.24000000	227.90041483
1598.28500000	227.60756445
1598.49500000	233.51685109
1599.36500000	245.75454876
1599.61000000	250.09000042
1600.00000000	253.32068471
1607.93000000	263.48876128
1608.01000000	262.52335788
1608.01000000	263.09343784
1608.06000000	266.29255531
1608.11000000	265.03171333
1608.12500000	264.87734861
1608.47000000	268.94964719
1610.05500000	269.58496499
1611.14000000	297.18319289
1611.28000000	302.19005081
1611.28000000	302.19005081
1611.28000000	302.19005081
1611.42000000	297.44125524
1611.42000000	297.44125524
1611.46000000	304.57253489
1611.58000000	313.70795517
1611.66500000	316.06551788
1611.82000000	288.03124635
1612.72000000	263.46872949
1612.78000000	258.40129529
1618.08000000	237.61899891
1623.43000000	237.39643370
1628.84000000	226.47550933
1629.10000000	229.43092648
1629.36000000	231.10767630
1629.95000000	228.81017117
1630.54000000	226.68935721
1631.57000000	227.06321112
1631.57000000	227.06321112
1631.57000000	227.06321112
1631.57000000	227.06321112
1631.57000000	227.06321112
1634.35000000	245.43248179
1634.35000000	245.43248179
1640.68000000	228.68509248
1640.68000000	228.68509248
1640.68000000	228.68509248
1643.35000000	225.73807580
1644.39500000	227.15691018
1645.44000000	226.51606623
1645.50000000	223.27945373
1645.50000000	223.27945373
1645.50000000	223.27945373
1645.56000000	220.88459169
1645.56000000	220.88459169
1645.64000000	225.91438423
1645.77000000	226.65753845
1645.82000000	228.02192211
1645.82000000	228.02192211
1645.82000000	228.02192211
1645.82000000	228.02192211
1645.82000000	228.02192211
1645.90000000	217.37709722
1657.39000000	216.57939961
1664.31000000	223.69222982
1664.41000000	219.82237839
1664.41000000	219.82237839
1664.41000000	219.82237839
1664.41000000	219.82237839
1664.41000000	219.82237839
1664.41000000	219.82237839
1664.41000000	219.82237839
1664.41000000	219.82237839
1664.41000000	219.82237839
1664.41000000	219.82237839
1664.51000000	211.94701296
1664.53500000	210.57035777
1664.53500000	210.57035777
1664.53500000	210.57035777
1664.53500000	210.57035777
1664.53500000	210.57035777
1664.53500000	210.57035777
1664.56000000	204.77156809
1683.64000000	177.59236559
1683.64000000	177.59236559
1683.64000000	165.15423961
1683.64000000	165.15423961
1688.95000000	206.32600208
1688.95000000	206.32600208
1689.95000000	210.75940636
1689.95000000	210.75940636
1689.95000000	210.75940636
1689.95000000	210.75940636
1690.95000000	205.51102441
1690.95000000	205.51102441
1690.95000000	205.51102441
1690.95000000	205.51102441
1690.95000000	205.51102441
1690.95000000	205.51102441
1690.95000000	205.51102441
1690.95000000	205.51102441
1690.95000000	205.51102441
1692.60000000	216.51190742
1692.60000000	216.51190742
1692.60000000	216.51190742
1692.60000000	216.51190742
1692.60000000	216.51190742
1701.14500000	206.24877366
1701.14500000	206.24877366
1708.04000000	187.31317581
1708.04000000	187.31317581
1708.04000000	187.31317581
1708.04000000	187.31317581
1708.04000000	208.41769367
1708.04000000	208.41769367
1708.04000000	208.41769367
1717.23000000	189.05668886
1717.23000000	189.05668886
1719.44000000	209.71753162
1719.44000000	209.71753162
1719.44000000	209.71753162
1719.44000000	209.71753162
1719.44000000	209.71753162
1719.44000000	209.71753162
1719.44000000	209.71753162
1719.44000000	209.71753162
1719.44500000	215.47865689
1719.45000000	215.75102950
1719.45000000	215.75102950
1719.45000000	215.75102950
1719.45000000	215.75102950
1723.52500000	207.80986321
1723.52500000	207.80986321
1723.52500000	207.80986321
