DEPTH d	VALUE d
1374.86000000	0.04120290
1375.05000000	0.00662112
1375.29500000	0.01964789
1375.54000000	0.00293987
1386.61000000	0.28460214
1386.86000000	0.00016311
1394.52500000	0.00718154
1396.91000000	0.02274323
1397.63000000	0.01707565
1398.29000000	0.00023337
1400.35000000	0.00259023
1402.08000000	0.00581808
1403.98000000	0.00392385
1407.54500000	0.00302504
1411.21000000	0.00608742
1412.75000000	0.01051617
1413.06500000	0.00642145
1413.53000000	0.00047582
1413.84000000	0.00318803
1416.05000000	0.00278018
1418.10000000	0.05815892
1418.25000000	0.00147125
1421.61000000	0.00178603
1425.26500000	0.00078557
1429.26000000	0.00542863
1430.10000000	0.00169089
1430.31000000	0.00152947
1431.24500000	0.00235488
1431.49000000	0.00899595
1432.03500000	0.00220212
1432.64000000	0.00162375
1435.45000000	0.00096716
1450.78000000	0.01493341
1451.16000000	0.01024181
1451.44000000	0.01015031
1451.59000000	0.00099989
1456.06000000	0.00348474
1456.69000000	0.00055277
1457.32000000	0.00266363
1463.02000000	0.00122308
1464.70000000	0.00028469
1468.64000000	0.02526771
1468.83000000	0.01073491
1469.20000000	0.02223086
1469.40500000	0.01699060
1469.61000000	0.00455138
1470.50000000	0.02949094
1470.89000000	0.06904968
1471.30000000	0.00218387
1479.17500000	0.05723262
1479.57000000	0.00221695
1486.71000000	0.00092048
1493.85000000	0.00272731
1500.16000000	0.01548642
1501.47500000	0.01346117
1502.79000000	0.00267521
1508.17000000	0.00792550
1508.52000000	0.00690230
1509.31500000	0.01651150
1509.76000000	0.00019090
1515.37000000	0.00480977
1515.99000000	0.00894457
1516.61000000	0.00213693
1516.72000000	0.04169008
1516.83000000	0.00444066
1518.36000000	0.00082143
1520.04000000	0.00058264
1524.39000000	0.00268298
1525.01500000	0.00285159
1527.43000000	0.00368467
1529.36000000	0.00756290
1529.54500000	0.07564044
1529.68000000	0.00241355
1534.41500000	0.00023601
1539.15000000	0.00778070
1539.98500000	0.00309147
1540.82000000	0.03219944
1541.11000000	0.00659371
1542.20500000	0.00636737
1546.09500000	0.00273099
1548.89000000	0.00317240
1551.80500000	0.00165052
1553.53000000	0.02658539
1553.66500000	0.06468457
1553.80000000	0.00588207
1556.28000000	0.04322253
1556.45000000	0.03158317
1556.68000000	0.00684445
1557.46000000	0.00235588
1559.37500000	0.00067916
1561.39000000	0.00202230
1565.39500000	0.01207131
1566.51000000	0.00411597
1568.08000000	0.00468901
1569.32500000	0.00718935
1570.17000000	0.00504003
1570.74500000	0.00420404
1572.07500000	0.00362590
1573.24000000	0.00820009
1573.51000000	0.00853580
1574.11500000	0.00565906
1574.58500000	0.00634758
1575.32000000	0.00033253
1575.48000000	0.00000308
1589.49500000	0.01576692
1590.02000000	0.00192960
1590.70500000	0.00428558
1591.71000000	0.00009818
1597.30000000	0.00619308
1598.28500000	0.00998877
1598.49500000	0.01774812
1599.36500000	0.02245932
1599.61000000	0.01084224
1600.00000000	0.00248516
1608.12500000	0.00711105
1608.47000000	0.00346835
1610.05500000	0.00726293
1611.14000000	0.00837762
1611.28000000	0.00830607
1611.46000000	0.03225344
1611.66500000	0.01793132
1611.82000000	0.00487450
1612.78000000	0.00391467
1618.08000000	0.00099998
1623.43000000	0.00007257
1628.84000000	0.01503952
1629.10000000	0.01718462
1629.36000000	0.00239977
1629.95000000	0.00490040
1630.54000000	0.00107750
1631.57000000	0.00239253
1634.35000000	0.00194431
1640.68000000	0.00134011
1643.35000000	0.00282782
1644.39500000	0.00205524
1645.64000000	0.01440466
1645.90000000	0.00001679
1657.39000000	0.00029516
1664.41000000	0.01848999
1664.56000000	0.00068980
1683.64000000	0.00484407
1688.95000000	0.01794086
1689.95000000	0.01869306
1690.95000000	0.00087606
1692.60000000	0.00485887
1701.14500000	0.00105111
1708.04000000	0.00095035
1717.23000000	0.00104446
1719.45000000	0.00260900
1723.52500000	0.00132990
1727.60000000	0.00539118
1732.42000000	0.00012255
1737.24000000	0.00106826
1744.83000000	0.00118235
1747.60000000	0.00692574
1750.79000000	0.00199064
1753.98000000	0.00478326
1754.77000000	0.00759531
1755.56000000	0.00020967
1757.29000000	0.00038208
1759.02000000	0.00095845
1764.50500000	0.00248203
1770.12000000	0.00092004
1773.52000000	0.00446330
1781.18000000	0.01948779
1781.60000000	0.04250932
1781.70500000	0.01296587
1782.66000000	0.00397704
1782.80500000	0.01401234
1782.95000000	0.00885342
1783.44000000	0.00961375
1783.93000000	0.02379251
1784.19000000	0.06458226
1784.56000000	0.01292637
