DEPTH d	VALUE d
1374.86000000	-8.50143944
1375.05000000	-6.51102669
1375.05000000	-6.51102669
1375.05000000	-6.51102669
1375.29500000	-6.49749196
1375.29500000	-6.49749196
1375.54000000	-5.03833870
1375.54000000	-5.03833870
1386.61000000	1.55766432
1386.86000000	17.38150254
1394.52500000	18.46188642
1394.52500000	18.46188642
1396.85000000	14.66898973
1396.85000000	14.66898973
1396.91000000	11.25906854
1396.91000000	11.25906854
1396.91000000	11.25906854
1397.63000000	7.32878936
1397.63000000	7.32878936
1398.29000000	4.80771479
1400.35000000	7.25033845
1400.35000000	7.25033845
1400.35000000	7.25033845
1402.08000000	6.36786866
1402.08000000	6.36786866
1402.08000000	6.36786866
1403.98000000	9.09553469
1407.54500000	6.32897678
1407.54500000	6.32897678
1407.54500000	6.32897678
1411.21000000	4.10318854
1411.21000000	4.10318854
1412.75000000	2.53351672
1412.75000000	2.53351672
1413.06500000	3.14856124
1413.06500000	3.14856124
1413.06500000	3.14856124
1413.53000000	3.82206068
1413.84000000	4.16146373
1416.05000000	5.20822162
1416.05000000	5.20822162
1416.05000000	5.20822162
1418.10000000	4.02429866
1418.25000000	5.31740892
1421.61000000	6.00481987
1425.26500000	4.78980328
1429.26000000	4.46872057
1430.10000000	5.36181368
1430.31000000	5.35346763
1430.31000000	5.35346763
1430.31000000	5.35346763
1430.31000000	5.35346763
1431.24500000	5.71229049
1431.24500000	5.71229049
1431.24500000	5.71229049
1431.46000000	5.73613358
1431.46000000	5.73613358
1431.46000000	5.73613358
1431.48000000	5.92455347
1431.48500000	5.45284428
1431.48500000	5.45284428
1431.49000000	5.69887343
1432.03500000	6.74530878
1432.64000000	6.84260911
1435.45000000	6.35473315
1450.78000000	9.45747221
1451.12000000	10.39193530
1451.12000000	10.39193530
1451.12000000	10.39193530
1451.12000000	10.39193530
1451.16000000	11.18316160
1451.26000000	11.65760134
1451.32000000	11.99459744
1451.32000000	11.99459744
1451.32000000	11.99459744
