DEPTH d	VALUE d
1374.48000000	0.00315225
1376.28000000	0.00712645
1376.85500000	0.00000000
1376.92000000	0.00273892
1377.25000000	0.00101536
1380.08500000	0.00036047
1383.03000000	0.00880909
1385.00000000	0.01665459
1385.57000000	0.00172855
1385.98500000	0.00102247
1386.44000000	0.06449144
1387.02000000	0.00245751
1388.72000000	0.00783262
1390.33000000	0.01071729
1390.92000000	0.00382315
1391.51000000	0.00000000
1391.51000000	0.02011202
1392.20000000	0.00117609
1395.65000000	0.00698041
1396.11000000	0.01554027
1396.87500000	0.01253161
1398.34000000	0.00096084
1399.81000000	0.00471476
1402.23000000	0.00270985
1402.70000000	0.01288551
1403.17000000	0.00000000
1403.27000000	0.04103586
1403.70000000	0.06421823
1403.94000000	0.05629351
1404.26000000	0.01361421
1405.27000000	0.06802980
1405.80000000	0.00841728
1408.18500000	0.00398129
1412.00000000	0.11093188
1412.32500000	0.04068987
1412.65000000	0.00000000
1412.65000000	0.00000000
1412.70000000	0.05894238
1413.48500000	0.47264693
1413.76000000	0.08671135
1414.61000000	0.00000000
1414.69000000	0.00000000
1414.69000000	0.09248343
1414.91000000	0.03891761
1415.03000000	0.00648966
1416.28000000	0.00079924
1421.61000000	0.00244369
1426.15000000	0.00164822
1430.29000000	0.07525632
1430.56000000	0.00281881
1431.05000000	0.00000000
1431.05000000	0.00000000
1431.07000000	0.00660572
1431.48000000	0.00000000
1431.48000000	0.00000000
1431.48500000	0.00000000
1431.49000000	0.00000000
1431.49000000	0.00000000
1431.49000000	0.00364815
1431.69000000	0.00172804
1432.20000000	0.01479734
1432.70000000	0.00598623
1434.13000000	0.00234927
1438.20000000	0.00121247
1439.19000000	0.00108583
1445.24000000	0.00381398
1447.40000000	0.01224352
1447.55500000	0.01654807
1447.71000000	0.01098196
1448.14000000	0.03051544
1448.25500000	0.00126527
1448.46500000	0.00192337
1448.64000000	0.00000000
1448.73500000	0.00000000
1448.73500000	0.00000000
1448.77000000	0.00108746
1449.12000000	0.00714036
1449.85500000	0.00000000
1449.90500000	0.01282166
1450.61000000	0.02006778
1451.38000000	0.00092179
1451.72500000	0.00220769
1455.98000000	0.00644402
1457.47000000	0.00140260
1462.70000000	0.00101575
1464.10000000	0.00236204
1465.05000000	0.02079787
1465.36000000	0.00000000
1465.44500000	0.00005171
1465.68000000	0.08184512
1465.88000000	0.00083491
1468.64000000	0.01203415
1469.02000000	0.01409568
1469.20000000	0.00000000
1469.27000000	0.00000000
1469.27000000	0.05827598
1469.44000000	0.01685927
1469.92000000	0.01487035
1470.50000000	0.00413411
1470.89000000	0.29950721
1471.34000000	0.20177439
1471.92500000	0.00000000
1471.92500000	0.00555968
1473.59500000	0.07195939
1475.15000000	0.08650319
1475.76000000	0.01702935
1478.50500000	0.19856087
1478.78000000	0.02499784
1479.70000000	0.01524901
1482.34000000	0.00671225
1490.37000000	0.07788775
1491.75500000	0.00000000
1491.75500000	0.02678479
1493.20500000	0.08944983
1493.56000000	0.03825069
1493.85000000	0.22388529
1493.96000000	0.02685292
1494.36500000	0.00000000
1494.36500000	0.03025823
1497.91500000	0.00000000
1497.91500000	0.00000000
1497.91500000	0.00848189
1503.40500000	0.02468391
1504.11000000	0.00000000
1504.15000000	0.00000000
1504.16000000	0.00000000
1504.16000000	0.00000000
1504.19500000	0.00000000
1504.26000000	0.00255700
1507.40000000	0.11094488
1507.67500000	0.03049988
1507.99000000	0.01158946
1508.17000000	0.00000000
1508.17000000	0.00000000
1508.17000000	0.00077050
1511.28500000	0.00357735
1513.84000000	0.01259458
1515.01000000	0.00000000
1515.01000000	0.03423284
1516.61000000	0.02269756
1516.72000000	0.00829778
1516.97000000	0.01758273
1518.81500000	0.00613124
1520.16000000	0.00491777
1521.00000000	0.00000000
1521.00000000	0.00000000
1521.00000000	0.03848610
1521.15500000	0.00168271
1521.64000000	0.00523986
1522.18000000	0.00008571
1524.19500000	0.11793130
1524.39000000	0.00191207
1525.64000000	0.03571722
1525.92500000	0.00460884
1526.21000000	0.00048841
1529.50000000	0.00690936
1531.76500000	0.00713065
1533.87000000	0.00000000
1533.89000000	0.00530232
1536.09500000	0.02032681
1538.20000000	0.00223276
1539.15000000	0.09822229
1539.55500000	0.06473877
1540.01000000	0.00541401
1540.67000000	0.00558452
1540.82000000	0.00000000
1540.82000000	0.00000000
1540.82000000	0.00212396
1541.11000000	0.00455862
1545.45500000	0.00246616
1548.25000000	0.00163286
1549.33000000	0.02928888
1549.79000000	0.08195204
1549.93500000	0.00198542
1550.08000000	0.00339857
1553.50500000	0.00513973
1555.14000000	0.00000000
1555.14000000	0.01124573
1555.83500000	0.00505202
1556.65000000	0.00160261
1560.64000000	0.00103115
1562.22500000	0.00043915
1563.63000000	0.00612395
1564.33000000	0.01334916
1564.54000000	0.02187208
1564.91000000	0.00988972
1565.17000000	0.00038656
1565.32000000	0.00635018
1565.82000000	0.01298144
1566.25000000	0.00061375
1566.51000000	0.00144142
1567.84000000	0.01012612
1568.31000000	0.00000000
1568.31000000	0.00000000
1568.31000000	0.01771330
1568.45500000	0.00050938
1570.05000000	0.00000000
1570.05000000	0.02309487
1570.17000000	0.00379843
1571.32000000	0.01176466
1572.73000000	0.01473625
1573.24000000	0.02656339
1573.48000000	0.00651985
1573.75000000	0.05665184
1573.87000000	0.02997629
1574.76000000	0.01700222
1575.28000000	0.20928344
1575.48000000	0.00054153
1589.56000000	0.01237200
1590.33000000	0.01713970
1590.72000000	0.00000000
1590.72000000	0.00121589
1593.57000000	0.00292726
1596.30500000	0.00465728
1597.37000000	0.00715127
1597.66000000	0.13550815
1597.82000000	0.00000000
1597.82000000	0.00000000
1597.82000000	0.00000000
1597.82000000	0.00000000
1597.91000000	0.00824468
1598.16000000	0.03537651
1598.33000000	0.00638189
1599.14000000	0.03670483
1599.33000000	0.00614762
1599.94000000	0.00551057
1601.46000000	0.00065118
1605.98500000	0.02368918
1606.62500000	0.02915663
1607.13500000	0.02472949
1607.37500000	0.00000000
1607.43000000	0.00770332
1608.01000000	0.01433605
1608.84000000	0.00363276
1610.99000000	0.00843577
1611.27000000	0.04759072
1611.42000000	0.00000000
1611.42000000	0.00000000
1611.46000000	0.00000000
1611.46000000	0.00000000
1611.52000000	0.00107329
1611.67000000	0.09990372
1611.82000000	0.00828760
1612.56500000	0.00295928
1613.08500000	0.00681761
1613.44000000	0.00060643
1618.08000000	0.00067112
1627.70000000	0.00000000
1627.79000000	0.00434346
1628.67000000	0.00657661
1629.06000000	0.01648307
1629.32000000	0.02101874
1630.01500000	0.00200796
1631.05500000	0.00420378
1631.57000000	0.00000000
1631.57000000	0.03331586
1631.83000000	0.00000000
1631.83000000	0.00488865
1632.53000000	0.00000000
1632.53000000	0.00713168
1636.55000000	0.01561645
1637.22000000	0.02607645
1637.81000000	0.00000000
1637.82000000	0.00278861
1639.56000000	0.00273606
1641.11000000	0.00179349
1642.23000000	0.01402038
1643.40000000	0.00350789
1644.42000000	0.00024805
1645.44000000	0.00000000
1645.48000000	0.00000000
1645.52000000	0.83940612
1645.64000000	0.56353257
1645.77000000	0.00000000
1645.77000000	0.00000000
1645.77000000	0.00000000
1645.82000000	0.00000000
1645.82000000	0.00565818
1649.20500000	0.00387109
1657.86000000	0.00477290
1664.31000000	0.00000000
1664.38000000	0.00000000
1664.44500000	0.00000000
1664.44500000	0.00000000
1664.44500000	0.00000000
1664.44500000	0.00000000
1664.44500000	0.00000000
1664.51000000	0.00000000
1664.53500000	0.00000000
1664.53500000	0.00000000
1664.53500000	0.00000000
1664.53500000	0.00000000
1664.56000000	0.00000000
1664.58000000	0.00000000
1664.58000000	0.00000000
1664.58000000	0.00000000
1664.58000000	0.00000000
1664.58000000	0.07141618
1664.96000000	0.00812291
1667.57000000	0.00214812
1683.64000000	0.00000000
1683.67000000	0.01104368
1685.25000000	0.00000000
1685.25000000	0.00893708
1686.83000000	0.00000000
1686.83000000	0.00330169
1687.89000000	0.00000000
1687.89000000	0.00000000
1687.89000000	0.00250744
1690.95000000	0.00000000
1690.95000000	0.00659955
1692.60000000	0.00000000
1692.60000000	0.00000000
1692.60000000	0.00000000
1692.60000000	0.00000000
1692.60000000	0.00000000
1692.60000000	0.00000000
1692.60000000	0.00498655
1694.47000000	0.00669507
1694.69000000	0.00000000
1694.69000000	0.00000000
1694.71500000	0.00000000
1694.71500000	0.00000000
1694.74000000	0.01723042
1695.62500000	0.00000000
1695.62500000	0.00113896
1696.51000000	0.00000000
1696.51000000	0.00505118
1704.44000000	0.00873470
1710.65500000	0.00000000
1710.65500000	0.00734066
1713.27000000	0.00433945
1716.90000000	0.00000000
1716.90000000	0.00977304
1717.23000000	0.00000000
1717.23000000	0.00000000
1717.23000000	0.00000000
1717.23000000	0.00000000
1717.23000000	0.00000000
1717.23000000	0.00000000
1717.23000000	0.00000000
1717.24000000	0.00000000
1717.25000000	0.00312659
1718.34500000	0.00000000
1718.34500000	0.02084544
1719.44000000	0.00000000
1719.44000000	0.00000000
1719.44500000	0.00414420
1722.60500000	0.00073860
1725.76000000	0.00163537
1726.27000000	0.00327268
1726.78000000	0.00192132
1731.22500000	0.00225901
1733.47500000	0.00657249
1735.30000000	0.00000000
1735.30000000	0.00000000
1735.30000000	0.00936973
1736.42000000	0.02757215
1736.73500000	0.00000000
1736.73500000	0.02218064
1737.05000000	0.00826101
1737.52000000	0.00331568
1738.31500000	0.00000000
1738.31500000	0.00000000
1738.31500000	0.02226119
1738.64000000	0.00000000
1738.64000000	0.02270291
1738.97500000	0.00000000
1738.97500000	0.00675533
1740.68500000	0.00669189
1742.41000000	0.02571321
1742.76000000	0.05646206
1743.25000000	0.00201829
1753.98000000	0.01051837
1755.56000000	0.00000000
1755.56000000	0.00000000
1755.56000000	0.01346804
1757.35000000	0.01524338
1759.02000000	0.00048152
1762.91000000	0.01871156
1763.13500000	0.00000000
1763.13500000	0.00375937
1763.42500000	0.00000000
1763.42500000	0.00000000
1763.42500000	0.00208770
1763.54000000	0.00647184
1764.39000000	0.00000000
1764.39000000	0.00000000
1764.39000000	0.00247426
1764.55500000	0.00027826
1764.72000000	0.00000000
1764.72000000	0.00151055
1767.71000000	0.00062259
1770.05500000	0.00000000
1770.12000000	0.00000000
1770.12000000	0.00144410
1770.81000000	0.01063660
1771.39000000	0.00079987
1777.80000000	0.00237355
1782.66000000	0.01918818
1782.90000000	0.00000000
1782.90000000	0.02532071
1783.13500000	0.00000000
1783.13500000	0.00000000
1783.13500000	0.03730258
1783.27000000	0.04784541
1784.02000000	0.00000000
1784.06000000	0.00000000
1784.06000000	0.00000000
1784.07000000	0.00000000
1784.07000000	0.00000000
1784.07000000	1.00000000
1784.17000000	0.00000000
1784.23000000	0.00000000
1784.23000000	0.00000000
1784.23000000	0.00000000
1784.31000000	0.02513624
1784.56000000	0.03606851
1784.99000000	0.00815355
1787.56500000	0.00554697
1791.93000000	0.00000000
1791.93000000	0.22168641
1792.62000000	0.00000000
1792.62000000	0.00000000
1792.62000000	0.00000000
1792.62000000	0.00000000
1792.62000000	0.01820324
1794.54000000	0.00000000
1794.54000000	0.00043548
1814.55000000	0.00000000
1814.55000000	0.01068751
