DEPTH d	VALUE d
1374.48000000	19.05755597
1376.28000000	16.61255729
1376.85500000	15.50650220
1376.92000000	14.32428961
1377.25000000	15.87757069
1380.08500000	17.17842754
1383.03000000	17.42062396
1385.00000000	13.19248844
1385.57000000	11.97471928
1385.98500000	15.33613532
1386.44000000	14.21850088
1387.02000000	10.30895217
1388.72000000	11.87874889
1390.33000000	12.00668671
1390.92000000	12.38832296
1391.51000000	11.90973247
1391.51000000	11.90973247
1392.20000000	11.05921836
1395.65000000	10.79200861
1396.11000000	9.63653060
1396.87500000	9.49737079
1398.34000000	9.78491623
1399.81000000	9.63067630
1402.23000000	8.02436490
1402.70000000	7.71687354
1403.17000000	7.30656941
1403.27000000	6.23377733
1403.70000000	4.88993046
1403.94000000	4.96593527
1404.26000000	3.86698047
1405.27000000	3.68746470
1405.80000000	3.84736649
1408.18500000	3.67678233
1412.00000000	1.72846498
1412.32500000	1.21778815
1412.65000000	1.01464912
1412.65000000	1.01464912
1412.70000000	1.40587663
1413.48500000	0.63730541
1413.76000000	1.92295778
1414.61000000	1.99979494
1414.69000000	4.14326301
1414.69000000	4.14326301
1414.91000000	2.96528715
1415.03000000	3.27638331
1416.28000000	4.70390064
1421.61000000	2.31756177
1426.15000000	4.07724194
1430.29000000	5.81105814
1430.56000000	8.89928021
1431.05000000	8.09339679
1431.05000000	8.09339679
1431.07000000	6.49222115
1431.48000000	7.81997349
1431.48000000	7.81997349
1431.48500000	8.84833627
1431.49000000	8.37557918
1431.49000000	8.37557918
1431.49000000	8.37557918
1431.69000000	9.61601070
1432.20000000	10.40052495
1432.70000000	8.19163920
1434.13000000	8.04934326
1438.20000000	12.07846316
1439.19000000	12.18317818
1445.24000000	11.05091026
1447.40000000	11.81634969
1447.55500000	11.07395139
1447.71000000	12.93703756
1448.14000000	11.48599648
1448.25500000	11.81776097
1448.46500000	9.77182830
1448.64000000	9.41292976
1448.73500000	8.63538066
1448.73500000	8.63538066
1448.77000000	7.87091111
1449.12000000	8.24698682
1449.85500000	7.11644038
1449.90500000	6.52354876
1450.61000000	6.17768975
1451.38000000	6.19623433
1451.72500000	6.05376071
1455.98000000	6.31141442
1457.47000000	2.81160776
1462.70000000	3.32154097
1464.10000000	3.38774170
1465.05000000	5.14353984
1465.36000000	5.17327378
1465.44500000	4.53454954
1465.68000000	4.39169814
1465.88000000	2.10221487
1468.64000000	3.65529897
1469.02000000	3.66301729
1469.20000000	2.87788989
1469.27000000	3.94262086
1469.27000000	3.94262086
1469.44000000	4.51566425
1469.92000000	3.49128781
1470.50000000	4.93708608
1470.89000000	3.14313666
1471.34000000	1.05930583
1471.92500000	0.59161129
1471.92500000	0.59161129
1473.59500000	1.55161366
1475.15000000	1.23173728
1475.76000000	5.10023337
1478.50500000	2.58986957
1478.78000000	5.91224200
1479.70000000	4.17072016
