DEPTH d	VALUE d
1374.48000000	5.96010249
1376.28000000	3.10594233
1376.85500000	1.44601356
1376.92000000	-0.32771486
1377.25000000	1.84526311
1380.08500000	3.41851226
1383.03000000	3.60847367
1385.00000000	-1.22147436
1385.57000000	-2.37318824
1385.98500000	0.89217298
1386.44000000	-0.51094158
1387.02000000	-5.61451110
1388.72000000	-3.21927759
1390.33000000	-2.99633978
1390.92000000	-2.36624780
1391.51000000	-2.74467720
1391.51000000	-2.74467720
1392.20000000	-3.89297294
1395.65000000	-3.29175780
1396.11000000	-4.28433950
1396.87500000	-4.11864173
1398.34000000	-3.68909241
1399.81000000	-3.62663096
1402.23000000	-6.47127774
1402.70000000	-6.67571574
1403.17000000	-7.31854318
1403.27000000	-8.74962342
1403.70000000	-10.95105527
1403.94000000	-10.51077537
1404.26000000	-12.06007740
1405.27000000	-12.42843554
1405.80000000	-12.13358442
1408.18500000	-13.31887257
1412.00000000	-16.01545287
1412.32500000	-16.21519158
1412.65000000	-16.63684250
1412.65000000	-16.63684250
1412.70000000	-16.25585286
1413.48500000	-16.86566804
1413.76000000	-15.41223087
1414.61000000	-14.37770705
1414.69000000	-11.77681220
1414.69000000	-11.77681220
1414.91000000	-12.52777741
1415.03000000	-12.39251059
1416.28000000	-10.87348459
1421.61000000	-14.47149826
1426.15000000	-12.14972550
1430.29000000	-9.85086458
1430.56000000	-5.60565498
1431.05000000	-7.54451392
1431.05000000	-7.54451392
1431.07000000	-9.37597261
1431.48000000	-7.57998590
1431.48000000	-7.57998590
1431.48500000	-6.19992068
1431.49000000	-6.55414430
1431.49000000	-6.55414430
1431.49000000	-6.55414430
1431.69000000	-5.77074684
1432.20000000	-5.53970354
1432.70000000	-8.78171023
1434.13000000	-9.18211091
1438.20000000	-4.32340622
1439.19000000	-4.32070494
1445.24000000	-5.49703743
1447.40000000	-3.14307240
1447.55500000	-4.12267054
1447.71000000	-2.03707759
1448.14000000	-3.98573277
1448.25500000	-3.19217893
1448.46500000	-5.72456190
1448.64000000	-5.82113387
1448.73500000	-6.93255594
1448.73500000	-6.93255594
1448.77000000	-7.86320822
1449.12000000	-7.57003397
1449.85500000	-8.83452181
1449.90500000	-9.28624309
1450.61000000	-9.02711811
1451.38000000	-9.02355546
1451.72500000	-8.85971419
1455.98000000	-7.61828549
1457.47000000	-11.51877248
1462.70000000	-9.83499615
1464.10000000	-9.71643980
1465.05000000	-7.70627346
1465.36000000	-7.81449931
1465.44500000	-8.41820086
1465.68000000	-8.50976649
1465.88000000	-11.93953408
1468.64000000	-9.94299414
1469.02000000	-10.31913972
1469.20000000	-11.24044634
1469.27000000	-10.05652485
1469.27000000	-10.05652485
1469.44000000	-9.62683910
1469.92000000	-10.99684793
1470.50000000	-9.07626558
1470.89000000	-11.76411454
1471.34000000	-14.68279901
1471.92500000	-14.07106303
1471.92500000	-14.07106303
1473.59500000	-13.13731979
1475.15000000	-16.08163204
1475.76000000	-11.48030642
1478.50500000	-16.23106502
1478.78000000	-11.81734890
1479.70000000	-12.72348866
1482.34000000	-15.27737735
1490.37000000	-16.86637972
1491.75500000	-14.58886060
1491.75500000	-14.58886060
1493.20500000	-14.47887691
1493.56000000	-4.97269076
1493.85000000	-5.59556269
1493.96000000	-4.49919754
1494.36500000	-4.17609624
1494.36500000	-4.17609624
1497.91500000	-5.93952312
1497.91500000	-5.93952312
1497.91500000	-5.93952312
1503.40500000	-10.85167918
1504.11000000	-11.97245396
1504.15000000	-10.00724354
1504.16000000	-12.22026306
1504.16000000	-12.22026306
1504.19500000	-11.86484877
1504.26000000	-12.77119702
1507.40000000	-13.23702275
1507.67500000	-7.87056961
1507.99000000	-7.42973474
1508.17000000	-8.72140643
1508.17000000	-8.72140643
1508.17000000	-8.72140643
1511.28500000	-10.63069318
1513.84000000	-9.88215496
1515.01000000	-8.98343508
1515.01000000	-8.98343508
1516.61000000	-9.43806603
1516.72000000	-8.54229511
1516.97000000	-9.07321085
1518.81500000	-8.05574840
1520.16000000	-4.64064991
1521.00000000	-4.32630780
1521.00000000	-4.32630780
1521.00000000	-4.32630780
1521.15500000	-5.14301320
1521.64000000	-6.58110597
1522.18000000	-9.90481398
1524.19500000	-12.95597614
1524.39000000	-12.96396781
1525.64000000	-12.23744128
1525.92500000	-10.85103119
1526.21000000	-10.65856760
1529.50000000	-11.58175195
1531.76500000	-12.30098614
1533.87000000	-11.74595616
1533.89000000	-13.82673410
1536.09500000	-14.37749874
1538.20000000	-15.78527098
1539.15000000	-15.30805603
1539.55500000	-12.49861177
1540.01000000	-5.85436813
1540.67000000	-3.56516136
1540.82000000	-3.10898313
1540.82000000	-3.10898313
1540.82000000	-3.10898313
1541.11000000	0.09275454
1545.45500000	-6.87939767
1548.25000000	-5.15999551
1549.33000000	-7.24315260
1549.79000000	-8.85820601
1549.93500000	-7.15840382
1550.08000000	-6.74518449
1553.50500000	-5.27125563
1555.14000000	-2.21009324
1555.14000000	-2.21009324
1555.83500000	0.24295339
1556.65000000	0.43723916
1560.64000000	0.58440123
1562.22500000	-2.50574563
1563.63000000	-5.50302293
1564.33000000	-5.92096365
1564.54000000	-4.61752643
1564.91000000	-4.24324129
1565.17000000	-4.00899775
1565.32000000	-2.32819374
1565.82000000	-4.22353979
1566.25000000	-4.36623506
1566.51000000	-4.89717359
1567.84000000	-4.14603036
1568.31000000	-3.12511274
1568.31000000	-3.12511274
1568.31000000	-3.12511274
1568.45500000	-3.00468301
1570.05000000	-3.42760979
1570.05000000	-3.42760979
1570.17000000	-4.97001385
1571.32000000	-5.43813157
1572.73000000	-6.66063281
1573.24000000	-3.99495353
1573.48000000	-1.83050609
1573.75000000	0.14729375
1573.87000000	-0.57361658
1574.76000000	-2.96765164
1575.28000000	-3.52604859
1575.48000000	-4.31983377
1589.56000000	-1.64129173
1590.33000000	0.34823145
1590.72000000	6.27983216
1590.72000000	6.27983216
1593.57000000	2.10831951
1596.30500000	-4.79945502
1597.37000000	-4.34533732
1597.66000000	-6.20499930
1597.82000000	-6.24941589
1597.82000000	-6.24941589
1597.82000000	-6.24941589
1597.82000000	-6.24941589
1597.91000000	-6.43034776
1598.16000000	-5.87449000
1598.33000000	-8.26967883
1599.14000000	-8.84711489
1599.33000000	-9.49918343
1599.94000000	-10.27431249
1601.46000000	-9.05218206
1605.98500000	-9.42909186
1606.62500000	-8.85252421
1607.13500000	-8.96893292
1607.37500000	-8.91617008
1607.43000000	-8.85557168
1608.01000000	-7.46265623
1608.84000000	-5.41364256
1610.99000000	-6.96582146
1611.27000000	-5.99742618
1611.42000000	-7.72347064
1611.42000000	-7.72347064
1611.46000000	-7.49168415
1611.46000000	-7.49168415
1611.52000000	-7.20543443
1611.67000000	-8.17135971
1611.82000000	-4.06075485
1612.56500000	-1.48198404
1613.08500000	-1.22299041
1613.44000000	-1.76579425
1618.08000000	-2.04608538
1627.70000000	3.04089858
1627.79000000	3.93088801
1628.67000000	2.74862178
1629.06000000	3.38783365
1629.32000000	6.10449981
1630.01500000	-1.63756308
1631.05500000	-2.91066955
1631.57000000	0.33952522
1631.57000000	0.33952522
1631.83000000	-0.62970545
1631.83000000	-0.62970545
1632.53000000	-4.59075343
1632.53000000	-4.59075343
1636.55000000	-5.95597324
1637.22000000	-6.33423311
1637.81000000	-8.66699198
1637.82000000	-8.37802616
1639.56000000	-7.19521268
1641.11000000	-7.23787636
1642.23000000	-7.01588432
1643.40000000	-5.41841745
1644.42000000	-9.48828584
1645.44000000	-8.81721219
1645.48000000	-9.47694298
1645.52000000	-9.71013285
1645.64000000	-14.76709748
1645.77000000	-10.21359839
1645.77000000	-10.21359839
1645.77000000	-10.21359839
1645.82000000	-12.06066293
1645.82000000	-12.06066293
1649.20500000	-4.52422145
1657.86000000	-6.63288870
1664.31000000	1.14321410
1664.38000000	1.16560356
1664.44500000	3.58352971
1664.44500000	3.58352971
1664.44500000	3.58352971
1664.44500000	3.58352971
1664.44500000	3.58352971
1664.51000000	1.86166667
1664.53500000	3.11557437
1664.53500000	3.11557437
1664.53500000	3.11557437
1664.53500000	3.11557437
1664.56000000	4.64972131
1664.58000000	4.34283328
1664.58000000	4.34283328
1664.58000000	4.34283328
1664.58000000	4.34283328
1664.58000000	4.34283328
1664.96000000	1.17186512
1667.57000000	7.68345795
1683.64000000	-3.55173042
1683.67000000	9.77923276
1685.25000000	21.39134254
1685.25000000	21.39134254
