DEPTH d	VALUE d
1374.48000000	32.15500945
1376.28000000	30.11917224
1376.85500000	29.56699083
1376.92000000	28.97629408
1377.25000000	29.90987826
1380.08500000	30.93834282
1383.03000000	31.23277425
1385.00000000	27.60645124
1385.57000000	26.32262681
1385.98500000	29.78009767
1386.44000000	28.94794334
1387.02000000	26.23241545
1388.72000000	26.97677537
1390.33000000	27.00971319
1390.92000000	27.14289373
1391.51000000	26.56414214
1391.51000000	26.56414214
1392.20000000	26.01140966
1395.65000000	24.87577501
1396.11000000	23.55740071
1396.87500000	23.11338330
1398.34000000	23.25892486
1399.81000000	22.88798356
1402.23000000	22.52000753
1402.70000000	22.10946282
1403.17000000	21.93168200
1403.27000000	21.21717807
1403.70000000	20.73091619
1403.94000000	20.44264591
1404.26000000	19.79403835
1405.27000000	19.80336494
1405.80000000	19.82831739
1408.18500000	20.67243722
1412.00000000	19.47238282
1412.32500000	18.65076787
1412.65000000	18.66614075
1412.65000000	18.66614075
1412.70000000	19.06760612
1413.48500000	18.14027887
1413.76000000	19.25814643
1414.61000000	18.37729693
1414.69000000	20.06333822
1414.69000000	20.06333822
1414.91000000	18.45835171
1415.03000000	18.94527720
1416.28000000	20.28128587
1421.61000000	19.10662180
1426.15000000	20.30420937
1430.29000000	21.47298086
1430.56000000	23.40421541
1431.05000000	23.73130750
1431.05000000	23.73130750
1431.07000000	22.36041491
1431.48000000	23.21993288
1431.48000000	23.21993288
1431.48500000	23.89659321
1431.49000000	23.30530266
1431.49000000	23.30530266
1431.49000000	23.30530266
1431.69000000	25.00276824
1432.20000000	26.34075344
1432.70000000	25.16498862
1434.13000000	25.28079744
1438.20000000	28.48033254
1439.19000000	28.68706130
1445.24000000	27.59885796
1447.40000000	26.77577178
1447.55500000	26.27057332
1447.71000000	27.91115271
1448.14000000	26.95772572
1448.25500000	26.82770086
1448.46500000	25.26821850
1448.64000000	24.64699340
1448.73500000	24.20331727
1448.73500000	24.20331727
1448.77000000	23.60503044
1449.12000000	24.06400760
1449.85500000	23.06740258
1449.90500000	22.33334060
1450.61000000	21.38249761
1451.38000000	21.41602411
1451.72500000	20.96723561
1455.98000000	20.24111432
1457.47000000	17.14198799
1462.70000000	16.47807808
1464.10000000	16.49192319
1465.05000000	17.99335313
1465.36000000	18.16104687
1465.44500000	17.48729994
1465.68000000	17.29316277
1465.88000000	16.14396382
1468.64000000	17.25359209
1469.02000000	17.64517431
1469.20000000	16.99622612
1469.27000000	17.94176658
1469.27000000	17.94176658
1469.44000000	18.65816759
1469.92000000	17.97942356
1470.50000000	18.95043773
1470.89000000	18.05038786
1471.34000000	16.80141067
1471.92500000	15.25428561
1471.92500000	15.25428561
1473.59500000	16.24054710
1475.15000000	18.54510660
1475.76000000	21.68077316
1478.50500000	21.41080416
1478.78000000	23.64183291
1479.70000000	21.06492898
1482.34000000	20.55028950
1490.37000000	19.92334230
1491.75500000	20.51857426
1491.75500000	20.51857426
1493.20500000	21.05842061
1493.56000000	25.31614860
1493.85000000	23.75981448
1493.96000000	23.84998648
1494.36500000	23.54472032
1494.36500000	23.54472032
1497.91500000	24.81342090
1497.91500000	24.81342090
1497.91500000	24.81342090
1503.40500000	22.25809137
1504.11000000	20.70352547
1504.15000000	20.36595487
1504.16000000	19.13498559
1504.16000000	19.13498559
1504.19500000	18.69331222
1504.26000000	18.24467806
1507.40000000	17.62889883
1507.67500000	19.91330401
1507.99000000	19.42555221
1508.17000000	20.31993156
1508.17000000	20.31993156
1508.17000000	20.31993156
1511.28500000	18.76858200
1513.84000000	18.86136963
1515.01000000	19.27118448
1515.01000000	19.27118448
1516.61000000	16.25098415
1516.72000000	16.59249898
1516.97000000	16.73699738
1518.81500000	15.88934073
1520.16000000	18.89462159
1521.00000000	18.46242181
1521.00000000	18.46242181
1521.00000000	18.46242181
1521.15500000	18.06710520
1521.64000000	19.30819572
1522.18000000	19.35049921
1524.19500000	17.90802170
1524.39000000	17.98381542
1525.64000000	17.37763219
1525.92500000	18.76101528
1526.21000000	18.45317459
1529.50000000	20.14641435
1531.76500000	19.78184650
1533.87000000	20.46839568
1533.89000000	18.91516907
1536.09500000	18.59599048
1538.20000000	17.53237988
1539.15000000	17.55693156
1539.55500000	19.05288674
1540.01000000	21.85632630
1540.67000000	24.70984103
1540.82000000	25.06468591
1540.82000000	25.06468591
1540.82000000	25.06468591
1541.11000000	25.76513776
1545.45500000	19.80576267
1548.25000000	20.39761085
1549.33000000	18.09960705
1549.79000000	17.53173765
1549.93500000	16.82157346
1550.08000000	17.39350329
1553.50500000	18.73746189
1555.14000000	20.58219721
1555.14000000	20.58219721
1555.83500000	22.70624558
1556.65000000	22.57077083
1560.64000000	21.62431849
1562.22500000	19.83671400
1563.63000000	18.47331156
1564.33000000	17.83161521
1564.54000000	18.52242193
1564.91000000	17.88754464
1565.17000000	17.74406525
1565.32000000	19.43352602
