DEPTH d	VALUE d
1374.48000000	236.33753614
1376.28000000	234.45687759
1376.85500000	233.04118136
1376.92000000	232.71518890
1377.25000000	231.86134100
1380.08500000	230.02561391
1383.03000000	230.08855725
1385.00000000	229.34509568
1385.57000000	229.08022652
1385.98500000	224.44984253
1386.44000000	225.23841128
1387.02000000	227.41504931
1388.72000000	225.59062700
1390.33000000	225.09187950
1390.92000000	224.74030348
1391.51000000	225.20797425
1391.51000000	225.20797425
1392.20000000	226.80395700
1395.65000000	227.71106975
1396.11000000	229.42558516
1396.87500000	230.48051286
1398.34000000	232.95698427
1399.81000000	234.02359929
1402.23000000	234.39299000
1402.70000000	234.58448972
1403.17000000	235.55414407
1403.27000000	236.05481947
1403.70000000	236.06691036
1403.94000000	235.94354681
1404.26000000	237.67222184
1405.27000000	236.45946215
1405.80000000	235.55871451
1408.18500000	236.35859112
1412.00000000	238.09235124
1412.32500000	238.83283442
1412.65000000	239.00921142
1412.65000000	239.00921142
1412.70000000	238.83714821
1413.48500000	239.11940153
1413.76000000	239.19102949
1414.61000000	240.02579294
1414.69000000	239.57208837
1414.69000000	239.57208837
1414.91000000	240.29508396
1415.03000000	240.35363450
1416.28000000	241.83689536
1421.61000000	240.05344601
1426.15000000	241.16131744
1430.29000000	241.93925566
1430.56000000	240.49487000
1431.05000000	240.32933291
1431.05000000	240.32933291
1431.07000000	240.09436333
1431.48000000	239.51745931
1431.48000000	239.51745931
1431.48500000	238.73057378
1431.49000000	238.51326742
1431.49000000	238.51326742
1431.49000000	238.51326742
1431.69000000	238.51227491
1432.20000000	238.67921463
1432.70000000	239.77055690
1434.13000000	241.37565247
1438.20000000	241.05429113
1439.19000000	241.44647231
1445.24000000	240.69651578
1447.40000000	242.50249904
1447.55500000	242.79030366
1447.71000000	242.50209820
1448.14000000	243.36788247
1448.25500000	242.64351731
1448.46500000	241.86932266
1448.64000000	241.66850093
1448.73500000	241.67708725
1448.73500000	241.67708725
1448.77000000	242.51107005
1449.12000000	242.82167897
1449.85500000	241.59747989
1449.90500000	242.81717972
1450.61000000	241.46224720
1451.38000000	239.31018281
1451.72500000	239.33338741
1455.98000000	237.99691606
1457.47000000	237.83758540
1462.70000000	237.03677465
1464.10000000	236.13471003
1465.05000000	235.19037920
1465.36000000	234.75336003
1465.44500000	234.64991509
1465.68000000	234.89574746
1465.88000000	237.49969899
1468.64000000	236.82075112
1469.02000000	236.69334257
1469.20000000	237.55973342
1469.27000000	236.31853201
1469.27000000	236.31853201
1469.44000000	236.39143264
1469.92000000	237.73408187
1470.50000000	236.19547719
1470.89000000	237.60870005
1471.34000000	241.51029331
1471.92500000	240.01665066
1471.92500000	240.01665066
1473.59500000	239.38451860
1475.15000000	242.37648904
1475.76000000	243.72615060
1478.50500000	245.49622206
1478.78000000	244.49190240
1479.70000000	242.45953511
1482.34000000	245.53207769
1490.37000000	243.75850330
1491.75500000	247.51730799
1491.75500000	247.51730799
1493.20500000	246.37457646
1493.56000000	254.34830783
1493.85000000	251.61575897
1493.96000000	252.94169927
1494.36500000	251.45032807
1494.36500000	251.45032807
1497.91500000	233.97156944
1497.91500000	233.97156944
1497.91500000	233.97156944
1503.40500000	240.90905069
1504.11000000	237.25680621
1504.15000000	234.55790882
1504.16000000	234.56190571
1504.16000000	234.56190571
1504.19500000	236.44811747
1504.26000000	237.16629831
1507.40000000	236.14701062
1507.67500000	235.09581733
1507.99000000	234.60292998
1508.17000000	235.11330722
1508.17000000	235.11330722
1508.17000000	235.11330722
1511.28500000	236.36546155
1513.84000000	237.30825135
1515.01000000	236.10024428
1515.01000000	236.10024428
1516.61000000	240.65907181
1516.72000000	240.86869310
1516.97000000	240.51176469
1518.81500000	238.34260003
1520.16000000	240.24354209
1521.00000000	240.38542698
1521.00000000	240.38542698
1521.00000000	240.38542698
1521.15500000	239.42915708
1521.64000000	239.14885922
1522.18000000	238.21579561
1524.19500000	237.77518743
1524.39000000	238.60858119
1525.64000000	238.36351943
1525.92500000	239.49614421
1526.21000000	240.15003697
1529.50000000	242.68731983
1531.76500000	242.02730177
1533.87000000	243.70990315
1533.89000000	242.81438106
1536.09500000	243.36182691
1538.20000000	243.04949524
1539.15000000	243.99023355
1539.55500000	245.04881606
1540.01000000	244.58608312
1540.67000000	248.04633954
1540.82000000	247.63597013
1540.82000000	247.63597013
1540.82000000	247.63597013
1541.11000000	246.24707558
1545.45500000	247.85841770
1548.25000000	248.79640842
1549.33000000	248.51201543
1549.79000000	246.77197287
1549.93500000	245.88572889
1550.08000000	245.63181812
1553.50500000	242.49282829
1555.14000000	243.92521745
1555.14000000	243.92521745
1555.83500000	245.69897211
1556.65000000	244.36766541
1560.64000000	242.06073804
1562.22500000	242.46707125
1563.63000000	242.37993076
1564.33000000	241.77647879
1564.54000000	241.58683880
1564.91000000	241.66043061
1565.17000000	242.65135773
1565.32000000	243.68909799
1565.82000000	244.81057537
1566.25000000	243.90386423
1566.51000000	243.63010438
1567.84000000	243.38217058
1568.31000000	244.15101069
1568.31000000	244.15101069
1568.31000000	244.15101069
1568.45500000	244.39759650
1570.05000000	244.11956022
1570.05000000	244.11956022
1570.17000000	243.78593303
1571.32000000	244.48578007
1572.73000000	246.56004486
1573.24000000	246.97476976
1573.48000000	246.38912398
1573.75000000	247.54318240
1573.87000000	245.32131601
1574.76000000	242.19625388
1575.28000000	240.50377996
1575.48000000	238.34534547
1589.56000000	233.15320276
1590.33000000	228.74961636
1590.72000000	221.63096465
1590.72000000	221.63096465
1593.57000000	222.26296308
1596.30500000	226.49240205
1597.37000000	225.83612298
1597.66000000	226.39905008
1597.82000000	226.77745148
1597.82000000	226.77745148
1597.82000000	226.77745148
1597.82000000	226.77745148
1597.91000000	227.35053115
1598.16000000	228.08323580
1598.33000000	229.63838038
1599.14000000	231.63620721
1599.33000000	232.41500319
1599.94000000	232.47740830
1601.46000000	233.36248786
1605.98500000	234.15684171
1606.62500000	235.17875172
1607.13500000	236.08205380
1607.37500000	236.57877479
1607.43000000	236.64341181
1608.01000000	237.44138953
1608.84000000	237.10237153
1610.99000000	239.62758506
1611.27000000	240.21396712
1611.42000000	240.57934060
1611.42000000	240.57934060
1611.46000000	240.16066018
1611.46000000	240.16066018
1611.52000000	240.17483993
1611.67000000	239.92842485
1611.82000000	237.09029049
1612.56500000	235.08341285
1613.08500000	234.33285530
1613.44000000	235.23296038
1618.08000000	234.09633104
1627.70000000	230.48555396
1627.79000000	228.73746208
1628.67000000	228.69818557
1629.06000000	226.97969251
1629.32000000	223.50336194
1630.01500000	225.70046524
1631.05500000	225.77706069
1631.57000000	224.96962257
1631.57000000	224.96962257
1631.83000000	226.57682372
1631.83000000	226.57682372
1632.53000000	228.31758409
1632.53000000	228.31758409
1636.55000000	226.87323671
1637.22000000	227.97727892
1637.81000000	230.11387807
1637.82000000	229.43691325
1639.56000000	228.92840046
1641.11000000	228.34394716
