DEPTH d	VALUE d
1374.48000000	0.00521163
1376.28000000	0.00959354
1376.85500000	0.00000000
1376.92000000	0.00914214
1377.25000000	0.00085363
1380.08500000	0.00024387
1383.03000000	0.00480035
1385.00000000	0.00800450
1385.57000000	0.01224826
1385.98500000	0.00626466
1386.44000000	0.02622234
1387.02000000	0.00036803
1388.72000000	0.00336873
1390.33000000	0.00513230
1390.92000000	0.00092403
1391.51000000	0.00000000
1391.51000000	0.00757411
1392.20000000	0.00068329
1395.65000000	0.00410593
1396.11000000	0.00392845
1396.87500000	0.00134339
1398.34000000	0.00218761
1399.81000000	0.00173000
1402.23000000	0.00014886
1402.70000000	0.00244265
1403.17000000	0.00000000
1403.27000000	0.00747816
1403.70000000	0.00842156
1403.94000000	0.00250348
1404.26000000	0.00122260
1405.27000000	0.00809121
1405.80000000	0.00099992
1408.18500000	0.00060199
1412.00000000	0.00481630
1412.32500000	0.00195681
1412.65000000	0.00000000
1412.65000000	0.00000000
1412.70000000	0.00011700
1413.48500000	0.01338280
1413.76000000	0.00541998
1414.61000000	0.00000000
1414.69000000	0.00000000
1414.69000000	0.01241536
1414.91000000	0.00573036
1415.03000000	0.00128909
1416.28000000	0.00052228
1421.61000000	0.00058074
1426.15000000	0.00071037
1430.29000000	0.02432347
1430.56000000	0.00287875
1431.05000000	0.00000000
1431.05000000	0.00000000
1431.07000000	0.00587346
1431.48000000	0.00000000
1431.48000000	0.00000000
1431.48500000	0.00000000
1431.49000000	0.00000000
1431.49000000	0.00000000
1431.49000000	0.01055522
1431.69000000	0.00291678
1432.20000000	0.00745500
1432.70000000	0.00019662
1434.13000000	0.00182087
1438.20000000	0.00027205
1439.19000000	0.00035146
1445.24000000	0.00009547
1447.40000000	0.00727980
1447.55500000	0.02270029
1447.71000000	0.00614085
1448.14000000	0.00844919
1448.25500000	0.01614410
1448.46500000	0.00329813
1448.64000000	0.00000000
1448.73500000	0.00000000
1448.73500000	0.00000000
1448.77000000	0.00195143
1449.12000000	0.00161787
1449.85500000	0.00000000
1449.90500000	0.00024806
1450.61000000	0.00008994
1451.38000000	0.00110597
1451.72500000	0.00003680
1455.98000000	0.00426475
1457.47000000	0.00003051
1462.70000000	0.00008714
1464.10000000	0.00256504
1465.05000000	0.00204159
1465.36000000	0.00000000
1465.44500000	0.00117034
1465.68000000	0.00801481
1465.88000000	0.00081519
1468.64000000	0.00115811
1469.02000000	0.00669043
1469.20000000	0.00000000
1469.27000000	0.00000000
1469.27000000	0.01011164
1469.44000000	0.00250121
1469.92000000	0.00198354
1470.50000000	0.00622133
1470.89000000	0.00928906
1471.34000000	0.00216770
1471.92500000	0.00000000
1471.92500000	0.00069782
1473.59500000	0.00127793
1475.15000000	0.01272635
1475.76000000	0.00276721
1478.50500000	0.03211900
1478.78000000	0.00276149
1479.70000000	0.00105256
1482.34000000	0.00018349
1490.37000000	0.00166855
1491.75500000	0.00000000
1491.75500000	0.00237584
1493.20500000	0.00291673
1493.56000000	0.01143547
1493.85000000	0.06723205
1493.96000000	0.00933310
1494.36500000	0.00000000
1494.36500000	0.00478098
1497.91500000	0.00000000
1497.91500000	0.00000000
1497.91500000	0.00136752
1503.40500000	0.00100138
1504.11000000	0.00000000
1504.15000000	0.00000000
1504.16000000	0.00000000
1504.16000000	0.00000000
1504.19500000	0.00000000
1504.26000000	0.00040812
1507.40000000	0.02473941
1507.67500000	0.00247700
1507.99000000	0.00167712
1508.17000000	0.00000000
1508.17000000	0.00000000
1508.17000000	0.00104870
1511.28500000	0.00026489
1513.84000000	0.00043473
1515.01000000	0.00000000
1515.01000000	0.00328950
1516.61000000	0.00996810
1516.72000000	0.00024621
1516.97000000	0.00098053
1518.81500000	0.00374471
1520.16000000	0.00072878
1521.00000000	0.00000000
1521.00000000	0.00000000
1521.00000000	0.00531659
1521.15500000	0.00067192
1521.64000000	0.00431534
1522.18000000	0.00200658
1524.19500000	0.00210007
1524.39000000	0.00018844
1525.64000000	0.00501638
1525.92500000	0.00170306
1526.21000000	0.00058458
1529.50000000	0.00038797
1531.76500000	0.00048548
1533.87000000	0.00000000
1533.89000000	0.00005004
1536.09500000	0.00128162
1538.20000000	0.00054126
1539.15000000	0.01237873
1539.55500000	0.02470012
1540.01000000	0.00365714
1540.67000000	0.01012809
1540.82000000	0.00000000
1540.82000000	0.00000000
1540.82000000	0.02451324
1541.11000000	0.00306511
1545.45500000	0.00157712
1548.25000000	0.00076900
1549.33000000	0.00056298
1549.79000000	0.00872549
1549.93500000	0.01068749
1550.08000000	0.00122961
1553.50500000	0.00321002
1555.14000000	0.00000000
1555.14000000	0.00437256
1555.83500000	0.00175415
1556.65000000	0.00082694
1560.64000000	0.00330244
1562.22500000	0.00288532
1563.63000000	0.00194112
1564.33000000	0.00876783
1564.54000000	0.00142109
1564.91000000	0.00361105
1565.17000000	0.01325935
1565.32000000	0.00943675
1565.82000000	0.00394915
1566.25000000	0.00876686
1566.51000000	0.00016235
1567.84000000	0.00089462
1568.31000000	0.00000000
1568.31000000	0.00000000
1568.31000000	0.00454182
1568.45500000	0.00076776
1570.05000000	0.00000000
1570.05000000	0.02026008
1570.17000000	0.00106715
1571.32000000	0.00198076
1572.73000000	0.00415311
1573.24000000	0.00903798
1573.48000000	0.00840750
1573.75000000	0.00170104
1573.87000000	0.00481621
1574.76000000	0.00128970
1575.28000000	0.03485152
1575.48000000	0.00026635
1589.56000000	0.00136834
1590.33000000	0.00498552
1590.72000000	0.00000000
1590.72000000	0.00006749
1593.57000000	0.00138439
1596.30500000	0.00178977
1597.37000000	0.00159255
1597.66000000	0.02648993
1597.82000000	0.00000000
1597.82000000	0.00000000
1597.82000000	0.00000000
1597.82000000	0.00000000
1597.91000000	0.00121250
1598.16000000	0.00112963
1598.33000000	0.00223341
1599.14000000	0.00041164
1599.33000000	0.00268438
1599.94000000	0.00198824
1601.46000000	0.00057209
1605.98500000	0.00260091
1606.62500000	0.00140794
1607.13500000	0.00020095
1607.37500000	0.00000000
1607.43000000	0.00188572
1608.01000000	0.00124065
1608.84000000	0.00087215
1610.99000000	0.00042076
1611.27000000	0.02475844
1611.42000000	0.00000000
1611.42000000	0.00000000
1611.46000000	0.00000000
1611.46000000	0.00000000
1611.52000000	0.01219667
1611.67000000	0.00776794
1611.82000000	0.00302807
1612.56500000	0.00265471
1613.08500000	0.00120791
1613.44000000	0.00105265
1618.08000000	0.00151493
1627.70000000	0.00000000
1627.79000000	0.00308063
1628.67000000	0.00415995
1629.06000000	0.01225250
1629.32000000	0.01723398
1630.01500000	0.00021079
1631.05500000	0.00254641
1631.57000000	0.00000000
1631.57000000	0.00921117
1631.83000000	0.00000000
1631.83000000	0.00231039
1632.53000000	0.00000000
1632.53000000	0.00155247
1636.55000000	0.00320135
1637.22000000	0.00626392
1637.81000000	0.00000000
1637.82000000	0.00014233
1639.56000000	0.00006822
1641.11000000	0.00032157
1642.23000000	0.00366410
1643.40000000	0.00255803
1644.42000000	0.00096872
1645.44000000	0.00000000
1645.48000000	0.00000000
1645.52000000	0.07875012
1645.64000000	0.06063514
1645.77000000	0.00000000
1645.77000000	0.00000000
1645.77000000	0.00000000
1645.82000000	0.00000000
1645.82000000	0.00320318
1649.20500000	0.00112077
1657.86000000	0.00225215
1664.31000000	0.00000000
1664.38000000	0.00000000
1664.44500000	0.00000000
1664.44500000	0.00000000
1664.44500000	0.00000000
1664.44500000	0.00000000
1664.44500000	0.00000000
1664.51000000	0.00000000
1664.53500000	0.00000000
1664.53500000	0.00000000
1664.53500000	0.00000000
1664.53500000	0.00000000
1664.56000000	0.00000000
1664.58000000	0.00000000
1664.58000000	0.00000000
1664.58000000	0.00000000
1664.58000000	0.00000000
1664.58000000	0.03151417
1664.96000000	0.00457737
1667.57000000	0.00098463
1683.64000000	0.00000000
1683.67000000	0.01184155
1685.25000000	0.00000000
1685.25000000	0.01124862
1686.83000000	0.00000000
1686.83000000	0.00571839
1687.89000000	0.00000000
1687.89000000	0.00000000
1687.89000000	0.00024403
1690.95000000	0.00000000
1690.95000000	0.00509907
1692.60000000	0.00000000
1692.60000000	0.00000000
1692.60000000	0.00000000
1692.60000000	0.00000000
1692.60000000	0.00000000
1692.60000000	0.00000000
1692.60000000	0.00284232
1694.47000000	0.00046375
1694.69000000	0.00000000
1694.69000000	0.00000000
1694.71500000	0.00000000
1694.71500000	0.00000000
1694.74000000	0.01059222
1695.62500000	0.00000000
1695.62500000	0.00736308
1696.51000000	0.00000000
1696.51000000	0.00027353
1704.44000000	0.00052593
1710.65500000	0.00000000
1710.65500000	0.00637134
1713.27000000	0.00116677
1716.90000000	0.00000000
1716.90000000	0.00199217
1717.23000000	0.00000000
1717.23000000	0.00000000
1717.23000000	0.00000000
1717.23000000	0.00000000
1717.23000000	0.00000000
1717.23000000	0.00000000
1717.23000000	0.00000000
1717.24000000	0.00000000
1717.25000000	0.00176295
1718.34500000	0.00000000
1718.34500000	0.00659337
1719.44000000	0.00000000
1719.44000000	0.00000000
1719.44500000	0.00097339
1722.60500000	0.00118813
1725.76000000	0.00836662
1726.27000000	0.00597736
1726.78000000	0.00097026
1731.22500000	0.00039621
1733.47500000	0.00777993
1735.30000000	0.00000000
1735.30000000	0.00000000
1735.30000000	0.00215053
1736.42000000	0.00256908
1736.73500000	0.00000000
1736.73500000	0.00118210
1737.05000000	0.00016004
1737.52000000	0.00007240
1738.31500000	0.00000000
1738.31500000	0.00000000
1738.31500000	0.01833141
1738.64000000	0.00000000
1738.64000000	0.01296155
1738.97500000	0.00000000
1738.97500000	0.00561452
