DEPTH d	VALUE d
1374.48000000	182.95233931
1376.28000000	179.47476507
1376.85500000	176.15769068
1376.92000000	173.51596819
1377.25000000	175.90233711
1380.08500000	173.37935570
1383.03000000	175.21987334
1385.00000000	163.66358792
1385.57000000	158.36975463
1385.98500000	155.43984695
1386.44000000	154.89135180
1387.02000000	136.19122108
1388.72000000	130.76522862
1390.33000000	138.81646158
1390.92000000	142.33874932
1391.51000000	142.42675337
1391.51000000	142.42675337
1392.20000000	135.50406327
1395.65000000	139.90039664
1396.11000000	143.25892944
1396.87500000	137.59756355
1398.34000000	128.31105429
1399.81000000	128.99388706
1402.23000000	139.14973870
1402.70000000	140.44775872
1403.17000000	140.23603152
1403.27000000	146.70650995
1403.70000000	156.27539268
1403.94000000	153.06165128
1404.26000000	156.41873314
1405.27000000	156.89566645
1405.80000000	162.10317558
1408.18500000	167.78783742
1412.00000000	170.80327635
1412.32500000	171.55385338
1412.65000000	172.27376331
1412.65000000	172.27376331
1412.70000000	175.82245105
1413.48500000	179.47244328
1413.76000000	179.86267292
1414.61000000	191.86361206
1414.69000000	194.02764658
1414.69000000	194.02764658
1414.91000000	194.90670071
1415.03000000	194.34099182
1416.28000000	200.98850782
1421.61000000	191.81563170
1426.15000000	196.35492290
1430.29000000	198.93367214
1430.56000000	195.36417496
1431.05000000	193.45682579
1431.05000000	193.45682579
1431.07000000	191.48166473
1431.48000000	192.15849919
1431.48000000	192.15849919
1431.48500000	190.99731172
1431.49000000	191.35942617
1431.49000000	191.35942617
1431.49000000	191.35942617
1431.69000000	190.89585625
1432.20000000	189.05544751
1432.70000000	190.72110231
1434.13000000	195.41855362
1438.20000000	193.14567033
1439.19000000	193.59360962
1445.24000000	188.17559719
1447.40000000	195.27781366
1447.55500000	195.46022102
1447.71000000	196.23875930
1448.14000000	197.29776690
1448.25500000	196.52040328
1448.46500000	193.16731757
1448.64000000	193.98148106
1448.73500000	192.25145987
1448.73500000	192.25145987
1448.77000000	193.69000800
1449.12000000	193.42205642
1449.85500000	189.56575760
1449.90500000	193.70946724
1450.61000000	191.19694037
1451.38000000	186.80443678
1451.72500000	186.67339696
1455.98000000	182.80497424
1457.47000000	180.62453271
1462.70000000	180.25380966
1464.10000000	180.55013380
1465.05000000	177.94018681
1465.36000000	174.88462605
1465.44500000	172.53769110
1465.68000000	171.78733392
1465.88000000	177.38779131
1468.64000000	178.54831995
1469.02000000	176.28474091
1469.20000000	175.99872928
1469.27000000	171.64505481
