DEPTH d	VALUE d
1374.48000000	0.00213214
1376.28000000	0.00320019
1376.85500000	0.00000000
1376.92000000	0.00720164
1377.25000000	0.00062136
1380.08500000	0.00014770
1383.03000000	0.00397626
1385.00000000	0.00512895
1385.57000000	0.01160618
1385.98500000	0.00362220
1386.44000000	0.02054296
1387.02000000	0.00041340
1388.72000000	0.00186886
1390.33000000	0.00300884
1390.92000000	0.00177133
1391.51000000	0.00000000
1391.51000000	0.00573858
1392.20000000	0.00017673
1395.65000000	0.00127093
1396.11000000	0.00340317
1396.87500000	0.00279022
1398.34000000	0.00031121
1399.81000000	0.00065442
1402.23000000	0.00097265
1402.70000000	0.00307629
1403.17000000	0.00000000
1403.27000000	0.00444950
1403.70000000	0.00847056
1403.94000000	0.00707599
1404.26000000	0.00150551
1405.27000000	0.00703036
1405.80000000	0.00056564
1408.18500000	0.00075157
1412.00000000	0.00502202
1412.32500000	0.00132508
1412.65000000	0.00000000
1412.65000000	0.00000000
1412.70000000	0.00134033
1413.48500000	0.01345801
1413.76000000	0.00384768
1414.61000000	0.00000000
1414.69000000	0.00000000
1414.69000000	0.01203026
1414.91000000	0.00525237
1415.03000000	0.00073063
1416.28000000	0.00048899
1421.61000000	0.00055229
1426.15000000	0.00064819
1430.29000000	0.02180235
1430.56000000	0.00224386
1431.05000000	0.00000000
1431.05000000	0.00000000
1431.07000000	0.00507230
1431.48000000	0.00000000
1431.48000000	0.00000000
1431.48500000	0.00000000
1431.49000000	0.00000000
1431.49000000	0.00000000
1431.49000000	0.00940087
1431.69000000	0.00222748
1432.20000000	0.00729605
1432.70000000	0.00054746
1434.13000000	0.00161571
1438.20000000	0.00007300
1439.19000000	0.00021371
1445.24000000	0.00029157
1447.40000000	0.00797197
1447.55500000	0.01896466
1447.71000000	0.00584906
1448.14000000	0.00671214
1448.25500000	0.01420683
1448.46500000	0.00313174
1448.64000000	0.00000000
1448.73500000	0.00000000
1448.73500000	0.00000000
1448.77000000	0.00161830
1449.12000000	0.00175156
1449.85500000	0.00000000
1449.90500000	0.00015106
1450.61000000	0.00080926
1451.38000000	0.00059931
1451.72500000	0.00011508
1455.98000000	0.00358291
1457.47000000	0.00012008
1462.70000000	0.00004410
1464.10000000	0.00261573
1465.05000000	0.00080490
1465.36000000	0.00000000
1465.44500000	0.00080381
1465.68000000	0.01265417
1465.88000000	0.00083491
1468.64000000	0.00032765
1469.02000000	0.00664711
1469.20000000	0.00000000
1469.27000000	0.00000000
1469.27000000	0.00765048
1469.44000000	0.00243036
1469.92000000	0.00299011
1470.50000000	0.00658251
1470.89000000	0.01070162
1471.34000000	0.00257788
1471.92500000	0.00000000
1471.92500000	0.00077694
1473.59500000	0.00151686
1475.15000000	0.01075395
1475.76000000	0.00221410
1478.50500000	0.02804452
1478.78000000	0.00189287
1479.70000000	0.00133615
1482.34000000	0.00005535
1490.37000000	0.00238278
1491.75500000	0.00000000
1491.75500000	0.00236828
1493.20500000	0.00270780
1493.56000000	0.00494907
1493.85000000	0.04665760
1493.96000000	0.00655188
1494.36500000	0.00000000
1494.36500000	0.00330616
1497.91500000	0.00000000
1497.91500000	0.00000000
1497.91500000	0.00123208
1503.40500000	0.00142656
1504.11000000	0.00000000
1504.15000000	0.00000000
1504.16000000	0.00000000
1504.16000000	0.00000000
1504.19500000	0.00000000
1504.26000000	0.00031635
1507.40000000	0.02342026
1507.67500000	0.00009929
1507.99000000	0.00165279
1508.17000000	0.00000000
1508.17000000	0.00000000
1508.17000000	0.00084087
1511.28500000	0.00020123
1513.84000000	0.00094769
1515.01000000	0.00000000
1515.01000000	0.00281019
1516.61000000	0.00790299
1516.72000000	0.00028780
1516.97000000	0.00090618
1518.81500000	0.00325633
1520.16000000	0.00039633
1521.00000000	0.00000000
1521.00000000	0.00000000
1521.00000000	0.00348957
1521.15500000	0.00021770
1521.64000000	0.00424504
1522.18000000	0.00162929
1524.19500000	0.00355910
1524.39000000	0.00014134
1525.64000000	0.00375702
1525.92500000	0.00009880
1526.21000000	0.00017484
1529.50000000	0.00010370
1531.76500000	0.00004348
1533.87000000	0.00000000
1533.89000000	0.00046137
1536.09500000	0.00101765
1538.20000000	0.00015217
1539.15000000	0.00918346
1539.55500000	0.01688264
1540.01000000	0.00583479
1540.67000000	0.00030564
1540.82000000	0.00000000
1540.82000000	0.00000000
1540.82000000	0.01013684
1541.11000000	0.00103168
1545.45500000	0.00079733
1548.25000000	0.00270974
1549.33000000	0.00240816
1549.79000000	0.00288563
1549.93500000	0.00455606
1550.08000000	0.00006651
1553.50500000	0.00207844
1555.14000000	0.00000000
1555.14000000	0.00330346
1555.83500000	0.00152277
1556.65000000	0.00044387
1560.64000000	0.00010365
1562.22500000	0.00148895
1563.63000000	0.00158601
1564.33000000	0.00220049
1564.54000000	0.00311212
1564.91000000	0.00147191
1565.17000000	0.01166644
1565.32000000	0.00395154
1565.82000000	0.00293048
1566.25000000	0.00202013
1566.51000000	0.00077471
1567.84000000	0.00305041
1568.31000000	0.00000000
1568.31000000	0.00000000
1568.31000000	0.00046693
1568.45500000	0.00018259
1570.05000000	0.00000000
1570.05000000	0.01581469
1570.17000000	0.00028810
1571.32000000	0.00065750
1572.73000000	0.00504319
1573.24000000	0.00456168
1573.48000000	0.00955805
1573.75000000	0.01502524
1573.87000000	0.00706962
1574.76000000	0.00319628
1575.28000000	0.02746488
1575.48000000	0.00009265
1589.56000000	0.00567283
1590.33000000	0.02044664
1590.72000000	0.00000000
1590.72000000	0.00104293
1593.57000000	0.00306539
1596.30500000	0.00059484
1597.37000000	0.00427772
1597.66000000	0.01950008
1597.82000000	0.00000000
1597.82000000	0.00000000
1597.82000000	0.00000000
1597.82000000	0.00000000
1597.91000000	0.00003317
1598.16000000	0.00535233
1598.33000000	0.00193252
1599.14000000	0.00090941
1599.33000000	0.00091893
1599.94000000	0.00084892
1601.46000000	0.00016857
1605.98500000	0.00124482
1606.62500000	0.00012655
1607.13500000	0.00020329
1607.37500000	0.00000000
1607.43000000	0.00224611
1608.01000000	0.00302926
1608.84000000	0.00028298
1610.99000000	0.00325956
1611.27000000	0.01955499
1611.42000000	0.00000000
1611.42000000	0.00000000
1611.46000000	0.00000000
1611.46000000	0.00000000
1611.52000000	0.00495206
1611.67000000	0.02253427
1611.82000000	0.00565103
1612.56500000	0.00187082
1613.08500000	0.00239213
1613.44000000	0.00004299
1618.08000000	0.00087091
1627.70000000	0.00000000
1627.79000000	0.00187135
1628.67000000	0.00155234
1629.06000000	0.01197367
1629.32000000	0.01676990
