DEPTH d	VALUE d
1374.48000000	17.59472380
1376.28000000	14.90833841
1376.85500000	13.47629728
1376.92000000	11.87891612
1377.25000000	13.79089618
1380.08500000	15.20223203
1383.03000000	15.43420513
1385.00000000	9.85873465
1385.57000000	8.03492907
1385.98500000	11.22574048
1386.44000000	9.97225446
1387.02000000	0.58173051
1388.72000000	1.44708665
1390.33000000	3.83142320
1390.92000000	5.35889553
1391.51000000	4.67858963
1391.51000000	4.67858963
1392.20000000	1.52064013
1395.65000000	2.90497898
1396.11000000	2.90039017
1396.87500000	1.07714321
1398.34000000	-2.37445049
1399.81000000	-2.45026434
1402.23000000	-1.87571239
1402.70000000	-2.08874802
1403.17000000	-3.38737346
1403.27000000	-2.85905516
1403.70000000	-1.86040027
1403.94000000	-3.36773285
1404.26000000	-5.56943033
1405.27000000	-4.36291587
1405.80000000	-0.68363764
1408.18500000	-0.12729191
1412.00000000	-2.56038338
1412.32500000	-3.92403639
1412.65000000	-3.73410823
1412.65000000	-3.73410823
1412.70000000	-2.21399515
1413.48500000	-3.36648728
1413.76000000	-6.69065097
1414.61000000	-3.43547257
1414.69000000	0.55343821
1414.69000000	0.55343821
1414.91000000	-0.91945542
1415.03000000	-0.62218873
1416.28000000	0.09165303
1421.61000000	-2.41611319
1426.15000000	-0.22683586
1430.29000000	1.94673725
1430.56000000	6.80693210
1431.05000000	5.13619916
1431.05000000	5.13619916
1431.07000000	3.61490474
1431.48000000	5.57063299
1431.48000000	5.57063299
1431.48500000	6.97905633
1431.49000000	6.60345177
1431.49000000	6.60345177
1431.49000000	6.60345177
1431.69000000	7.38002125
1432.20000000	7.78018807
1432.70000000	4.63691642
1434.13000000	3.70539905
1438.20000000	8.81553092
1439.19000000	8.68007812
1445.24000000	7.82280960
1447.40000000	9.33272808
1447.55500000	8.29395999
1447.71000000	10.37166573
1448.14000000	8.22227917
1448.25500000	9.17894561
1448.46500000	6.96818358
1448.64000000	6.83570732
1448.73500000	5.91733686
1448.73500000	5.91733686
1448.77000000	4.72863667
1449.12000000	5.03112924
